Timestep,C7,CLAV,IMUL_L,IMUL_M,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHIA,LTIBI,STRN,RANK,RTIBA,RTIBI,RTHI,IMUL_R,RHEE,RILC,IMUR_T,IMUR_M,IMUR_B
62,0.00887352,0.00332413,0,0,0.0306619,0.0224544,0.00557132,0.0173184,0,0,0.0126716,0,0.0166984,0.00682623,0.0333527,0.0368578,0.0252445,0.00498004,0.0101101,0.0139264,0.0344193,0.0373451,0.0250668,0.00742353,0.00584852,0.0252987,0.060526,0.0197409,0.0178463,0.00416917,0.0407661,0.0110025,0.00787558,0.0119732,0,0,0.0124255,0,0.0077367,0.0119932,0.0838035,0.0316581,0.014991,0.0103371,0.0309223,0.0537233,0.0141768,0.0227167,0.0236405,0.0487653,0.00590249,0.0172268,0.00909286,0.0106184,0,0,0,0,0,0,0,0,0.0327564,0.00860942,0.00336897,0.0319853,0.0336658,0.00991315,0.00829947,0,0.0348997,0.0731275,0,0,0
63,0.00943817,0.00373968,0,0,0.0289735,0.0221936,0.0069006,0.0183481,0,0,0.0126292,0,0.0169578,0.00689372,0.0334713,0.0368382,0.0255243,0.00455141,0.00988059,0.0140936,0.0347519,0.0375793,0.0253228,0.00819431,0.00664501,0.0249643,0.0588468,0.0196291,0.0179171,0.00405814,0.0400052,0.0108964,0.00839501,0.012346,0,0,0.012695,0,0.00761567,0.0123271,0.0841212,0.0299044,0.0151782,0.0106377,0.0312155,0.0541689,0.0152089,0.0222636,0.023424,0.0488677,0.00548755,0.0176741,0.00924963,0.011222,0,0,0,0,0,0,0,0,0.0330362,0.0092952,0.00397024,0.0304535,0.0332151,0.0101951,0.00960023,0,0.0340913,0.0735651,0,0,0
64,0.00984456,0.0042996,0,0,0.0267254,0.0219226,0.00819078,0.0192604,0,0,0.0124848,0,0.0172453,0.00720032,0.0335605,0.0358592,0.0258264,0.00503623,0.00960496,0.0140249,0.0349508,0.037625,0.0258053,0.00912414,0.00751981,0.024783,0.0560465,0.0194227,0.0180195,0.0040909,0.0388683,0.0107516,0.00858288,0.0127695,0,0,0.0124761,0,0.00761832,0.012452,0.0845028,0.0292536,0.0153651,0.0110878,0.0321823,0.0549151,0.0154262,0.0223123,0.023603,0.0480482,0.0050328,0.0178048,0.00944352,0.01171,0,0,0,0,0,0,0,0,0.0329684,0.00991003,0.00459193,0.0293546,0.0327485,0.0108136,0.0107536,0,0.0334797,0.0739338,0,0,0
65,0.010162,0.00475372,0,0,0.0236709,0.0217139,0.00926666,0.0199152,0,0,0.01177,0,0.017601,0.00746607,0.0336295,0.0338128,0.0260116,0.00610609,0.00927058,0.0142607,0.0350647,0.0375669,0.0265267,0.0100528,0.00841703,0.0247889,0.0523121,0.0192951,0.0181383,0.00422454,0.0374602,0.0105538,0.00853765,0.0129563,0,0,0.0123216,0,0.00753911,0.0125843,0.0848257,0.0292811,0.0154463,0.0112122,0.0339372,0.0561535,0.0152841,0.0227018,0.0240917,0.0468772,0.00456564,0.0179868,0.00949888,0.01198,0,0,0,0,0,0,0,0,0.0326612,0.0106481,0.00510127,0.0283502,0.0322557,0.0118661,0.0121495,0,0.0326707,0.0741873,0,0,0
66,0.0103393,0.0052941,0,0,0.0203284,0.0214612,0.0102186,0.0202865,0,0,0.0112153,0,0.0179351,0.00750835,0.0337167,0.0306679,0.0259766,0.00753129,0.00889615,0.014877,0.035132,0.0374348,0.0274558,0.0109055,0.00930659,0.0250053,0.0474452,0.0195289,0.0182592,0.00435131,0.0359303,0.0103209,0.008509,0.0129448,0,0,0.0120827,0,0.00743955,0.0126634,0.0850736,0.0293735,0.0153705,0.011293,0.0359409,0.0576863,0.0158123,0.0230541,0.0245607,0.0457467,0.0041066,0.0181443,0.00951964,0.0119986,0,0,0,0,0,0,0,0,0.0322583,0.0112014,0.00583769,0.0271091,0.0317639,0.0131249,0.0137708,0,0.0312369,0.0743916,0,0,0
67,0.0104162,0.0057965,0,0,0.0174396,0.0211507,0.0114612,0.0205372,0,0,0.0107903,0,0.0182811,0.00762347,0.0337524,0.0269061,0.0258329,0.00894078,0.00854044,0.0152315,0.0353035,0.0373794,0.028531,0.0116438,0.0102958,0.0253472,0.0417725,0.0197047,0.018374,0.00415442,0.0343581,0.0100835,0.008531,0.0130077,0,0,0.0119179,0,0.00728498,0.0126774,0.085301,0.0291347,0.0153027,0.0113471,0.0376001,0.059136,0.0169454,0.0230574,0.0246785,0.0444262,0.00379721,0.0182685,0.00951734,0.0120138,0,0,0,0,0,0,0,0,0.0321753,0.0116344,0.00651725,0.025652,0.031305,0.01422,0.0153233,0,0.0292651,0.0746966,0,0,0
68,0.0104606,0.00638201,0,0,0.0155177,0.0208518,0.0128133,0.0206501,0,0,0.0104859,0,0.0186432,0.00778498,0.0337205,0.0228343,0.0255737,0.0100704,0.00829098,0.0156194,0.0355865,0.0373803,0.0297965,0.012213,0.0113871,0.0258479,0.0349412,0.0197893,0.018511,0.00407018,0.0328409,0.00984975,0.00864504,0.0130885,0,0,0.0120271,0,0.00708793,0.0126916,0.0854944,0.0284414,0.0153575,0.0113192,0.0387802,0.0602852,0.01809,0.0227689,0.0244391,0.0428715,0.00362807,0.0183308,0.00950902,0.0120187,0,0,0,0,0,0,0,0,0.0324324,0.0119243,0.00707304,0.0243735,0.0309124,0.0149783,0.016553,0,0.0271145,0.0751144,0,0,0
69,0.0102185,0.0073085,0,0,0.0147259,0.0205115,0.0140249,0.0205544,0,0,0.00990926,0,0.0191076,0.00781394,0.0336021,0.0191894,0.0251109,0.0110136,0.00827682,0.0168167,0.0360481,0.0375527,0.0312297,0.0125019,0.0123115,0.0265905,0.0272188,0.0198468,0.0186149,0.00407591,0.031414,0.0096439,0.00884595,0.0130508,0,0,0.0121224,0,0.00692886,0.0126677,0.0856223,0.0275402,0.0153588,0.0119118,0.0395078,0.0610515,0.0188341,0.0225181,0.0242009,0.0412608,0.00320856,0.0183689,0.00953872,0.0115204,0,0,0,0,0,0,0,0,0.0331317,0.0120005,0.00823949,0.0236292,0.0306089,0.0154264,0.0173542,0,0.0252791,0.0756258,0,0,0
70,0.0125694,0.0061924,0,0,0.0151032,0.0204292,0.0147766,0.0202373,0,0,0.0109622,0,0.0191407,0.00853759,0.0334195,0.0161915,0.024403,0.0122255,0.00847191,0.0144793,0.0368111,0.0379505,0.0327518,0.0127896,0.0131938,0.0275296,0.0187451,0.0199464,0.0186974,0.00420751,0.0301574,0.00922403,0.00914129,0.0148623,0,0,0.0140322,0,0.00604797,0.0134494,0.0855963,0.0266986,0.0154112,0.00872081,0.0397649,0.0613494,0.0190435,0.022364,0.0240985,0.0396213,0.00584154,0.018566,0.00937839,0.0139881,0,0,0,0,0,0,0,0,0.0342217,0.0120151,0.00556365,0.0233285,0.0303921,0.015592,0.0176706,0,0.023919,0.0760034,0,0,0
71,0.0126497,0.00616819,0,0,0.0161935,0.0202162,0.0147563,0.0197273,0,0,0.0112177,0,0.0194005,0.00860337,0.0333077,0.0138669,0.0235568,0.0136365,0.00882292,0.0141906,0.0377961,0.038423,0.0342228,0.0131452,0.0141224,0.0284945,0.0105535,0.0201761,0.0187915,0.00429913,0.0293224,0.00896908,0.00949552,0.015278,0,0,0.0143023,0,0.00579082,0.0136783,0.0855091,0.0261798,0.0150428,0.00886628,0.0397344,0.0613038,0.0189432,0.0222378,0.0240437,0.0381693,0.00641377,0.0184774,0.00942242,0.0141657,0,0,0,0,0,0,0,0,0.0353718,0.012066,0.00544979,0.0233954,0.0303555,0.0155149,0.0176673,0,0.0231719,0.0764147,0,0,0
72,0.0127888,0.00600394,0,0,0.016636,0.0200901,0.0138709,0.0192584,0,0,0.0116614,0,0.0195781,0.00865504,0.0333781,0.0140912,0.0226541,0.0149376,0.0091947,0.014115,0.0388152,0.0389944,0.0356256,0.0135576,0.0148757,0.0293624,0.0105955,0.0206076,0.0188433,0.00424304,0.0286815,0.00878852,0.00992847,0.0157762,0,0,0.0145523,0,0.00560297,0.0139139,0.0853667,0.0259779,0.0145418,0.00926896,0.0395299,0.0608989,0.0187142,0.0220059,0.0237727,0.0367186,0.00703384,0.0184428,0.00948098,0.0144969,0,0,0,0,0,0,0,0,0.0365608,0.0121966,0.00524691,0.0236323,0.0303822,0.0152359,0.0175158,0,0.0227131,0.0766818,0,0,0
73,0.0125726,0.00555131,0,0,0.017607,0.0199718,0.012951,0.0190339,0,0,0.011557,0,0.0197922,0.00867474,0.0336666,0.0178953,0.0218209,0.0161279,0.00946097,0.0125573,0.0396825,0.0395721,0.0369965,0.0139038,0.0154145,0.0300489,0.0182252,0.0202937,0.0188559,0.00412185,0.0281241,0.00868466,0.0106109,0.0161372,0,0,0.0149385,0,0.00546408,0.014146,0.0851981,0.0260039,0.0139612,0.00961496,0.0393737,0.0606271,0.0186997,0.0215337,0.0231674,0.0351387,0.00761886,0.0184339,0.00953639,0.015122,0,0,0,0,0,0,0,0,0.0376727,0.0124538,0.00456964,0.0238731,0.0304431,0.0147848,0.0174285,0,0.0224733,0.0769146,0,0,0
74,0.0125209,0.00544281,0,0,0.0196969,0.0198289,0.0127616,0.0187877,0,0,0.0114328,0,0.0200104,0.00865438,0.0339843,0.0230546,0.0209228,0.0172435,0.00970093,0.0113507,0.0403858,0.040162,0.0384962,0.0141634,0.0158768,0.0306092,0.0244294,0.01994,0.0188764,0.00402392,0.0275598,0.00856878,0.0112142,0.0164419,0,0,0.0151908,0,0.00530287,0.0142746,0.084981,0.0261777,0.0133671,0.00995746,0.0394328,0.0607534,0.0189016,0.0208168,0.0223207,0.03342,0.00792273,0.0184672,0.00959021,0.0157963,0,0,0,0,0,0,0,0,0.0386232,0.0128329,0.00426787,0.0240217,0.0305547,0.0143296,0.0177929,0,0.0224109,0.0771794,0,0,0
