Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,
9,0.0478415,0.0261809,0,0,0,0,0,0,0.0263459,0.014126,0.0206974,0.0328169,0,0,0.0331682,0,0.0379794,0.0149898,0.0369992,0.0345243,0.0277358,0.0349639,0.0457069,0.0369632,0.0266968,0.0236962,0.0189736,0.0291722,0.0351983,0.032958,0.0283724,0.00903053,0.0340557,0.027792,0.022882,0.00974224,0.0711931,0.00490999,0.0424587,0.0923705,0.0415142,0,0,0.0188064,0,0.00611684,0.00990347,0.0497587,0.071606,0.0288017,0.0840773,0.0383709,0.0386416,0.0390827,0.0234295,0.0370386,0.0487609,0.0503404,0.0401155,0.0338405,0.0524877,0.0815249,0.0307331,0.0056712,0.00368544,0.0223715,0.0426037,0,0,0,0,0,0,0,0,0,0
10,0.04789,0.0267236,0,0,0,0,0,0,0.0247227,0.0139895,0.0193679,0.0336546,0,0,0.0335196,0,0.0383406,0.0149216,0.0378637,0.0308356,0.0278497,0.0344417,0.0455876,0.0372407,0.0275458,0.0247966,0.0203471,0.0299747,0.0353096,0.0329533,0.0281097,0.00908801,0.0333422,0.0281319,0.0229974,0.00981588,0.0680628,0.00485803,0.0405463,0.0929834,0.0414884,0,0,0.018687,0,0.00613612,0.00970904,0.0494997,0.0700815,0.02902,0.0823704,0.0382585,0.0391395,0.0381673,0.0235241,0,0.0479224,0.0487044,0.0391568,0.0325586,0.0504145,0.0779048,0.0311194,0.00558006,0.00367712,0.0230049,0.0426143,0,0,0,0,0,0,0,0,0,0
11,0.0478825,0.0270653,0,0,0,0,0,0,0.0228618,0.0139133,0.0182901,0.0344914,0,0,0.0336578,0,0.0386052,0.0147018,0.0389929,0.0271755,0.0279981,0.0337517,0.0454185,0.0371756,0.0284044,0.0253826,0.0216381,0.0308523,0.0352917,0.032872,0.0279299,0.00922666,0.0323463,0.028076,0.0230782,0.00985671,0.0651366,0.00483839,0.0386122,0.0935993,0.0413854,0,0,0.0184925,0,0.00615091,0.00938504,0.0496607,0.0680619,0.0288481,0.0804994,0.0380469,0.0393382,0.0371479,0.0232307,0,0.0468319,0.0468585,0.0378624,0.0308984,0.0480536,0.074483,0.0311178,0.00558848,0.00365395,0.0234544,0.0425374,0,0,0,0,0,0,0,0,0,0
12,0.0479171,0.0273398,0,0,0,0,0,0,0.0199194,0.0139067,0.0177514,0.0351628,0,0,0.0337328,0,0.0387073,0.0143464,0.0401605,0.0242723,0.0280441,0.032768,0.0450445,0.0368273,0.0293214,0.0255918,0.0227342,0.0317523,0.0350564,0.0326692,0.0277006,0.00947297,0.0308713,0.0277935,0.0231424,0.00983876,0.0627368,0.00481092,0.0368018,0.0940673,0.0413042,0,0,0.0182409,0,0.00614867,0.00917645,0.0499522,0.065655,0.0285034,0.0788032,0.0377017,0.0392913,0.0365258,0.0223214,0.0388111,0.0455784,0.0451052,0.0364952,0.0291542,0.045893,0.0716635,0.0308317,0.00563745,0.00365621,0.0238804,0.042424,0,0,0,0,0,0,0,0,0,0
13,0.0480171,0.0276369,0,0,0,0,0,0,0.0168703,0.0139067,0.0177106,0.0361993,0,0,0.0335227,0,0.0387943,0.0140277,0.041063,0.0218825,0.0281079,0.0319458,0.0447232,0.0363519,0.0300226,0.0256408,0.0238083,0.0327431,0.0348209,0.0324842,0.0273319,0.00992338,0.0281675,0.0272969,0.0231889,0.00978925,0.0612821,0.00480905,0.0366885,0.094927,0.0412113,0,0,0.0179283,0,0.00609812,0.00905441,0.0501744,0.0649658,0.0281031,0.0790906,0.0371615,0.0390107,0.0358893,0.0218762,0.0385593,0.0444626,0.0449627,0.0356309,0.0283833,0.0454017,0.0689199,0.0303501,0.00569951,0.00370487,0.0243146,0.0423229,0,0,0,0,0,0,0,0,0,0
14,0.0480775,0.0278384,0,0,0,0,0,0,0.0131247,0.0139523,0.0179754,0.0373523,0,0,0.0328038,0,0.0388845,0.0138002,0.0417473,0.0201475,0.0283485,0.0311132,0.0445807,0.035725,0.030031,0.0250517,0.0247971,0.033561,0.03457,0.0322381,0.0268579,0.0104252,0.0242941,0.0265256,0.0232235,0.00971829,0.0602455,0.00482729,0.0373324,0.0961316,0.0409837,0,0,0.0174339,0,0.00602816,0.00894934,0.0503651,0.0651298,0.0275757,0.0805302,0.0365581,0.0383228,0.0354265,0.0216056,0.0376132,0.0439461,0.0454366,0.0350557,0.0281427,0.0456497,0.0663086,0.0295662,0.00575584,0.00371504,0.0246687,0.0421996,0,0,0,0,0,0,0,0,0,0
15,0.0481314,0.0280178,0,0,0,0,0,0,0.00987833,0.0139873,0.0181744,0.0382453,0,0,0.0320352,0,0.0389147,0.0136999,0.0423205,0.0189031,0.0287555,0.0299925,0.0444445,0.0351452,0.03006,0.023835,0.0255979,0.034149,0.034215,0.0318637,0.0262944,0.0110404,0.0193412,0.02547,0.0232142,0.0096874,0.0591825,0.0048729,0.0381536,0.0973212,0.0407782,0,0,0.0168786,0,0.00595858,0.00898447,0.0507317,0.065682,0.027048,0.0823733,0.0360345,0.0374264,0.0351999,0.021678,0.0374217,0.044164,0.0461119,0.0347491,0.0282149,0.0461715,0.0637751,0.0286398,0.00592805,0.00369387,0.024995,0.0422013,0,0,0,0,0,0,0,0,0,0
16,0.0477967,0.0278443,0,0,0,0,0,0,0.00876051,0.0140651,0.0182625,0.0393652,0,0,0.0308511,0,0.0388354,0.0134496,0.0427584,0.0179754,0.0284678,0.02852,0.0449899,0.0342689,0.0299864,0.0227284,0.0261137,0.0344446,0.0336675,0.0313173,0.0256663,0.0118118,0.0159786,0.0240505,0.0231353,0.00959274,0.0581669,0.00500529,0.0391208,0.0990366,0.0403206,0,0,0.015986,0,0.00590517,0.00883126,0.0514714,0.0663285,0.0265647,0.0842457,0.0351205,0.0361829,0.0355913,0.0221179,0.0379226,0.045172,0.0468805,0.0345222,0.0284795,0.0467469,0.0612668,0.0273141,0.00613359,0.00364029,0.0249584,0.0419956,0,0,0,0,0,0,0,0,0,0
17,0.0470307,0.027382,0,0,0,0,0,0,0.0109706,0.0141693,0.0185074,0.0406002,0,0,0.0295161,0,0.0386262,0.0130894,0.0430349,0.0169081,0.0276011,0.0268009,0.0459557,0.0332455,0.0295684,0.0218431,0.0263077,0.0344225,0.0330512,0.0307252,0.0250426,0.0127254,0.0175988,0.0226661,0.0229903,0.00950133,0.0572529,0.00519996,0.0398944,0.100924,0.0396308,0,0,0.0147911,0,0.00589599,0.00828346,0.0519604,0.0666794,0.0260682,0.0856244,0.0338669,0.0348381,0.036443,0.0224714,0.0385308,0.0466437,0.0474278,0.0342864,0.0287938,0.0471684,0.0592567,0.0258759,0.00629641,0.0035563,0.0248637,0.0415412,0,0,0,0,0,0,0,0,0,0
18,0.0460152,0.0267416,0,0,0,0,0,0,0.0144047,0.0142909,0.0190624,0.0418576,0,0,0.0281792,0,0.0383232,0.0127383,0.0431927,0.0162056,0.0264169,0.0247519,0.0472186,0.0323228,0.0287854,0.0210849,0.0262592,0.0342652,0.0323556,0.0301255,0.0244705,0.0137053,0.0216987,0.0215126,0.0228147,0.00939311,0.0563805,0.00543438,0.0403898,0.102723,0.0388348,0,0,0.0136,0,0.00595662,0.00767997,0.0521775,0.0667116,0.0256146,0.0865331,0.0325193,0.0336321,0.0374169,0.0225711,0.0390717,0.04807,0.0477884,0.033945,0.0290152,0.0474006,0.0575203,0.0246016,0.00646471,0.00344927,0.0247302,0.0408998,0,0,0,0,0,0,0,0,0,0
19,0.0448373,0.0260301,0,0,0,0,0,0,0.0176767,0.0144151,0.0195299,0.0431974,0,0,0.0270075,0,0.037972,0.0124503,0.0431955,0.016689,0.0251039,0.0223594,0.0488672,0.0315832,0.0277544,0.0203166,0.0260313,0.0341688,0.0314286,0.0294618,0.0239447,0.0145663,0.0253179,0.0205917,0.0226404,0.00926027,0.0554733,0.00570744,0.0407094,0.104493,0.037975,0,0,0.0125618,0,0.00607169,0.00723232,0.0522639,0.0666159,0.0252363,0.0873766,0.0314035,0.0327381,0.0377495,0.0225044,0.0395833,0.0489705,0.0480948,0.0334594,0.0290349,0.0474746,0.0557107,0.0234844,0.00655502,0.00330753,0.0244496,0.0400869,0,0,0,0,0,0,0,0,0,0
20,0.043646,0.0253938,0,0,0,0,0,0,0.020316,0.0145184,0.0200456,0.0448063,0,0,0.0258626,0,0.0376462,0.0122546,0.0429202,0.018449,0.0239342,0.0199801,0.0507111,0.0310853,0.0265664,0.0191059,0.0256194,0.0342232,0.0303811,0.0288631,0.0236701,0.0152425,0.0278369,0.0198981,0.0224865,0.00917241,0.0546659,0.00599667,0.0412751,0.10636,0.0371043,0,0,0.0117439,0,0.00620645,0.00689044,0.05241,0.0667303,0.0250578,0.0884759,0.0305985,0.0322126,0.0378015,0.0224448,0.0399978,0.0493154,0.0485066,0.032807,0.0289471,0.0475932,0.0537845,0.0225624,0.00660521,0.00317798,0.0241308,0.0391866,0,0,0,0,0,0,0,0,0,0
21,0.0425508,0.0250003,0,0,0,0,0,0,0.0218718,0.0146014,0.0207771,0.046816,0,0,0.0248324,0,0.0373523,0.01211,0.0422701,0.0205426,0.0229469,0.0180139,0.0526021,0.0307961,0.0251497,0.01765,0.0249562,0.0344858,0.0294509,0.0284525,0.0236711,0.0157589,0.0290937,0.0194643,0.0223351,0.00915426,0.0539629,0.00628352,0.0422173,0.108361,0.0362458,0,0,0.0112674,0,0.00637106,0.00664032,0.0526747,0.0670873,0.0250073,0.0898875,0.0301927,0.0319792,0.037911,0.0225891,0.040357,0.0494576,0.049063,0.0320401,0.0288258,0.0478922,0.0516365,0.0218289,0.00668734,0.00306,0.0238384,0.0382683,0,0,0,0,0,0,0,0,0,0
