Timestep,C7,CLAV,IMUL_L,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,RILC,RHEE,IMUL_M,IMUR_M,LTHII,RTHII,IMUR_B,,x81,x82
246,0.00409285,0.00388213,0,0,0.0236141,0.0232852,0.0148089,0.00888636,0,0,0.0136801,0,0.0177324,0.00355561,0.0400308,0.0289052,0.0173591,0.0154109,0.0143777,0.0184531,0.0242976,0.0205881,0.0367578,0.0199978,0.020311,0.0207212,0.0538312,0.0290771,0.0197142,0.0177012,0.00148077,0.0537809,0.00829208,0.0401182,0.0127168,0.00384191,0,0,0.011166,0,0.0090735,0.00397691,0.0879019,0.0130411,0.00683602,0.00859625,0.0176299,0.0275525,0.0217644,0.0286553,0,0.0304755,0.0295169,0.0673039,0.0110932,0.00904721,0.00684936,0.00372883,0.00353759,0,0,0,0,0,0,0,0,0,0.0902853,0.0364729,0,0,0.0187367,0.272404,0,0,0,0
247,0.00433525,0.00436387,0,0,0.0245675,0.0234152,0.0150664,0.0086842,0,0,0.0138577,0,0.017586,0.00364482,0.0402969,0.0321643,0.0172616,0.0165246,0.0147321,0.0190696,0.0239448,0.0192633,0.0376028,0.0191831,0.0199081,0.0202225,0.0538339,0.0305415,0.0200207,0.0177013,0.00149023,0.0537949,0.00846338,0.0391664,0.0127773,0.00396219,0,0,0.0105141,0,0.0093443,0.00422115,0.0878258,0.0130482,0.00688512,0.00853075,0.0170342,0.0278656,0.0209547,0.026779,0,0.0286716,0.02774,0.0678746,0.0104306,0.00930927,0.00695919,0.00382724,0.00345895,0,0,0,0,0,0,0,0,0,0.0906603,0.0358254,0,0,0.0173348,0.273709,0,0,0,0
248,0.00452698,0.00452486,0,0,0.02633,0.0234995,0.0167237,0.00851401,0,0,0.014254,0,0.0174543,0.00379693,0.0408654,0.0360351,0.0175363,0.0167278,0.0149053,0.0195177,0,0.0184483,0.0381739,0.0185699,0.0198398,0.0197932,0.0539304,0.0325605,0.0201044,0.0176516,0.00145917,0.0536991,0.00847876,0.0382244,0.0126948,0.00420781,0,0,0.0104904,0,0.0093869,0.00405908,0.0875614,0.0135812,0.00652828,0.00854165,0.0164482,0.0282622,0.0201672,0.0249961,0,0.0268337,0.0260548,0.0683044,0.0103014,0.00931139,0.00701546,0.00359845,0.00319021,0,0,0,0,0,0,0,0,0,0.0907361,0.0354827,0,0,0.0160354,0.275062,0,0,0,0
249,0.00471844,0.004707,0,0,0.0275704,0.0235544,0.018921,0.00771024,0,0,0.0146054,0,0.0173496,0.00393859,0.041145,0.0397917,0.0176129,0.0152261,0.0148491,0.0199055,0.0226425,0.0171901,0.0379536,0.018902,0.0204643,0.019791,0.053644,0.0334605,0.0201278,0.0176183,0.0017504,0.0538152,0.00843677,0.0371719,0.0120383,0.00440898,0,0,0.010368,0,0.00932355,0.00371858,0.0872758,0.0145651,0.00665106,0.0085543,0.0156445,0.0287123,0.0192746,0.0231755,0,0.0248366,0.0242614,0.069085,0.0101323,0.00931733,0.00704966,0.00350133,0.00312605,0,0,0,0,0,0,0,0,0,0.0908274,0.0352588,0,0,0.0144407,0.27616,0,0,0,0
250,0.00503068,0.00499275,0,0,0.0293183,0.0235685,0.0203682,0.0074113,0,0,0.0148558,0,0.0172787,0.00416574,0.0416097,0.0430991,0.0184533,0.0120984,0.0148077,0.0203223,0,0.0169568,0.0368823,0.0196206,0.0218787,0.0201319,0.0532733,0.0352335,0.0201408,0.0176146,0.00206719,0.0538244,0.00834642,0.0362786,0.0115675,0.00467507,0,0,0.0100228,0,0.0092916,0.0038303,0.0867898,0.0158268,0.00629805,0.00841376,0.0148835,0.0290047,0.0186912,0.0214013,0,0.0228523,0.0224819,0.0694558,0.00986273,0.00930512,0.00720257,0.00353967,0.00345796,0,0,0,0,0,0,0,0,0,0.0905463,0.0353194,0,0,0.0134158,0.277243,0,0,0,0
251,0.00536565,0.0052518,0,0,0.0301365,0.0235735,0.0213595,0.00670975,0,0,0.0150647,0,0.0172316,0.00442918,0.0414201,0.0457143,0.0192304,0.0102559,0.0146172,0.0206705,0.0202241,0.0166156,0.0355733,0.0204703,0.023087,0.0208846,0.05274,0.0356741,0.0201315,0.0176189,0.00229392,0.0540656,0.00826604,0.0353957,0.0106659,0.00497674,0,0,0.00960347,0,0.00928202,0.00402485,0.0863549,0.0173043,0.00559152,0.00834171,0.013908,0.0292237,0.0181983,0.0195816,0,0.0206856,0.0205438,0.0704398,0.00958431,0.00927159,0.00760782,0.00371401,0.00395158,0,0,0,0,0,0,0,0,0,0.090383,0.0353079,0,0,0.0127007,0.278475,0,0,0,0
252,0.00587694,0.00569227,0,0,0.0306634,0.0235641,0.0220774,0.00649074,0,0,0.0152016,0,0.0172415,0.00466915,0.0411835,0.0479491,0.0203907,0.011034,0.0143681,0.0210268,0.0191364,0.0173073,0.034861,0.0210648,0.0234922,0.0214034,0.0523825,0.0360604,0.020093,0.0176396,0.00244764,0.0541814,0.00816844,0.0346284,0.00995729,0.00541287,0,0,0.00917446,0,0.00935275,0.00421644,0.0858636,0.0191428,0.00480746,0.00831211,0.0130054,0.029503,0.0177013,0.0180986,0,0.0185177,0.0188401,0.0715353,0.00930857,0.0092601,0.00778087,0.00425206,0.00454139,0,0,0,0,0,0,0,0,0,0.0903731,0.0354384,0,0,0.0131315,0.279681,0,0,0,0
253,0.00607266,0.0060384,0,0,0.0298129,0.0235799,0.0222996,0.00647173,0,0,0.0152654,0,0.0171745,0.00482675,0.0408192,0.0497443,0.0214353,0.0132514,0.0137612,0.021301,0.0182357,0.0183646,0.034797,0.0215119,0.0232214,0.0218869,0.0521066,0.0348924,0.0199792,0.0176552,0.00238462,0.0542754,0.00810643,0.0340083,0.00920694,0.00584208,0,0,0.00877059,0,0.00944836,0.00428279,0.0855024,0.0211429,0.0045413,0.0083967,0.0119607,0.0298191,0.0174409,0.0170188,0,0.0164045,0.0174,0.07264,0.00907702,0.00930645,0.00764613,0.00480213,0.00494318,0,0,0,0,0,0,0,0,0,0.0902705,0.0354168,0,0,0.0145484,0.280544,0,0,0,0
254,0.00649158,0.00628331,0,0,0.0272104,0.0236025,0.021773,0.00675614,0,0,0.0152516,0,0.0170675,0.00496603,0.0406196,0.0507638,0.0222409,0.0153887,0.012853,0.0214682,0.0177521,0.0190529,0.0350796,0.0216743,0.0230327,0.0222116,0.051703,0.0318615,0.0198187,0.017661,0.00229153,0.0542694,0.00802671,0.0335463,0.00856618,0.00625021,0,0,0.00850258,0,0.00945758,0.00419817,0.0851806,0.02304,0.00456442,0.00849711,0.0109168,0.0302861,0.0176047,0.0163564,0,0.0145608,0.0162085,0.0735987,0.00886281,0.0092319,0.00744368,0.00528698,0.00514553,0,0,0,0,0,0,0,0,0,0.0900728,0.0353436,0,0,0.0157768,0.281197,0,0,0,0
255,0.00716031,0.00666373,0,0,0.0236494,0.0235616,0.0207907,0.00707494,0,0,0.0150774,0,0.0170276,0.005052,0.0408786,0.0506978,0.0229674,0.0158282,0.0119145,0.0215928,0.0182215,0.0189034,0.0355241,0.0213555,0.0225653,0.0220264,0.0508753,0.0279201,0.0196092,0.0176738,0.00236051,0.0541446,0.00800719,0.033061,0.00806348,0.00673784,0,0,0.00819148,0,0.00954492,0.00415804,0.0847108,0.0249575,0.00577131,0.00858531,0.0104709,0.0309454,0.0181183,0.016252,0,0.0129366,0.0154375,0.0744634,0.00869239,0.00915896,0.00737337,0.00591188,0.00547699,0,0,0,0,0,0,0,0,0,0.0902356,0.0350225,0,0,0.015852,0.28163,0,0,0,0
