Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LBHD,LTIBI,x79,
9,0.00724111,0.00431359,0,0,0,0,0,0,0.0364052,0.0175655,0.0169738,0.0113693,0,0.0318143,0,0.0282649,0.00972138,0.0315273,0.0322027,0.020706,0.0140222,0.00786301,0.0269902,0.0228382,0.0262296,0.0217469,0.0405852,0.020832,0.0250806,0.0279374,0.0501549,0.0386433,0.0191916,0.0054405,0.0291616,0.00549568,0.020556,0.00763557,0.00331562,0,0,0.0102001,0,0.00979818,0.00457038,0.0830214,0.0264092,0.0789367,0.00976282,0.00578288,0.00424362,0.00985798,0.0098973,0.0373047,0.0155937,0.0077537,0.0342155,0.00427605,0.00640725,0.0476245,0.0131186,0.00565829,0.00177789,0.00408814,0.00454901,0,0,0,0,0,0,0,0,0,0.0152108,0,0
10,0.00687136,0.00440698,0,0,0,0,0,0,0.0326715,0.0174662,0.0157236,0.0121847,0,0.0317629,0,0.0285035,0.00967404,0.0322256,0.0328624,0.0201631,0.0151063,0.00722691,0.0267841,0.0215323,0.0252694,0.0215805,0.0402457,0.0217527,0.0255449,0.0268694,0.0465586,0.03852,0.0191848,0.00537694,0.0278105,0.00540972,0.0190952,0.00763478,0.00315684,0,0,0.00985509,0,0.00968268,0.00462308,0.0834034,0.0242241,0.0789373,0.0094182,0.00576953,0.00386936,0.00888314,0.0106503,0.0382643,0.0153883,0.00702277,0.0336823,0.00399454,0.00543846,0.0456641,0.0128756,0.00548435,0.00169569,0.00426257,0.00419464,0,0,0,0,0,0,0,0,0,0.0161942,0,0
11,0.00768641,0.00491487,0,0,0,0,0,0,0.0268767,0.0173685,0.0159928,0.0129811,0,0.0316797,0,0.028675,0.00963427,0.0329726,0.0351928,0.0197103,0.017082,0.00655956,0.02675,0.0204595,0.0245357,0.0217836,0.0399408,0.0228873,0.0262094,0.0257356,0.042239,0.0382919,0.0191547,0.00527417,0.0268127,0.00520434,0.0184612,0.00772201,0.00450926,0,0,0.0101647,0,0.00933988,0.00499374,0.0838199,0.0228787,0.0791126,0.00903722,0.00589791,0.00395173,0.00838727,0.0111723,0.0389265,0.015608,0.00671322,0.0334187,0.00383101,0.00515502,0.0440701,0.0123425,0.0047377,0.00170926,0.0044125,0.0049188,0,0,0,0,0,0,0,0,0,0.0172649,0,0
12,0.00742612,0.00445408,0,0,0,0,0,0,0.0213856,0.017458,0.0184071,0.0136279,0,0.0312048,0,0.028527,0.00932209,0.0335874,0.0385707,0.0194047,0.0192797,0.00594393,0.0265627,0.0198224,0.0242201,0.0223541,0.0397447,0.0239904,0.0265866,0.024484,0.0357203,0.0375798,0.0191644,0.00504622,0.0260212,0.00516825,0.0187926,0.00774369,0.00461003,0,0,0.0100488,0,0.00916609,0.00505438,0.0841348,0.0224652,0.0795162,0.00867689,0.0061991,0.00372773,0.00812472,0.0114489,0.0392412,0.0156603,0.00652888,0.0333942,0.00352094,0.00537487,0.042828,0.0119571,0.00417775,0.00158475,0.0039812,0.00463039,0,0,0,0,0,0,0,0,0,0.0183746,0,0
13,0.0071393,0.00448366,0,0,0,0,0,0,0.0159826,0.0175625,0.0224194,0.0141409,0,0.0307555,0,0.0284863,0.00927494,0.0341234,0.0426816,0.0191461,0.0215904,0.00564984,0.0262424,0.0195631,0.0244089,0.0232197,0.0396218,0.0250443,0.0270877,0.0232865,0.0284494,0.0368669,0.0191878,0.00489495,0.0252374,0.00515906,0.0195149,0.00773503,0.00472566,0,0,0.00996496,0,0.00899798,0.00521543,0.0842764,0.0222658,0.0799545,0.00837425,0.00660872,0.00351948,0.00801593,0.0117065,0.039445,0.0154656,0.00666905,0.0333736,0.00327651,0.00593158,0.0417487,0.0115895,0.00387066,0.00139188,0.00355297,0.00428816,0,0,0,0,0,0,0,0,0,0.019397,0,0
14,0.00694053,0.00449418,0,0,0,0,0,0,0.0121101,0.017691,0.026169,0.0143374,0,0.0303081,0,0.0284672,0.00918998,0.0348104,0.0453431,0.0185314,0.0237249,0.00547868,0.0257302,0.0194663,0.0250349,0.0240454,0.0397194,0.0259151,0.0275339,0.0226606,0.0212049,0.0362279,0.0191669,0.00474521,0.0243684,0.00520025,0.0197649,0.00742935,0.00497916,0,0,0.00986622,0,0.00881564,0.00529872,0.0842558,0.0217093,0.0800856,0.00817745,0.00689475,0.00334758,0.00825081,0.0121184,0.0395798,0.0152374,0.00713201,0.0332768,0.00325596,0.00645069,0.0405263,0.0110684,0.00367349,0.00122501,0.00333757,0.00410031,0,0,0,0,0,0,0,0,0,0.0203738,0,0
15,0.00669039,0.00434501,0,0,0,0,0,0,0.0113829,0.0178618,0.029311,0.014963,0,0.0296568,0,0.0285074,0.0090347,0.0351004,0.0472255,0.0187925,0.0254837,0.00601958,0.0254653,0.0197854,0.0265472,0.0248429,0.0396625,0.026761,0.0280963,0.0222819,0.0160458,0.0355756,0.0191943,0.00450117,0.0237434,0.00521994,0.0192734,0.00722778,0.00509243,0,0,0.00988826,0,0.00870856,0.00538291,0.0844247,0.0208946,0.0802502,0.00813786,0.00726079,0.00326228,0.00856779,0.0125284,0.0397834,0.0151736,0.00772014,0.0331727,0.00348395,0.00663125,0.0390761,0.0107512,0.00363862,0.00110245,0.00364731,0.00384285,0,0,0,0,0,0,0,0,0,0.0212425,0,0
16,0.00655116,0.00419231,0,0,0,0,0,0,0.0141294,0.0180469,0.031716,0.0154113,0,0.0289488,0,0.0285695,0.00865634,0.0355639,0.0478374,0.0188572,0.0270426,0.00669815,0.025228,0.0203002,0.0278974,0.0255119,0.0397763,0.0275352,0.0286954,0.0224382,0.0167366,0.0349309,0.0192182,0.00434937,0.0232793,0.00526917,0.0191967,0.00707024,0.00518799,0,0,0.00985431,0,0.00861395,0.00519194,0.0844715,0.0200575,0.0803843,0.00800972,0.00748856,0.00312071,0.00885806,0.0127244,0.0401506,0.0151582,0.00795793,0.0333243,0.0040719,0.00620682,0.0376234,0.0105768,0.00355848,0.00107979,0.00394888,0.00381308,0,0,0,0,0,0,0,0,0,0.0218124,0,0
17,0.00629925,0.00397086,0,0,0,0,0,0,0.0180235,0.0183497,0.033506,0.0154107,0,0.0273057,0,0.0283953,0.00794451,0.0365465,0.0475608,0.0182273,0.0281919,0.00663663,0.024214,0.0208014,0.0285652,0.0257775,0.0401492,0.0282405,0.0292794,0.0230913,0.0218673,0.033395,0.0191408,0.00383794,0.023404,0.00540235,0.0200511,0.00690787,0.00517095,0,0,0.00947674,0,0.00850519,0.00480512,0.0842879,0.0195015,0.0802401,0.0080635,0.00752847,0.003129,0.00917394,0.0130057,0.0405619,0.0153692,0.00746352,0.0337101,0.00453876,0.00527079,0.0367227,0.010227,0.00354362,0.00108097,0.00400271,0.00382656,0,0,0,0,0,0,0,0,0,0.0222189,0,0
18,0.00642523,0.00364084,0,0,0,0,0,0,0.0211363,0.0184061,0.0344168,0.0150082,0,0.0278561,0,0.0280176,0.00754256,0.037662,0.0474057,0.0169823,0.0291386,0.00585807,0.0244118,0.021724,0.0290716,0.0257623,0.0408628,0.0288671,0.0298117,0.0241383,0.0267104,0.0334656,0.0190777,0.00372927,0.023606,0.00544942,0.0209012,0.00670241,0.00533228,0,0,0.00914065,0,0.00848786,0.00465805,0.0840749,0.0191766,0.0802769,0.00836438,0.00735076,0.0027611,0.0091429,0.0134094,0.0411385,0.0159337,0.00672,0.0341275,0.00499161,0.00427071,0.0360233,0.0102248,0.00370605,0.00114593,0.0039074,0.00422887,0,0,0,0,0,0,0,0,0,0.0225146,0,0
