Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LFHD,LKNE,LWRB,x79,
141,0.0488129,0.0315729,0,0,0,0,0,0,0.0289283,0.0173329,0.0236614,0.0638782,0,0,0.0205923,0.0266546,0.0081638,0.039314,0.0213679,0.0170324,0.0531305,0.0319263,0.0145205,0.00766916,0.0195521,0.0399543,0.0278841,0.0277231,0.0236399,0.0167373,0.0268253,0.0236874,0.0202683,0.0441893,0.0123037,0.0419664,0.120612,0.0421727,0,0,0.0253328,0,0.0123776,0.0169179,0.0547624,0.0652011,0.0246743,0.0988415,0.0265857,0.0304856,0.0297925,0.0241332,0.0456481,0.0416559,0.0496788,0.0265771,0.0258549,0.0471996,0.039335,0.0183081,0.0135781,0.00988188,0.0270094,0.0413718,0,0,0,0,0,0,0,0,0,0.0150148,0.00526987,0,0
142,0.0486824,0.0314296,0,0,0,0,0,0,0.031155,0.0173949,0.0251518,0.0646525,0,0,0.020236,0.026514,0.00796474,0.0386008,0.0243343,0.0161861,0.0533478,0.0318454,0.0139359,0.00807929,0.0183149,0.04012,0.0267703,0.0271347,0.0235419,0.0176214,0.029738,0.0235476,0.0202091,0.0428852,0.0123552,0.0419692,0.121153,0.0421055,0,0,0.0254,0,0.0124322,0.0168554,0.0549959,0.0649953,0.0244516,0.0999562,0.0267031,0.0304438,0.0302157,0.0242447,0.0458192,0.042487,0.0498486,0.0258549,0.0256021,0.0472495,0.0391679,0.0180619,0.0135343,0.00985899,0.0268753,0.0410782,0,0,0,0,0,0,0,0,0,0.0127675,0.00515289,0,0
143,0.0486528,0.0313345,0,0,0,0,0,0,0.0323246,0.0174667,0.0264571,0.0655317,0,0,0.01999,0.0263802,0.00775588,0.0378666,0.0273293,0.0155113,0.0534418,0.0318489,0.0133877,0.00893048,0.0169896,0.0401526,0.0257785,0.0266143,0.0234416,0.0182846,0.0311667,0.0234601,0.0201577,0.0412328,0.0124186,0.0415008,0.121581,0.0420965,0,0,0.0255232,0,0.0125095,0.0168073,0.0551566,0.0644907,0.0242232,0.100919,0.0267893,0.0304271,0.0306112,0.0242859,0.0460606,0.0433465,0.0496753,0.0251411,0.0253541,0.0469841,0.0389424,0.0179797,0.0135986,0.00985062,0.026757,0.0409344,0,0,0,0,0,0,0,0,0,0.0108229,0.00500098,0,0
144,0.0486881,0.0312715,0,0,0,0,0,0,0.0325035,0.0175478,0.0274117,0.0665421,0,0,0.0197726,0.026225,0.00752585,0.0371619,0.0301419,0.015001,0.053402,0.0318286,0.0124426,0.010033,0.0157085,0.040125,0.0248722,0.0260498,0.0232943,0.0186764,0.0312548,0.0233706,0.0200896,0.0393536,0.012495,0.04072,0.121854,0.0421418,0,0,0.0256689,0,0.0125995,0.0168633,0.0553446,0.0638652,0.0239814,0.101718,0.0268407,0.0304029,0.0310272,0.0243056,0.04635,0.044143,0.049215,0.0244222,0.0250606,0.0464206,0.0386735,0.0180105,0.0136901,0.00986371,0.0266859,0.040952,0,0,0,0,0,0,0,0,0,0.00901912,0.00486912,0,0
145,0.0488326,0.0311962,0,0,0,0,0,0,0.0318845,0.0176343,0.0281129,0.0676908,0,0,0.0195314,0.0260347,0.00723806,0.0365171,0.0327091,0.0146155,0.0532497,0.0317675,0.0116197,0.0114734,0.0145552,0.0400944,0.024091,0.025444,0.0231322,0.0188516,0.0304148,0.0232478,0.0200202,0.0375917,0.0125636,0.0398088,0.121965,0.0422459,0,0,0.0258035,0,0.0127042,0.0169095,0.0556734,0.0632224,0.0237292,0.102362,0.0269789,0.0304102,0.0315271,0.0243933,0.0465998,0.044897,0.0486477,0.0237059,0.0247008,0.045757,0.0385572,0.0181371,0.0137367,0.00988526,0.0266462,0.0411302,0,0,0,0,0,0,0,0,0,0.00731847,0.0047467,0,0
146,0.0491009,0.0310781,0,0,0,0,0,0,0.0306204,0.0177146,0.0286599,0.068871,0,0,0.0192852,0.0258282,0.00694796,0.035936,0.0347869,0.0143718,0.0529148,0.0317201,0.0112153,0.0131042,0.0136021,0.0401863,0.0234955,0.0248752,0.0229872,0.0188647,0.0288239,0.0231373,0.0199478,0.0364109,0.0126095,0.0392268,0.121776,0.0424728,0,0,0.0259405,0,0.0127908,0.0169195,0.0560675,0.0629183,0.0236249,0.102951,0.0270973,0.030484,0.0320653,0.0244608,0.0467792,0.0456093,0.0483749,0.0230961,0.0244828,0.0454164,0.0389851,0.0183803,0.0137416,0.00986727,0.0266539,0.0414739,0,0,0,0,0,0,0,0,0,0.00578524,0.00468335,0,0
147,0.0494947,0.0310349,0,0,0,0,0,0,0.0288457,0.0177775,0.0287352,0.0700184,0,0,0.0191139,0.0256385,0.00670455,0.0353429,0.0362742,0.0142343,0.0523604,0.0317884,0.0112469,0.0148126,0.0128226,0.0403618,0.0231432,0.0243692,0.0229177,0.0187026,0.0266795,0.0230607,0.0198738,0.0358522,0.0126289,0.0394109,0.121296,0.0428628,0,0,0.0261421,0,0.0128385,0.0168958,0.0565406,0.0631693,0.0237224,0.103523,0.0269951,0.0306225,0.0326025,0.0244857,0.046757,0.0462584,0.048557,0.0226696,0.0245644,0.0456036,0.0399547,0.0186479,0.0137228,0.00981558,0.0267686,0.0419531,0,0,0,0,0,0,0,0,0,0.00445847,0.00466397,0,0
148,0.049988,0.0311787,0,0,0,0,0,0,0.0268183,0.0178203,0.0282857,0.071012,0,0,0.0189532,0.0255318,0.00646935,0.0346802,0.0372295,0.0141383,0.051689,0.0319293,0.0115468,0.0164707,0.0123176,0.0405977,0.022995,0.0239516,0.022985,0.0183919,0.0243062,0.0229792,0.0198358,0.0357972,0.0126526,0.0398346,0.120533,0.0433504,0,0,0.0263184,0,0.0128932,0.0168811,0.0570247,0.0639096,0.0239352,0.104037,0.0268543,0.0308397,0.0330993,0.0244706,0.0464954,0.0468016,0.049045,0.0224301,0.0248695,0.0461801,0.0411785,0.0189356,0.0137313,0.00979471,0.0269924,0.0424712,0,0,0,0,0,0,0,0,0,0.00346436,0.00460748,0,0
149,0.05049,0.0316745,0,0,0,0,0,0,0.0246183,0.0178177,0.0274272,0.0718159,0,0,0.0188467,0.025592,0.00629452,0.0338993,0.0376991,0.0140399,0.0510303,0.0320922,0.0120274,0.0181874,0.0121532,0.0407952,0.0229387,0.0235788,0.0232172,0.0179598,0.0222407,0.0229149,0.0198366,0.0359027,0.0126555,0.0401338,0.119747,0.0438883,0,0,0.0263795,0,0.0129218,0.0169014,0.0571347,0.0647029,0.0241616,0.10458,0.0266707,0.0311291,0.0336186,0.0242355,0.0463094,0.047317,0.0495577,0.022249,0.0251662,0.0468379,0.0424676,0.019252,0.0136452,0.00975841,0.0273107,0.0429715,0,0,0,0,0,0,0,0,0,0.00307553,0.00452078,0,0
150,0.0508157,0.032532,0,0,0,0,0,0,0.022474,0.0178173,0.0263273,0.0723829,0,0,0.0186987,0.0256263,0.00616979,0.0331929,0.0376831,0.0139275,0.0505216,0.0321834,0.0126904,0.0198193,0.011832,0.0409259,0.0229679,0.0232401,0.0235301,0.0174361,0.0205728,0.0227771,0.0198459,0.0358365,0.0126462,0.040387,0.119008,0.0442877,0,0,0.0264843,0,0.0129063,0.0169539,0.0569508,0.0651225,0.0244224,0.105011,0.0266572,0.0313521,0.0340338,0.02389,0.0462295,0.0476894,0.0499157,0.022054,0.0254139,0.047278,0.0436067,0.0194589,0.0135262,0.00974368,0.0275514,0.0433117,0,0,0,0,0,0,0,0,0,0.00331875,0.00448823,0,0
151,0.0510711,0.0330241,0,0,0,0,0,0,0.02048,0.0178042,0.0252474,0.0726662,0,0,0.018492,0.0256366,0.00613101,0.0326898,0.0372548,0.0138227,0.0501016,0.032199,0.0132627,0.0210653,0.0112616,0.0410068,0.0230522,0.0229858,0.0239018,0.0169018,0.0196456,0.0225645,0.0198505,0.0353393,0.0126619,0.0402226,0.118284,0.0446337,0,0,0.0266487,0,0.0129372,0.0169699,0.0567356,0.0650892,0.0246948,0.105215,0.0267618,0.031543,0.0343904,0.0237339,0.0462138,0.0478554,0.0499545,0.0218267,0.0255679,0.0473584,0.0441832,0.0196437,0.0134079,0.00975772,0.0277158,0.043569,0,0,0,0,0,0,0,0,0,0.00374191,0.00448843,0,0
