Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,RTHII,IMUR_M,IMUR_B
22,0.0442096,0.026793,0,0,0,0.036323,0.016925,0.023868,0.0421819,0,0,0.0366051,0,0.0267143,0.0133075,0.0406582,0.0171399,0.0287439,0.0317208,0.0489125,0.0282739,0.051635,0.0441069,0.047399,0.0480543,0.0225823,0.0205075,0.020339,0.0175563,0.0447881,0.0327271,0.0201917,0.0061074,0.0500536,0.0089256,0.0347422,0.0995261,0.0388006,0,0,0.0162975,0,0.00933292,0.00610906,0.0552969,0.033261,0.0229636,0.0595256,0.0270034,0.0245083,0.0564262,0.0388908,0.0717491,0.0287902,0.00716456,0.0147246,0.0188373,0.0477961,0.0142292,0.00290279,0.00244665,0.0230707,0.0403452,0,0,0,0,0,0,0,0,0,0.0493931,0,0
23,0.0445728,0.0269009,0,0,0,0.0362453,0.016938,0.0239994,0.0413967,0,0,0.0368084,0,0.0266966,0.0132538,0.0403709,0.0166514,0.0291114,0.0317593,0.0491807,0.0284712,0.051349,0.044103,0.0473985,0.0478441,0.0225128,0.0204671,0.0202876,0.0172874,0.044846,0.0328175,0.0201855,0.00616818,0.0504714,0.00885343,0.0341552,0.0991843,0.0390958,0,0,0.0162368,0,0.00925506,0.00621456,0.0552014,0.031293,0.0226199,0.0584546,0.0273485,0.0245098,0.0562464,0.0385085,0.0712826,0.0290068,0.00733939,0.0152651,0.0186597,0.0489761,0.0139317,0.00296524,0.00246463,0.0233879,0.0407574,0,0,0,0,0,0,0,0,0,0.0481976,0,0
24,0.0446385,0.0270447,0,0,0,0.0361157,0.0170004,0.023941,0.0406655,0,0,0.0370182,0,0.0267199,0.0133167,0.0399738,0.0160346,0.0293881,0.0317246,0.0492329,0.0286039,0.0509338,0.0438527,0.0472923,0.047501,0.0224674,0.0204804,0.0202694,0.0170229,0.0450327,0.0329521,0.0201914,0.00620122,0.0339372,0.00882407,0.0218072,0.0983352,0.0391665,0,0,0.0162876,0,0.00919578,0.00619847,0.0553364,0.0325727,0.0225916,0.061603,0.0273903,0.0244134,0.0565269,0.0398321,0.0722179,0.0346941,0,0.0205807,0.0269291,0.0352667,0.0138656,0.00299662,0.00246134,0.0235567,0.0409629,0,0,0,0,0,0,0,0,0,0.0503582,0,0
25,0.0451577,0.0275937,0,0,0,0.0362524,0.0170351,0.0237525,0.0395306,0,0,0.0372864,0,0.0267142,0.013444,0.0400994,0.0156049,0.0296819,0.03166,0.0489458,0.0290182,0.0506033,0.0436581,0.0471362,0.0473109,0.022376,0.0204097,0.0202839,0.0168566,0.0452185,0.0332403,0.0202148,0.00623617,0.0512602,0.00877351,0.0327217,0.097057,0.0396851,0,0,0.0162294,0,0.00916011,0.00622291,0.0554798,0.0274634,0.0227528,0.05862,0.0279387,0.024735,0.0561327,0.0375982,0.0698939,0.0286794,0.00787355,0.0159231,0.0182509,0.0504433,0.0140457,0.00298262,0.00244653,0.0237759,0.0415316,0,0,0,0,0,0,0,0,0,0.045252,0,0
26,0.04529,0.0277041,0,0,0,0.0359404,0.017117,0.0235463,0.0390824,0,0,0.0373489,0,0.0266044,0.01342,0.0398736,0.0153023,0.0296346,0.0316555,0.0489337,0.0290777,0.0502724,0.0435802,0.0470145,0.046942,0.0223221,0.0203979,0.020322,0.0166499,0.0448618,0.0333129,0.020184,0.00620093,0.0515163,0.00880066,0.0322559,0.096155,0.0398113,0,0,0.0161865,0,0.00915653,0.00618977,0.0555957,0.0253101,0.0227794,0.0582657,0.0279713,0.024773,0.0563503,0.037394,0.0694409,0.02768,0.00796796,0.0156539,0.0174721,0.0510167,0.0140086,0.00298095,0.00244392,0.0237161,0.041711,0,0,0,0,0,0,0,0,0,0.0435749,0,0
27,0.0453743,0.0277308,0,0,0,0.0356435,0.0171814,0.023444,0.0387104,0,0,0.0373299,0,0.0265005,0.013374,0.0395084,0.0154318,0.0296111,0.0317367,0.0489303,0.0292286,0.0499969,0.0435603,0.0469131,0.0465558,0.0222726,0.020398,0.0203434,0.0164508,0.044489,0.0333658,0.0201577,0.00618965,0.0511109,0.00881304,0.0312572,0.095366,0.0398682,0,0,0.0161645,0,0.00914472,0.00625021,0.0556008,0.0230733,0.0228253,0.0573935,0.0280823,0.0247835,0.056766,0.0373757,0.0691631,0.0260474,0.00801363,0.0149815,0.0162922,0.0511196,0.0139344,0.00301425,0.00243373,0.0237035,0.0418299,0,0,0,0,0,0,0,0,0,0.0418621,0,0
28,0.0454137,0.0277283,0,0,0,0.0354821,0.0172561,0.0233472,0.0383811,0,0,0.037297,0,0.0264689,0.0133348,0.0390991,0.0155072,0.0296281,0.031761,0.0489778,0.0293595,0.0497665,0.0435582,0.0468323,0.0461954,0.0222406,0.0204198,0.0203602,0.0162446,0.0443358,0.0334106,0.0201588,0.00614388,0.0505277,0.00879425,0.0293154,0.0946786,0.0398907,0,0,0.0161852,0,0.00914186,0.00619737,0.055605,0.0197495,0.0229364,0.0568947,0.028249,0.0248138,0.0570989,0.0373968,0.0690512,0.0248064,0.00813501,0.0146516,0.0156337,0.0515732,0.0139676,0.00302794,0.00240927,0.0235681,0.0418776,0,0,0,0,0,0,0,0,0,0.0405508,0,0
29,0.0454676,0.0277016,0,0,0,0.0354407,0.0173116,0.0233599,0.0380932,0,0,0.037254,0,0.0264048,0.0133282,0.03876,0.0155806,0.0296319,0.0317598,0.049009,0.0295362,0.0495498,0.0436116,0.0467303,0.0458003,0.022241,0.0204707,0.0203488,0.0160358,0.0443339,0.0334982,0.0201273,0.00607832,0.0497849,0.00879857,0.0271655,0.0941236,0.03988,0,0,0.0162757,0,0.00911928,0.00621734,0.0555636,0.0163093,0.0230987,0.0562519,0.0284668,0.0248681,0.0577073,0.037484,0.0691518,0.02334,0.00869997,0.0143088,0.0149305,0.0519667,0.0140224,0.00301807,0.00238928,0.0232731,0.0419128,0,0,0,0,0,0,0,0,0,0.0392245,0,0
30,0.0455058,0.0275702,0,0,0,0.0355275,0.0173625,0.0234038,0.0378906,0,0,0.0371482,0,0.0263249,0.0133444,0.0384776,0.0157227,0.0296359,0.0316859,0.0489584,0.0297747,0.0493696,0.0437248,0.0465963,0.0453895,0.0222231,0.0204675,0.0203312,0.0158195,0.0444285,0.0336223,0.0200868,0.00605823,0.0490032,0.00883236,0.0251298,0.0936556,0.0397953,0,0,0.0165202,0,0.00909677,0.00635206,0.0553163,0.013355,0.0232602,0.0552688,0.0287111,0.0248922,0.0586165,0.0376598,0.0694649,0.0214031,0.0097112,0.0135208,0.0138876,0.0520981,0.0140122,0.00298065,0.00234692,0.0232039,0.0419048,0,0,0,0,0,0,0,0,0,0.0377573,0,0
31,0.0455538,0.0273662,0,0,0,0.0357136,0.0174368,0.0233951,0.0377732,0,0,0.0370108,0,0.0262607,0.0133578,0.0382517,0.0159319,0.0296815,0.031688,0.0487782,0.0300894,0.0491809,0.0436581,0.0464725,0.044945,0.0222262,0.0204848,0.020366,0.0155982,0.0446102,0.0338518,0.0200771,0.00607464,0.0488369,0.008817,0.0233178,0.0933176,0.0396642,0,0,0.0167835,0,0.00901728,0.00658206,0.0551254,0.00976585,0.0233303,0.0544756,0.0289985,0.0248688,0.0595137,0.0379202,0.0698489,0.0197733,0.0107495,0.0129856,0.0134737,0.0528028,0.0139011,0.00290637,0.00231676,0.0233219,0.0419229,0,0,0,0,0,0,0,0,0,0.036494,0,0
