Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LBHD
28,0.0613362,0.0281863,0,0,0,0,0,0,0.0475771,0.0164328,0.0373685,0.0495057,0,0.0504074,0,0.0297712,0.0165796,0.0275607,0.0531704,0.0212465,0.0423699,0.0355342,0.0389603,0.0341875,0.0371603,0.0232008,0.044276,0.0357199,0.0356216,0.0346792,0.0215227,0.0494606,0.0420915,0.0215643,0.00810565,0.0232745,0.00366502,0.0243288,0.0967777,0.0533157,0,0,0.0401849,0,0.00797441,0.020752,0.0491688,0.021769,0.027837,0.0574343,0.0390214,0.023159,0.023403,0.0198843,0.0215314,0.0239808,0.0271366,0.036562,0.0243747,0.027866,0.0310467,0.0360046,0.00980887,0.00697668,0.0198036,0.057733,0,0,0,0,0,0,0,0,0
29,0.0605914,0.0279401,0,0,0,0,0,0,0.0469171,0.0165175,0.0373345,0.0489371,0,0.0500653,0,0.0297242,0.0165606,0.02774,0.0542199,0.0210882,0.0428256,0.0355132,0.0382905,0.0342123,0.0374336,0.0232952,0.0440915,0.0362922,0.0362103,0.0349644,0.0214686,0.0491126,0.0416632,0.0215335,0.00801879,0.0229055,0.00377982,0.0242524,0.0962813,0.0526923,0,0,0.040067,0,0.0080058,0.0207812,0.0490425,0.0207018,0.0277157,0.0573958,0.0392296,0.0229602,0.0233114,0.019384,0.0217204,0.0236793,0.0267772,0.03599,0.0238518,0.0274276,0.0302935,0.0359789,0.00971895,0.00686131,0.0197467,0.0571899,0,0,0,0,0,0,0,0,0
30,0.0597497,0.0276691,0,0,0,0,0,0,0.0462639,0.0165618,0.0374531,0.0483288,0,0.049835,0,0.0295422,0.0164206,0.0279471,0.0549218,0.0209243,0.043266,0.0355551,0.0375619,0.0342142,0.0376779,0.0233332,0.0439568,0.0368819,0.0368291,0.0352271,0.0213891,0.0489143,0.041244,0.0214483,0.00791799,0.0235454,0.00389072,0.0244615,0.09577,0.0519981,0,0,0.0397482,0,0.00804012,0.0207649,0.0491408,0.0206786,0.0274905,0.0572754,0.0393873,0.0227286,0.022957,0.0189409,0.0222515,0.0229279,0.0254899,0.0345054,0.0225292,0.0258475,0.0307675,0.0358677,0.00956277,0.00673187,0.0196516,0.0565992,0,0,0,0,0,0,0,0,0
31,0.0589365,0.027454,0,0,0,0,0,0,0.0455898,0.0165953,0.0376321,0.0478125,0,0.0495155,0,0.0295024,0.0162034,0.0282941,0.0553746,0.0207653,0.0437281,0.0357929,0.0369213,0.0341849,0.0378204,0.0233299,0.0438031,0.0375032,0.0374689,0.0354997,0.021268,0.0488176,0.0408404,0.0214274,0.0078302,0.0246838,0.00396217,0.0249872,0.0953685,0.051262,0,0,0.0398497,0,0.00807149,0.0207105,0.0494099,0.0219516,0.0272154,0.0571508,0.0394487,0.0224968,0.0222521,0.0185063,0.0231805,0.0220309,0.0235735,0.0323965,0.0207073,0.0237719,0.0317073,0.0357256,0.00944936,0.00663311,0.019483,0.0560178,0,0,0,0,0,0,0,0,0
32,0.0582773,0.0274429,0,0,0,0,0,0,0.0450225,0.0166002,0.037636,0.0474054,0,0.04921,0,0.0296562,0.0162645,0.0286753,0.0557053,0.0207144,0.0442485,0.0360882,0.0364782,0.0341162,0.0378695,0.0232945,0.0436073,0.0381256,0.0381616,0.0357777,0.0210994,0.0488341,0.0404656,0.0214846,0.00777372,0.0258957,0.00395685,0.0255946,0.0951421,0.0506,0,0,0.0400404,0,0.00807054,0.0207645,0.0496902,0.0238489,0.027043,0.0571144,0.0393939,0.0223711,0.0211113,0.0182241,0.0246093,0.0209856,0.021389,0.0301019,0.0187016,0.0214599,0.0327911,0.035795,0.00942373,0.00662965,0.0194098,0.0555046,0,0,0,0,0,0,0,0,0
33,0.0577698,0.0276256,0,0,0,0,0,0,0.0443742,0.0165561,0.0376358,0.0470751,0,0.0490592,0,0.0298677,0.0165931,0.0289584,0.0558676,0.0207716,0.0448476,0.0362109,0.0362124,0.0340411,0.0378723,0.0233001,0.0433584,0.0387623,0.0388465,0.036047,0.0209151,0.0487225,0.0402765,0.0215473,0.00781321,0.0270966,0.00389912,0.0262035,0.0950804,0.0500811,0,0,0.0403254,0,0.00805216,0.0210687,0.049999,0.0258428,0.0271123,0.0570995,0.0392779,0.022451,0.0196835,0.0183449,0.0262778,0.0197403,0.0190426,0.0280659,0.0167963,0.0189713,0.0341535,0.0360631,0.00943541,0.00669003,0.0196153,0.055111,0,0,0,0,0,0,0,0,0
34,0.057058,0.027601,0,0,0,0,0,0,0.0435495,0.0165249,0.037758,0.0469765,0,0.0488097,0,0.0300254,0.0169281,0.0292124,0.0559193,0.0208234,0.0455275,0.0364902,0.0358779,0.0339325,0.0379819,0.0232481,0.0430005,0.0394858,0.0395788,0.0362921,0.0207289,0.0484926,0.0399333,0.0215769,0.00784378,0.0286503,0.00389782,0.0266264,0.0952425,0.0494664,0,0,0.0404505,0,0.00801556,0.0214413,0.0500121,0.0278802,0.0271284,0.0565304,0.0391611,0.0224176,0.0183214,0.0186319,0.0277755,0.0184238,0.0162891,0.0266233,0.0151849,0.0160518,0.0365123,0.0361568,0.0093802,0.00671238,0.0197907,0.0546084,0,0,0,0,0,0,0,0,0
35,0.0561521,0.0273656,0,0,0,0,0,0,0.0425251,0.0165284,0.0378912,0.0470892,0,0.0485452,0,0.0301789,0.0170516,0.0293442,0.0557599,0.0207916,0.0463023,0.0369033,0.0354903,0.0338089,0.0382621,0.023205,0.0425382,0.0402627,0.0403724,0.0364982,0.0204925,0.0480602,0.0394183,0.021591,0.00780275,0.03054,0.00393153,0.0273187,0.0957029,0.0487906,0,0,0.0404196,0,0.00794867,0.0216478,0.0496984,0.0298539,0.0272099,0.055017,0.039052,0.0223217,0.0173514,0.0188285,0.0288573,0.0172045,0.0136786,0.0259214,0.0141258,0.0133081,0.0396559,0.0361422,0.00926138,0.00667991,0.0199059,0.0540107,0,0,0,0,0,0,0,0,0
36,0.0552505,0.0273139,0,0,0,0,0,0,0.0414098,0.0165191,0.0379149,0.0470425,0,0.0486969,0,0.0303219,0.0170693,0.0295933,0.0552755,0.0208664,0.0470138,0.0369444,0.0352568,0.0336667,0.0385561,0.0232428,0.0420149,0.0410197,0.0411094,0.0366177,0.0201444,0.047421,0.0391099,0.0216252,0.00781549,0.0326794,0.00395812,0.0276023,0.0959012,0.0482214,0,0,0.0405789,0,0.00788784,0.0217365,0.0491188,0.0312652,0.0275206,0.0528888,0.0391727,0.0223734,0.0167721,0.018845,0.029692,0.0158121,0.0120608,0.0256869,0.0135221,0.011601,0.0431444,0.0363099,0.00915105,0.00666835,0.0201943,0.0534468,0,0,0,0,0,0,0,0,0
37,0.0546114,0.027546,0,0,0,0,0,0,0.0401313,0.0164504,0.0377787,0.0467908,0,0.0491135,0,0.0305736,0.0171091,0.0299997,0.054389,0.021136,0.0476042,0.0365632,0.0354169,0.0335155,0.0388584,0.0233489,0.0414712,0.0417454,0.0417471,0.036642,0.0196403,0.0467225,0.0391855,0.0217189,0.0079409,0.0347517,0.00391112,0.0271475,0.0957173,0.0478975,0,0,0.0410081,0,0.00788568,0.021902,0.0484061,0.0318796,0.028148,0.0510966,0.0395303,0.0226855,0.0166001,0.0188494,0.0304663,0.0145171,0.0115775,0.0254571,0.0130815,0.0109098,0.0465318,0.0368527,0.00911286,0.00671094,0.0207025,0.0530643,0,0,0,0,0,0,0,0,0
