Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,IMUL_M,RTHIA,RASI,,x74
1752,0.0430946,0,0,0,0,0.0470329,0,0,0,0,0,0.0514944,0,0.0223576,0.022299,0,0,0.016252,0,0,0.0536036,0.0533668,0.0329411,0.0213526,0.0134442,0.0437533,0.0301411,0.0369304,0.0369346,0.0373499,0.037249,0.0306353,0.0347405,0.0197277,0.0239453,0.0186324,0.0440186,0.0361223,0.0135863,0.0168114,0,0.0279859,0.0455265,0,0,0.0221744,0,0,0.0274213,0.0412412,0.0483751,0.0243515,0.0241303,0.0434419,0.0490828,0.0563456,0.0525082,0.0429675,0.0673389,0.0495759,0.0508227,0.0752279,0.0367521,0.0409132,0.0228755,0.015757,0.045936,0.0654666,0,0,0,0,0.0713963,0.0470063,0,0
1753,0.0433729,0,0,0,0,0.0469953,0,0,0,0,0,0.050151,0,0.0228718,0.0226099,0,0,0.0161969,0,0,0.0534835,0.0522563,0.0321876,0.0206763,0.0140814,0.0431586,0.0298131,0.0373642,0.0367928,0.0364757,0.0372285,0.0311919,0.0347144,0.0201197,0.0240912,0.0171358,0.0440972,0.0362711,0.0136858,0.0186835,0,0.0274493,0.0454889,0,0,0.0220749,0,0,0.0272916,0.0432906,0.0457523,0.0246916,0.0244738,0.0433477,0.0490773,0,0.0553893,0.0472944,0.0658855,0.0479172,0.0501834,0.0744312,0.0312838,0.0410564,0.0226373,0.015622,0.0462546,0.0646846,0,0,0,0,0.0760318,0.0455337,0,0
1754,0.0431714,0,0,0,0,0.0469652,0,0,0,0,0,0.0511662,0,0.0235077,0.0236957,0,0,0.0161575,0,0,0.0536583,0.0522434,0.0318429,0.0206651,0.0142091,0.0443004,0.0306332,0.0373033,0.0362754,0.0369614,0.0384521,0.0310808,0.0346478,0.0198685,0.0243131,0.0161534,0.0436197,0.036313,0.0136361,0.0194223,0,0.0272864,0.0452237,0,0,0.0221248,0,0,0.0273126,0.0426135,0.0476505,0.0238575,0.0235097,0.0446162,0.0490586,0.0570486,0.0535386,0.0439612,0.0683634,0.0506251,0.0520767,0.0759053,0.0342627,0.0408623,0.0223942,0.0155192,0.0461258,0.0652107,0,0,0,0,0.0726942,0.0461568,0,0
1755,0.0430975,0,0,0,0,0.0470138,0,0,0,0,0,0.0496413,0,0.0238512,0.0240001,0,0,0.0160933,0,0,0.0537423,0.0517619,0.0318907,0.0205208,0.0144307,0.0446936,0.0308172,0.0372165,0.0360427,0.0368084,0.0387,0.0311199,0.0349475,0.0198198,0.0244815,0.0155235,0.0433665,0.0363705,0.0137005,0.0210511,0,0.0268181,0.0451738,0,0,0.0222881,0,0,0.0273051,0.0429941,0.0472719,0.0238395,0.0232029,0.0452427,0.049172,0.0569608,0.0541938,0.0441982,0.0695423,0.0509401,0.0525603,0.0760713,0.0325789,0.0405877,0.0222484,0.0154129,0.0462836,0.0651808,0,0,0,0,0.0731166,0.0457352,0,0
1756,0.043156,0,0,0,0,0.0471786,0,0,0,0,0,0.0455964,0,0.0242139,0.0235346,0,0,0.016048,0,0,0.0537355,0.0506623,0.0322458,0.0201517,0.0147437,0.0444251,0.0303912,0.0372451,0.0361956,0.0359935,0.037874,0.0315354,0.0354822,0.0200448,0.0244154,0.0158153,0.0433286,0.0365448,0.0138414,0.0244387,0,0.0262745,0.0453663,0,0,0.0225356,0,0,0.0274086,0.0446379,0.0443046,0.0242426,0.0233944,0.0452222,0.0494103,0,0.0570894,0.0481007,0.0685022,0.049101,0.051534,0.07481,0.0254301,0.0405444,0.0221304,0.0153449,0.0466674,0.0645371,0,0,0,0,0.0774436,0.0440462,0,0
1757,0.0427826,0,0,0,0,0.0473931,0,0,0,0,0,0.0441194,0,0.0246687,0.0238785,0,0,0.0161574,0,0,0.0539642,0.0505409,0.0329222,0.0200346,0.0146464,0.0458666,0.0310995,0.0370943,0.0360198,0.0363259,0.0383339,0.0313341,0.0355404,0.0196685,0.0244312,0.0161439,0.0427866,0.03662,0.0138296,0.0263691,0,0.0261945,0.0453705,0,0,0.0229818,0,0,0.0276901,0.0433123,0.0453222,0.023651,0.0224528,0.0464463,0.0497661,0.055727,0.0548523,0.0444254,0.0704835,0.051634,0.0531267,0.0758802,0.0267148,0.0402983,0.0220186,0.0153292,0.0465596,0.0652481,0,0,0,0,0.0734254,0.0448572,0,0
1758,0.0425837,0,0,0,0,0.0476558,0,0,0,0,0,0.0413834,0,0.0249597,0.0237654,0,0,0.0161811,0,0,0.0541021,0.0501034,0.032737,0.0197237,0.0145144,0.0465504,0.031281,0.0371976,0.0362306,0.0361717,0.0380352,0.0311349,0.0356076,0.0192827,0.0242447,0.0168649,0.0425013,0.0366461,0.0138605,0.029993,0,0.0259818,0.0455446,0,0,0.0234019,0,0,0.0278474,0.0429664,0.0437409,0.0235849,0.0220829,0.0469121,0.0503241,0.0547534,0.0549745,0.0442068,0.0695293,0.0517562,0.0531743,0.0761532,0.0231384,0.0399452,0.0218919,0.0152535,0.0466385,0.0654078,0,0,0,0,0.0730817,0.0446423,0,0
1759,0.0424016,0,0,0,0,0.0479383,0,0,0,0,0,0.0387883,0,0.0253022,0.0237877,0,0,0.0161144,0,0,0.0542001,0.0500156,0.0327991,0.0194691,0.0143182,0.047185,0.0313468,0.0373683,0.0367704,0.0361004,0.0377273,0.0310319,0.0358615,0.0188954,0.0239813,0.0182338,0.042281,0.0366315,0.0139081,0.0344451,0,0.0258964,0.0457546,0,0,0.0238022,0,0,0.0280365,0.0423816,0.0419313,0.0235052,0.0217318,0.0473118,0.0509625,0.0536512,0.0550803,0.0435862,0.0689146,0.0517718,0.0528614,0.0767933,0.018655,0.0395533,0.0217259,0.0152225,0.0467069,0.0656825,0,0,0,0,0.0725743,0.0444134,0,0
1760,0.0422575,0,0,0,0,0.0481566,0,0,0,0,0,0.0363736,0,0.025716,0.0238545,0,0,0.016005,0,0,0.0542412,0.0502017,0.0330985,0.0193934,0.0142283,0.0476868,0.0312617,0.0373399,0.0374437,0.0359698,0.0373504,0.0309971,0.0365519,0.0186846,0.02362,0.0201137,0.0421539,0.0366572,0.0139689,0.0395221,0,0.0260419,0.0460064,0,0,0.024174,0,0,0.028254,0.0418059,0.0403132,0.0234202,0.0214784,0.0476541,0.0517011,0.0523035,0.0550753,0.0424674,0.0688325,0.0516595,0.0523485,0.0771597,0.013342,0.0392561,0.0215278,0.0152475,0.046757,0.066027,0,0,0,0,0.0716979,0.0439961,0,0
1761,0.0421992,0,0,0,0,0.0482644,0,0,0,0,0,0.0341527,0,0.0259623,0.0238266,0,0,0.0160472,0,0,0.054307,0.0505211,0.0331359,0.0193454,0.0141007,0.0481593,0.0311229,0.0368007,0.0378716,0.0359073,0.036968,0.0308875,0.0368084,0.0185403,0.0232007,0.0219181,0.0420347,0.0367014,0.0140191,0.0448294,0,0.026449,0.0462958,0,0,0.0244297,0,0,0.0283839,0.0413304,0.039003,0.0234155,0.0214825,0.0479535,0.0524904,0.0507404,0.0548657,0.0411127,0.0685355,0.0513606,0.0520104,0.077173,0.00832242,0.0390017,0.0213057,0.0152377,0.0467511,0.0659351,0,0,0,0,0.0702626,0.0435694,0,0
1762,0.0426237,0,0,0,0,0.0477424,0,0,0,0,0,0.0322148,0,0.0260927,0.0233716,0,0,0.0134314,0,0,0.0408228,0.0506366,0.0330392,0.0189914,0.0138333,0.0489356,0.0296001,0.0367382,0.0382451,0.0358449,0.0365014,0.0307927,0.0366653,0.0184704,0.0227831,0.0235208,0.0415998,0,0.0200967,0.0491773,0,0.0272871,0.0470235,0,0,0.0246226,0,0,0.0282921,0.0408784,0.038,0.0233706,0.021566,0.048548,0.0533603,0.0491678,0.0545247,0.0396206,0.068252,0.0507663,0.0517445,0.0764385,0.00615064,0.0387436,0.0209009,0.0152324,0.0461624,0.0659277,0,0,0,0,0.0691406,0.0427739,0,0
1763,0.0420001,0,0,0,0,0.0485047,0,0,0,0,0,0.0306803,0,0.0262235,0.0229826,0,0,0.0161578,0,0,0.054248,0.0507568,0.0331303,0.0189335,0.0136914,0.0494247,0.0307706,0.0371981,0.038763,0.0358306,0.0361353,0.0306057,0.0363035,0.0183448,0.0224253,0.0251103,0.041878,0.0365048,0.014158,0.0510179,0,0.0277375,0.0468374,0,0,0.0248408,0,0,0.0283528,0.040358,0.0374047,0.0229013,0.0213954,0.0485122,0.0541377,0.0477026,0.0540515,0.0381602,0.0677845,0.0496597,0.0514968,0.0756134,0.00687218,0.0383812,0.0205324,0.0153032,0.0466423,0.0660348,0,0,0,0,0.0684634,0.0421448,0,0
1764,0.0419933,0,0,0,0,0.0484954,0,0,0,0,0,0.029223,0,0.0265367,0.0231365,0,0,0.0158738,0,0,0.0542169,0.0505406,0.0332664,0.0188612,0.0136559,0.0500066,0.0307716,0.0372978,0.0390306,0.0359075,0.0356524,0.0305664,0.0362373,0.0182523,0.0221401,0.0267931,0.0417187,0.036648,0.0140274,0.0506035,0,0.0277345,0.0469745,0,0,0.0248775,0,0,0.0283531,0.0400104,0.037918,0.0224878,0.0209408,0.0486936,0.0550432,0.0464911,0.053886,0.0371216,0.0670412,0.0480633,0.050907,0.0746855,0.00749794,0.0381705,0.0203179,0.0153406,0.0466305,0.0665753,0,0,0,0,0.0680661,0.041314,0,0
1765,0.0420051,0,0,0,0,0.0484723,0,0,0,0,0,0.0276708,0,0.026744,0.0236179,0,0,0.0158369,0,0,0.0542123,0.0500388,0.0334662,0.0188896,0.013566,0.0506346,0.0309779,0.037163,0.0392318,0.0359817,0.0351319,0.0306921,0.0363005,0.0182071,0.0219178,0.0283887,0.0415042,0.0365869,0.0139637,0.0493851,0,0.0275314,0.0470408,0,0,0.0248826,0,0,0.0283215,0.0398991,0.0393178,0.0218347,0.0202611,0.0488594,0.055882,0.0458029,0.0538003,0.0361511,0.0664488,0.046509,0.0500926,0.0740197,0.0080773,0.0378707,0.020019,0.0153965,0.0466451,0.066985,0,0,0,0,0.0679108,0.0402127,0,0
1766,0.0419898,0,0,0,0,0.0484352,0,0,0,0,0,0.0263042,0,0.0267871,0.0238787,0,0,0.0158837,0,0,0.054283,0.0493793,0.0334848,0.0188021,0.0134545,0.0511621,0.0312266,0.0369667,0.0394136,0.0360867,0.0346952,0.0307636,0.0363868,0.0180989,0.0217239,0.0298585,0.041244,0.0365211,0.0138701,0.0473418,0,0.0269147,0.0470692,0,0,0.0248495,0,0,0.0282577,0.0400309,0.0411284,0.0210837,0.0195047,0.0491465,0.0565645,0.0454188,0.0538501,0.0351361,0.0659665,0.0452694,0.0494128,0.0736084,0.00818617,0.0376919,0.0197321,0.0154052,0.0466413,0.0673097,0,0,0,0,0.0680296,0.0391456,0,0
1767,0.0419267,0,0,0,0,0.0483772,0,0,0,0,0,0.0250857,0,0.0268316,0.0245123,0,0,0.0159177,0,0,0.0543212,0.0488175,0.0333677,0.0186773,0.0133628,0.0514172,0.0314811,0.0366934,0.0396246,0.0361896,0.0342585,0.0306448,0.0364491,0.018021,0.0215638,0.031227,0.0410068,0.0364901,0.0138085,0.044302,0,0.025807,0.0470889,0,0,0.0247596,0,0,0.0281678,0.0403821,0.0429106,0.0203716,0.0187832,0.0495752,0.0570676,0.0453497,0.0540482,0.034083,0.0656391,0.0444498,0.0489908,0.0734766,0.00832684,0.0375751,0.0194646,0.0153176,0.0466225,0.067595,0,0,0,0,0.0685522,0.038146,0,0
