Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,
1080,0.0499701,0,0,0,0,0.0387679,0,0,0,0,0,0,0.0571948,0,0.0177509,0.0370576,0,0,0.0111766,0,0,0.0406166,0.0362018,0.0271458,0.0167854,0.0182138,0.0376634,0.0260111,0.0356163,0.0384783,0.034783,0.0340887,0.0417938,0.0457541,0.0307238,0.0322126,0.00771302,0.0442115,0,0.0192336,0.029952,0,0.0252494,0.0404581,0.0496244,0,0,0.0212798,0,0,0.0326951,0.0590524,0.0496639,0.0194323,0.0198824,0.0402339,0.0517345,0.0388433,0.0621276,0.0459006,0.0346637,0.0591058,0.0376852,0.0408086,0.0639976,0.0166494,0.035794,0.024766,0.0120097,0.040067,0.078406,0,0,0,0
1081,0.050225,0,0,0,0,0.038314,0,0,0,0,0,0,0.0596264,0,0.0174623,0.0367595,0,0,0.0130288,0,0,0.0409094,0.0367476,0.0272068,0.0167691,0.0177985,0.0375004,0.0265938,0.0353909,0.0383159,0.0352907,0.0342164,0.0418381,0.0457336,0.0308381,0.0326117,0.0063383,0.0426389,0,0.0192429,0.0302988,0,0.0255111,0.0406456,0.0504094,0,0,0.0213585,0,0,0.0326943,0.0589106,0.049098,0.0193692,0.0199963,0.0400979,0.0521118,0.0390594,0.0622552,0.0456896,0.0350712,0.059554,0.0380213,0.0410825,0.0641902,0.0166887,0.0358518,0.0247271,0.0120011,0.0396895,0.0784492,0,0,0,0
1082,0.0498407,0,0,0,0,0.0389234,0,0,0,0,0,0,0.0602936,0,0.0173253,0.0365532,0,0,0.0115509,0,0,0.0406313,0.0372222,0.0272144,0.0166306,0.0171225,0.0378328,0.0260891,0.0350526,0.037979,0.0358633,0.0341548,0.0417898,0.0456715,0.0308721,0.0329196,0.00552374,0.043804,0,0.0194832,0.0303866,0,0.0257775,0.0407276,0.0497835,0,0,0.021661,0,0,0.0328266,0.0587361,0.0486704,0.0194097,0.0199313,0.0402468,0.0521601,0.0393595,0.0625233,0.0457157,0.0355038,0.0598206,0.0382463,0.0412635,0.0643198,0.0167627,0.0355569,0.024715,0.0121107,0.0401715,0.0780975,0,0,0,0
1083,0.0496631,0,0,0,0,0.0391736,0,0,0,0,0,0,0.0603144,0,0.017201,0.036052,0,0,0.0205561,0,0,0.052183,0.0381501,0.0272721,0.0165122,0.0165534,0.0377369,0.028151,0.0348144,0.0376155,0.0365203,0.0344313,0.0417697,0.0457244,0.0308511,0.033182,0.00425934,0.042848,0.0308031,0.010882,0.0300913,0,0.0258387,0.0415753,0.050289,0,0,0.021716,0,0,0.0328758,0.0580862,0.0481338,0.0186798,0.0195878,0.0398606,0.0521717,0.0393383,0.0627522,0.0458048,0.0355676,0.0599529,0.0384511,0.04143,0.0643878,0.0168428,0.0357123,0.0247971,0.0120424,0.0404659,0.0782761,0,0,0,0
1084,0.0496387,0,0,0,0,0.0392182,0,0,0,0,0,0,0.0582297,0,0.0170523,0.0355826,0,0,0.0200888,0,0,0.052242,0.0385002,0.027627,0.0163913,0.0162168,0.0376234,0.0278843,0.0348126,0.0376773,0.0367873,0.0338624,0.0415743,0.0455461,0.030764,0.0330437,0.00482079,0.0429908,0.031134,0.0106048,0.0298767,0,0.0259704,0.0415678,0.0502862,0,0,0.0218284,0,0,0.0328819,0.0574694,0.0478053,0.0188482,0.0196032,0.0395961,0.0523197,0.0398249,0.0631395,0.045801,0.0355422,0.0603591,0.0388254,0.0417191,0.0647354,0.0172021,0.0357349,0.0248305,0.012125,0.0405438,0.0781738,0,0,0,0
1085,0.0495927,0,0,0,0,0.0393005,0,0,0,0,0,0,0.0558948,0,0.0167708,0.0352557,0,0,0.0199961,0,0,0.0522441,0.038844,0.0280223,0.0160549,0.0159866,0.0378041,0.0278719,0.0347253,0.0378816,0.0368957,0.0333342,0.0413006,0.0454143,0.0305828,0.0326441,0.00612435,0.0430115,0.031117,0.0106315,0.0299522,0,0.0261302,0.04188,0.0503297,0,0,0.0219092,0,0,0.0328475,0.0570657,0.0474746,0.0185177,0.0194411,0.0396891,0.0524004,0.0399018,0.0633794,0.045951,0.0356055,0.0605685,0.0389605,0.0418782,0.0649292,0.0173896,0.0357608,0.0248718,0.0122508,0.0404866,0.0782417,0,0,0,0
1086,0.0495507,0,0,0,0,0.0393671,0,0,0,0,0,0,0.053246,0,0.0165957,0.0347942,0,0,0.0199309,0,0,0.0522361,0.0392345,0.0287268,0.0154944,0.0159332,0.0379889,0.0279321,0.0346068,0.0382422,0.0367795,0.0327513,0.0410573,0.0452224,0.030364,0.0322844,0.00849488,0.0430034,0.0311203,0.0107204,0.0298738,0,0.026284,0.0423708,0.0504346,0,0,0.0219993,0,0,0.03295,0.0566087,0.0471763,0.0182789,0.0192202,0.0397551,0.0524778,0.0398882,0.0635551,0.0460744,0.0355187,0.0607262,0.0391198,0.0420633,0.0650514,0.0176167,0.0358143,0.0249973,0.0123211,0.040376,0.0783115,0,0,0,0
1087,0.0494586,0,0,0,0,0.0394334,0,0,0,0,0,0,0.0501419,0,0.0166251,0.0342321,0,0,0.0198564,0,0,0.0522702,0.0396093,0.0295404,0.0147802,0.0161338,0.0382123,0.028014,0.0344735,0.0388335,0.0365863,0.0321978,0.0407751,0.044996,0.0301047,0.0318935,0.0117653,0.0429979,0.0309988,0.0105765,0.0297846,0,0.0263833,0.0429753,0.0505351,0,0,0.0221147,0,0,0.0329475,0.0560853,0.0468662,0.0179926,0.0189758,0.0398141,0.0525295,0.0398276,0.0636713,0.0461839,0.0353707,0.0608308,0.0392221,0.0421747,0.0652799,0.0177723,0.0357532,0.025045,0.0123444,0.0402593,0.078599,0,0,0,0
1088,0.0493699,0,0,0,0,0.0395222,0,0,0,0,0,0,0.0465587,0,0.0167913,0.0336234,0,0,0.0197632,0,0,0.0523155,0.0399601,0.0303076,0.014008,0.0166131,0.0385366,0.0281168,0.0341408,0.0396262,0.0363189,0.0317084,0.0404643,0.0446703,0.0298325,0.0315356,0.0157905,0.0429254,0.0309191,0.0104212,0.0296829,0,0.0264513,0.0436356,0.050566,0,0,0.0221794,0,0,0.0329297,0.0555179,0.0466318,0.0176304,0.0187369,0.0398235,0.0525081,0.0397439,0.0636743,0.0464092,0.0351409,0.0608573,0.0393597,0.0422556,0.065489,0.0177478,0.0357054,0.0250913,0.0123673,0.0401172,0.0789948,0,0,0,0
1089,0.0492544,0,0,0,0,0.0396259,0,0,0,0,0,0,0.043453,0,0.0168197,0.0330359,0,0,0.0197443,0,0,0.0523308,0.0403156,0.0311755,0.0131626,0.0172742,0.038982,0.028261,0.0335756,0.0405788,0.0359493,0.0313028,0.0401703,0.0443263,0.0295245,0.0312221,0.0202039,0.042887,0.0308706,0.0103245,0.0295418,0,0.0264669,0.044243,0.0505887,0,0,0.022213,0,0,0.0331003,0.0548694,0.046273,0.0172172,0.0185256,0.0397901,0.0523951,0.0396758,0.063583,0.0465947,0.0350236,0.0605994,0.0394769,0.0423439,0.0654331,0.0177567,0.0355394,0.025184,0.0122963,0.039984,0.0790687,0,0,0,0
1090,0.04911,0,0,0,0,0.0397188,0,0,0,0,0,0,0.0408035,0,0.0166978,0.032506,0,0,0.0197453,0,0,0.0523106,0.0406099,0.0322348,0.0122531,0.0178636,0.0394244,0.0283897,0.0335819,0.0415591,0.0356094,0.0309884,0.0398023,0.043994,0.0291555,0.0308182,0.0245399,0.0428395,0.0308433,0.0102806,0.029224,0,0.0264814,0.0451075,0.0506269,0,0,0.0223017,0,0,0.0332868,0.0541866,0.0457819,0.0169442,0.0182731,0.0397267,0.0523564,0.0396331,0.0634744,0.0467128,0.0349082,0.0603405,0.0396237,0.0425341,0.065051,0.0178152,0.0354084,0.0253615,0.0122575,0.0398794,0.0791998,0,0,0,0
1091,0.0489378,0,0,0,0,0.0397943,0,0,0,0,0,0,0.037632,0,0.0169661,0.0320745,0,0,0.0196663,0,0,0.0523319,0.0407942,0.0332255,0.0114838,0.018342,0.0398031,0.0284879,0.0334586,0.0424132,0.0355744,0.0305891,0.0395312,0.0436591,0.0288656,0.0301129,0.0290599,0.0428367,0.0308399,0.0102493,0.0292195,0,0.026641,0.0459157,0.050679,0,0,0.0223817,0,0,0.0334263,0.0535796,0.045353,0.016766,0.018196,0.0396605,0.0523816,0.0395455,0.0634127,0.046739,0.0346654,0.0603959,0.0397585,0.0427008,0.0647758,0.0178303,0.0354584,0.0255244,0.0122996,0.039784,0.0793691,0,0,0,0
1092,0.0487431,0,0,0,0,0.0398535,0,0,0,0,0,0,0.0348458,0,0.0172214,0.0316474,0,0,0.0195823,0,0,0.0523879,0.0410462,0.0341488,0.0108257,0.0186986,0.0401714,0.0285836,0.0331767,0.0431447,0.0355872,0.0301814,0.0393135,0.0432623,0.0286368,0.0293785,0.0333225,0.0428471,0.0308593,0.0102321,0.0293007,0,0.0267585,0.046725,0.0507562,0,0,0.0225105,0,0,0.0335323,0.05301,0.045045,0.0166332,0.0181865,0.039605,0.0523903,0.0394516,0.0633033,0.0467556,0.0343805,0.0603963,0.0399401,0.0428673,0.06495,0.017849,0.0355367,0.0255495,0.0122503,0.0397345,0.0794785,0,0,0,0
1093,0.0484907,0,0,0,0,0.0399575,0,0,0,0,0,0,0.0372697,0,0.0167175,0.0304951,0,0,0.0195102,0,0,0.0524944,0.0421932,0.0370869,0.00904625,0.0214215,0.0405373,0.0286883,0.033404,0.0468176,0.0363749,0.0298851,0.0377783,0.0425605,0.0266069,0.0281759,0.0291995,0.0427176,0.030917,0.0102894,0.0294325,0,0.0267809,0.047077,0.0511109,0,0,0.0229499,0,0,0.0336635,0.0521956,0.0445626,0.0169806,0.0181672,0.0399432,0.0529368,0.0393292,0.0631814,0.0466092,0.0338853,0.0606806,0.0403103,0.0431731,0.0654947,0.0178476,0.035304,0.0255335,0.0122268,0.0396219,0.0800376,0,0,0,0
1094,0.0482931,0,0,0,0,0.0400534,0,0,0,0,0,0,0.0314182,0,0.0173859,0.0308478,0,0,0.0194538,0,0,0.0525056,0.041659,0.0358726,0.00967166,0.019376,0.0408383,0.028636,0.0335114,0.0442361,0.0357351,0.0293266,0.0387588,0.04246,0.0281508,0.0282621,0.0406959,0.0428461,0.0310114,0.0103705,0.0297526,0,0.0270566,0.0478886,0.05084,0,0,0.0229243,0,0,0.0336038,0.0518933,0.044476,0.016694,0.0183601,0.0395147,0.0523122,0.0393459,0.0630373,0.0468234,0.0339191,0.060739,0.0403044,0.0431578,0.06551,0.017824,0.0353005,0.025613,0.0123152,0.0397678,0.07949,0,0,0,0
1095,0.0480242,0,0,0,0,0.0401642,0,0,0,0,0,0,0.0298825,0,0.0175379,0.0305574,0,0,0.0193646,0,0,0.0526249,0.042007,0.0366106,0.00931488,0.0196179,0.0410649,0.0287363,0.033373,0.0444127,0.03593,0.0288782,0.0385346,0.0421031,0.0279356,0.0276913,0.0441047,0.0428039,0.0309505,0.0102661,0.0299046,0,0.0272824,0.048459,0.0508963,0,0,0.0229996,0,0,0.0337763,0.0515168,0.0440756,0.0167441,0.018378,0.0395728,0.0523819,0.0392362,0.0627694,0.046795,0.033869,0.0611445,0.0403591,0.043192,0.0655556,0.0176633,0.0349293,0.0257196,0.0122803,0.0398727,0.0794888,0,0,0,0
