Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LWRA,IMUL_M,x78,x81,x80
130,0,0.0355904,0,0,0,0,0.0530144,0,0,0,0,0,0.0383476,0,0.0346829,0.0335898,0,0,0.0184518,0,0,0.0486546,0,0.034687,0.0260119,0.0230485,0.0347688,0.0334772,0.0356358,0.0312531,0.0448903,0.0444368,0.0415795,0.0456085,0.0282781,0.0338584,0.0227527,0.0531161,0.0117527,0.0242489,0,0.0241096,0,0.0403496,0,0,0.00826373,0,0,0.0242661,0.0429867,0.044089,0.0234657,0.0149314,0.0247631,0.0393672,0.0429573,0.0678859,0.0536761,0.031503,0.0606977,0.0413945,0.0472921,0.0695816,0.0212243,0.0485017,0.0111097,0.0109512,0.060486,0.0596304,0,0,0,0,0.0208694,0,0,0,0
131,0,0.0357114,0,0,0,0,0.052765,0,0,0,0,0,0.036867,0,0.0346262,0.0359648,0,0,0.0185903,0,0,0.048068,0.0463476,0.0356253,0.0248857,0.0211859,0.0329422,0.0332361,0.0323373,0.0311504,0.0447477,0.0426391,0.0412376,0.0455154,0.0281081,0.0334042,0.0247106,0.0535051,0.0127703,0.0248841,0,0.0242571,0,0.0410709,0,0,0.00780553,0,0,0.0242605,0.0469409,0.0432753,0.0218334,0.0165975,0.0262235,0.0407951,0.0424465,0.0656744,0.0525384,0.0331531,0.0614833,0.042312,0.0479741,0.0698644,0.0198457,0.048253,0.0111903,0.011194,0.0602906,0.0602558,0,0,0,0,0.0202607,0,0,0,0
132,0,0.0360071,0,0,0,0,0.0526131,0,0,0,0,0,0.0384666,0,0.0349005,0.0341043,0,0,0.0177016,0,0,0.0483695,0,0.0348373,0.0265872,0.0231482,0.0342528,0.0346337,0.0351896,0.031066,0.044974,0.0449036,0.0416645,0.045656,0.0283206,0.0339754,0.0227772,0.0534447,0.0132497,0.0241597,0,0.0238675,0,0.0405181,0,0,0.00731639,0,0,0.0242215,0.0433836,0.0438574,0.023546,0.0149861,0.0244969,0.040108,0.0427827,0.0677003,0.0533555,0.0314357,0.0607873,0.0415751,0.0474668,0.0695153,0.0209305,0.0483343,0.0120219,0.0118596,0.0603053,0.0603048,0,0,0,0,0.0195929,0,0,0,0
133,0,0.036299,0,0,0,0,0.0522712,0,0,0,0,0,0.037452,0,0.0346066,0.0365428,0,0,0.0177407,0,0,0.0480617,0.0475444,0.0351603,0.026233,0.0212656,0.0322357,0.0343985,0.0324437,0.0311289,0.044495,0.042827,0.0413222,0.0456002,0.0281749,0.0336405,0.0237939,0.054142,0.0142681,0.0247989,0,0.0241715,0,0.0411647,0,0,0.00709745,0,0,0.0241677,0.0471997,0.0431526,0.0223207,0.0166794,0.0258833,0.0414426,0.0423885,0.0655579,0.0523116,0.0332397,0.0615606,0.0424477,0.0480647,0.0698638,0.0195614,0.0480789,0.0118909,0.0123899,0.0599851,0.0607992,0,0,0,0,0.0200886,0,0,0,0
134,0,0.0367306,0,0,0,0,0.0519964,0,0,0,0,0,0.0375265,0,0.0344995,0.0367856,0,0,0.0170612,0,0,0.0484168,0.0473609,0.0352134,0.0260802,0.0210308,0.0318863,0.0349734,0.03218,0.030934,0.0445403,0.0430052,0.0413437,0.0457047,0.0281981,0.0336569,0.0238328,0.0545055,0.0150615,0.0249436,0,0.0242241,0,0.0411287,0,0,0.00693174,0,0,0.0242464,0.0471763,0.0432157,0.0226821,0.0167534,0.0257435,0.0418608,0.0423158,0.0655189,0.0522455,0.0332901,0.0615767,0.0424702,0.0480295,0.069853,0.0194706,0.0478606,0.0121274,0.0132006,0.0596027,0.061081,0,0,0,0,0.0200355,0,0,0,0
135,0,0.0368987,0,0,0,0,0.0518238,0,0,0,0,0,0.0377154,0,0.0344063,0.0367831,0,0,0.0162103,0,0,0.0490034,0.0478161,0.0352454,0.0265669,0.0210429,0.0317246,0.0350415,0.0324907,0.0308563,0.0443812,0.0429504,0.0412981,0.045714,0.0281291,0.0335391,0.0239106,0.0547919,0.0157786,0.0252501,0,0.0245557,0,0.041321,0,0,0.00393019,0,0,0.0246218,0.0469942,0.0433749,0.0230225,0.0165339,0.025297,0.0410573,0.0425461,0.0658311,0.0523359,0.0332811,0.0613361,0.0421941,0.0477984,0.0697956,0.0194049,0.0485794,0,0.0168299,0.0591148,0.0609331,0,0,0,0,0.0193059,0,0,0,0
136,0,0.0378792,0,0,0,0,0.0513531,0,0,0,0,0,0.0375296,0,0.0347527,0.0369989,0,0,0.0156132,0,0,0.0493325,0.0484702,0.0353794,0.0256304,0.0212852,0.0311387,0.0355501,0.0315493,0.0303716,0.0447583,0.0435234,0.0416129,0.0460914,0.0284353,0.0337288,0.0244603,0.0556447,0.0164897,0.0252732,0,0.0243716,0,0.0408423,0,0,0.00672458,0,0,0.0245617,0.048159,0.043305,0.0233597,0.0168412,0.0257459,0.0428771,0.0422606,0.065413,0.0521892,0.0334754,0.0615085,0.0424076,0.0479595,0.069759,0.019396,0.0474349,0.0141852,0.0148346,0.0588062,0.0617961,0,0,0,0,0.0189172,0,0,0,0
137,0,0.0381605,0,0,0,0,0.0510747,0,0,0,0,0,0.0377212,0,0.0347258,0.0372264,0,0,0.0151129,0,0,0.0500539,0.0490343,0.035308,0.0258824,0.0215142,0.0311688,0.0353713,0.0321453,0.0308285,0.0445833,0.0436141,0.0415999,0.0460435,0.0283988,0.0336754,0.0245093,0.056024,0.0164251,0.0254387,0,0.0246045,0,0.041048,0,0,0.00478472,0,0,0.0250842,0.0478944,0.0434774,0.0230363,0.0166296,0.0252774,0.0420275,0.0427338,0.065705,0.0524887,0.0334337,0.0613309,0.0421613,0.0477388,0.0696482,0.0192742,0.048236,0,0.0187855,0.058705,0.0615826,0,0,0,0,0.0188581,0,0,0,0
138,0,0.039654,0,0,0,0,0.0504884,0,0,0,0,0,0.0374755,0,0.034804,0.0373957,0,0,0.0147094,0,0,0.0504778,0.0485324,0.0353331,0.0247901,0.0215325,0.0308324,0.0358374,0.0327073,0.0304585,0.0448541,0.0440026,0.0418442,0.0463526,0.0286482,0.0338647,0.0247373,0.0569471,0.0165039,0.0251934,0,0.0244122,0,0.0402306,0,0,0.0065484,0,0,0.0247436,0.0483738,0.0434966,0.0232924,0.0170575,0.0258566,0.0441534,0.0427406,0.0652427,0.0523976,0.0336597,0.0614444,0.0423743,0.0478861,0.069675,0.0192523,0.0465158,0.0165026,0.0177604,0.0584513,0.06252,0,0,0,0,0.0191362,0,0,0,0
139,0,0.0405474,0,0,0,0,0.0499888,0,0,0,0,0,0.0375402,0,0.0348968,0.0369458,0,0,0.0137015,0,0,0.0519418,0.0488829,0.0354174,0.0235388,0.0212503,0.0266986,0.0324877,0.0338523,0.0310989,0.0445994,0.0434614,0.0414443,0.045914,0.0283192,0.0335856,0.0242699,0.0585436,0.0137168,0.0240703,0,0.0242153,0,0.0407047,0,0,0.00838627,0,0,0.0197047,0.0462582,0.0443704,0,0.0163727,0.0241115,0.0434024,0.0453532,0.0676674,0.0536547,0.0337257,0.0613565,0.0424214,0.0478168,0.0697228,0.0213456,0.0477724,0,0.0187269,0.058916,0.0609994,0,0,0,0,0.0196086,0,0,0,0
