Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LTIBI,,RTHI,RTHII,x74,x80,x78,x82
279,0.0462218,0,0,0,0,0.0443893,0,0,0,0,0,0,0.046743,0.0582073,0.12668,0,0,0.0111736,0,0,0.0445883,0.4884,0.095547,0.102192,0.0488403,0.0961365,0.0290639,0.0951879,0.0901254,0.11501,0.0908528,0.0251616,0.0254793,0.0287925,0.0911784,0.0415162,0,0.0197029,0.0176733,0,0.0212138,0.082518,0.0424572,0,0,0.0326447,0,0,0.0172127,0.0647866,0.0523733,0.00722706,0.0210384,0.0788141,0.0466815,0.0644347,0.0432306,0.0427731,0.0243528,0.0309126,0.0546779,0.0234881,0.0312828,0,0.00966782,0.0440132,0.0694435,0,0,0,0.0235956,0,0.0273111,0.0628033,0,0,0,0
280,0.0458215,0,0,0,0,0.0444657,0,0,0,0,0,0,0.0448999,0.0573769,0.129232,0,0,0.0113036,0,0,0.0447144,0.484072,0.0938635,0.104707,0.0481935,0.097137,0.0296058,0.0965698,0.0891714,0.114343,0.0909599,0.0246403,0.0248589,0.0266434,0.0902889,0.0414238,0,0.0198203,0.0190476,0,0.0220543,0.0824753,0.0424322,0,0,0.0323333,0,0,0.0169548,0.0664565,0.0537567,0.00917131,0.0218419,0.080253,0.0469903,0.0640974,0.0440047,0.0419996,0.0238818,0.0301456,0.0533799,0.0223044,0.0315582,0,0.00963334,0.0440169,0.0698941,0,0,0,0.0214823,0,0.0265083,0.0631726,0,0,0,0
281,0.0454867,0,0,0,0,0.044615,0,0,0,0,0,0,0.0430797,0.0561274,0.132037,0,0,0.0111695,0,0,0.04466,0.480334,0.0916344,0.10725,0.047421,0.0981556,0.0297184,0.0976438,0.0877526,0.113217,0.090575,0.0243967,0.0244019,0.0240133,0.0887363,0.0413803,0,0.020069,0.0209641,0,0.0226842,0.0824007,0.0425363,0,0,0.0318912,0,0,0.0164531,0.0675142,0.055787,0.0113675,0.0225283,0.0814969,0.0472178,0.0638752,0.044777,0.0415432,0.023676,0.0296772,0.0519409,0.0204091,0.0320165,0,0.00970674,0.044075,0.0700502,0,0,0,0.0190573,0,0.025891,0.0634743,0,0,0,0
282,0.0459014,0,0,0,0,0.0443146,0,0,0,0,0,0,0.0416808,0.0555913,0.133752,0,0,0.0106471,0,0,0.0445618,0.478225,0.0901782,0.109257,0.0463552,0.0982385,0.0290743,0.0982346,0.0857671,0.111603,0.089381,0.0237449,0.0236698,0.0216885,0.0880456,0.0414603,0,0.0201361,0.0222988,0,0.0230113,0.0818061,0.0425536,0,0,0.0314673,0,0,0.0161943,0.0673528,0.0571605,0.0136244,0.0229142,0.0813614,0.0466865,0.0640213,0.0452203,0.0417413,0.0239212,0.0300104,0.0513199,0.0190722,0.0323009,0,0.00978902,0.0440312,0.0694355,0,0,0,0.0168793,0,0.0260866,0.0635033,0,0,0,0
283,0.0463618,0,0,0,0,0.0440501,0,0,0,0,0,0,0.0411983,0.0557367,0.135605,0,0,0.0101112,0,0,0.0443822,0.4771,0.0897952,0.110448,0.0452037,0.0976161,0.0283987,0.0985211,0.0838285,0.109969,0.0879384,0.0224297,0.0223408,0.0201998,0.0883593,0.0417407,0,0.0201926,0.0237028,0,0.0235474,0.0809991,0.0423988,0,0,0.0310811,0,0,0.0160744,0.0671487,0.058123,0.0157135,0.0235246,0.0804248,0.0459933,0.0641124,0.0457171,0.0418186,0.0241013,0.0301845,0.0510692,0.0182889,0.0325833,0,0.00988681,0.0440952,0.0685818,0,0,0,0.0153287,0,0.0268116,0.0636852,0,0,0,0
284,0.045865,0,0,0,0,0.0445573,0,0,0,0,0,0,0.0417001,0.0545257,0.13705,0,0,0.00979185,0,0,0.0438978,0.476375,0.0878865,0.112019,0.0438686,0.0977032,0.0283939,0.0984986,0.0820788,0.108197,0.0864595,0.0215713,0.0214423,0.01897,0.0880018,0.0422847,0,0.0209586,0.0261052,0,0.0248591,0.0803942,0.0420154,0,0,0.0306952,0,0,0.0152033,0.0673266,0.0596815,0.0172552,0.0238633,0.0798195,0.0451704,0.0636926,0.0455367,0.0419267,0.0239859,0.0298314,0.0505311,0.0156537,0.03347,0,0.00972994,0.0446423,0.0679708,0,0,0,0.0139246,0,0.0263818,0.0634682,0,0,0,0
285,0.0464409,0,0,0,0,0.0440775,0,0,0,0,0,0,0.0421276,0.0550469,0.138091,0,0,0.00950474,0,0,0.0439252,0.475354,0.0878269,0.11344,0.0423613,0.0979391,0.0278288,0.0989369,0.0804215,0.106538,0.0852338,0.0195832,0.0196377,0.018504,0.0880684,0.0421211,0,0.0209222,0.0272659,0,0.0250132,0.0793768,0.0422202,0,0,0.0301585,0,0,0.0152097,0.0678607,0.0607071,0.0192994,0.024907,0.0796679,0.0444388,0.0628428,0.0462276,0.0425336,0.0247612,0.0305547,0.0502098,0.0152789,0.0335919,0,0.0100974,0.0443875,0.0674425,0,0,0,0.0132385,0,0.0265862,0.0633867,0,0,0,0
286,0.0467467,0,0,0,0,0.0440328,0,0,0,0,0,0,0.0420209,0.0549279,0.138827,0,0,0.00916754,0,0,0.0436828,0.475066,0.087491,0.114529,0.0410637,0.0976987,0.0273662,0.0990725,0.0785813,0.104669,0.0837143,0.0182561,0.0185597,0.0181427,0.088516,0.0424951,0,0.0210283,0.0292383,0,0.0256042,0.0788517,0.041972,0,0,0.0299238,0,0,0.0149548,0.0678183,0.0618178,0.0211671,0.0257517,0.0789045,0.0439604,0.0625092,0.0467074,0.0428904,0.0249608,0.0307771,0.0497633,0.0149347,0.0339149,0,0.010145,0.0446365,0.0666495,0,0,0,0.0125662,0,0.0271095,0.0634895,0,0,0,0
287,0.0472045,0,0,0,0,0.0438002,0,0,0,0,0,0,0.0420509,0.0550644,0.138976,0,0,0.00890033,0,0,0.0435274,0.474883,0.0872441,0.115696,0.0397925,0.0977505,0.026945,0.0994574,0.0766326,0.102858,0.0823791,0.0167768,0.0174287,0.0182296,0.0889616,0.0426474,0,0.0210231,0.0310278,0,0.0260147,0.0782702,0.0417968,0,0,0.0296992,0,0,0.0147818,0.0680061,0.0625568,0.0228918,0.0266397,0.0784725,0.0435409,0.0624846,0.0472088,0.0434016,0.0253415,0.0311803,0.0498154,0.0151365,0.0340569,0,0.0102421,0.0446651,0.066015,0,0,0,0.0124711,0,0.0274089,0.0635033,0,0,0,0
288,0.0475757,0,0,0,0,0.0436538,0,0,0,0,0,0,0.0420473,0.0552368,0.138206,0,0,0.00859274,0,0,0.043265,0.47483,0.0872074,0.116844,0.0385897,0.0979659,0.0265945,0.0997426,0.0747445,0.101105,0.0810324,0.0154395,0.0166005,0.0184607,0.0893157,0.0428275,0,0.0209677,0.0331017,0,0.0265428,0.0777898,0.041671,0,0,0.0294901,0,0,0.0145929,0.0681462,0.0630401,0.0244788,0.0275006,0.0780088,0.0431645,0.0623234,0.0476501,0.0437402,0.0256809,0.0315457,0.050185,0.0155502,0.0341872,0,0.0102613,0.0447143,0.0654123,0,0,0,0.012598,0,0.0276738,0.0634995,0,0,0,0
