Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHIA,RTHII
19,0.0485555,0,0,0,0,0.0502091,0,0,0,0,0,0,0.0369032,0,0.0333762,0.0353742,0,0,0.015335,0,0,0.0471391,0.0469606,0.0351678,0.0219145,0.0193107,0.0327735,0.03883,0.0335533,0.0349939,0.0427047,0.0378729,0.0347118,0.0383191,0.022283,0.0285628,0.0236799,0.0588403,0.0129094,0.0207549,0.0350124,0,0.0305105,0,0.0394727,0,0,0.00669017,0,0,0.0224894,0.0474935,0.0469847,0.0287719,0.0236184,0.0321221,0.0543448,0.0490478,0.0398615,0.0512341,0.0323477,0.0389378,0.0614314,0.0108711,0.046262,0.0210695,0.0188441,0.0606457,0.0637055,0,0,0,0,0
20,0.0488423,0,0,0,0,0.0500572,0,0,0,0,0,0,0.036147,0,0.0334912,0.035046,0,0,0.0162503,0,0,0.0465678,0.0472745,0.0347248,0.0222321,0.0198638,0.0304045,0.0376243,0.0343486,0.0356708,0.0417954,0.0366911,0.0347031,0.0383102,0.022349,0.0281533,0.0244797,0.0594249,0.0132841,0.0211199,0.036193,0,0.0301735,0,0.0399031,0,0,0.00672623,0,0,0.0224878,0.0462117,0.0468405,0.0327688,0.0246918,0.0310558,0.0548652,0,0.0420464,0.0507429,0.0321225,0.0387222,0.0607739,0.0088743,0.0463775,0.0208335,0.0185605,0.0613737,0.0623584,0,0,0,0,0
21,0.0487204,0,0,0,0,0.0500683,0,0,0,0,0,0,0.0372154,0,0.0333369,0.0351425,0,0,0.0156087,0,0,0.0469324,0.047966,0.0347341,0.0220692,0.0203019,0.0327622,0.0386787,0.0341316,0.0351574,0.0424324,0.0377326,0.0346443,0.0382648,0.0220908,0.0281953,0.0232119,0.0590364,0.0127958,0.0210043,0.0354086,0,0.0308727,0,0.0395673,0,0,0.006724,0,0,0.0224733,0.0474391,0.0473058,0.0289747,0.0235851,0.0319462,0.0543426,0.049243,0.0395453,0.0517357,0.0333058,0.0393272,0.0614993,0.0103769,0.046311,0.0210315,0.0186786,0.0610379,0.0634526,0,0,0,0,0
22,0.0489742,0,0,0,0,0.0499444,0,0,0,0,0,0,0.036416,0,0.0334602,0.0349317,0,0,0.0165684,0,0,0.0463185,0.04741,0.0344956,0.0223213,0.020485,0.0304012,0.0375226,0.0348026,0.0356643,0.0417564,0.0367266,0.0345236,0.038137,0.0221076,0.0278201,0.0242032,0.0593712,0.0133248,0.021266,0.0366025,0,0.0305522,0,0.0400614,0,0,0.00667452,0,0,0.0224967,0.0461613,0.0472302,0.0328589,0.0244699,0.0308937,0.054923,0,0.0418021,0.0511635,0.0329513,0.0389597,0.060724,0.00841528,0.0465651,0.0208099,0.0183897,0.0616829,0.0622526,0,0,0,0,0
23,0.0491675,0,0,0,0,0.0491875,0,0,0,0,0,0,0.03646,0,0.0332463,0.0311967,0,0,0.0167616,0,0,0.0461241,0,0.0312235,0.0231238,0.0224892,0.0350003,0.0383949,0.0369478,0.034894,0.039481,0.0371387,0.0363975,0.0399864,0.0238432,0.0286546,0.0233484,0.0600984,0.0136804,0.0215457,0.0367117,0,0.0296049,0.0532198,0.0391472,0,0,0.00833101,0,0,0.0234936,0.0457205,0.0431157,0.026397,0.0227216,0.0325833,0.0517192,0,0.0396377,0.0544727,0.0353318,0.04179,0.0640575,0.00733444,0.0477449,0.0225057,0.0200504,0.0597741,0.0632154,0,0,0,0,0
24,0.0477036,0,0,0,0,0.0503573,0,0,0,0,0,0,0.0351509,0,0.0327468,0.0346578,0,0,0.0165216,0,0,0.0464146,0.0428646,0.0331503,0.0226322,0.0206517,0.0340895,0.0366793,0.0341311,0.035072,0.0395916,0.0345348,0.0353647,0.0393731,0.0227679,0.0273645,0.0255266,0.060456,0.0140588,0.0214342,0.0382731,0,0.0310707,0.0507099,0.0396282,0,0,0.00776143,0,0,0.0234043,0.0497862,0.0433014,0.0251832,0.0242576,0.0342329,0.0525527,0,0.041397,0.0549262,0.0357669,0.0418537,0.0642211,0.00708777,0.0477095,0.0223297,0.0198323,0.0605418,0.0631688,0,0,0,0,0
25,0.0479401,0,0,0,0,0.0502145,0,0,0,0,0,0,0.0347701,0,0.0329086,0.0336256,0,0,0.0176861,0,0,0.0458892,0.0426912,0.0330614,0.0207817,0.0210211,0.031638,0.0350814,0.0345278,0.0349092,0.0392423,0.0345316,0.0354567,0.0395745,0.0229034,0.0272283,0.0260362,0.0610565,0.0148193,0.0217458,0.0374727,0,0.0309363,0.0541664,0.0403845,0,0,0.00744679,0,0,0.0229572,0.0484786,0.0440744,0,0.0246634,0.0340649,0.0537296,0,0.0424923,0.0537972,0.0345441,0.0409738,0.0634269,0.00766472,0.0476612,0.0218922,0.019527,0.0611017,0.0620463,0,0,0,0,0
26,0.0481815,0,0,0,0,0.0498411,0,0,0,0,0,0,0.0351399,0,0.0328872,0.0345821,0,0,0.0169104,0,0,0.0461269,0.0423692,0.0329932,0.0224364,0.0206584,0.0341372,0.0366396,0.0341504,0.0349673,0.0394887,0.0346094,0.0350188,0.0392615,0.0227102,0.0273278,0.025478,0.0602706,0.014151,0.0215199,0.0379259,0,0.0310736,0.0511595,0.0399116,0,0,0.0078634,0,0,0.0233722,0.0498842,0.0435007,0.0254199,0.0244652,0.034414,0.0526446,0,0.0411795,0.0554688,0.035804,0.0422235,0.0645435,0.00669707,0.0477548,0.022075,0.01971,0.0602612,0.0633381,0,0,0,0,0
27,0.0481653,0,0,0,0,0.0499364,0,0,0,0,0,0,0.035265,0,0.0327047,0.0345815,0,0,0.0166316,0,0,0.0462997,0.0423982,0.0330565,0.0229367,0.0210354,0.033857,0.0366559,0.0348103,0.0351986,0.0391195,0.0345026,0.0348627,0.0391957,0.0225186,0.027029,0.0256474,0.0602794,0.0138539,0.0212919,0.0385482,0,0.0316622,0.0515787,0.039795,0,0,0.00757605,0,0,0.0238033,0.0494685,0.0438247,0.0257702,0.0242642,0.0339117,0.0525641,0,0.0412083,0.0552824,0.0356093,0.0419251,0.0642957,0.00718702,0.0475819,0.0219507,0.0194778,0.0605373,0.0630338,0,0,0,0,0
28,0.0484622,0,0,0,0,0.0495014,0,0,0,0,0,0,0.0352201,0,0.0329426,0.0345414,0,0,0.0169071,0,0,0.0459342,0.0420429,0.0328609,0.0226379,0.0208049,0.0339748,0.0367365,0.034519,0.0349543,0.0392107,0.0346644,0.0348258,0.039189,0.0226848,0.0272879,0.0255205,0.0601015,0.0138283,0.0215216,0.038084,0,0.0312641,0.0515734,0.0400252,0,0,0.00784797,0,0,0.0235052,0.0497025,0.0436329,0.0254615,0.0243608,0.0342222,0.0526934,0,0.0412209,0.0556055,0.0363342,0.0422679,0.0644471,0.00687759,0.047533,0.0217573,0.0194963,0.0602006,0.0632025,0,0,0,0,0
