Timestep,C7,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,CBL,IMUL_M,R5HD
25,0.0578611,0,0,0,0.038033,0,0,0,0,0,0.0255737,0,0.0269449,0.0344888,0,0,0.0230215,0,0,0.0536731,0.0391724,0.0307418,0.025552,0.0116838,0.0474101,0.0354597,0,0.0419899,0.0409676,0.0265848,0.0301794,0.0361805,0.0161665,0.0198365,0.0272672,0.0375185,0.025587,0.0106566,0.025098,0.019518,0.0393963,0.0443697,0,0,0.050882,0,0,0.0246823,0.0508547,0.0607532,0.0185609,0.0151539,0.0461862,0.0564675,0.0446988,0.0735001,0.0611065,0.0320104,0.0591948,0.0419969,0.0454406,0.0719205,0.0595913,0.0328535,0.0361761,0.0198708,0.0464506,0.0643337,0,0,0,0,0,0,0
26,0.0579814,0,0,0,0.0379517,0,0,0,0,0,0.0260965,0,0.0269305,0.0342816,0,0,0.0229327,0,0,0.053734,0.0389632,0.0306064,0.0255191,0.0116362,0.0473199,0.0356749,0,0.0418076,0.040878,0.026844,0.0301149,0.0362963,0.0162435,0.0199716,0.0268575,0.0373353,0.025473,0.0104305,0.0231673,0.0202342,0.0394513,0.044383,0,0,0.0508081,0,0,0.0247275,0.0505389,0.0599435,0.0184426,0.0148437,0.045821,0.0561294,0.0446568,0.0732106,0.060755,0.0326268,0.0585725,0.0413876,0.0452042,0.0708549,0.0538318,0.0325494,0.0360197,0.0197555,0.0463665,0.0643712,0,0,0,0,0,0,0
27,0.0588727,0,0,0,0.0378246,0,0,0,0,0,0.0259474,0,0.0271175,0.033881,0,0,0.0229564,0,0,0.0533398,0.0397449,0.0312665,0.0249456,0.0112317,0.0455092,0.0329088,0,0.0427369,0.0410948,0.0263815,0.0295106,0.0356982,0.0154009,0.0198395,0.0277104,0.0381801,0.0258291,0.0106967,0.0207112,0.0202806,0.0426273,0.0449758,0,0,0.050611,0,0,0.0246075,0.0491588,0.0564293,0.0237352,0.0136045,0.0454532,0.0559157,0,0.0817555,0,0.0384975,0.0549161,0.0360613,0.0425209,0.0681429,0.0398229,0.0324002,0.0359869,0.0195866,0.0467758,0.0624082,0,0,0,0,0,0,0
28,0.0579856,0,0,0,0.037767,0,0,0,0,0,0.0266874,0,0.0270247,0.0335773,0,0,0.0228353,0,0,0.053661,0.0395859,0.0302728,0.0253957,0.0117488,0.0470067,0.0362101,0,0.0417117,0.0406423,0.0272499,0.0300284,0.0364815,0.0159419,0.0201444,0.0264004,0.0378213,0.025697,0.0107126,0.0222555,0.0213472,0.0396817,0.0444987,0,0,0.0507394,0,0,0.0248146,0.0500615,0.0574632,0.0184746,0.0144836,0.0451847,0.055531,0.0440359,0.072585,0.0600912,0.0341117,0.0577393,0.0400304,0.0449386,0.0690585,0.0412807,0.0320823,0.0357166,0.0196953,0.046159,0.0643919,0,0,0,0,0,0,0
29,0.0578758,0,0,0,0.0376928,0,0,0,0,0,0.0269267,0,0.0270418,0.0332938,0,0,0.0227907,0,0,0.0536619,0.04016,0.0302369,0.0253641,0.0118711,0.046843,0.036467,0,0.0416714,0.0405855,0.0273353,0.0300831,0.0365856,0.0155936,0.0202121,0.0261421,0.0377735,0.0256814,0.0105256,0.0229134,0.0218953,0.039774,0.0445854,0,0,0.0507934,0,0,0.0249249,0.0498975,0.056371,0.0184408,0.0145383,0.0448974,0.0551449,0.0438247,0.0721247,0.0596577,0.0348071,0.0576052,0.039571,0.0448923,0.068544,0.0355199,0.032134,0.0355401,0.0198436,0.0459502,0.0643458,0,0,0,0,0,0,0
30,0.0577833,0,0,0,0.03768,0,0,0,0,0,0.0270716,0,0.0270929,0.0330856,0,0,0.022794,0,0,0.0537003,0.0403811,0.0303076,0.025391,0.0119868,0.0466969,0.0366744,0,0.0415401,0.0405056,0.0276041,0.0301215,0.0367087,0.0156289,0.0202688,0.0260694,0.0377889,0.0257169,0.0103334,0.0241867,0.0224687,0.0398924,0.0446913,0,0,0.0508676,0,0,0.0250819,0.0497452,0.0556892,0.0185145,0.0145517,0.0446597,0.0547588,0.0437569,0.0716206,0.0593232,0.035453,0.0576307,0.0393774,0.0450273,0.0684256,0.0311956,0.0321694,0.0354811,0.0199664,0.045718,0.0643598,0,0,0,0,0,0,0
31,0.0577181,0,0,0,0.0376169,0,0,0,0,0,0.0272769,0,0.0271457,0.0329303,0,0,0.0228365,0,0,0.0537252,0.0404669,0.030443,0.0253589,0.0120569,0.046579,0.036738,0,0.0413787,0.0404385,0.0278545,0.0301206,0.0368599,0.0161249,0.0202597,0.0260333,0.0379331,0.0258361,0.0102824,0.0258561,0.0230624,0.0400033,0.0448033,0,0,0.0509291,0,0,0.0252065,0.0495483,0.0550102,0.0186888,0.0145385,0.0444426,0.0544338,0.043688,0.0710253,0.0590244,0.0358918,0.0577037,0.0393256,0.0452596,0.0683749,0.0280751,0.0321505,0.0354353,0.0200469,0.0457724,0.0642971,0,0,0,0,0,0,0
32,0.0576616,0,0,0,0.0375899,0,0,0,0,0,0.0273809,0,0.0271934,0.0326013,0,0,0.0228598,0,0,0.0537805,0.0406015,0.0305552,0.0253799,0.0121131,0.046484,0.0367255,0,0.0413317,0.0404309,0.0280005,0.0302514,0.0369767,0.0164837,0.0203158,0.0261111,0.0381964,0.0260316,0.01049,0.0269232,0.0235534,0.0402092,0.0449,0,0,0.0508607,0,0,0.0253926,0.0493837,0.0537943,0.01899,0.014706,0.0441505,0.0541273,0.0434566,0.0704665,0.0588335,0.0360914,0.0577764,0.0393812,0.0454918,0.068324,0.0257673,0.0321774,0.0354683,0.0201372,0.0458275,0.0641825,0,0,0,0,0,0,0
33,0.0576071,0,0,0,0.0376148,0,0,0,0,0,0.0273764,0,0.0271958,0.0322565,0,0,0.0227336,0,0,0.0537516,0.0408275,0.030608,0.0254722,0.0121386,0.0463351,0.0366975,0,0.0413218,0.0403906,0.0280809,0.0302609,0.0369691,0.0165758,0.0203846,0.0263079,0.0382427,0.0261878,0.0107692,0.0260035,0.0238742,0.040425,0.0449628,0,0,0.0506096,0,0,0.0256163,0.0492224,0.0521136,0.0193873,0.0151526,0.0437954,0.0539051,0.0430443,0.0699505,0.0587591,0.0361172,0.0577951,0.0393375,0.0454412,0.0681817,0.0248441,0.0322756,0.0354607,0.0202797,0.045849,0.0642006,0,0,0,0,0,0,0
34,0.0575776,0,0,0,0.0376585,0,0,0,0,0,0.0271289,0,0.0271812,0.0318192,0,0,0.0225926,0,0,0.0537192,0.0409193,0.0306186,0.0256576,0.0122238,0.0460783,0.0366063,0,0.0412995,0.0402691,0.0280352,0.0303956,0.0369889,0.01633,0.0205102,0.026819,0.038279,0.0262467,0.0109076,0.0237852,0.0240364,0.0405773,0.0450105,0,0,0.0503804,0,0,0.0256643,0.0490728,0.0501519,0.0196588,0.0157187,0.0434398,0.0537981,0.0425076,0.0694188,0.0585399,0.0360506,0.0575468,0.0387692,0.0446521,0.0677359,0.0258468,0.0321863,0.0353968,0.0203646,0.0458215,0.0642539,0,0,0,0,0,0,0
