Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LASI,,RASI
592,0.0378879,0,0,0,0,0.0530719,0,0,0,0,0,0,0.0276954,0,0.0328189,0,0,0.0127888,0,0,0.0082712,0.0437351,0.034982,0,0.0171745,0.0368943,0.0305221,0.042832,0.0412919,0.0356287,0.0272703,0.0366603,0.0407495,0.0247653,0.0272837,0.0361157,0.044727,0,0.0283674,0,0.0310431,0.0417012,0,0,0.0125858,0,0,0.0272039,0.0592713,0.0446488,0.0151445,0.0272498,0.0287619,0.0354681,0.044619,0.0568218,0.050202,0.0444655,0.0590243,0.0404091,0.0450438,0.06745,0.0174541,0.0507918,0.0261135,0.00852481,0.0612714,0.0581229,0,0,0,0,0.0620253,0,0.0452867
593,0.0376957,0,0,0,0,0.0531161,0,0,0,0,0,0,0.0294305,0,0.0301487,0,0,0.0121414,0,0,0.0092315,0.0434811,0.0392869,0,0.0197539,0.0366404,0.0307218,0.0433145,0.0409326,0.0348909,0.0271263,0.0367248,0.0414729,0.0233038,0.0243702,0.0421441,0.0448973,0,0.0289593,0,0.0311988,0.0418666,0,0,0.0123237,0,0,0.0290093,0.0592023,0.0443578,0.0154529,0.0270281,0.029298,0.0360571,0.0447845,0.0571257,0.0503395,0.0446257,0.0588358,0.0400474,0.0449111,0.0674144,0.0164888,0.0506219,0.0219826,0,0.0609301,0.0582223,0,0,0,0,0.0626891,0,0.0450494
594,0.0373756,0,0,0,0,0.0534712,0,0,0,0,0,0,0.0294254,0,0.0301904,0,0,0.0119808,0,0,0.00917512,0.0434427,0.0390172,0,0.0197522,0.0365432,0.0309482,0.0427912,0.0410522,0.0348896,0.0267808,0.0367395,0.0413938,0.0233003,0.0242698,0.0424371,0.0448643,0,0.0290289,0,0.031127,0.0416921,0,0,0.0121419,0,0,0.026858,0.0592189,0.0442139,0.0155296,0.026927,0.0293966,0.0363677,0.0447538,0.057189,0.0506117,0.0446576,0.058846,0.0400147,0.0449062,0.0674857,0.0162872,0.0505,0.0243287,0.00627813,0.0609936,0.0581146,0,0,0,0,0.0627138,0,0.0449429
595,0.0372185,0,0,0,0,0.0536465,0,0,0,0,0,0,0.0293506,0,0.0301501,0,0,0.0118718,0,0,0.00913519,0.0433563,0.0388884,0,0.0196607,0.0365951,0.031002,0.0435159,0.0411257,0.03492,0.0266412,0.0366453,0.0412849,0.0233062,0.0242964,0.0426209,0.0448978,0,0.0292722,0,0.0310701,0.041558,0,0,0.012003,0,0,0.0275732,0.059175,0.0440054,0.0155884,0.0267776,0.0295725,0.0368873,0.0446722,0.0572107,0.0506932,0.0445439,0.0588467,0.039937,0.0448882,0.0674806,0.0160239,0.050283,0.0208914,0,0.0613378,0.0580595,0,0,0,0,0.0628151,0,0.0447722
596,0.037454,0,0,0,0,0.0539465,0,0,0,0,0,0,0.0281744,0,0.0319359,0,0,0.0121989,0,0,0.0083406,0.0473615,0.0324753,0,0.0193266,0.0385001,0.031396,0,0.043474,0.0339863,0.0273244,0.0373334,0.0409801,0.0251476,0.0276494,0.0341269,0.044878,0,0.0281489,0,0.0301555,0.0407705,0,0,0.0113771,0,0,0.0262715,0.057778,0.0436912,0.0151597,0.0261714,0.0282526,0.0363304,0.0445293,0.0576622,0.0504153,0.0435206,0.059415,0.0406013,0.0454359,0.0677806,0.0174751,0.0506869,0.0207159,0.00470378,0.0622119,0.0571565,0,0,0,0,0.0592208,0,0.0444573
597,0.0368814,0,0,0,0,0.0543531,0,0,0,0,0,0,0.0275008,0,0.0329392,0,0,0.0122073,0,0,0.00813513,0.0440813,0.0348665,0,0.0171611,0.0370284,0.0313822,0.0417524,0.0418415,0.0356216,0.0265676,0.0366846,0.0406116,0.0249186,0.0271759,0.0366623,0.0449657,0,0.0290647,0,0.0305981,0.0409085,0,0,0.0113641,0,0,0.025989,0.0590898,0.0438135,0.0152575,0.0266673,0.0293413,0.0374587,0.0442896,0.0569817,0.0504189,0.0442471,0.059087,0.0402645,0.0450302,0.0673407,0.0167869,0.0503081,0.0192601,0.00360088,0.0623117,0.0578562,0,0,0,0,0.0621347,0,0.0445953
598,0.0367455,0,0,0,0,0.0546125,0,0,0,0,0,0,0.0274035,0,0.0329523,0,0,0.0122395,0,0,0.00798727,0.04399,0.0351502,0,0.0171839,0.0370551,0.0316582,0.0402544,0.0418409,0.0356067,0.0266168,0.036737,0.0407078,0.025017,0.0271772,0.0366949,0.0450138,0,0.0290157,0,0.0305059,0.0407437,0,0,0.011002,0,0,0.0257321,0.0590627,0.0437876,0.0151747,0.0265123,0.0293605,0.0378972,0.0442382,0.0569952,0.0504508,0.0441384,0.058939,0.0401318,0.0448755,0.0673261,0.0168591,0.0502543,0.0175989,0.0030222,0.0625054,0.0578381,0,0,0,0,0.0620837,0,0.0445958
599,0.0366024,0,0,0,0,0.0548733,0,0,0,0,0,0,0.0274685,0,0.0329729,0,0,0.0122513,0,0,0.00768472,0.0440559,0.0354604,0,0.0172108,0.0369913,0.0318183,0.0423699,0.0419445,0.0355163,0.026594,0.0366179,0.0407906,0.0247804,0.0271582,0.0367779,0.0448406,0,0.0293323,0,0.0306719,0.0405673,0,0,0.010698,0,0,0.0244639,0.0590072,0.0438513,0.0151802,0.0262789,0.0292271,0.0382641,0.044284,0.0572259,0.0505482,0.0440323,0.0587462,0.0399171,0.0446662,0.0673439,0.0167,0.0500737,0.0182212,0,0.0625965,0.057819,0,0,0,0,0.0620418,0,0.0445307
600,0.0364995,0,0,0,0,0.0549964,0,0,0,0,0,0,0.0272091,0,0.0331628,0,0,0.011887,0,0,0.007681,0.0436967,0.0354268,0,0.0169629,0.0370058,0.0319719,0.0429449,0.041819,0.0356411,0.0266173,0.03652,0.0408173,0.024683,0.0272651,0.0370406,0.0448102,0,0.0293322,0,0.0304494,0.0404759,0,0,0.010248,0,0,0.0252882,0.0591513,0.0435879,0.0151551,0.0262346,0.0295364,0.0385864,0.0440079,0.057165,0.0504952,0.0439868,0.0588833,0.0400111,0.0447654,0.0673862,0.0165154,0.0503136,0.0144581,0.00418269,0.0624681,0.0579743,0,0,0,0,0.0622754,0,0.0444228
601,0.0366276,0,0,0,0,0.055258,0,0,0,0,0,0,0.0278403,0,0.0321563,0,0,0.011667,0,0,0.00751199,0.0473906,0.0333223,0,0.0193082,0.0384498,0.0320872,0,0.0438185,0.0338622,0.0272928,0.0370991,0.0411863,0.0248546,0.0274032,0.034721,0.0451512,0,0.0292688,0,0.0301274,0.0399091,0,0,0.00942668,0,0,0.0250674,0.0576344,0.0433155,0.014981,0.0253888,0.0283236,0.0379614,0.0442813,0.0581129,0.050407,0.0432129,0.0590636,0.0400906,0.0449213,0.0675129,0.0166418,0.0505776,0.0125103,0.00536901,0.0630096,0.0570202,0,0,0,0,0.0590869,0,0.0440047
