Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHIA,RTHI,RTHII,x74,,x77
25,0.0362025,0,0,0,0,0.0508428,0,0,0,0,0,0,0.0364719,0,0.0328571,0.0311211,0,0,0.0264608,0,0,0.0433973,0.0466557,0.0339086,0.0244609,0.0208228,0.0334826,0.0285079,0.0339517,0.0324208,0.041572,0.0396628,0.0404778,0.0438511,0.0277508,0.0327928,0.0249738,0.0553265,0.0181373,0.00897344,0.0288049,0,0.0286114,0.0544361,0.0410985,0,0,0.0115058,0,0,0.0232683,0.048822,0.0431203,0.0237253,0.0214384,0.0294171,0.0387742,0.0376922,0.0614288,0.0410124,0.0465508,0.0686952,0.0140505,0.0489129,0.0126578,0.00961453,0.0609738,0.0579042,0,0,0,0.0654333,0,0,0,0,0
26,0.0361506,0,0,0,0,0.0507849,0,0,0,0,0,0,0.0364277,0,0.0329555,0.03093,0,0,0.0263413,0,0,0.0436956,0.0468088,0.0338652,0.0247316,0.0207727,0.0338918,0.0284839,0.0340415,0.0324187,0.0415892,0.0396332,0.0403857,0.0437471,0.0274825,0.0327733,0.0249332,0.0552115,0.0182766,0.00947614,0.0287546,0,0.0285837,0.0542044,0.0412617,0,0,0.0119603,0,0,0.0233929,0.0487349,0.0431445,0.0236935,0.0214084,0.0297187,0.0385545,0.0376422,0.0613879,0.041012,0.0465429,0.0686395,0.0140427,0.0489781,0.0125179,0.00977285,0.0607393,0.0577857,0,0,0,0.0654597,0,0,0,0,0
27,0.0361503,0,0,0,0,0.0506995,0,0,0,0,0,0,0.0363696,0,0.0330129,0.030763,0,0,0.0262745,0,0,0.0435805,0.0470866,0.0338101,0.0248448,0.020701,0.0341822,0.028396,0.0341122,0.0323932,0.0415061,0.0395252,0.0402616,0.0435292,0.0274153,0.0327013,0.0248759,0.0550991,0.0187213,0.00958248,0.0286978,0,0.028518,0.0543361,0.0414337,0,0,0.0123739,0,0,0.0235124,0.0485924,0.0430348,0.0237618,0.0213808,0.0299353,0.0383297,0.0376633,0.0614366,0.0410434,0.0465796,0.06869,0.0141244,0.0490725,0.0123621,0.00984248,0.060469,0.0576601,0,0,0,0.0655961,0,0,0,0,0
28,0.0361575,0,0,0,0,0.0506349,0,0,0,0,0,0,0.0362457,0,0.0330232,0.0306432,0,0,0.0261751,0,0,0.0434569,0.0472247,0.0337847,0.0248381,0.0207239,0.0344512,0.0282985,0.0341949,0.0324742,0.0414064,0.0393925,0.0401509,0.0433961,0.0274229,0.0325919,0.0248798,0.0548956,0.0190467,0.00967323,0.0286259,0,0.0284847,0.0545099,0.0416172,0,0,0.0128454,0,0,0.0236017,0.0484106,0.0429917,0.0237272,0.021367,0.0301345,0.0381347,0.037685,0.0614574,0.0410688,0.0465988,0.0687262,0.014195,0.0491588,0.012172,0.00977945,0.0601775,0.057544,0,0,0,0.0656537,0,0,0,0,0
29,0.0361839,0,0,0,0,0.0505802,0,0,0,0,0,0,0.0361314,0,0.0329475,0.030509,0,0,0.0259599,0,0,0.0435973,0.0472343,0.0337259,0.024796,0.0207478,0.0347365,0.0282404,0.0342776,0.0325497,0.0413246,0.0392653,0.0400252,0.0433143,0.0274342,0.0325236,0.0249401,0.054637,0.0190611,0.0101681,0.0285688,0,0.0284521,0.0546751,0.0418549,0,0,0.0133682,0,0,0.0239124,0.0482836,0.042989,0.0236483,0.0213693,0.0303675,0.0379945,0.0376952,0.0614431,0.0410904,0.0466409,0.0687784,0.0141763,0.0492255,0.0120346,0.00967809,0.0599008,0.0574376,0,0,0,0.0655312,0,0,0,0,0
30,0.0362518,0,0,0,0,0.0505289,0,0,0,0,0,0,0.036046,0,0.0329259,0.0303331,0,0,0.0255558,0,0,0.0439368,0.0472995,0.0336393,0.0247985,0.0206984,0.0350238,0.0281076,0.0343806,0.0326279,0.0412389,0.0391818,0.0398706,0.0432053,0.0272778,0.0324176,0.0250002,0.0543284,0.0187954,0.010997,0.0285254,0,0.0284129,0.0543061,0.0421236,0,0,0.0138607,0,0,0.0241943,0.048139,0.0430172,0.0236694,0.021359,0.030569,0.0379,0.0376911,0.0614043,0.0410611,0.0466357,0.0687956,0.0141684,0.0492301,0.0119507,0.00944157,0.0596379,0.0573247,0,0,0,0.0652409,0,0,0,0,0
31,0.036392,0,0,0,0,0.050443,0,0,0,0,0,0,0.0358959,0,0.0330363,0.0301363,0,0,0.0252879,0,0,0.0439011,0.0473521,0.0335873,0.0247883,0.0206374,0.0353282,0.0279395,0.0345054,0.0327667,0.0411893,0.0391026,0.0397563,0.0430421,0.0271238,0.0322725,0.0250396,0.0540725,0.0193925,0.0108278,0.0284611,0,0.0283353,0.0540315,0.0423261,0,0,0.0143528,0,0,0.0244542,0.0480268,0.0430271,0.0236757,0.0213558,0.0308318,0.0378364,0.0377319,0.061383,0.0410289,0.0465807,0.0687853,0.0142163,0.049227,0.0119735,0.00890101,0.0593461,0.0572726,0,0,0,0.0651795,0,0,0,0,0
32,0.0365501,0,0,0,0,0.0503689,0,0,0,0,0,0,0.0357257,0,0.0331194,0.0299573,0,0,0.0249938,0,0,0.043896,0.0473973,0.0336134,0.0247333,0.0207235,0.0356126,0.0277505,0.0346439,0.0330682,0.0411275,0.0390084,0.0396088,0.0428836,0.0271179,0.0321458,0.0251092,0.0539483,0.0202254,0.01056,0.0284439,0,0.0283179,0.0538886,0.0425064,0,0,0.0148005,0,0,0.0247341,0.0479642,0.0429964,0.0236468,0.0213477,0.0310913,0.0377942,0.0376995,0.0613987,0.0410366,0.0466362,0.0687524,0.0142547,0.0492835,0.0123849,0.00789785,0.0590604,0.0572182,0,0,0,0.0654,0,0,0,0,0
33,0.0367242,0,0,0,0,0.0502525,0,0,0,0,0,0,0.0355722,0,0.0331439,0.0299253,0,0,0.024679,0,0,0.0439813,0.0474115,0.0335897,0.0248298,0.0208225,0.035755,0.0275477,0.0348113,0.0332526,0.0409905,0.0388491,0.0394961,0.0427802,0.0271044,0.0320517,0.0252098,0.0539125,0.0210549,0.0105284,0.0284665,0,0.028376,0.0535981,0.0427115,0,0,0.0151726,0,0,0.0248643,0.0479346,0.0430333,0.0236264,0.0213745,0.0312302,0.0378092,0.0376373,0.0613947,0.0410319,0.0469765,0.0687138,0.0142513,0.0493307,0.0127748,0.00662971,0.0587458,0.0571031,0,0,0,0.0657827,0,0,0,0,0
34,0.0369273,0,0,0,0,0.0500893,0,0,0,0,0,0,0.0353642,0,0.0332194,0.0305369,0,0,0.0242777,0,0,0.044212,0.0474419,0.033424,0.025229,0.020976,0.0358331,0.0273402,0.0351239,0.0333654,0.040706,0.0385864,0.0394469,0.0427927,0.0270276,0.0319894,0.0253847,0.0537013,0.0218424,0.0107725,0.0285163,0,0.028402,0.0534499,0.0428991,0,0,0.0154276,0,0,0.0247251,0.0478715,0.0431299,0.0235623,0.0214282,0.0311255,0.0378036,0.0376436,0.0613254,0.0409732,0.0474169,0.068634,0.0143221,0.0493301,0.0132611,0.00531404,0.0584399,0.0569682,0,0,0,0.0659883,0,0,0,0,0
