Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHII,RTHI,x74,
19,0.0476208,0,0,0,0,0.0457986,0,0,0,0,0,0,0.0396139,0,0.032786,0.0398505,0,0,0.0143764,0,0,0.0490966,0,0.0302545,0.027077,0.0181974,0.0256673,0.0351267,0.0309158,0.0333325,0.0415592,0.0366161,0.0387448,0.0431224,0.0269331,0.0314251,0.0174224,0.0580097,0.0137126,0.0148643,0.0275846,0,0.0266938,0.0575217,0.0395655,0,0,0.0122661,0,0,0.0201049,0.0536469,0.0427445,0.0267811,0.0232799,0.0287112,0.0480632,0.064556,0.0411637,0.0548027,0.0367941,0.0429215,0.0652764,0.0147335,0.0458903,0.021526,0.0166639,0.0580815,0.0645166,0,0,0,0,0,0,0
20,0.0472961,0,0,0,0,0.0460224,0,0,0,0,0,0,0.0385221,0,0.0322728,0.0425187,0,0,0.0150927,0,0,0.0486862,0.0406315,0.0310017,0.0282153,0.016845,0.0242133,0.0343253,0.0290803,0.0341023,0.0414207,0.034684,0.0382638,0.0428875,0.0265856,0.0308554,0.0189264,0.0582288,0.0134348,0.0146173,0.0282127,0,0.0270715,0.0556386,0.0398458,0,0,0.0122737,0,0,0.0197226,0.0564826,0.0421397,0.026363,0.0245209,0.0299355,0.0485195,0.0632428,0.0427862,0.0551693,0.0373096,0.0432763,0.0655297,0.014011,0.0455771,0.0209136,0.0159504,0.0586083,0.0644947,0,0,0,0,0,0,0
21,0.0470988,0,0,0,0,0.0461467,0,0,0,0,0,0,0.0382219,0,0.0322381,0.0424306,0,0,0.0151568,0,0,0.0485453,0.0399225,0.0312283,0.0282025,0.0168213,0.0242462,0.0341317,0.0290147,0.0340719,0.0415602,0.0346653,0.038263,0.0428111,0.0265477,0.0308414,0.0193635,0.0583515,0.013402,0.0142848,0.028193,0,0.0269288,0.0557139,0.0397641,0,0,0.0126956,0,0,0.0194917,0.0564253,0.0420521,0.0261889,0.0245919,0.0298899,0.0482285,0.0632364,0.0428576,0.0551999,0.0373488,0.0433118,0.0655527,0.0141209,0.0455694,0.0204752,0.0156266,0.0588506,0.0645186,0,0,0,0,0,0,0
22,0.0470648,0,0,0,0,0.0461485,0,0,0,0,0,0,0.0390206,0,0.0326008,0.03997,0,0,0.0148606,0,0,0.0485744,0,0.0306571,0.0272631,0.0181264,0.0256237,0.0346573,0.0307697,0.0334155,0.0417841,0.0362562,0.0386602,0.0429139,0.0268801,0.0314411,0.0182442,0.0580948,0.013328,0.0139462,0.0274961,0,0.0262949,0.0576238,0.0393307,0,0,0.0134931,0,0,0.019428,0.0536539,0.0424945,0.0261981,0.0235548,0.0285488,0.0471914,0.0644334,0.0414131,0.0548903,0.0370034,0.0431129,0.0651893,0.0149412,0.0459207,0.0201539,0.0155603,0.0588998,0.0645392,0,0,0,0,0,0,0
23,0.0466477,0,0,0,0,0.046379,0,0,0,0,0,0,0.0379467,0,0.032135,0.0426042,0,0,0.0152451,0,0,0.0485053,0.0408802,0.0314288,0.0277112,0.0167556,0.0242254,0.0336896,0.028985,0.0341975,0.0416208,0.0343266,0.0382614,0.0426358,0.0264775,0.0308823,0.0197162,0.0583956,0.0134135,0.0137689,0.0281513,0,0.0267376,0.055582,0.0396358,0,0,0.0136404,0,0,0.0191033,0.05655,0.0419727,0.0263437,0.0247997,0.0298642,0.0474213,0.0632168,0.0430251,0.0552584,0.037446,0.0434079,0.0653567,0.0142053,0.0458114,0.0191913,0.0147844,0.0592367,0.0643465,0,0,0,0,0,0,0
24,0.0463623,0,0,0,0,0.0464925,0,0,0,0,0,0,0.0377693,0,0.0321856,0.0427419,0,0,0.0152871,0,0,0.0485746,0.0410645,0.0315518,0.0278361,0.0166222,0.0242586,0.033504,0.0288561,0.0342347,0.0416598,0.0343083,0.0383441,0.0426193,0.0265295,0.0308634,0.0199667,0.058338,0.0135084,0.0136396,0.0281561,0,0.0266329,0.0554804,0.0395211,0,0,0.0142479,0,0,0.01914,0.056528,0.0418781,0.0264452,0.024862,0.0299032,0.0469104,0.0631814,0.0430702,0.0552609,0.0374821,0.0434318,0.0653318,0.014179,0.0460867,0.0185421,0.0142767,0.0594715,0.0642171,0,0,0,0,0,0,0
25,0.0456449,0,0,0,0,0.0465547,0,0,0,0,0,0,0.037556,0,0.0324134,0.0426581,0,0,0.0152057,0,0,0.0484898,0.0410905,0.031641,0.0280425,0.0163964,0.024721,0.033032,0.0287869,0.0343221,0.0417539,0.0343118,0.0384741,0.0424748,0.026561,0.0308764,0.0201765,0.0582537,0.0136612,0.013396,0.0279308,0,0.0263778,0.0550658,0.0399029,0,0,0.0131514,0,0,0.0174729,0.0564394,0.0416998,0.0262419,0.0248874,0.0300611,0.0453591,0.0631438,0.0430302,0.0553794,0.0376252,0.0435684,0.065402,0.0142557,0.0466479,0,0.0176483,0.05956,0.0638332,0,0,0,0,0,0,0
26,0.0456839,0,0,0,0,0.0467963,0,0,0,0,0,0,0.0374928,0,0.0321814,0.0428142,0,0,0.0150895,0,0,0.0484694,0.040951,0.0316433,0.0276103,0.0165859,0.0244464,0.0330503,0.0286329,0.0342093,0.0416467,0.034422,0.0384979,0.0425338,0.0265752,0.0308834,0.0203615,0.058631,0.0135675,0.0132963,0.0281126,0,0.0264663,0.0553344,0.0393496,0,0,0.0150233,0,0,0.019244,0.0566133,0.0417257,0.0265801,0.0249332,0.0300034,0.0458387,0.0632752,0.0431422,0.0552946,0.0375469,0.0435147,0.0652922,0.0140989,0.0466728,0.0182628,0.0127119,0.0600452,0.0640001,0,0,0,0,0,0,0
27,0.0452933,0,0,0,0,0.0469281,0,0,0,0,0,0,0.0373916,0,0.0319669,0.0431203,0,0,0.0149558,0,0,0.0484966,0.0408925,0.0316503,0.0265972,0.0166195,0.0244806,0.0329634,0.0286519,0.0342485,0.0415263,0.0344366,0.0384747,0.0425848,0.0265021,0.0308743,0.0204959,0.0585172,0.0137679,0.0131352,0.0280567,0,0.0264238,0.0552994,0.0394019,0,0,0.0156658,0,0,0.0188616,0.0568993,0.0417634,0.0265503,0.0249842,0.0299799,0.0452253,0.0633885,0.0432455,0.0552496,0.0375342,0.0434859,0.0652501,0.0140895,0.0469507,0.0171821,0.0121068,0.060304,0.0638603,0,0,0,0,0,0,0
28,0.0448563,0,0,0,0,0.0470801,0,0,0,0,0,0,0.0372722,0,0.0319164,0.043033,0,0,0.0147779,0,0,0.0485135,0.0408377,0.0317407,0.0267681,0.0166773,0.0246281,0.0328618,0.0286584,0.034332,0.0415216,0.0343894,0.0384061,0.0425564,0.0264199,0.0308343,0.0206538,0.0583607,0.0139565,0.0129397,0.0280043,0,0.0263738,0.0551439,0.0393576,0,0,0.0157849,0,0,0.0186111,0.0567062,0.0417819,0.0266351,0.0249917,0.0300218,0.0446369,0.0634093,0.0432631,0.0552295,0.0375567,0.0434508,0.0653511,0.0141665,0.0473878,0.0161261,0.0114159,0.0605246,0.0637199,0,0,0,0,0,0,0
