Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x71,x72,x73,,LTHI,RWRA,RASI,IMUR_B,RTHI,RTHII,x74
19,0.0439225,0,0,0,0,0.0480642,0,0,0,0,0,0.036857,0,0.0323953,0,0,0,0.0161176,0,0,0.0512188,0.0458459,0.0391878,0.0308226,0.0152181,0.023645,0.0350351,0.0428773,0.0436322,0.0375531,0.0360874,0.0390238,0.0244754,0.0324079,0.031394,0.0571762,0.0116344,0.0187593,0.0314672,0,0.0332195,0.0444356,0,0,0.0113998,0,0,0.0248101,0.0549058,0.0522822,0.0290014,0.0283874,0.0249265,0.0429204,0.0665855,0.0433321,0.0573324,0.0406579,0.0422206,0.0624402,0.0135293,0.0532778,0.0143835,0.0601575,0.063194,0,0,0,0,0,0,0,0,0,0,0
20,0.0437333,0,0,0,0,0.0477153,0,0,0,0,0,0.0372289,0,0.0334498,0.0420751,0,0,0.00887185,0,0,0.0529607,0.0480672,0.0374005,0.0261896,0.0176105,0.0253149,0.036606,0.0393872,0.042589,0.0409801,0.0385682,0.041532,0.0261646,0.03317,0.0303346,0.0556973,0.0127969,0.0178501,0.0306403,0,0.0318811,0.0451569,0,0,0.0108764,0,0,0.0245493,0.0515784,0.0505572,0.0299089,0.0265666,0.0253894,0.0432563,0.0670808,0.0410531,0.0582232,0.0411733,0.0431923,0.0635753,0.0138939,0.0530256,0.0140874,0.0591552,0.0642982,0,0,0,0,0,0,0,0,0,0,0
21,0.0436923,0,0,0,0,0.0476163,0,0,0,0,0,0.0373411,0,0.0334454,0.0419215,0,0,0.00917558,0,0,0.0526556,0.047907,0.0371856,0.0260147,0.01763,0.0252893,0.0370774,0.0393375,0.0424821,0.040956,0.0386164,0.0415783,0.0262409,0.0332577,0.0300251,0.0554507,0.0128475,0.0177293,0.0304986,0,0.0317662,0.0453427,0,0,0.0105604,0,0,0.0243876,0.0516503,0.0504946,0.0298964,0.0266358,0.0255239,0.0434503,0.0670298,0.0410985,0.0583206,0.0412325,0.0432347,0.063609,0.0139815,0.0527986,0.0137701,0.0590134,0.0643156,0,0,0,0,0,0,0,0,0,0,0
22,0.0475008,0,0,0,0,0.0458738,0,0,0,0,0,0.0388279,0,0.0311354,0,0,0,0.0101885,0,0,0.052101,0,0.0332178,0.0379447,0.0182399,0.0244901,0.0387053,0.0453306,0.0409997,0.0389022,0.0371696,0.0394829,0.0258071,0.0338114,0.0253003,0.0543517,0.0130589,0.0171028,0.0292819,0,0.0314018,0.0435248,0,0,0.0187961,0,0,0.02373,0.0505371,0.0510654,0.030841,0.0266521,0.0184687,0.0408538,0.0696584,0.0418062,0.0572476,0.040435,0.0425545,0.0629201,0.0149953,0.0557118,0.0175478,0.0597965,0.0618385,0,0,0,0,0,0,0,0,0,0,0
23,0.0453354,0,0,0,0,0.0468655,0,0,0,0,0,0.0373998,0,0.0324839,0,0,0,0.0165148,0,0,0.0509114,0.0474438,0.0389608,0.0300986,0.0156074,0.0236389,0.0354316,0.043001,0.0439064,0.0380678,0.0358856,0.0387248,0.024481,0.0326457,0.0304197,0.0569942,0.0121465,0.017678,0.0311603,0,0.0327844,0.0442963,0,0,0.0138231,0,0,0.0263287,0.054025,0.0518368,0.0298151,0.0282957,0.0246769,0.0418955,0.0672736,0.0432114,0.0572926,0.0404424,0.0421189,0.0623456,0.013377,0.0555184,0.0166248,0.0593985,0.0631399,0,0,0,0,0,0,0,0,0,0,0
24,0.0459578,0,0,0,0,0.0456197,0,0,0,0,0,0.0376286,0,0.03323,0.0425696,0,0,0.0169746,0,0,0.0507963,0.0517622,0.0364105,0.0257642,0.0177106,0.024857,0.0343875,0.0394216,0.0418929,0.0407876,0.0388348,0.0418709,0.0266596,0.0333887,0.0293364,0.057938,0.012551,0.0187714,0.0303097,0,0.0318417,0.044891,0,0,0.0199943,0,0,0.0227119,0.0520364,0.0507471,0.0302615,0.0270143,0.0259408,0.0416772,0.0672699,0.0416614,0.0580247,0.040924,0.0429197,0.0632716,0.01395,0.0553831,0.0167037,0.057582,0.0641551,0,0,0,0,0,0,0,0,0,0,0
25,0.0468776,0,0,0,0,0.0454176,0,0,0,0,0,0.0406582,0,0.0317404,0,0,0,0.0166307,0,0,0.0511555,0,0.0350232,0.0293155,0.0185014,0.0251322,0.0355947,0.0430775,0.0435402,0.0418654,0.0369791,0.0390654,0.0252444,0.0343476,0.0241423,0.057548,0.0122347,0.0199436,0.029942,0,0.0318184,0.0438156,0,0,0.0195216,0,0,0.0230833,0.0500563,0.0517296,0.0312625,0.0265565,0.02255,0.0412733,0.0691394,0.0412103,0.0571015,0.0401712,0.0422505,0.0625175,0.0143576,0.0551629,0.0167468,0.0584055,0.0631046,0,0,0,0,0,0,0,0,0,0,0
26,0.0449948,0,0,0,0,0.046267,0,0,0,0,0,0.0405624,0,0.0316298,0,0,0,0.0164942,0,0,0.0513706,0,0.034894,0.0288772,0.0182064,0.0253671,0.0332824,0.0434185,0.0434838,0.0414526,0.0368239,0.0389762,0.0253153,0.0344406,0.0241877,0.055076,0.0114883,0.0202901,0.0296066,0,0.0316159,0.0467452,0,0,0.022616,0,0,0.0280909,0.0505236,0.0515519,0.0304073,0.0267996,0.0230763,0.0378392,0.0688999,0.0415047,0.0572672,0.0403943,0.042415,0.0626023,0.0144536,0,0.0185371,0.0585843,0.0620418,0,0,0,0,0,0,0,0,0,0,0
27,0.0469507,0,0,0,0,0.0447061,0,0,0,0,0,0.0359638,0,0.0342084,0.128848,0,0,0.0177683,0,0,0.050484,0,0.0242138,0.0439065,0.0261169,0.0249997,0.0313602,0.0380766,0.0283849,0.0430414,0.0485069,0.0521646,0.0358364,0.0372705,0.0262858,0.059226,0.0117592,0.0237951,0.0300687,0,0.0324788,0.0452509,0,0,0.018512,0,0,0.0233122,0.0525102,0.052719,0.0316518,0.0280646,0.0235947,0.0426816,0.0691515,0.0432371,0.0563314,0.0398227,0.0415611,0.0615608,0.0143871,0.0551383,0.0163367,0.057174,0.0632971,0,0,0,0,0,0,0,0,0,0,0
28,0.0467411,0,0,0,0,0.0448348,0,0,0,0,0,0.0356881,0,0.0343503,0.135778,0,0,0.0178681,0,0,0.0504907,0,0.0238854,0.0454298,0.0266846,0.0247305,0.0309892,0.0383661,0.0272459,0.0428409,0.0491368,0.0529103,0.0365285,0.0374159,0.0264057,0.0594425,0.0117226,0.0236259,0.0303686,0,0.0326671,0.0452906,0,0,0.0184576,0,0,0.0233434,0.0531485,0.0527259,0.0318842,0.0283029,0.0238695,0.0427667,0.0690446,0.0436535,0.0561946,0.0397324,0.0414366,0.0614472,0.0140751,0.0550994,0.0162767,0.0569893,0.0631156,0,0,0,0,0,0,0,0,0,0,0
