Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,RTHIA,x76,x80,,x75
19,0.0463454,0,0,0,0,0.0486859,0,0,0,0,0,0,0.0375654,0,0.0327679,0.031635,0,0,0.0142634,0,0,0.0489199,0.0445195,0.0294258,0.0226428,0.0205106,0.0316562,0.039705,0.0316305,0.0309556,0.0389243,0.0381323,0.0413514,0.0450033,0.0289806,0.0323766,0.0207527,0.0575733,0.0170636,0.018482,0.0353679,0,0.0220974,0.0501726,0.0421747,0,0,0.0123374,0,0,0.0246164,0.0456993,0.0383449,0.0192347,0.0141418,0.0302023,0.04861,0.0427631,0.0522025,0.0346024,0.0596872,0.0391346,0.0460408,0.0676751,0.0117662,0.0504373,0.0226266,0.0174653,0.0589814,0.0643772,0,0,0,0,0,0,0,0,0
20,0.046365,0,0,0,0,0.0486405,0,0,0,0,0,0,0.0376232,0,0.0327957,0.0317232,0,0,0.0142697,0,0,0.0489624,0.0443681,0.0294398,0.0229212,0.0205009,0.0317923,0.0398086,0.0315869,0.0305161,0.0389089,0.0380565,0.0414218,0.0449312,0.028931,0.0323473,0.0206732,0.057537,0.0170156,0.0184363,0.03553,0,0.0221132,0.049936,0.0422129,0,0,0.0124066,0,0,0.0245956,0.0457235,0.0382516,0.0207534,0.0142117,0.030289,0.0486286,0.0425942,0.0520603,0.0346649,0.0598211,0.039277,0.0461399,0.0677558,0.0117446,0.0504452,0.0226176,0.0174622,0.0590697,0.0644344,0,0,0,0,0,0,0,0,0
21,0.0463874,0,0,0,0,0.0486328,0,0,0,0,0,0,0.0375954,0,0.0327926,0.0317595,0,0,0.0142997,0,0,0.0489582,0.0442928,0.0294678,0.0231744,0.0205244,0.0318729,0.0398578,0.0315658,0.0304871,0.0389165,0.0380565,0.0413797,0.0448581,0.02893,0.0323841,0.0207266,0.0574362,0.0170481,0.0184072,0.035612,0,0.0220914,0.0498331,0.042248,0,0,0.012413,0,0,0.0245699,0.0458723,0.0382308,0.021392,0.0142237,0.0303334,0.0486908,0.042561,0.0519983,0.0346422,0.0599096,0.0393627,0.04624,0.0678205,0.0117423,0.0505244,0.0225674,0.0175039,0.0591462,0.0644551,0,0,0,0,0,0,0,0,0
22,0.0464045,0,0,0,0,0.0486797,0,0,0,0,0,0,0.0374494,0,0.0328704,0.0318091,0,0,0.0142931,0,0,0.0489406,0.0442268,0.0294875,0.0232889,0.0205609,0.0318655,0.0398035,0.0315591,0.0305588,0.0389037,0.0380546,0.0413019,0.0448308,0.0289444,0.0324566,0.0208681,0.0574489,0.017057,0.0183965,0.0356096,0,0.0220992,0.0498485,0.0422578,0,0,0.0124157,0,0,0.0245447,0.045979,0.0382606,0.0214097,0.0141947,0.0303388,0.0487448,0.0425153,0.0519937,0.0345953,0.0599586,0.0394022,0.0462785,0.0678927,0.011768,0.0505758,0.0225193,0.017508,0.0591991,0.0644564,0,0,0,0,0,0,0,0,0
23,0.046414,0,0,0,0,0.0487171,0,0,0,0,0,0,0.037542,0,0.0327693,0.0317938,0,0,0.0143239,0,0,0.0489432,0.0441461,0.0296069,0.0235157,0.0205726,0.0319144,0.039749,0.0315478,0.0305615,0.0389365,0.0380519,0.0412592,0.0448279,0.0289314,0.0324058,0.0207962,0.0574727,0.0170264,0.0183841,0.0355849,0,0.0220876,0.049878,0.04224,0,0,0.0123931,0,0,0.024571,0.0459797,0.0382993,0.0214283,0.0141569,0.0303779,0.0487546,0.042532,0.0520025,0.0345363,0.0599811,0.0394201,0.0462965,0.0679794,0.011777,0.050488,0.0225364,0.0174865,0.0592158,0.06444,0,0,0,0,0,0,0,0,0
24,0.046429,0,0,0,0,0.048711,0,0,0,0,0,0,0.0375931,0,0.032755,0.0317842,0,0,0.0144777,0,0,0.0489565,0.0440612,0.0296541,0.023563,0.0206434,0.0319423,0.0398171,0.0315584,0.0305052,0.0389277,0.0380426,0.0411245,0.0448552,0.0289787,0.0323737,0.0207596,0.0574185,0.0170463,0.0182654,0.0355788,0,0.0221031,0.0498513,0.0422123,0,0,0.0123986,0,0,0.0245997,0.0459721,0.0383043,0.0214514,0.0141049,0.0304299,0.0487666,0.0426181,0.052015,0.0344997,0.0600005,0.0393558,0.0463244,0.0680684,0.0117696,0.0503969,0.0225583,0.0175032,0.0592824,0.064424,0,0,0,0,0,0,0,0,0
25,0.0464189,0,0,0,0,0.0487183,0,0,0,0,0,0,0.0375288,0,0.0328383,0.0319139,0,0,0.0146566,0,0,0.0489542,0.044044,0.0296165,0.0234051,0.0206677,0.031913,0.0398999,0.0316263,0.0304477,0.0388777,0.0380729,0.0410895,0.0449003,0.0290044,0.0324156,0.0208212,0.0573743,0.0171978,0.0180101,0.0355278,0,0.0221052,0.0498565,0.0422226,0,0,0.0123716,0,0,0.0246097,0.0459299,0.0383216,0.0210321,0.013992,0.0304686,0.048853,0.0427217,0.052034,0.0344393,0.0600505,0.0392238,0.0463608,0.0681054,0.011754,0.0503833,0.0225608,0.0175455,0.0593612,0.064426,0,0,0,0,0,0,0,0,0
26,0.0464209,0,0,0,0,0.0487661,0,0,0,0,0,0,0.0375142,0,0.0328771,0.0319687,0,0,0.0148247,0,0,0.0488901,0.0440401,0.0296827,0.0232209,0.0206906,0.0318712,0.0399998,0.0316663,0.0304397,0.0388501,0.0380879,0.0411076,0.0449555,0.0289897,0.0324173,0.020862,0.0573675,0.0173313,0.0176917,0.0354793,0,0.0220795,0.0499674,0.0422285,0,0,0.0123159,0,0,0.0246258,0.0458851,0.0383564,0.0202958,0.0138691,0.030457,0.0489023,0.0428531,0.0520882,0.0343908,0.0600755,0.0392625,0.0463944,0.0680769,0.0117298,0.0503503,0.0225439,0.0175859,0.0594514,0.0644335,0,0,0,0,0,0,0,0,0
27,0.0464902,0,0,0,0,0.0487585,0,0,0,0,0,0,0.0374502,0,0.0328999,0.0319403,0,0,0.0149761,0,0,0.0487886,0.0439691,0.0296979,0.0233624,0.0206801,0.0319206,0.0401104,0.0316139,0.0304351,0.0388942,0.0381187,0.0411394,0.0450094,0.0289974,0.0324831,0.0209629,0.0574009,0.017423,0.0172828,0.0354734,0,0.0220498,0.0499621,0.0422211,0,0,0.0122625,0,0,0.0246195,0.0459272,0.0383198,0.0205294,0.0139184,0.030508,0.0487447,0.0428663,0.052071,0.0343946,0.0601229,0.0391756,0.0464764,0.0680497,0.011723,0.050413,0.0225121,0.0176146,0.0594769,0.0645083,0,0,0,0,0,0,0,0,0
28,0.046525,0,0,0,0,0.048769,0,0,0,0,0,0,0.0374815,0,0.0329058,0.0318563,0,0,0.0152207,0,0,0.0487486,0.0439713,0.0297357,0.023524,0.0207832,0.0318393,0.0401598,0.0315877,0.0304482,0.0389412,0.0381418,0.0411031,0.0450025,0.0290427,0.0324718,0.0209403,0.0574899,0.0176401,0.0168573,0.0354153,0,0.0220549,0.0500912,0.0422427,0,0,0.0122179,0,0,0.0246049,0.0458721,0.0383658,0.0197476,0.013909,0.0304718,0.0487669,0.0429419,0.0521184,0.0343672,0.0601303,0.0391237,0.046519,0.0680681,0.011742,0.0504515,0.0224465,0.0176546,0.059535,0.0645007,0,0,0,0,0,0,0,0,0
29,0.0465387,0,0,0,0,0.0487828,0,0,0,0,0,0,0.0376331,0,0.0328822,0.0317803,0,0,0.0155392,0,0,0.0487107,0.0440234,0.0296677,0.0236794,0.0208583,0.0318118,0.0402428,0.0315755,0.0304451,0.0389353,0.0382235,0.0411318,0.0450263,0.0289489,0.0324819,0.0207143,0.0574209,0.018057,0.0163313,0.0353629,0,0.0220787,0.0500619,0.0422549,0,0,0.0121192,0,0,0.0245888,0.0458098,0.0383606,0.0196871,0.0138783,0.0305019,0.0489178,0.0430068,0.0521419,0.0343164,0.0601723,0.0391618,0.046575,0.0681208,0.0117216,0.0505837,0.0223742,0.0177137,0.0595451,0.0645079,0,0,0,0,0,0,0,0,0
30,0.0465774,0,0,0,0,0.0488746,0,0,0,0,0,0,0.0374899,0,0.0331958,0.0312723,0,0,0.0164429,0,0,0.0483292,0.0440377,0.0296993,0.0227332,0.0208046,0.0295987,0.0395045,0.0317363,0.0306669,0.0386906,0.038079,0.0411719,0.0451032,0.0289315,0.0323993,0.0207929,0.0575571,0.018938,0.0159362,0.0342559,0,0.0220587,0.0524365,0.0427781,0,0,0.0117892,0,0,0.0245419,0.0452709,0.0393757,0,0.0137068,0.0298821,0.0499596,0.0444549,0.0532848,0.0345737,0.0596616,0.0387833,0.0461135,0.06773,0.0117599,0.0506196,0.0217768,0.0173556,0.0601802,0.0637495,0,0,0,0,0,0,0,0,0
