Timestep,C7,CBL,CBR,CFR,CLAV,IMUL_B,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,REAR,RELB,RFIN,RFRM,RGTR,RILC,RPSI,RSHO,RTHIP,RTIB,RTIBP,RUPA,STRN,T10,x71,x72,x73,LTIBA,RKNE,RTHI,RBHD,RHEE,RTHII,,RFHD,IMUL_M,RTHIA,IMUR_B,IMUL_T,IMUR_M,CFL,LTHI,RWRB,RTOE,RTIBA,x74,RTIBI,LASI,RWRA,LANK,LHEE,LWRA
300,0.0514866,0,0,0,0.0419935,0,0.025422,0,0,0,0.0137489,0,0,0.0403114,0.0391152,0.028216,0.0103362,0.0435246,0.0303448,0.0412877,0.030004,0.0286408,0.0159984,0.0234516,0.0309823,0.0402669,0.0201428,0.021984,0,0.0184698,0.0374411,0.051638,0,0.0219479,0,0.0218191,0.0515439,0.0148567,0.0412051,0.058883,0.0313061,0.0586126,0.0696535,0.0337156,0.0422085,0.0666823,0,0,0,0.0345828,0.0134497,0.0482919,0,0.0567266,0.0621382,0,0,0,0,0,0,0,0,0.029463,0.00747336,0.0377747,0.0375267,0,0.0436076,0.038133,0.0160346,0.0294828,0.0330015,0
301,0.0516444,0,0,0,0.0418763,0,0.0259364,0,0,0,0.0135551,0,0,0.0402729,0.0395198,0.0281013,0.0104533,0.0433678,0.0304314,0.040776,0.0303438,0.0289541,0.0161476,0.0236887,0.0305325,0.0404922,0.0202014,0.0239179,0,0.0192765,0.038094,0.0517388,0,0.0218452,0,0.0219071,0.0513606,0.0147015,0.0408528,0.0582854,0.0323171,0.0583587,0.0689238,0.0341391,0.0421688,0.0667021,0,0,0,0.034736,0.0123363,0.048692,0,0.0555992,0.0615642,0,0,0,0,0,0,0,0,0.0298195,0.00771122,0.0294498,0.037417,0,0.04369,0.037823,0.0162798,0.029578,0.0329237,0
302,0.0518086,0,0,0,0.0417953,0,0.0262634,0,0,0,0.0132234,0,0,0.0402596,0.0399136,0.0279532,0.0105639,0.0431868,0.0305185,0.0403514,0.0307349,0.0291487,0.0163061,0.0239317,0.0302151,0.0407238,0.0202665,0.02752,0,0.0206438,0.038744,0.0517761,0,0.022004,0,0.0219543,0.0512153,0.014615,0.040478,0.0577783,0.0333184,0.0580933,0.0681407,0.0348124,0.0421545,0.066654,0,0,0,0.0349479,0.0113406,0.0488579,0,0.0548871,0.0608189,0,0,0,0,0,0,0,0,0.0300606,0.008038,0.0221965,0.0372608,0,0.0438359,0.0373196,0.016376,0.0296669,0.0327922,0
303,0.051865,0,0,0,0.0418344,0,0.0265231,0,0,0,0.0129332,0,0,0.0401888,0.0403989,0.0279278,0.0109648,0.0430497,0.0305943,0.0401862,0.0311216,0.0294789,0.0164184,0.0241838,0.0298975,0.0409294,0.020279,0.0313086,0,0.022294,0.0393945,0.0517693,0,0.0220535,0,0.022014,0.0510227,0.0146167,0.040057,0.0572777,0.0342247,0.0579222,0.0674365,0.0344599,0.0423097,0.0664888,0,0,0,0.0352079,0.0106754,0.0486948,0,0.054181,0.0599239,0,0,0,0,0,0,0,0,0.0303164,0.00821292,0.0167465,0.0369157,0,0.0440369,0.0369114,0.0166308,0.0298598,0.0326442,0
304,0.0519144,0,0,0,0.0419338,0,0.0267951,0,0,0,0.0127614,0,0,0.0400815,0.0409505,0.0280393,0.0114812,0.0428463,0.0306412,0.0402491,0.0314661,0.0297417,0.0166061,0.0244565,0.0295773,0.0411174,0.0201865,0.0336502,0,0.0235569,0.0401213,0.0517513,0,0.0221421,0,0.0220163,0.0507468,0.0148292,0.0396008,0.0567521,0.0349366,0.0577805,0.0668089,0.0342011,0.0425222,0.066178,0,0,0,0.0355279,0.0106859,0.0482023,0,0.0530455,0.0590082,0,0,0,0,0,0,0,0,0.0308281,0.00835488,0.0134739,0.0365714,0,0.0441949,0.0365662,0.0168264,0.0300626,0.0324675,0
305,0.0519961,0,0,0,0.0419939,0,0.027054,0,0,0,0.0126621,0,0,0.0399554,0.0414431,0.0279459,0.0115834,0.0426643,0.0306645,0.040452,0.0319069,0.0299026,0.0169459,0.024787,0.029291,0.0412688,0.020037,0.0340907,0,0.0245588,0.040846,0.0517321,0,0.0222446,0,0.0219246,0.0504615,0.0152013,0.0391943,0.0562258,0.0352846,0.05744,0.0660101,0.0344416,0.0426103,0.0659125,0,0,0,0.0358002,0.0115547,0.0473851,0,0.0512339,0.0581368,0,0,0,0,0,0,0,0,0.0311199,0.00851683,0.0131387,0.036065,0,0.0436423,0.0363342,0.0169127,0.0301762,0.0322594,0
306,0.0520567,0,0,0,0.0420604,0,0.0272142,0,0,0,0.0124883,0,0,0.0398426,0.0417173,0.0278337,0.0116024,0.0424906,0.0308086,0.0402956,0.0323337,0.0300913,0.0172393,0.025084,0.0291887,0.0414047,0.0199711,0.0332387,0,0.0251467,0.0414783,0.0516943,0,0.0223144,0,0.0218918,0.0504021,0.0156864,0.0389141,0.0557011,0.0353672,0.0568117,0.0648898,0.0347034,0.042623,0.0656973,0,0,0,0.0359975,0.0128456,0.0463393,0,0.0484564,0.0573046,0,0,0,0,0,0,0,0,0.0311598,0.0086323,0.0132587,0.0349299,0,0.0423342,0.0362718,0.0169861,0.0302934,0.032091,0
307,0.0521341,0,0,0,0.0420635,0,0.0274055,0,0,0,0.0122624,0,0,0.039772,0.041714,0.0277929,0.011709,0.0423257,0.0310583,0.0400207,0.0326384,0.0302456,0.0174014,0.0253113,0.0292163,0.0416091,0.0199988,0.0314961,0,0.0247612,0.0418434,0.0516192,0,0.0223611,0,0.0218719,0.0505738,0.016022,0.0387421,0.0552401,0.0353999,0.0561189,0.0639931,0.0354555,0.0425038,0.0656378,0,0,0,0.0361574,0.0136826,0.0452214,0,0.0467305,0.0567475,0,0,0,0,0,0,0,0,0.0312867,0.008719,0.0135472,0.0337543,0,0.0410413,0.0363105,0.0170268,0.0303787,0.0320387,0
308,0.0522261,0,0,0,0.041917,0,0.0276624,0,0,0,0.0120627,0,0,0.0398044,0.0415153,0.0277141,0.0119307,0.0422841,0.0310786,0.0400728,0.0325822,0.0303941,0.017497,0.0254784,0.0292986,0.041771,0.0200123,0.0299422,0,0.0236675,0.0420159,0.0515434,0,0.0222905,0,0.021861,0.0507502,0.0161953,0.0387427,0.0549638,0.0354629,0.0559521,0.0640335,0.0358524,0.0425132,0.0657127,0,0,0,0.0364128,0.0133409,0.0442952,0,0.0468665,0.0566089,0,0,0,0,0,0,0,0,0.031406,0.00874908,0.0144919,0.0333577,0,0.0407382,0.0364843,0.0170896,0.0304035,0.032045,0
309,0.0521986,0,0,0,0.0417998,0,0.0277826,0,0,0,0.0119059,0,0,0.0397692,0.0411153,0.0274929,0.0121402,0.0422774,0.030873,0.0399092,0.0324303,0.0305869,0.017652,0.0256768,0.02939,0.0419675,0.0199015,0.029854,0,0.02275,0.0421303,0.0515061,0,0.0220452,0,0.0219012,0.0508468,0.0162668,0.038911,0.0548115,0.035658,0.056746,0.0653395,0.0358249,0.0423853,0.0658115,0,0,0,0.036521,0.011854,0.0441164,0,0.0477678,0.0570067,0,0,0,0,0,0,0,0,0.03121,0.00870067,0.0154882,0.0339936,0,0.0418298,0.0365318,0.017191,0.030417,0.0321029,0
