Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x73
207,0,0,0,0,0,0,0.00942245,0.00563653,0,0,0,0.0167965,0.0197429,0.0273112,0,0,0.0397923,0,0.0182812,0.0228356,0.0117101,0.0584054,0.0245304,0.0416688,0.00721891,0.0148838,0.0180844,0.0377717,0.0323684,0.0366341,0.02938,0.0332856,0.00292557,0.0203731,0.0382535,0.0315945,0.00901356,0.00811445,0.01919,0.0156123,0.0164749,0.00714813,0,0,0.00223732,0,0.0126754,0.00178506,0.0898021,0.019889,0.0476145,0.0232073,0.0132627,0.00448862,0.0190218,0.0203213,0.0316592,0.0370688,0.0155798,0.0398252,0.00546253,0.016716,0.0193764,0.00396133,0.00469769,0.00324075,0.00532166,0.00711096,0,0,0,0,0
208,0,0,0,0,0,0,0.00956656,0.00661109,0,0,0,0.0105758,0.0202054,0.00781639,0,0,0.0386777,0,0.0178191,0.0225102,0.0261177,0.0168537,0.0223456,0.0375572,0.0100083,0.0168214,0.0311663,0.047792,0.0320922,0.0458513,0.0298523,0.0285893,0.0169637,0.0151079,0.00825422,0.0312532,0.00874613,0.00815682,0.0189939,0.0157161,0.0167555,0.00938285,0,0,0.00353986,0,0.0127694,0.00268439,0.0848084,0.0215193,0.0442739,0.0223673,0.0143094,0.00628708,0.0204235,0.0239497,0.0328024,0.0369243,0.0145335,0.040786,0.00498857,0.0156202,0.01875,0.00561597,0.00370796,0.00267231,0.00560071,0.00619323,0,0,0,0,0
209,0,0,0,0,0,0,0.0107367,0.00689805,0,0,0,0.0146295,0.0214322,0.00778237,0,0,0.0481131,0,0.0175344,0.0286059,0.0254533,0.0145033,0.0220376,0.0369256,0.0104203,0.0210362,0.0307848,0.0463776,0.03202,0.0459486,0.0294439,0.0277524,0.0164502,0.0157198,0.013548,0.0383758,0.00811005,0.0108519,0.0195124,0.0158305,0.017083,0.010455,0,0,0.00410553,0,0.0128862,0.003027,0.0843631,0.0224053,0.0441829,0.0221513,0.0144798,0.0067535,0.0202009,0.0245513,0.0328573,0.0364293,0.0145444,0.040196,0.00524942,0.0163336,0.0189615,0.00595397,0.00346419,0.00262638,0.00573061,0.00729315,0,0,0,0,0
210,0,0,0,0,0,0,0.00913544,0.0059367,0,0,0,0.0137998,0.0201536,0.0330992,0,0,0.0406334,0,0.0181125,0.0235874,0.0113315,0.0669954,0.024455,0.0457005,0.00938234,0.0158147,0.0219432,0.0415336,0.0347808,0.0341643,0.0287001,0.0300018,0.00418124,0.0199602,0.0406998,0.0319535,0.00871862,0.00855494,0.0207853,0.015726,0.0182208,0.00748806,0,0,0.0019865,0,0.0127977,0.00198648,0.0889407,0.0231368,0.0480639,0.0232953,0.012768,0.00506816,0.0186037,0.0222466,0.0317028,0.0359818,0.0160606,0.0383862,0.00647952,0.0189793,0.0211083,0.00448207,0.00394425,0.0029947,0.0055898,0.00652253,0,0,0,0,0
211,0,0,0,0,0,0,0.00969403,0.00691185,0,0,0,0.0174213,0.0204345,0.00759033,0,0,0.0394589,0,0.0176906,0.0231091,0.0228067,0.0143126,0.0209973,0.0347905,0.0103634,0.0173829,0.0292212,0.0428125,0.0319642,0.0467606,0.0271245,0.0238222,0.0143696,0.0169736,0.017805,0.0316611,0.00853881,0.00859127,0.0193291,0.0158194,0.0175571,0.00936015,0,0,0.00405933,0,0.0128435,0.00284931,0.0835886,0.0235424,0.0441895,0.0214146,0.0135066,0.00685963,0.0204923,0.0248782,0.0322876,0.0364928,0.0140716,0.0393413,0.00533283,0.0178454,0.0197624,0.00607673,0.00374624,0.00280389,0.00615672,0.00672447,0,0,0,0,0
212,0,0,0,0,0,0,0.00923947,0.00590248,0,0,0,0.0131758,0.0201044,0.0349942,0,0,0.0406277,0,0.0179592,0.0234947,0.0104524,0.0664918,0.0235843,0.0490541,0.00964945,0.0161036,0.0236883,0.0443525,0.0349809,0.032583,0.0306072,0.0313392,0.00457756,0.0200079,0.0405022,0.0321301,0.00872203,0.00869088,0.0207666,0.0157214,0.0186634,0.00724774,0,0,0.00190711,0,0.0127576,0.00184876,0.0885509,0.0241697,0.0482614,0.0228937,0.0119163,0.00495805,0.0191584,0.0220138,0.0311047,0.0367112,0.01585,0.0378294,0.00662787,0.020254,0.021493,0.00444603,0.00417248,0.00323006,0.00597565,0.00699605,0,0,0,0,0
213,0,0,0,0,0,0,0.0092167,0.00590935,0,0,0,0.0143009,0.0201472,0.0352982,0,0,0.040468,0,0.0179434,0.0232071,0.0102855,0.066043,0.023249,0.0509167,0.00949354,0.0161514,0.0241269,0.0455853,0.0349298,0.0321712,0.0318871,0.0325825,0.0047499,0.0199698,0.0408533,0.032252,0.00872471,0.00860453,0.0212081,0.0157315,0.019124,0.00727165,0,0,0.00205089,0,0.0127681,0.00180562,0.0885479,0.0248571,0.0483629,0.0228406,0.0115195,0.00487955,0.0194414,0.0218221,0.0310265,0.0370419,0.015906,0.0377306,0.00676985,0.0207087,0.0221577,0.00432925,0.00428465,0.00321829,0.00631248,0.00714309,0,0,0,0,0
214,0,0,0,0,0,0,0.0095229,0.00692613,0,0,0,0.0214165,0.0203809,0.0106662,0,0,0.0385939,0,0.0177016,0.0221742,0.020061,0.0183675,0.0194593,0.0324162,0.0101806,0.0173351,0.028184,0.0391854,0.0326837,0.0488553,0.0231443,0.0176217,0.0117349,0.0178071,0.0231561,0.0316602,0.00855786,0.0084472,0.0200085,0.0157622,0.0179021,0.00875837,0,0,0.00325755,0,0.0128043,0.00237134,0.0828159,0.024964,0.0439943,0.0203615,0.0123093,0.00613163,0.0211723,0.0241729,0.0320736,0.0375447,0.0137507,0.0388822,0.00563002,0.0189897,0.021104,0.00532893,0.00390252,0.00292956,0.00715801,0.00711661,0,0,0,0,0
215,0,0,0,0,0,0,0.00934283,0.00597437,0,0,0,0.01535,0.02012,0.0358641,0,0,0.0395463,0,0.0180216,0.02249,0.0104003,0.0673556,0.0226886,0.0540688,0.00881834,0.0159446,0.0249166,0.0479955,0.0347255,0.0315202,0.0338737,0.0345979,0.00493118,0.0197002,0.041747,0.0320505,0.00867926,0.00844522,0.0228326,0.0156858,0.0196469,0.00769393,0,0,0.00203266,0,0.0127588,0.00189458,0.0883648,0.0263953,0.0486369,0.0230553,0.0107986,0.0045922,0.0201577,0.0217807,0.0309184,0.037798,0.0160085,0.0378837,0.00679658,0.0210267,0.0242169,0.00402235,0.00438831,0.00318743,0.00698537,0.00740601,0,0,0,0,0
216,0,0,0,0,0,0,0.00940453,0.00597764,0,0,0,0.0153701,0.0201831,0.0360899,0,0,0.039392,0,0.0180374,0.0224048,0.0106547,0.0682721,0.0224211,0.054617,0.00854301,0.0158452,0.025211,0.0487879,0.0346475,0.031139,0.0340746,0.0349619,0.00508902,0.0194821,0.0421266,0.0320766,0.00861897,0.00849561,0.0239463,0.0157158,0.0199283,0.00780848,0,0,0.00190204,0,0.0127822,0.00180686,0.0882447,0.0271768,0.0486678,0.0233164,0.0104901,0.00446653,0.0204218,0.021793,0.0308099,0.0380716,0.0160314,0.0380162,0.00677086,0.021149,0.0252526,0.00389571,0.00433192,0.00318205,0.00710883,0.00766338,0,0,0,0,0
217,0,0,0,0,0,0,0.00946305,0.00675957,0,0,0,0.0232542,0.0203779,0.0102835,0,0,0.0377391,0,0.0177415,0.02157,0.0200612,0.0169894,0.0186406,0.0307267,0.0105754,0.0168672,0.0276073,0.0366133,0.0319133,0.0494591,0.021569,0.0149249,0.0118132,0.0175208,0.0264466,0.0314745,0.00849814,0.00833746,0.0232471,0.0157568,0.0190405,0.00862276,0,0,0.00231581,0,0.012801,0.00191296,0.0824629,0.027547,0.044213,0.0209452,0.011761,0.00522921,0.0216514,0.0241656,0.0317767,0.0383446,0.0141818,0.0389552,0.00605612,0.0200558,0.025243,0.00448598,0.00418076,0.00297802,0.00747723,0.00764264,0,0,0,0,0
218,0,0,0,0,0,0,0.00940753,0.00568722,0,0,0,0.0163414,0.0199799,0.035583,0,0,0.0382741,0,0.0180523,0.021627,0.0116075,0.0687614,0.0219949,0.0543024,0.00846236,0.0153513,0.025482,0.0490491,0.0345988,0.0302417,0.0340346,0.0349142,0.00548549,0.0187857,0.0435389,0.0312927,0.00868832,0.00828355,0.0263955,0.0156423,0.0209505,0.0077485,0,0,0.00193578,0,0.0127175,0.00188314,0.088482,0.0287993,0.048997,0.0240907,0.0100255,0.00402817,0.0207119,0.0216484,0.0301015,0.0387491,0.0164657,0.0381939,0.00693099,0.0222241,0.0285869,0.00365381,0.00459419,0.00324717,0.00672178,0.00804395,0,0,0,0,0
219,0,0,0,0,0,0,0.009385,0.00558171,0,0,0,0.017128,0.019986,0.0349696,0,0,0.0379874,0,0.0180452,0.0214011,0.0119443,0.0682386,0.02183,0.0537239,0.00856533,0.0152528,0.0253479,0.0484054,0.0342728,0.0299113,0.0338716,0.0348857,0.00557394,0.0184218,0.0447754,0.0310301,0.00868435,0.00824835,0.0274677,0.0157076,0.0213576,0.00766657,0,0,0.00197322,0,0.0127705,0.00188165,0.0885887,0.029711,0.0490477,0.0242707,0.00972944,0.00395619,0.0211501,0.0213321,0.0296681,0.0391726,0.0165889,0.038265,0.0070084,0.0228038,0.0297902,0.00364686,0.00453319,0.00323176,0.00638831,0.0080185,0,0,0,0,0
220,0,0,0,0,0,0,0.00936814,0.00552083,0,0,0,0.0182812,0.0200449,0.0342313,0,0,0.0377155,0,0.0180256,0.0212031,0.0121938,0.0675191,0.0216258,0.0529684,0.00881346,0.0152268,0.0251067,0.0474462,0.0338778,0.0296414,0.0336112,0.0349328,0.00571723,0.0180472,0.0463818,0.030771,0.00869497,0.00810129,0.0283853,0.0157612,0.0217919,0.00760778,0,0,0.00195642,0,0.0128135,0.00184686,0.0885934,0.0307107,0.0491864,0.0244701,0.00950779,0.00398393,0.0213743,0.0211521,0.029391,0.0395233,0.0168224,0.0382485,0.0071565,0.0233709,0.030864,0.00361974,0.00443913,0.00320322,0.00598858,0.00800289,0,0,0,0,0
221,0,0,0,0,0,0,0.00961106,0.00555899,0,0,0,0.0196472,0.0202413,0.0333258,0,0,0.0387975,0,0.0179387,0.0219652,0.0123835,0.0666806,0.0213148,0.0518402,0.00902241,0.0158467,0.024742,0.0460208,0.0332937,0.0295314,0.0331537,0.0348692,0.00598328,0.0177604,0.0478973,0.0315735,0.008591,0.0085002,0.0291686,0.0157765,0.0220246,0.00789101,0,0,0.00189226,0,0.0128248,0.0018023,0.0884884,0.0315018,0.0493089,0.0246493,0.0093634,0.00402187,0.0217282,0.0210954,0.0292708,0.0395122,0.0170693,0.0382312,0.00725951,0.023757,0.031894,0.00353391,0.00429394,0.00318046,0.00579847,0.00818529,0,0,0,0,0
222,0,0,0,0,0,0,0.00943107,0.00543736,0,0,0,0.0208744,0.0201172,0.0326073,0,0,0.0365905,0,0.0179873,0.0205859,0.0126815,0.0660099,0.0210228,0.0504028,0.00940606,0.0150407,0.0243334,0.0443629,0.0325115,0.0294374,0.0325076,0.0345292,0.00637183,0.0173887,0.0491722,0.0298548,0.00867853,0.00791633,0.0294756,0.0158194,0.0221053,0.00773124,0,0,0.00205381,0,0.0128609,0.00184152,0.0883022,0.032193,0.04947,0.0248159,0.00933058,0.00405943,0.0220416,0.0210356,0.0291176,0.039325,0.0172133,0.0382585,0.00743623,0.0239931,0.0319214,0.00346932,0.0043309,0.0031776,0.00569742,0.00788995,0,0,0,0,0
