Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
78,0,0,0,0,0,0,0.0281334,0.0101218,0,0,0,0.0579336,0.0160257,0.0332944,0.0336304,0,0,0.0051533,0,0.0202823,0.00424534,0.0341978,0.0301231,0.0192231,0.0207495,0.0173531,0.0119125,0.0231145,0.0172203,0.0211759,0.0499402,0.0146084,0.0219583,0.0156126,0.0202522,0.0703207,0.00420623,0.0112691,0.00242359,0.0292154,0.0144486,0.0205793,0.0439323,0.0313216,0,0,0.033065,0,0.0113861,0.021379,0.0449815,0.0344527,0.00408707,0.0249967,0.0232618,0.0191277,0.0406304,0.0252455,0.0538394,0.0540082,0.012988,0.0283968,0.0043077,0.0203773,0.0423715,0.0245132,0.00814862,0.00804985,0.0126857,0.0272718,0,0,0,0
79,0,0,0,0,0,0,0.028814,0.0107695,0,0,0,0.0578872,0.0159443,0.033397,0.0336825,0,0,0.00574775,0,0.0203151,0.004457,0.0343549,0.0306363,0.019026,0.0206185,0.0169881,0.0123614,0.0230771,0.0169321,0.0209817,0.0498167,0.0144821,0.0220149,0.0155769,0.0202082,0.0702857,0.00431069,0.0113185,0.0024191,0.0269766,0.014414,0.0200505,0.0438867,0.0318888,0,0,0.0329836,0,0.0113579,0.0214317,0.0452457,0.0329245,0.00482017,0.0248671,0.0240517,0.0196928,0.0412246,0.0252656,0.0534074,0.0547648,0.0114955,0.0313827,0.00230341,0.0190227,0.0391879,0.0248104,0.00813972,0.00809244,0.0131899,0.0279193,0,0,0,0
80,0,0,0,0,0,0,0.0298651,0.0115942,0,0,0,0.0586842,0.0158171,0.0356551,0.0340338,0,0,0.00622148,0,0.020403,0.00458675,0.0349168,0.0346438,0.0193546,0.0208566,0.0172478,0.012948,0.0237794,0.0174429,0.0215783,0.0507955,0.0139554,0.0229281,0.0165386,0.0193979,0.0720279,0.00463379,0.0114204,0.00236997,0.0248966,0.0143382,0.0194415,0.0450824,0.0328624,0,0,0.0331384,0,0.0113222,0.021656,0.0448851,0.0315888,0.00588674,0.0252792,0.0248339,0.0203618,0.0422295,0.025765,0.0539687,0.0558699,0.00982924,0.0331582,0.00297373,0.0173385,0.0361641,0.0253365,0.00820408,0.00813875,0.0137843,0.0289749,0,0,0,0
81,0,0,0,0,0,0,0.0306306,0.0122091,0,0,0,0.0595746,0.0157415,0.0374501,0.0344119,0,0,0.00661521,0,0.0204422,0.00476538,0.0353815,0.0376916,0.0195645,0.0212542,0.0174184,0.0133231,0.024312,0.0180285,0.0220402,0.0513939,0.0142133,0.0242528,0.01766,0.0192478,0.0736719,0.00488786,0.0115035,0.00236944,0.0226378,0.0143265,0.0188897,0.0460643,0.033657,0,0,0.0331335,0,0.0113227,0.0218195,0.0447051,0.0319476,0.00700149,0.0255543,0.0254666,0.0209106,0.0428009,0.0256422,0.0544113,0.0564202,0.00917718,0.0344774,0.00447836,0.0168594,0.0339539,0.0256941,0.00822422,0.00812054,0.0142992,0.0298833,0,0,0,0
82,0,0,0,0,0,0,0.0311684,0.012648,0,0,0,0.0604663,0.015648,0.0393369,0.0348284,0,0,0.00692149,0,0.020472,0.00490545,0.0357368,0.0406096,0.019668,0.0218417,0.017433,0.013527,0.0247057,0.0188497,0.0224846,0.0518365,0.014976,0.0260948,0.0190253,0.0194437,0.075311,0.00493031,0.0115404,0.00237055,0.0210959,0.0143868,0.0187138,0.0469117,0.0343013,0,0,0.0330453,0,0.0113757,0.0219614,0.0443443,0.0337301,0.00792441,0.0260411,0.0258511,0.0213898,0.0430505,0.0251662,0.0547037,0.05655,0.00936929,0.0349748,0.00547341,0.0175693,0.0328909,0.0260026,0.00821616,0.00810949,0.0146925,0.0307257,0,0,0,0
83,0,0,0,0,0,0,0.0314715,0.0128582,0,0,0,0.0614635,0.0155545,0.0414392,0.0351719,0,0,0.0072028,0,0.0204785,0.00498468,0.0359442,0.0435898,0.0197365,0.0226121,0.0173639,0.0135736,0.0249633,0.0194554,0.0229041,0.0522662,0.0160812,0.028274,0.0206439,0.0199309,0.0770575,0.00485411,0.0115379,0.00237357,0.020402,0.0144473,0.0189802,0.0474812,0.0347068,0,0,0.0330204,0,0.0114103,0.0218372,0.0438436,0.0360828,0.008579,0.0266747,0.0259711,0.0216303,0.0428222,0.0245735,0.0549892,0.0562002,0.0102149,0.034809,0.00582237,0.0193808,0.0330444,0.0262093,0.0082266,0.00808445,0.0149559,0.0310916,0,0,0,0
84,0,0,0,0,0,0,0.0316484,0.0129117,0,0,0,0.0626428,0.0155285,0.0432387,0.0353555,0,0,0.00741913,0,0.020473,0.00506275,0.0359517,0.0464662,0.01972,0.0233956,0.0171497,0.013671,0.0249781,0.0198177,0.0232069,0.0526456,0.0173217,0.0299448,0.0222413,0.0206032,0.0787606,0.00479998,0.0115155,0.00241843,0.0209946,0.0144925,0.0196062,0.0476655,0.0349007,0,0,0.0329656,0,0.0114299,0.0217246,0.0434223,0.0381423,0.00881633,0.0271395,0.0259309,0.0217549,0.0421664,0.0242311,0.0552454,0.055535,0.0113137,0.0341846,0.00548296,0.021538,0.0346722,0.0262591,0.00823965,0.00794948,0.0151152,0.0311496,0,0,0,0
85,0,0,0,0,0,0,0.0316706,0.0129367,0,0,0,0.0638623,0.0155353,0.0450385,0.0353931,0,0,0.00747297,0,0.0205037,0.00511587,0.0358617,0.0492197,0.0196366,0.0241275,0.0168664,0.0137173,0.0250053,0.0200606,0.0233982,0.0530076,0.0186695,0.0311053,0.0237677,0.0213639,0.0805221,0.00477098,0.0115351,0.00243898,0.0229919,0.0145208,0.0202459,0.0475329,0.0349242,0,0,0.0330275,0,0.0114498,0.0217674,0.043251,0.0393517,0.00866359,0.0271922,0.0257846,0.0218753,0.0412687,0.0239422,0.0553186,0.0547014,0.0124733,0.0331,0.0046102,0.0234707,0.0376078,0.0263068,0.00826258,0.00792671,0.0151962,0.0310874,0,0,0,0
86,0,0,0,0,0,0,0.0316348,0.0130098,0,0,0,0.0647513,0.0155199,0.0462181,0.0353003,0,0,0.00752894,0,0.0205147,0.00519276,0.0358548,0.0512001,0.0196143,0.0247359,0.0167505,0.0137883,0.0250132,0.0201192,0.0234165,0.0532441,0.0198853,0.0322714,0.0248544,0.0218303,0.0818666,0.00484318,0.0115447,0.00240722,0.0254429,0.0145306,0.0205877,0.0471732,0.0348976,0,0,0.0330874,0,0.0114574,0.0218307,0.0432735,0.0397553,0.00842184,0.0270486,0.0257102,0.0220086,0.0403153,0.0234477,0.0552883,0.0537861,0.0137191,0.0315889,0.00387094,0.0249957,0.0410601,0.026428,0.00827789,0.00796211,0.0153355,0.0310283,0,0,0,0
87,0,0,0,0,0,0,0.0315672,0.0131184,0,0,0,0.065284,0.015488,0.0469796,0.0351471,0,0,0.00772974,0,0.0205296,0.0053378,0.0358873,0.0525878,0.0196409,0.0253623,0.0167884,0.0139315,0.0248697,0.0200594,0.0232919,0.0533894,0.0209307,0.0332582,0.0256377,0.022095,0.0829346,0.00495671,0.0115792,0.00238459,0.0289194,0.0145068,0.0205794,0.0467739,0.0348656,0,0,0.0330786,0,0.0114434,0.0218717,0.0433992,0.0394851,0.00822127,0.0268644,0.0257663,0.0221342,0.039287,0.0227252,0.0552148,0.0527572,0.0145126,0.0299299,0.00375922,0.0254013,0.0458795,0.0265608,0.00830437,0.00798223,0.0154608,0.0310007,0,0,0,0
88,0,0,0,0,0,0,0.0314598,0.0132118,0,0,0,0.065019,0.0154327,0.0469871,0.0349282,0,0,0.00805814,0,0.0205693,0.00556255,0.0358816,0.0532451,0.0197318,0.0258389,0.0168781,0.0141485,0.0246689,0.019861,0.0229371,0.0533202,0.0216748,0.0337578,0.0260703,0.0219888,0.0833518,0.00510208,0.011639,0.00240028,0.0318752,0.0144474,0.0207521,0.0464137,0.0348055,0,0,0.0330831,0,0.0114002,0.0219137,0.043375,0.0396595,0.00819691,0.0268092,0.0259084,0.0222083,0.038633,0.022305,0.0553506,0.0520964,0.0153113,0.0289056,0.00427713,0.0254938,0.050213,0.0266142,0.00833747,0.00799149,0.0155063,0.03107,0,0,0,0
89,0,0,0,0,0,0,0.0313478,0.0132123,0,0,0,0.0631353,0.0153641,0.0456706,0.0346953,0,0,0.00844601,0,0.0206459,0.0057852,0.0358735,0.0521609,0.0198781,0.026025,0.0169621,0.0143566,0.024414,0.0194613,0.0222528,0.0529031,0.0218066,0.0335083,0.0256923,0.0212451,0.0823373,0.0053785,0.0117231,0.00238417,0.0322829,0.0144218,0.0211556,0.0461491,0.0346436,0,0,0.0330087,0,0.011378,0.0218638,0.0429694,0.0403164,0.00840258,0.0269964,0.0261462,0.0221753,0.0388217,0.0224246,0.0557811,0.0522866,0.0159481,0.0289753,0.00443703,0.0256708,0.0521544,0.0265454,0.00833506,0.00799764,0.0154555,0.0312064,0,0,0,0
90,0,0,0,0,0,0,0.031134,0.0130972,0,0,0,0.0595525,0.015286,0.042408,0.0344346,0,0,0.00865045,0,0.0206578,0.00588864,0.0358474,0.048899,0.02005,0.0257044,0.0169569,0.0145041,0.0236767,0.0189147,0.0213097,0.0521536,0.0210184,0.03186,0.0241182,0.019891,0.0792892,0.00541866,0.0117573,0.00235937,0.0304165,0.0144126,0.0207074,0.0460567,0.0343333,0,0,0.0328041,0,0.0113624,0.0216889,0.042249,0.0403721,0.00875972,0.0272453,0.0264199,0.0220317,0.0398092,0.022797,0.0558463,0.0532366,0.015685,0.0296434,0.00395783,0.0252936,0.0510934,0.0263086,0.00828844,0.0080779,0.0152708,0.0311969,0,0,0,0
