Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73,STRN
69,0,0,0,0,0,0,0.0250055,0.0169421,0,0,0,0.0430969,0.0217943,0.0206196,0.0251514,0,0,0.00884722,0,0.0182637,0.00430883,0.0363293,0.0278314,0.0205869,0.0254622,0.010223,0.0147039,0.103244,0.0967229,0.0655217,0.0843398,0.015298,0.0187951,0.0103333,0.0183029,0.0488917,0.0107347,0.00915315,0.00490615,0.0319522,0.0129393,0.0274218,0.0354697,0.0234848,0,0,0.0492523,0,0.0106834,0.0325219,0.045998,0.0523122,0.00894149,0.0532443,0.0311136,0.0202102,0.0806673,0.0776037,0.0269329,0.0523479,0.0401707,0.0369176,0.0205661,0.0506693,0.0506086,0.0299551,0.0119128,0.0118135,0.0227592,0,0,0,0,0.0161147
70,0,0,0,0,0,0,0.0251273,0.0170423,0,0,0,0.0420824,0.0217356,0.0202387,0.0249894,0,0,0.008715,0,0.0182641,0.00420942,0.0362786,0.0282299,0.0209976,0.0252999,0.0102915,0.0147677,0.103199,0.0966311,0.0657064,0.0845141,0.0154251,0.0186609,0.0101477,0.0179716,0.0482129,0.0106169,0.0091725,0.00483414,0.0388962,0.0129651,0.0310488,0.03533,0.0234715,0,0,0.0490754,0,0.0107048,0.0324306,0.0463834,0.0526771,0.00923217,0.0533963,0.0310154,0.0202046,0.0810217,0.0764368,0.0252077,0.0535029,0.0396477,0.0346631,0.0179163,0.0514389,0.0510865,0.0299604,0.0117729,0.0117926,0.0229366,0,0,0,0,0.016157
71,0,0,0,0,0,0,0.0252961,0.0171314,0,0,0,0.0411707,0.0216867,0.0199825,0.0248762,0,0,0.00873185,0,0.0182699,0.00419695,0.036278,0.0287153,0.0214847,0.0250983,0.0104525,0.0149078,0.103194,0.0966934,0.0658518,0.0846556,0.0153264,0.0181998,0.0101851,0.01757,0.0474167,0.0106058,0.00918379,0.00481872,0.0455033,0.0129901,0.0357163,0.0352363,0.0235094,0,0,0.0488849,0,0.0107093,0.0323937,0.0468029,0.0542579,0.00949497,0.0538043,0.0308983,0.0202304,0.0812554,0.0754347,0.0235189,0.0543871,0.0393088,0.033022,0.0165942,0.0521594,0.0539004,0.0299663,0.0117021,0.0117779,0.023161,0,0,0,0,0.016164
72,0,0,0,0,0,0,0.0254249,0.0172664,0,0,0,0.039987,0.0216173,0.0194515,0.0248114,0,0,0.00886313,0,0.0182361,0.00425244,0.0362344,0.0291063,0.0218616,0.0248713,0.0105696,0.0151512,0.103072,0.0967849,0.0661338,0.0847742,0.0151424,0.0177322,0.0103955,0.0172031,0.0464049,0.01071,0.00918822,0.00478818,0.0480743,0.0130087,0.0369632,0.0350724,0.0236569,0,0,0.048726,0,0.0107081,0.0323715,0.0470598,0.0552311,0.00983061,0.053732,0.0309467,0.0203852,0.0814253,0.0748641,0.0223494,0.0549094,0.0392179,0.0327021,0.0165589,0.0524135,0.0560157,0.0300108,0.0117391,0.0117935,0.0233135,0,0,0,0,0.0162661
73,0,0,0,0,0,0,0.0253676,0.017436,0,0,0,0.0382192,0.0215697,0.0189427,0.0247842,0,0,0.00899995,0,0.018277,0.00426593,0.0361308,0.029328,0.0221674,0.0246457,0.0105491,0.0153914,0.102864,0.0966924,0.0663847,0.0848522,0.0149879,0.0173907,0.0105515,0.0168732,0.0448573,0.0108116,0.00918759,0.00470269,0.0482461,0.0130321,0.0358055,0.0349277,0.0238054,0,0,0.0485916,0,0.0107134,0.0323459,0.0470391,0.056143,0.0102192,0.0530804,0.0311696,0.0206607,0.0813939,0.074795,0.0221282,0.0549941,0.0392921,0.033381,0.0169218,0.0522614,0.0555701,0.0299611,0.0118371,0.0117922,0.0233831,0,0,0,0,0.0164407
74,0,0,0,0,0,0,0.0252144,0.017504,0,0,0,0.036093,0.0215103,0.0185598,0.0247891,0,0,0.00908384,0,0.0183068,0.00430628,0.0362058,0.0294163,0.022371,0.0243497,0.0104273,0.0155321,0.102556,0.096313,0.0665469,0.0848832,0.0148772,0.0170318,0.0108202,0.0165673,0.043018,0.0109318,0.00918114,0.00469764,0.0483262,0.0130318,0.0352755,0.0348243,0.0238294,0,0,0.0485123,0,0.0106897,0.0323271,0.046911,0.0570377,0.0104982,0.0527994,0.0314717,0.0209543,0.080811,0.0748711,0.0230082,0.0548237,0.0391671,0.0339847,0.0169726,0.051423,0.0532271,0.0297508,0.0118902,0.0117996,0.0238394,0,0,0,0,0.0165757
75,0,0,0,0,0,0,0.02511,0.0175517,0,0,0,0.0337667,0.0215463,0.0182629,0.0248752,0,0,0.0089943,0,0.0183268,0.00427207,0.0363654,0.0294982,0.0225758,0.0238974,0.0103325,0.015529,0.102203,0.0960893,0.066875,0.0848509,0.0146885,0.016287,0.0112442,0.016199,0.0409525,0.0110041,0.00918308,0.00475458,0.0483961,0.0130083,0.036267,0.0347088,0.023737,0,0,0.0484555,0,0.010636,0.0322888,0.0466933,0.0568947,0.0105905,0.0534459,0.0317256,0.0211666,0.0795955,0.0749496,0.0246353,0.0545988,0.0389176,0.0339121,0.0167051,0.0500764,0.0502726,0.029606,0.0118701,0.0118471,0.0240351,0,0,0,0,0.0166935
76,0,0,0,0,0,0,0.0249514,0.017625,0,0,0,0.031611,0.0215368,0.0184763,0.0250069,0,0,0.00882302,0,0.0182944,0.00421421,0.036605,0.029606,0.0228301,0.0232738,0.010311,0.015399,0.101682,0.0960284,0.0675647,0.0847753,0.0144594,0.0151163,0.0117902,0.0156964,0.0388461,0.0110439,0.00917807,0.00480516,0.0477124,0.0130398,0.0372211,0.0346976,0.0235441,0,0,0.0483264,0,0.0106374,0.0322179,0.0464063,0.0565279,0.0105235,0.0543079,0.0317549,0.0213342,0.0782779,0.0750638,0.0264264,0.0543975,0.038845,0.0336908,0.0165782,0.048567,0.0478979,0.0296608,0.0118209,0.0118428,0.0237881,0,0,0,0,0.0167408
77,0,0,0,0,0,0,0.0247127,0.0177276,0,0,0,0.0294793,0.0214879,0.0191075,0.0248876,0,0,0.00858355,0,0.0182816,0.00412116,0.0368229,0.0297188,0.0231147,0.0227528,0.0101588,0.0152781,0.100908,0.0959076,0.0685905,0.0847238,0.0142868,0.0135815,0.0124945,0.0150221,0.0365495,0.0110052,0.00920321,0.00471581,0.0477936,0.0131066,0.0377931,0.0347301,0.0233202,0,0,0.0481339,0,0.0106793,0.0321259,0.0461667,0.0562404,0.0106047,0.0547997,0.0316727,0.0214357,0.0774533,0.0750847,0.0275909,0.0542044,0.0388176,0.0339279,0.0168036,0.0471797,0.0477294,0.0298122,0.0117125,0.0118021,0.0234865,0,0,0,0,0.0168233
78,0,0,0,0,0,0,0.0245229,0.0177845,0,0,0,0.0275884,0.0214408,0.0199062,0.0244883,0,0,0.0083575,0,0.0183327,0.00400506,0.037108,0.029766,0.0234519,0.0224357,0.00975804,0.0152626,0.0999664,0.095627,0.0699019,0.0847686,0.0143077,0.0120016,0.0133721,0.0142243,0.0339735,0.0110137,0.00923717,0.00462662,0.0481761,0.0131383,0.0377608,0.0347375,0.0230595,0,0,0.048008,0,0.0106868,0.0320738,0.0461281,0.0564098,0.0109153,0.0538852,0.0314642,0.021422,0.0773426,0.0748224,0.0278938,0.0541885,0.0379409,0.034647,0.0170067,0.0454125,0.0495048,0.0300594,0.0116058,0.0117571,0.0239678,0,0,0,0,0.0168464
