Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LASI
200,0,0,0,0,0,0,0.0162759,0.00551767,0,0,0,0.00708498,0.0189336,0.0133103,0,0,0.00836524,0,0.0191347,0.0057773,0.0351166,0.0192902,0.00974867,0.00504291,0.0175947,0.00959503,0.0216679,0.0176162,0.0169442,0.0307405,0.00497401,0.00429126,0.010285,0.0187111,0.009782,0.00891072,0.00937752,0.00279435,0.021268,0.0132838,0.0122518,0,0.0192356,0,0,0.0263202,0,0.0108824,0.0191202,0.042753,0.01197,0.0103837,0.0453623,0.0135074,0.0112335,0.0354035,0.0139592,0.0535681,0.0458846,0.0148084,0.0174528,0.0123407,0.00958387,0.0244048,0.0148195,0.0080994,0.00699142,0.00409016,0.0155867,0,0,0,0,0
201,0,0,0,0,0,0,0.0160873,0.00548205,0,0,0,0.00834304,0.0189277,0.0155972,0,0,0.00828344,0,0.01908,0.00577638,0.0349359,0.021805,0.00939332,0.00601936,0.0175776,0.009478,0.021809,0.0176323,0.0171176,0.0300679,0.00582723,0.00588387,0.0113351,0.0180127,0.00979943,0.00891551,0.00934765,0.00282373,0.0211801,0.0132615,0.0126733,0,0.0190263,0,0,0.0262688,0,0.0108719,0.0190552,0.042769,0.0123596,0.0103279,0.0460346,0.0138174,0.0109739,0.0355259,0.01405,0.0537306,0.0461729,0.0152834,0.0171766,0.0126956,0.00985736,0.0239065,0.0144993,0.00811871,0.00697643,0.00402752,0.0154307,0,0,0,0,0
202,0,0,0,0,0,0,0.0159524,0.00548699,0,0,0,0.00959439,0.0189331,0.0174572,0,0,0.00828293,0,0.0190594,0.00573439,0.0348505,0.0240566,0.00905877,0.00692398,0.0176951,0.00931233,0.0218295,0.0174804,0.0171241,0.0295803,0.00644895,0.00703008,0.0122036,0.0174724,0.00986312,0.00886535,0.0093412,0.00280114,0.021122,0.0132633,0.0130629,0,0.0188753,0,0,0.0262592,0,0.0108743,0.0190251,0.0427781,0.0127678,0.0103244,0.046648,0.0141669,0.0108489,0.0356653,0.0141248,0.0539229,0.0463938,0.0158167,0.0169453,0.0130211,0.0101522,0.0234135,0.014344,0.00812528,0.00695622,0.00401331,0.0152715,0,0,0,0,0
203,0,0,0,0,0,0,0.015894,0.00555047,0,0,0,0.0107311,0.0189477,0.0182079,0,0,0.00833051,0,0.0190717,0.00577363,0.0348766,0.0253817,0.00872907,0.0076072,0.0177393,0.00916054,0.021769,0.0172963,0.0169837,0.0293948,0.00673478,0.007486,0.0126482,0.0171247,0.00991741,0.00873945,0.00935793,0.00285203,0.0210246,0.0132411,0.0134207,0,0.0188541,0,0,0.026273,0,0.0108488,0.0190445,0.0427677,0.0131117,0.0103666,0.0471046,0.0144842,0.0108457,0.0361414,0.0141926,0.0541001,0.0465482,0.0161699,0.0167518,0.013352,0.010377,0.0228316,0.0144223,0.00808599,0.006795,0.00404929,0.0152061,0,0,0,0,0
204,0,0,0,0,0,0,0.0159971,0.0057485,0,0,0,0.0105119,0.0189115,0.0178466,0,0,0.0083907,0,0.0190617,0.00586723,0.0350489,0.0256775,0.00840068,0.00818841,0.0176271,0.00910111,0.0216094,0.0169458,0.0165898,0.0294972,0.00665889,0.00736441,0.0125057,0.0170557,0.0104599,0.00857373,0.00936656,0.00279873,0.0207771,0.0131851,0.0136414,0,0.0190184,0,0,0.0263257,0,0.0107969,0.0190948,0.0427249,0.0133984,0.0104518,0.0474569,0.0146508,0.0110278,0.0364281,0.0142827,0.0542514,0.046669,0.0163866,0.0165262,0.0135801,0.0105084,0.0223079,0.0146281,0.00799366,0.00662186,0.00412886,0.0152719,0,0,0,0,0
205,0,0,0,0,0,0,0.0162252,0.00606651,0,0,0,0.010756,0.018858,0.0172295,0,0,0.00845676,0,0.0190992,0.00595891,0.0353439,0.0249916,0.00810748,0.00878616,0.0174154,0.00913967,0.0212701,0.0163474,0.015881,0.0298403,0.00608819,0.00680851,0.011939,0.0173599,0.0118119,0.00841427,0.00938484,0.00266286,0.0203983,0.0131398,0.0137514,0,0.0193843,0,0,0.0264584,0,0.0107714,0.0191945,0.0426852,0.0136214,0.0105266,0.047782,0.0146662,0.0113611,0.0365822,0.0143419,0.0543363,0.0467262,0.0164558,0.0163196,0.0136888,0.0105205,0.0218102,0.0150089,0.00798555,0.0067929,0.00427902,0.0154702,0,0,0,0,0
206,0,0,0,0,0,0,0.0164921,0.00646348,0,0,0,0.0121538,0.0188078,0.0167889,0,0,0.00842994,0,0.0191843,0.00592194,0.0357747,0.0243112,0.00789005,0.00940865,0.0172191,0.00920024,0.0208359,0.0156123,0.0150163,0.030459,0.00533881,0.00622394,0.011298,0.0180917,0.0140908,0.00821126,0.00943722,0.00246088,0.0200137,0.0132125,0.0138327,0,0.0198198,0,0,0.0265764,0,0.0108461,0.0193195,0.0426486,0.0138602,0.0106023,0.0480614,0.0146385,0.0117518,0.0366139,0.0143205,0.0543937,0.0467308,0.0164221,0.016172,0.0137901,0.010502,0.0213191,0.0154973,0.00809583,0.00679201,0.00454939,0.0157342,0,0,0,0,0
207,0,0,0,0,0,0,0.0168245,0.00694154,0,0,0,0.0150391,0.0187763,0.0172562,0,0,0.00839187,0,0.0192201,0.00585333,0.0362952,0.0240227,0.00773979,0.0101888,0.016892,0.00933883,0.0203782,0.0147325,0.0141056,0.0313714,0.00467369,0.00612302,0.0109655,0.0192564,0.0175515,0.00812509,0.00951541,0.00252272,0.0196532,0.0132631,0.0138248,0,0.0202641,0,0,0.0267267,0,0.0108815,0.0194564,0.0426305,0.0140667,0.0107297,0.0482245,0.0145555,0.0122324,0.0365729,0.0142337,0.054364,0.0466481,0.0164053,0.016096,0.0139002,0.0104567,0.0208628,0.0159431,0.00811362,0.00658593,0.00492981,0.0160646,0,0,0,0,0
208,0,0,0,0,0,0,0.0172538,0.00743972,0,0,0,0.0196683,0.0187904,0.0187054,0,0,0.00852157,0,0.0191118,0.00596076,0.0367933,0.024625,0.00767183,0.0113307,0.0164475,0.0095977,0.0199471,0.0137653,0.0133712,0.0325945,0.00451712,0.00704905,0.0108727,0.0207564,0.022288,0.00827991,0.00947321,0.00281235,0.0192994,0.013275,0.0136988,0,0.0207483,0,0,0.0267646,0,0.0108862,0.019552,0.0426528,0.0142419,0.0108872,0.0482436,0.0143984,0.0127451,0.0365579,0.0140874,0.0541871,0.0464938,0.0163456,0.016107,0.0139345,0.0103814,0.0205175,0.016309,0.00808562,0.00675587,0.00539308,0.0164196,0,0,0,0,0
209,0,0,0,0,0,0,0.0177091,0.00796877,0,0,0,0.0257322,0.0187273,0.0209981,0,0,0.00857213,0,0.0190913,0.00593996,0.0372129,0.0263531,0.00780198,0.0128849,0.0158217,0.00991175,0.0197446,0.0128584,0.0129495,0.0340073,0.00559421,0.00897255,0.0108419,0.0223408,0.0283415,0.00850168,0.00948697,0.00284552,0.0189252,0.0133168,0.0134277,0,0.0212256,0,0,0.0267965,0,0.0109319,0.0196648,0.0427494,0.0142853,0.0110172,0.0481145,0.0141997,0.0132542,0.0363713,0.013883,0.0539836,0.0463289,0.0161798,0.0162533,0.0137799,0.0102139,0.0202893,0.016724,0.0082502,0.00687255,0.00590393,0.0168194,0,0,0,0,0
210,0,0,0,0,0,0,0.0181654,0.00847433,0,0,0,0.0314094,0.0186926,0.0232681,0,0,0.00856857,0,0.019104,0.00580769,0.0375071,0.0282055,0.0080665,0.0146857,0.0150875,0.0102501,0.02005,0.0123255,0.0130414,0.0354704,0.00757364,0.0113198,0.0109906,0.023947,0.0349742,0.00874358,0.00950457,0.00274842,0.0185288,0.0133384,0.0131064,0,0.0216818,0,0,0.0269382,0,0.0109613,0.0197345,0.0429438,0.0142889,0.0111189,0.0478947,0.0140962,0.0137442,0.0362029,0.0136919,0.0538192,0.0461657,0.0157988,0.0164187,0.013587,0.00998465,0.0200634,0.0170937,0.00832462,0.00688583,0.00645478,0.0172952,0,0,0,0,0
