Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,RWRB,x73
19,0,0,0,0,0,0,0.00301881,0.00385539,0,0,0,0.0126902,0.0140383,0.0106961,0.00279806,0,0,0.0335016,0,0.0230098,0.0200455,0.0170807,0.0189909,0.0215466,0.0235627,0.00239891,0.0145748,0.00544016,0.00681672,0.00295338,0.0391384,0.0154422,0.0107889,0.00684996,0.0402437,0.0178861,0.0273984,0.0115829,0.00695792,0.0342563,0.0180898,0.0120592,0.00831494,0.00384874,0,0,0.010386,0,0.0145918,0.00559004,0.0814072,0.0211836,0.0483593,0.0216204,0.00696551,0.00359578,0.0257375,0.0223942,0.0254796,0.0350018,0.0147136,0.0361207,0.00607015,0.0213797,0.0406874,0.00714372,0.00831047,0.0040628,0.00142689,0,0,0,0.00612262,0
20,0,0,0,0,0,0,0.00214898,0.00400581,0,0,0,0.0162531,0.0143514,0.0124369,0.00276237,0,0,0.0321916,0,0.0227234,0.0194867,0.0172903,0.0206818,0.0213957,0.0255202,0.0027396,0.0142609,0.00496121,0.00654872,0.00241065,0.0392076,0.0166429,0.0122041,0.00706857,0.0407832,0.0222902,0.0264152,0.0114929,0.00655849,0.0343492,0.0181987,0.013047,0.00815152,0.0033751,0,0,0.0106879,0,0.0146895,0.00580841,0.0814286,0.0221843,0.0486147,0.021918,0.00645085,0.00390155,0.0261791,0.0224085,0.02529,0.03549,0.0148225,0.035513,0.00616905,0.0216595,0.040299,0.0076252,0.00842643,0.00436991,0.000701969,0,0,0,0.00618024,0
21,0,0,0,0,0,0,0.00219632,0.00391126,0,0,0,0.0158623,0.0143433,0.0130473,0.00265584,0,0,0.0327427,0,0.0227778,0.0196952,0.0172924,0.0201892,0.0210696,0.0259916,0.00287956,0.0145925,0.00509011,0.00696138,0.00235603,0.0386117,0.0168042,0.0122292,0.00688485,0.0403088,0.0210835,0.0268791,0.011499,0.00674064,0.0341434,0.0182566,0.0141126,0.00785568,0.00332027,0,0,0.0106953,0,0.0147465,0.00576366,0.0814711,0.0234622,0.0489041,0.0220544,0.00624133,0.00379045,0.0265638,0.0222989,0.0252709,0.0357504,0.0148482,0.034911,0.00630286,0.021895,0.0399267,0.00756773,0.00840298,0.004374,0.000497291,0,0,0,0.00619302,0
22,0,0,0,0,0,0,0.00249871,0.00369927,0,0,0,0.0143609,0.0141727,0.0133327,0.00240562,0,0,0.0337509,0,0.0229716,0.0200844,0.0171685,0.0197792,0.0206936,0.0257279,0.002822,0.0150836,0.00621787,0.00843591,0.00375091,0.0371308,0.0165083,0.0117128,0.00642153,0.0394665,0.0181378,0.0277431,0.0115653,0.00708682,0.0343659,0.0182866,0.0157026,0.00739072,0.00333945,0,0,0.0105724,0,0.0148043,0.00560018,0.0816333,0.025348,0.0493289,0.0220024,0.00639397,0.00360126,0.026378,0.0223455,0.0256687,0.0355829,0.0149582,0.0341371,0.0067885,0.022446,0.0400305,0.00750499,0.0082083,0.00418453,0.000549248,0,0,0,0.00622278,0
23,0,0,0,0,0,0,0.00226411,0.0036949,0,0,0,0.0110575,0.0142567,0.0118543,0.00220526,0,0,0.0332556,0,0.0229052,0.0198181,0.0169477,0.0178675,0.0204243,0.0243039,0.00309908,0.0151553,0.00775749,0.00994701,0.00539564,0.0356361,0.0156812,0.0108429,0.0060183,0.0384767,0.0130438,0.0275172,0.0115737,0.00705708,0.0340486,0.018296,0.0169107,0.00691995,0.00310602,0,0,0.0110144,0,0.0148039,0.00583713,0.0817261,0.0269993,0.0496717,0.0218156,0.00623511,0.00365571,0.0259227,0.0223319,0.0261611,0.0352961,0.014938,0.0333837,0.00731845,0.0226758,0.0393931,0.00787774,0.00830051,0.00417639,0.000315876,0,0,0,0.00625121,0
24,0,0,0,0,0,0,0.00213327,0.00335969,0,0,0,0.00845268,0.0142077,0.00791402,0.00549413,0,0,0.0342653,0,0.0230132,0.020338,0.0169501,0.0125426,0.0209886,0.0209227,0.00797953,0.0149432,0.00854828,0.011108,0.00662675,0.035383,0.0139019,0.0105676,0.00650367,0.0376238,0.00698483,0.0279613,0.0116243,0.00734162,0.0182736,0.0182899,0.0543839,0.00510058,0.00244181,0,0,0.0113906,0,0.0148212,0.0060517,0.0854672,0.0798218,0.0567775,0.0687158,0.00407687,0.0037017,0.0411374,0.0378089,0.0317202,0.0615899,0.0600457,0.0491633,0.0477971,0.0652198,0.0300855,0.00810493,0.00837597,0.00452513,0.00172073,0,0,0,0.0062078,0
25,0,0,0,0,0,0,0.00228331,0.0037584,0,0,0,0.00612323,0.0143967,0.00616247,0.00171529,0,0,0.0335676,0,0.0229484,0.0199947,0.0165022,0.011392,0.0204134,0.0199369,0.00367426,0.0154584,0.0104879,0.0128019,0.00825077,0.0336371,0.0131371,0.010712,0.00569369,0.0364407,0.00554234,0.0279401,0.0116357,0.007276,0.0309836,0.0182419,0.0176582,0.00592535,0.00309556,0,0,0.0110255,0,0.0148539,0.00582965,0.0819452,0.028387,0.0502723,0.0206469,0.00614601,0.00367836,0.0252644,0.0227151,0.0277135,0.0341276,0.0144682,0.031803,0.00785526,0.0218548,0.0368184,0.00783509,0.00823184,0.0043421,0.00037959,0,0,0,0.00599865,0
26,0,0,0,0,0,0,0.00209486,0.00388002,0,0,0,0.00836813,0.0145659,0.00532691,0.00154833,0,0,0.0331732,0,0.0229303,0.019882,0.0164365,0.0115892,0.0200347,0.018906,0.00400947,0.0154752,0.0115476,0.0147125,0.0101545,0.0326934,0.0124979,0.0111283,0.00553732,0.0357661,0.00916418,0.0277422,0.011655,0.00722759,0.0296329,0.0182214,0.0173476,0.00568916,0.0029705,0,0,0.0110766,0,0.014851,0.00584399,0.0820068,0.0276138,0.0505853,0.0198461,0.00608495,0.00368008,0.0251213,0.0226594,0.0289867,0.0332864,0.0138796,0.0310512,0.00800519,0.0208201,0.0353707,0.00790434,0.00822432,0.00442873,0.000497925,0,0,0,0.00591039,0
27,0,0,0,0,0,0,0.00214869,0.00379044,0,0,0,0.00962393,0.0143329,0.00443343,0.00129783,0,0,0.033345,0,0.0229914,0.0199817,0.0164342,0.0142789,0.0196075,0.0174522,0.00437535,0.0156103,0.0119393,0.0156991,0.0109279,0.0325014,0.0118832,0.0113078,0.00542665,0.0351582,0.0102831,0.0278898,0.0116416,0.00734554,0.0291985,0.0182208,0.0171677,0.00531382,0.00301582,0,0,0.011104,0,0.0148445,0.00580803,0.0820114,0.0264089,0.0510259,0.019121,0.00599167,0.00366949,0.0250138,0.0225643,0.0301386,0.0325768,0.0132065,0.0302745,0.00824193,0.0196149,0.0337094,0.00791176,0.00821372,0.00456691,0.00044476,0,0,0,0.00584765,0
28,0,0,0,0,0,0,0.00187317,0.00373133,0,0,0,0.00927002,0.0142355,0.0049361,0.00108295,0,0,0.0332262,0,0.0229657,0.0199017,0.0163879,0.0180987,0.0195919,0.0162264,0.00491507,0.0157449,0.0113366,0.0151477,0.0100016,0.0334739,0.0118292,0.0108905,0.00551125,0.0352237,0.00887481,0.0278235,0.0116313,0.00727687,0.0273989,0.0182252,0.0177121,0.00488653,0.00295177,0,0,0.0110089,0,0.014834,0.0057968,0.0819215,0.0266198,0.0512554,0.0185428,0.00573535,0.00375149,0.0250796,0.0223588,0.0311133,0.0319203,0.0130061,0.0291479,0,0.0189898,0.0311862,0.00800224,0.00819318,0.00487028,0.000329107,0,0,0,0.00586074,0
