Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,RASI
19,0,0,0,0,0,0,0.0227713,0.00876253,0,0,0,0.0321899,0.0140249,0.0287676,0,0,0.0121037,0,0.0215401,0.00730318,0.0394954,0.0396367,0.00303102,0.0228259,0.00572551,0.012611,0.0240662,0.0181668,0.0191177,0,0.0131262,0.00747827,0.0147796,0.0138187,0.0337347,0.00902186,0.0118756,0.00293322,0.0254635,0.0141166,0.0163701,0.0243167,0,0,0.030058,0,0.0112418,0.0199263,0.0436103,0.0173426,0.00841214,0.0459463,0.0119919,0.0179295,0.0418476,0.0203637,0.0621098,0.05372,0.0117859,0.0175355,0.00888218,0.00796956,0.0261136,0.0221972,0.0079336,0.00799719,0.00983661,0.0216902,0,0,0,0,0.0512853
20,0,0,0,0,0,0,0.0220565,0.00824956,0,0,0,0.0311841,0.0141169,0.0236035,0,0,0.0117173,0,0.0215931,0.00732092,0.0426319,0.0302784,0.00827161,0.0064078,0.00627983,0.0132762,0.0240556,0.0154357,0.0115591,0.0363342,0.00614178,0.0104576,0.0120133,0.0262598,0.0328826,0.00909901,0.0118672,0.00290429,0.0224907,0.0142571,0.0124873,0.0232819,0,0,0.0296969,0,0.0112999,0.0196491,0.0435035,0.0138404,0.00837311,0.0446517,0.0139416,0.0169023,0.04028,0.0193653,0.0614186,0.0518125,0.0136017,0.0194467,0.0086095,0.0108891,0.0256066,0.0213535,0.00781705,0.00790451,0.0091664,0.0204755,0,0,0,0,0.0487265
21,0,0,0,0,0,0,0.0223587,0.00853051,0,0,0,0.0306986,0.0141743,0.0238298,0,0,0.0118918,0,0.0217812,0.00743142,0.0429686,0.0296245,0.0085227,0.00524961,0.00671712,0.013554,0.0234666,0.0152553,0.0117512,0.0373097,0.00691604,0.0114896,0.0122877,0.0275264,0.0325412,0.00934643,0.0119017,0.00292311,0.0231379,0.0143003,0.0125145,0.0236719,0,0,0.0301771,0,0.0113352,0.0199161,0.0434527,0.0140198,0.00834729,0.0441341,0.0148327,0.0174785,0.0402394,0.0190667,0.06118,0.051659,0.0136568,0.019436,0.00863384,0.0108735,0.0260756,0.0218047,0.00779782,0.00791436,0.00943258,0.020601,0,0,0,0,0.0485311
22,0,0,0,0,0,0,0.02257,0.00892798,0,0,0,0.0308425,0.0140098,0.023781,0,0,0.0123108,0,0.0218494,0.00765938,0.0432548,0.028867,0.00892531,0.00488181,0.00714782,0.0136116,0.0228754,0.0150732,0.012005,0.0384244,0.00768274,0.0125081,0.0124952,0.0287862,0.0330164,0.00960495,0.0119062,0.0029982,0.0236729,0.0143347,0.0124987,0.0240237,0,0,0.0305469,0,0.0113615,0.0201183,0.043428,0.0140458,0.00834994,0.0436001,0.015679,0.0181189,0.040188,0.018843,0.0610147,0.0514752,0.0137588,0.0194151,0.00873041,0.0108891,0.026543,0.0222507,0.0077467,0.00789687,0.00954399,0.0210488,0,0,0,0,0.0482144
23,0,0,0,0,0,0,0.0227427,0.00948869,0,0,0,0.0315327,0.0138144,0.0235883,0,0,0.0126171,0,0.021864,0.0078269,0.0434238,0.0281794,0.00934487,0.00515141,0.00754494,0.0134927,0.022407,0.0149981,0.0123375,0.0394855,0.00842173,0.013274,0.012671,0.0299221,0.0342798,0.00956246,0.0119042,0.00308479,0.0241166,0.0143696,0.012439,0.0243969,0,0,0.0307939,0,0.0113919,0.0202761,0.0433383,0.0139644,0.0083738,0.0430344,0.0164922,0.0187849,0.0400514,0.0186656,0.0608766,0.051216,0.0137966,0.0193457,0.00885054,0.0109305,0.0269735,0.0227993,0.00770978,0.00788531,0.00959665,0.0214189,0,0,0,0,0.04806
24,0,0,0,0,0,0,0.0229617,0.0102681,0,0,0,0.0330251,0.0137507,0.0237878,0,0,0.0126163,0,0.0218965,0.00786124,0.0433578,0.0280495,0.0096166,0.00584617,0.00796393,0.013352,0.022182,0.0151474,0.0127441,0.0401548,0.00920142,0.013928,0.0130188,0.0308925,0.0361787,0.00920037,0.0119438,0.00306563,0.0246644,0.0143843,0.0122851,0.0248067,0,0,0.0310081,0,0.0114099,0.0203815,0.0434123,0.0139102,0.00836757,0.0424029,0.0173519,0.0194729,0.0398341,0.0184807,0.0606649,0.0509489,0.0135372,0.0192107,0.00917517,0.0108446,0.0275124,0.0233776,0.00766158,0.00787298,0.010436,0.021683,0,0,0,0,0.047749
25,0,0,0,0,0,0,0.0231516,0.0108674,0,0,0,0.0346782,0.0136317,0.0242714,0,0,0.0128316,0,0.0219266,0.00800662,0.0430814,0.0283488,0.00986249,0.00667778,0.00831261,0.0132858,0.0221687,0.0153832,0.0130783,0.040773,0.00995012,0.0146156,0.0133522,0.0317154,0.0379963,0.00922635,0.0119411,0.00312349,0.0252274,0.0143798,0.0120381,0.0251322,0,0,0.0311781,0,0.0114157,0.0204552,0.0435145,0.0139537,0.00829579,0.0417965,0.0181042,0.0201005,0.0396625,0.0183404,0.0604491,0.0506945,0.0133675,0.018977,0.00951738,0.0108089,0.0280887,0.0238597,0.00764541,0.00784431,0.0111761,0.0218394,0,0,0,0,0.0472594
26,0,0,0,0,0,0,0.0232156,0.0112564,0,0,0,0.0363878,0.0136631,0.0250064,0,0,0.012878,0,0.0219585,0.00798702,0.0424599,0.0291526,0.00977726,0.00740534,0.00837166,0.0132267,0.0222576,0.015527,0.0133582,0.0414218,0.0106616,0.0153721,0.0136699,0.0323856,0.0397308,0.00944971,0.0119612,0.00310224,0.02565,0.0143813,0.0120757,0.0252974,0,0,0.0312614,0,0.011424,0.0204703,0.0435966,0.014151,0.00824313,0.0414176,0.0184304,0.0206434,0.039559,0.0183094,0.0604245,0.0505437,0.0134566,0.0185896,0.00992422,0.0108973,0.0284978,0.0241881,0.00756968,0.0078068,0.0116454,0.0218262,0,0,0,0,0.0468567
27,0,0,0,0,0,0,0.0232038,0.011578,0,0,0,0.0374855,0.0138438,0.0260073,0,0,0.012855,0,0.0219825,0.00796385,0.0420985,0.0303676,0.00983269,0.00764053,0.00855221,0.0132052,0.0225489,0.0156844,0.0135096,0.0415909,0.0108943,0.0155369,0.013726,0.0326258,0.0404818,0.00948692,0.0120505,0.00307817,0.0263138,0.0143973,0.0123592,0.0253914,0,0,0.0313979,0,0.0114518,0.0205528,0.0435854,0.0144206,0.00814403,0.041159,0.018731,0.0211399,0.0393776,0.0183103,0.0604438,0.0503513,0.0136418,0.0182041,0.0102973,0.0110827,0.029179,0.0246102,0.00750326,0.00780868,0.011986,0.0217056,0,0,0,0,0.0466779
28,0,0,0,0,0,0,0.0232781,0.0118389,0,0,0,0.0372886,0.0139148,0.0270843,0,0,0.0129333,0,0.022018,0.00810202,0.0418641,0.0315224,0.00985189,0.00737334,0.00888926,0.0132457,0.0230049,0.0158725,0.0135381,0.0412169,0.010704,0.0147554,0.0136684,0.0325511,0.0397952,0.00944392,0.0121022,0.00317644,0.0268731,0.0144269,0.012391,0.0256169,0,0,0.0316214,0,0.0114726,0.0207361,0.0435622,0.0143954,0.00797839,0.0407309,0.0190736,0.0217003,0.0392419,0.0183208,0.060373,0.0502347,0.0137092,0.0178761,0.0107272,0.0112962,0.0300037,0.0250681,0.00742907,0.00789054,0.0124011,0.0216503,0,0,0,0,0.0465642
