Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LILC,x76
22,0,0,0,0,0,0,0.0049858,0.001601,0,0,0,0.0210866,0.0182082,0.00969741,0,0,0.0590726,0,0.0200895,0.0349752,0.024807,0.00786393,0.00393937,0.0119634,0.0277319,0.00601753,0.00845224,0.00986713,0.0448822,0.00900702,0.0114986,0.00844304,0.0338474,0.0269692,0.0455833,0.00988495,0.0113875,0.0106884,0.0160197,0.0140869,0.0040831,0,0,0.00161442,0,0.0129157,0.00191078,0.0820155,0.028113,0.0455642,0.0238608,0.0112709,0.00403997,0.0275539,0.0122085,0.0611721,0.0692455,0.0215917,0.0366702,0.0131821,0.0229142,0.0180878,0.00350478,0.00229163,0.00153456,0.00356927,0.00408087,0,0,0,0,0,0
23,0,0,0,0,0,0,0.00501005,0.00173106,0,0,0,0.0182099,0.0182335,0.00870502,0,0,0.0594582,0,0.0200348,0.0351593,0.0248532,0.00676941,0.00438675,0.0118246,0.0277617,0.00509857,0.00837564,0.0100109,0.0450691,0.00910282,0.0106431,0.00862788,0.034436,0.0235369,0.0457593,0.00983698,0.0116115,0.0103201,0.0160474,0.0137169,0.00421467,0,0,0.00132547,0,0.0129448,0.00196196,0.0821884,0.0279031,0.0456387,0.0232619,0.0114248,0.00392269,0.0273277,0.0122395,0.061116,0.0691047,0.0212232,0.0361741,0.0128821,0.0229086,0.0188107,0.00342216,0.0023646,0.00150738,0.0031746,0.00420757,0,0,0,0,0,0
24,0,0,0,0,0,0,0.00542099,0.00417741,0,0,0,0.00665975,0.018289,0.00489261,0,0,0.0632044,0,0.0202432,0.0373522,0.0215596,0.000905906,0.00800044,0.00326798,0.0287856,0.00296984,0.00756906,0.00824058,0.0436322,0.00995651,0.00883943,0.00931026,0.0373039,0.00856252,0.0483867,0.00994653,0.0122524,0.008919,0.0160891,0.014255,0.00473812,0,0,0.00231031,0,0.012991,0.00154162,0.0809772,0.029027,0.0457875,0.0206528,0.00682719,0.00361961,0.0270819,0.0139763,0.061302,0.067824,0.0206926,0.0371711,0.0133467,0.0229862,0.0177795,0.00325122,0.00331586,0.00179093,0.00341358,0.00472776,0,0,0,0,0.0203861,0
25,0,0,0,0,0,0,0.006192,0.00446822,0,0,0,0.00702234,0.0208654,0.00444128,0,0,0.0898968,0,0.0213308,0.0554384,0.0213763,0.00208238,0.00774068,0.00300124,0.0431428,0.0027296,0.00689067,0.00773207,0.0432118,0.0101492,0.00918467,0.00936947,0.0371951,0.008749,0.0695554,0.00947895,0.0189691,0.00830827,0.0161238,0.0143466,0.0054803,0,0,0.00236466,0,0.0130421,0.00157495,0.0812308,0.0290986,0.0460596,0.0201061,0.00679865,0.00371343,0.0268357,0.0141106,0.0613103,0.0677288,0.0202895,0.0365752,0.0129602,0.0229959,0.0180031,0.00335542,0.00332952,0.00183182,0.00365923,0.0055102,0,0,0,0,0.0203261,0
26,0,0,0,0,0,0,0.00609893,0.00464418,0,0,0,0.00965953,0.0202149,0.00552881,0,0,0.0829265,0,0.0208138,0.0505449,0.0211295,0.0038364,0.00632454,0.00301051,0.039138,0.00286191,0.00572916,0.00776156,0.0430807,0.0101437,0.00980103,0.00932161,0.0365477,0.0112195,0.0640289,0.00983024,0.0165366,0.00737325,0.0161713,0.0147722,0.00545985,0,0,0.00288369,0,0.0130637,0.00166554,0.0815627,0.0293639,0.0466472,0.0192112,0.00657988,0.00396159,0.0265429,0.0142505,0.0614959,0.0674669,0.0197172,0.0359055,0.012525,0.0229273,0.0173157,0.00373673,0.00357958,0.00191051,0.00382183,0.005449,0,0,0,0,0.0203081,0
27,0,0,0,0,0,0,0.00595697,0.00467649,0,0,0,0.0115064,0.0199302,0.00622783,0,0,0.0785584,0,0.0206882,0.0474552,0.0207733,0.00514468,0.00549389,0.00297885,0.0367029,0.00375484,0.00449492,0.00717441,0.0425815,0.00999977,0.00949891,0.00908643,0.0360165,0.0135669,0.0606171,0.0100123,0.0150477,0.00704483,0.0161781,0.0154027,0.00534055,0,0,0.00316919,0,0.0130742,0.00180257,0.0817156,0.0296109,0.0470718,0.0189467,0.00677954,0.00402853,0.0263227,0.0144246,0.0612985,0.067658,0.0193599,0.0351693,0.0122519,0.022812,0.0169194,0.00396991,0.00362862,0.00192586,0.00394688,0.00529615,0,0,0,0,0.020189,0
28,0,0,0,0,0,0,0.0063205,0.00467678,0,0,0,0.0154113,0.0200549,0.00698683,0,0,0.0809443,0,0.0208357,0.0491623,0.0204665,0.00747428,0.00451866,0.00306706,0.0381611,0.00487476,0.00374202,0.00641817,0.0420115,0.00938525,0.00881707,0.00862082,0.0352221,0.0183757,0.0625822,0.00968477,0.0163203,0.00665402,0.0161448,0.0161082,0.00559633,0,0,0.00333435,0,0.0130777,0.00183342,0.0819791,0.0297313,0.0479615,0.01846,0.00690777,0.00391625,0.0260472,0.0147381,0.0611356,0.0678019,0.018715,0.034235,0.0118561,0.0225878,0.0165551,0.00382602,0.00359262,0.00192397,0.00403122,0.00564753,0,0,0,0,0.0200262,0
29,0,0,0,0,0,0,0.00674231,0.0046996,0,0,0,0.0183282,0.0198936,0.0074766,0,0,0.0799066,0,0.0208142,0.0485958,0.020349,0.0108514,0.00382346,0.00307244,0.0377435,0.00599076,0.00400523,0.00506458,0.0409969,0.00883846,0.00882532,0.00846143,0.034566,0.0222197,0.0618246,0.00938514,0.0169502,0.00705745,0.016089,0.0164392,0.00584868,0,0,0.0034358,0,0.0130432,0.0017847,0.0821012,0.0295777,0.0486945,0.0182623,0.00692215,0.0037672,0.0258468,0.0150415,0.060625,0.0682672,0.0181312,0.033325,0.011417,0.0221003,0.0162507,0.00359098,0.00356856,0.00193176,0.00408172,0.00607316,0,0,0,0,0.0196572,0
30,0,0,0,0,0,0,0.00595233,0.00448667,0,0,0,0.0185904,0.0180869,0.00975078,0,0,0.0609171,0,0.020193,0.0358293,0.0205696,0.0142618,0.00277751,0.0032001,0.0278747,0.00660098,0.00462446,0.00412381,0.0402863,0.00924935,0.00996764,0.00884046,0.0339867,0.0233119,0.0469591,0.00996104,0.0117464,0.00773356,0.0160333,0.0169882,0.00506588,0,0,0.00369559,0,0.0129761,0.00185932,0.0821601,0.0295203,0.0495595,0.017947,0.00691299,0.0038122,0.0255775,0.015265,0.060076,0.0688372,0.0174754,0.0323407,0.0110233,0.0214939,0.0157482,0.00365987,0.00370859,0.00200121,0.00384578,0.00533527,0,0,0,0,0.0193252,0
31,0,0,0,0,0,0,0.00714237,0.00480952,0,0,0,0.0159528,0.0202181,0.0114788,0,0,0.0814989,0,0.0208138,0.0495545,0.0210616,0.0164201,0.00276283,0.00391807,0.0389397,0.00652795,0.0048279,0.00452686,0.0405955,0.0097875,0.0105882,0.00889662,0.0340109,0.0207392,0.0632634,0.0093746,0.0170492,0.00919657,0.0159755,0.0176774,0.00605813,0,0,0.00369379,0,0.0129588,0.00172611,0.0821596,0.0294351,0.0501728,0.017465,0.00635763,0.00387418,0.0251419,0.0154926,0.059333,0.0694871,0.016686,0.0312543,0.0107184,0.0207183,0.0150043,0.00332618,0.00371188,0.00202148,0.00406387,0.00640052,0,0,0,0,0.0191863,0
32,0,0,0,0,0,0,0.00714862,0.00491368,0,0,0,0.0134878,0.0207569,0.0107393,0,0,0.0857901,0,0.0209821,0.052475,0.0215039,0.0184717,0.00277276,0.00470509,0.0412674,0.00630047,0.00514709,0.00627243,0.0419834,0.0098053,0.0102326,0.00898235,0.0348467,0.0176895,0.0666559,0.00956018,0.0175276,0.0111826,0.0159258,0.0183051,0.00617168,0,0,0.00381413,0,0.0129207,0.00164365,0.0821368,0.0291037,0.0506124,0.0168736,0.00605469,0.00402133,0.0247159,0.0157969,0.0585001,0.0701646,0.0159033,0.0300794,0.0105345,0.0197705,0.0141777,0.00321871,0.0037557,0.00204067,0.00408302,0.00651904,0,0,0,0,0.0192418,0
33,0,0,0,0,0,0,0.00685157,0.00521987,0,0,0,0.0124689,0.0203761,0.00975947,0,0,0.0797016,0,0.0205375,0.0482847,0.0217587,0.0207637,0.0034077,0.0059047,0.0379881,0.00660439,0.00590688,0.00771542,0.0434513,0.00978134,0.00943249,0.00927512,0.0362201,0.0146898,0.0618209,0.00999509,0.0152047,0.0118147,0.0159164,0.0201688,0.00602557,0,0,0.00409175,0,0.0128919,0.001607,0.0824332,0.0298612,0.0513902,0.0156036,0.00560315,0.00441848,0.0240483,0.016419,0.05791,0.0705704,0.0150442,0.0284294,0.0108097,0.0192396,0.0136033,0.0033767,0.00382502,0.00209653,0.00431242,0.00631242,0,0,0,0,0.0192869,0
34,0,0,0,0,0,0,0.00746935,0.00563753,0,0,0,0.0163885,0.0208864,0.0125892,0,0,0.084784,0,0.0208709,0.051953,0.021787,0.0229298,0.0047003,0.00841617,0.0411208,0.00741502,0.00755288,0.00966614,0.0454677,0.0105022,0.0109425,0.0102305,0.036779,0.0206561,0.0660931,0.0098686,0.0167521,0.0201021,0.0157449,0.0283061,0.00645697,0,0,0.0041619,0,0.0127592,0.00170649,0.083421,0.0383525,0.0538298,0.0148405,0.00445428,0.0049213,0.0223043,0.0197463,0.058272,0.0703204,0.0163629,0.0255743,0.0138281,0.022655,0.00959199,0.00354356,0.00385642,0.0021749,0.00473698,0.00697647,0,0,0,0,0.0189569,0
