Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,
503,0.017176,0,0,0,0,0.0449432,0,0,0,0,0,0,0.0396955,0,0.0191091,0.0663312,0,0,0.0147486,0,0,0.036101,0.0781709,0.0210784,0.0150876,0.0127548,0.0317784,0.0365474,0.0819709,0.0466335,0.0994207,0.0158766,0.0174666,0.0305976,0.0321945,0.00549941,0.0128009,0.0183376,0.0490536,0,0.0166389,0.0656587,0.029552,0,0,0.0134186,0,0,0.0457779,0.0554616,0.0240769,0.022352,0.0162314,0.0449518,0.0405351,0.042487,0.0716343,0.0649371,0.0211171,0.0663096,0,0.052097,0.0845992,0.0133596,0.0183622,0.00786159,0.0249256,0.0259331,0.0320794,0.00813791,0
504,0.0172802,0,0,0,0,0.0448897,0,0,0,0,0,0,0.0395135,0,0.0192272,0.0663581,0,0,0.0151906,0,0,0.035459,0.0782844,0.0210558,0.0151157,0.0126282,0.0317023,0.0368148,0.0818635,0.0464213,0.0991557,0.0158398,0.0174149,0.030448,0.0321238,0.00566619,0.012856,0.0188857,0.0488185,0,0.0167045,0.065667,0.029659,0,0,0.0135926,0,0,0.0455588,0.0554069,0.0241697,0.0224775,0.0163668,0.0449831,0.040216,0.0425062,0.0715923,0.0648814,0.0210803,0.0663324,0,0.0521023,0.0846219,0.0131872,0.0177301,0.00734164,0.0254074,0.0261602,0.0320874,0.00785807,0
505,0.0174219,0,0,0,0,0.0448803,0,0,0,0,0,0,0.0393621,0,0.0193156,0.0664095,0,0,0.0155586,0,0,0.0350787,0.0783809,0.0211182,0.015137,0.0125921,0.0316487,0.0370976,0.0817712,0.04623,0.0989058,0.0157921,0.0173097,0.03034,0.0320361,0.00582589,0.0130686,0.0196119,0.0486325,0,0.0167148,0.0656713,0.029778,0,0,0.0139608,0,0,0.0454545,0.0554634,0.0241995,0.0226463,0.0164741,0.045049,0.0399867,0.0423262,0.071583,0.0648408,0.0210764,0.0663394,0,0.052086,0.0845911,0.0130164,0.0169956,0.00726008,0.0257064,0.0263868,0.0320916,0.00780336,0
506,0.0176021,0,0,0,0,0.0449022,0,0,0,0,0,0,0.0391642,0,0.0193876,0.0665214,0,0,0.0158828,0,0,0.0347191,0.0785455,0.0211096,0.0151489,0.0125767,0.0315582,0.0373664,0.0816657,0.0461969,0.0987358,0.015783,0.0173712,0.0303253,0.0318837,0.006001,0.0132744,0.0202736,0.0485908,0,0.0166476,0.0657308,0.0299072,0,0,0.0145329,0,0,0.0453802,0.0560907,0.0240792,0.0228996,0.0165503,0.0451739,0.039667,0.0423386,0.0716473,0.0647818,0.0211811,0.0663319,0,0.0520532,0.0845611,0.0129595,0.0170167,0.00720529,0.0258429,0.0266088,0.0320811,0.00789687,0
507,0.0177673,0,0,0,0,0.0449249,0,0,0,0,0,0,0.0389402,0,0.0193719,0.0666662,0,0,0.0160884,0,0,0.0344096,0.0787032,0.0209071,0.015138,0.0126423,0.0314283,0.0376207,0.0815748,0.0460848,0.0985731,0.015856,0.0173701,0.0301935,0.0317654,0.00613494,0.0134716,0.0210765,0.0485352,0,0.01664,0.0657463,0.0300407,0,0,0.0150786,0,0,0.045344,0.0566013,0.0241034,0.02315,0.0167066,0.0453546,0.0393146,0.0424895,0.071669,0.0646727,0.0212779,0.066329,0,0.0521008,0.0845994,0.0129588,0.0170466,0.0071388,0.0260899,0.0267132,0.032073,0.00794623,0
508,0.0177675,0,0,0,0,0.044967,0,0,0,0,0,0,0.0390893,0,0.0193111,0.0668147,0,0,0.0165574,0,0,0.0338491,0.0789215,0.0205874,0.0153626,0.0129238,0.0315917,0.0383086,0.0817472,0.04565,0.0983296,0.0158801,0.0172933,0.0299966,0.031632,0.0057581,0.0135112,0.0219526,0.0468539,0,0.0172774,0.0654614,0.0299534,0,0,0.0156349,0,0,0.0452204,0.0528539,0.0246545,0.0230246,0.0177966,0.0451849,0.0391787,0.0420352,0.0710778,0.0645998,0.0216047,0.0664425,0,0.0523238,0.0848449,0.0118425,0.01686,0.0072075,0.0263901,0.0266337,0.0323166,0.00789859,0
509,0.0170709,0,0,0,0,0.0442168,0,0,0,0,0,0,0.0381466,0,0.0193168,0.0676522,0,0,0.0178044,0,0,0.0329617,0.0782168,0.0204565,0.0136533,0.012494,0.0319991,0.0394742,0.0812998,0.0454916,0.0978906,0.0155991,0.0172077,0.0298796,0.0313117,0.00654212,0.0131078,0.02371,0.0460398,0,0.0185101,0.063138,0.0293022,0,0,0.0138159,0,0,0.0370946,0,0.0232393,0.0190302,0.0191428,0.0448303,0.038349,0.0398181,0.0680025,0.0627911,0.0214408,0.0691433,0,0.0550771,0.0874701,0.0106107,0.0166737,0,0.0266764,0.0257067,0.0337104,0.00773964,0
510,0.0169321,0,0,0,0,0.0441797,0,0,0,0,0,0,0.0392209,0,0.0191332,0.0688487,0,0,0.0181695,0,0,0.0327719,0.0781821,0.0202926,0.0143963,0.012929,0.0326196,0.0401977,0.0820306,0.0446057,0.0975828,0.0153643,0.0169071,0.0295902,0.030986,0.00522663,0.0132452,0.0248905,0.0331471,0,0.0227142,0.0618688,0.0291647,0,0,0.0141202,0,0,0.0371971,0,0.0251694,0.019405,0,0.0446512,0.0380604,0.0413967,0.0656756,0.0581446,0.0185394,0.070083,0,0.0556521,0.0896397,0.0150794,0.0165182,0,0.0270058,0.025483,0.0340582,0.00760574,0
511,0.016294,0,0,0,0,0.0431487,0,0,0,0,0,0,0.0439226,0,0.0194309,0.0668531,0,0,0.0176296,0,0,0.0288105,0.0806483,0.020089,0.0180657,0.0146562,0.0376242,0.0388507,0.0842577,0.0420202,0.0967761,0.0159709,0.0165606,0.0289985,0.0309672,0.00451605,0.0154159,0.0291695,0.0297769,0,0.0244701,0.0633933,0.0276665,0,0,0.0145219,0,0,0.0371477,0.081081,0.0323479,0.0229349,0.0260871,0.0430022,0.0373587,0.0360359,0.0654438,0.0650251,0.0259935,0.0673209,0,0.0532539,0.0860931,0.0193231,0.0153044,0,0.0271057,0.0240194,0.0360873,0,0
512,0.0163893,0,0,0,0,0.0431942,0,0,0,0,0,0,0.0439785,0,0.0198374,0.0669716,0,0,0.0178741,0,0,0.0291563,0.0806358,0.019864,0.0179728,0.0150252,0.0382507,0.0393779,0.0845685,0.0414415,0.0964487,0.0159682,0.0165292,0.0287674,0.0307465,0.0046304,0.0156771,0.029552,0.02881,0,0.024724,0.0632861,0.0275043,0,0,0.0145135,0,0,0.0371693,0.0852019,0.0326077,0.023118,0.0265517,0.0430106,0.0373394,0.0356657,0.0651033,0.0648877,0.0259585,0.0674831,0,0.0534222,0.086278,0.0203728,0.0151741,0,0.0274218,0.0239551,0.0361614,0,0
513,0.0166575,0,0,0,0,0.043278,0,0,0,0,0,0,0.0436007,0,0.0202785,0.067541,0,0,0.0176231,0,0,0.0292524,0.0801596,0.0196171,0.0176755,0.0151815,0.0376619,0.0394243,0.0847626,0.0410298,0.0961926,0.0157083,0.0165031,0.0286242,0.0303593,0.00442946,0.0158077,0.0293908,0.027999,0,0.0234443,0.0629687,0.0275879,0,0,0.0143304,0,0,0.0372317,0.0819343,0.0307615,0.0229785,0.0275103,0.0431947,0.0372959,0.0359344,0.0650633,0.0643482,0.025196,0.0678205,0,0.0537463,0.0867701,0.0211786,0.0152723,0,0.0277405,0.0240181,0.0358121,0,0
514,0.0169615,0,0,0,0,0.0440548,0,0,0,0,0,0,0.0433476,0,0.0206517,0.0676723,0,0,0.0197672,0,0,0.0336472,0.079964,0.0194853,0.0175533,0.0151228,0.0369079,0.0446349,0.0848218,0.0406964,0.0958613,0.0154609,0.0165461,0.0285007,0.0299571,0.00448251,0.0139251,0.0268363,0.0287294,0,0.0231138,0.0630252,0.0275765,0,0,0.0135144,0,0,0.036938,0.0793047,0.0303056,0.0230736,0.0272076,0.0435774,0.0371411,0.0364451,0.0654332,0.0642341,0.0247034,0.0677926,0,0.0537001,0.0867361,0.0203436,0.0161634,0,0.0272675,0.0246307,0.0354132,0.00880307,0
515,0.0171467,0,0,0,0,0.0441663,0,0,0,0,0,0,0.043328,0,0.0208632,0.0676702,0,0,0.0195956,0,0,0.033936,0.0799268,0.0193251,0.0176392,0.0148554,0.036341,0.0450913,0.0848515,0.0403223,0.0955343,0.0152359,0.0165459,0.028335,0.0296198,0.00468405,0.0141865,0.0263901,0.0291867,0,0.0228807,0.0632681,0.0273527,0,0,0.0131481,0,0,0.0367668,0.0775558,0.0298886,0.0230828,0.0269963,0.0435677,0.0371013,0.0365764,0.0655257,0.0640573,0.0243501,0.0679343,0,0.0538245,0.086838,0.0197981,0.0164915,0,0.0269453,0.0247654,0.035245,0.00903972,0
516,0.0173257,0,0,0,0,0.0442942,0,0,0,0,0,0,0.0429562,0,0.0209764,0.0675886,0,0,0.0194158,0,0,0.0340104,0.0798917,0.019143,0.0175996,0.0143798,0.0357746,0.0456212,0.0847717,0.0400797,0.0952182,0.0150598,0.0163058,0.028114,0.0293998,0.0046646,0.014503,0.0261438,0.0296405,0,0.022631,0.0635883,0.0270545,0,0,0.0127399,0,0,0.0366547,0.0762365,0.0295024,0.0231657,0.0266347,0.0434795,0.0370357,0.0367082,0.0656511,0.0639644,0.0240322,0.0680509,0,0.0539074,0.0868945,0.019285,0.0168514,0,0.0266549,0.0249528,0.0350975,0.00892637,0
517,0.016857,0,0,0,0,0.0440798,0,0,0,0,0,0,0.0415414,0,0.0213716,0.0665473,0,0,0.0199268,0,0,0.0340818,0.079771,0.0192316,0.016309,0.0133907,0.0357413,0.0476383,0.083967,0.0400304,0.0947186,0.0150809,0.0161135,0.0277884,0.029228,0.00439232,0.0149365,0.0268158,0.0281855,0,0.0228246,0.0634008,0.0261125,0,0,0.0125223,0,0,0.0366955,0.0761406,0.025506,0.0197617,0.0264345,0.0425077,0.0370923,0.0348151,0.0632787,0.0619862,0.0226006,0.0711279,0,0,0.0901378,0.0203448,0.0169872,0,0.0265962,0.0246137,0.0359729,0.00901897,0
