Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTIBI,RTHI,
19,0.0259206,0,0,0,0,0.0478145,0,0,0,0,0,0,0.0221399,0,0.0253059,0.0696236,0,0,0.0152736,0,0,0.0351327,0.0763583,0.0202541,0.0132673,0.013659,0.0270122,0.0347999,0.0471782,0.0481709,0.0250526,0.0128148,0.0146806,0.0275409,0.0272973,0.0270453,0.0133113,0.00881575,0.0145593,0.0363568,0,0.0124514,0.0721541,0.0336905,0,0,0.0230666,0,0,0.0422313,0.0588181,0.0290835,0.034702,0.00906918,0.0498968,0.037927,0.121534,0.050577,0.0197069,0.062533,0.040989,0.0791874,0.0156558,0.0168211,0.00807426,0.0223601,0.0286959,0.0231556,0.0478605,0.0408867,0
20,0.025926,0,0,0,0,0.0473342,0,0,0,0,0,0,0.0223584,0,0.025159,0.0698335,0,0,0.0155093,0,0,0.0350907,0.0762559,0.0202616,0.0133672,0.0137894,0.02696,0.0343434,0.0472336,0.0482796,0.0251168,0.0129819,0.0150172,0.0276175,0.0274185,0.026684,0.0129525,0.00882573,0.0145373,0.0361414,0,0.0125014,0.0723975,0.0337468,0,0,0.0188636,0,0,0.0363359,0.0585913,0.029124,0.034538,0.00900117,0.049958,0.0372181,0.121522,0.0506377,0.019729,0.062471,0.0409993,0.0792317,0.0158541,0.0163393,0,0.0229718,0.0283951,0.0235433,0.0478678,0.0409237,0
21,0.0258951,0,0,0,0,0.0472982,0,0,0,0,0,0,0.0225842,0,0.0250353,0.069983,0,0,0.0155291,0,0,0.0350347,0.0761308,0.0202845,0.0134032,0.0139717,0.0270239,0.0342608,0.0472759,0.0483522,0.0252035,0.0131056,0.0152269,0.0276968,0.0275418,0.0263522,0.012963,0.00867711,0.0147528,0.0359259,0,0.0125279,0.0724664,0.0338672,0,0,0.0191805,0,0,0.036592,0.0584337,0.0291662,0.0344946,0.00897074,0.0500308,0.0373039,0.121475,0.0507049,0.0196195,0.0625176,0.0410778,0.079313,0.0159982,0.0161023,0,0.0232234,0.0283077,0.0236878,0.0478819,0.040845,0
22,0.0258779,0,0,0,0,0.0472613,0,0,0,0,0,0,0.0227479,0,0.0249708,0.0700439,0,0,0.0155496,0,0,0.0349558,0.0759837,0.0202808,0.0133776,0.0141349,0.0272292,0.0341817,0.0473204,0.0484436,0.0252639,0.0131235,0.0153012,0.027741,0.0276159,0.0260973,0.0129328,0.00857152,0.0148942,0.0357398,0,0.012497,0.0723017,0.0340324,0,0,0.0194926,0,0,0.0367156,0.0583272,0.0291762,0.0345947,0.00895585,0.0502068,0.0375909,0.121406,0.0508853,0.0194265,0.0626131,0.0411551,0.0793719,0.0161456,0.0158645,0,0.023446,0.0282875,0.023755,0.047878,0.0405957,0
23,0.0258586,0,0,0,0,0.0472361,0,0,0,0,0,0,0.0229046,0,0.0249636,0.0700689,0,0,0.015534,0,0,0.0348671,0.0758476,0.02024,0.0133357,0.0142146,0.0274772,0.0340884,0.0473274,0.0485167,0.0252928,0.0130924,0.015313,0.0277687,0.0276192,0.0258318,0.0128968,0.00855462,0.0148939,0.0356209,0,0.0125646,0.0720644,0.0342477,0,0,0.0197596,0,0,0.0367486,0.0582381,0.0291935,0.0347249,0.00899807,0.0504047,0.0380429,0.12134,0.0509864,0.0192506,0.0627017,0.0412456,0.0794083,0.0162579,0.0157201,0,0.023589,0.0282657,0.0237461,0.0479871,0.0403903,0
24,0.0258372,0,0,0,0,0.0471741,0,0,0,0,0,0,0.0231238,0,0.0250087,0.0701633,0,0,0.0154912,0,0,0.0347883,0.0757094,0.0201891,0.01335,0.0142418,0.0276818,0.034002,0.0472108,0.0484803,0.0253215,0.0130572,0.0153612,0.0277653,0.0275951,0.0254835,0.0129036,0.00856131,0.0148397,0.0355533,0,0.0126411,0.0721661,0.0344061,0,0,0.0199913,0,0,0.0368489,0.0580864,0.0291531,0.0346559,0.00905196,0.0504745,0.0382106,0.121303,0.0508937,0.019209,0.0628179,0.0413206,0.0794993,0.0163114,0.0157314,0,0.0237373,0.0282106,0.0237611,0.0480561,0.040621,0
25,0.0258332,0,0,0,0,0.047059,0,0,0,0,0,0,0.0233203,0,0.0250276,0.0702947,0,0,0.0153947,0,0,0.0347756,0.0756647,0.0201229,0.013429,0.0142288,0.027805,0.0338794,0.0471089,0.0484362,0.0253005,0.0130309,0.0153749,0.0277546,0.0275831,0.0251725,0.0129542,0.00857963,0.0148241,0.0355346,0,0.0126333,0.0722119,0.0345101,0,0,0.0201857,0,0,0.037007,0.0579949,0.0290908,0.0348676,0.00910802,0.0504601,0.0380572,0.121234,0.0507892,0.0191661,0.0628879,0.0414031,0.0796166,0.0163166,0.015814,0,0.0239039,0.0281576,0.0237702,0.0479983,0.0406428,0
26,0.025854,0,0,0,0,0.047018,0,0,0,0,0,0,0.0234614,0,0.025032,0.0703971,0,0,0.0152826,0,0,0.0348747,0.0756603,0.0200523,0.0135075,0.0142161,0.0278597,0.0337279,0.0470236,0.0484173,0.0252492,0.0130438,0.0154016,0.0277187,0.0275734,0.0249386,0.0130638,0.00864991,0.0147883,0.0355791,0,0.0126563,0.0720826,0.0345935,0,0,0.0203327,0,0,0.0370688,0.0579476,0.0290445,0.0352531,0.00917075,0.0503873,0.0380994,0.121165,0.0508141,0.0191208,0.0629554,0.0414764,0.0796995,0.0162541,0.0158497,0,0.023961,0.028149,0.023736,0.0480486,0.0405621,0
27,0.0258891,0,0,0,0,0.0470269,0,0,0,0,0,0,0.0236048,0,0.0250215,0.0703834,0,0,0.0152148,0,0,0.0350684,0.0756723,0.019985,0.013541,0.0142285,0.027744,0.0335916,0.04693,0.0484039,0.0251499,0.0130969,0.0153645,0.0276875,0.0275416,0.024726,0.0131628,0.00873059,0.0147151,0.0355945,0,0.012735,0.0721557,0.03466,0,0,0.0203689,0,0,0.0370465,0.0579143,0.0290096,0.03487,0.00922122,0.0503074,0.0382717,0.121094,0.0509068,0.0191249,0.0629961,0.0415276,0.0797153,0.0162354,0.0158361,0,0.0239061,0.0281493,0.0236588,0.0482432,0.0406036,0
28,0.0259068,0,0,0,0,0.0470325,0,0,0,0,0,0,0.0237346,0,0.0250166,0.0704068,0,0,0.0151287,0,0,0.0350897,0.0757117,0.0199185,0.0136227,0.014265,0.0275485,0.0334448,0.0467815,0.0483294,0.0249902,0.0131319,0.0152409,0.0276458,0.0274724,0.0245346,0.0132894,0.00879102,0.0145524,0.035595,0,0.012805,0.072262,0.0346845,0,0,0.0203227,0,0,0.0370294,0.057953,0.0289942,0.0345592,0.00922821,0.0501605,0.0382891,0.121026,0.0509793,0.0192212,0.0630192,0.0415469,0.0797261,0.0162508,0.0158577,0,0.0237903,0.0281357,0.0235865,0.0483886,0.040682,0
29,0.0259118,0,0,0,0,0.0470426,0,0,0,0,0,0,0.0238365,0,0.0250352,0.0704419,0,0,0.0150491,0,0,0.0350652,0.075784,0.0198475,0.0137375,0.0143755,0.0273549,0.033349,0.0465047,0.0481552,0.0248076,0.0131882,0.0151178,0.0275894,0.0273857,0.0243755,0.0134267,0.00885254,0.0143785,0.0356061,0,0.0128469,0.0722695,0.0346943,0,0,0.0203326,0,0,0.0370326,0.0580776,0.0290218,0.0344381,0.00924957,0.049968,0.0382368,0.120962,0.0510008,0.0190704,0.0630174,0.0415742,0.0797641,0.0162259,0.0159178,0,0.0237386,0.0281162,0.0235324,0.048425,0.0407288,0
30,0.0259058,0,0,0,0,0.0470675,0,0,0,0,0,0,0.0239997,0,0.0250656,0.0704901,0,0,0.0149891,0,0,0.0350928,0.075856,0.0197853,0.0138505,0.0144049,0.0271445,0.0332645,0.04633,0.0479755,0.0246485,0.0131997,0.0150833,0.0275526,0.0273519,0.0241152,0.0135689,0.00892715,0.0142168,0.035615,0,0.0128633,0.0722424,0.0346989,0,0,0.0203716,0,0,0.0370527,0.0582205,0.029072,0.0343536,0.00928819,0.0497662,0.0382141,0.120894,0.0509833,0.0189746,0.0630174,0.0416251,0.0798262,0.0161984,0.0160002,0,0.0237547,0.0281271,0.023489,0.0483901,0.0407987,0
31,0.0259303,0,0,0,0,0.0471302,0,0,0,0,0,0,0.0242438,0,0.0250984,0.0705211,0,0,0.0149834,0,0,0.0351991,0.0758962,0.0197394,0.0139047,0.0143547,0.0270097,0.0332002,0.0463007,0.0478932,0.0245492,0.0131808,0.0151081,0.027547,0.0273583,0.023791,0.0136316,0.00898047,0.0141289,0.0356135,0,0.0128791,0.0722,0.0347298,0,0,0.0204236,0,0,0.037025,0.0583197,0.0291022,0.0342632,0.00932049,0.04961,0.0380155,0.120827,0.0509666,0.0190033,0.06301,0.0416932,0.0798667,0.0162026,0.0160873,0,0.0236957,0.0281736,0.0234458,0.0483694,0.0408221,0
32,0.025955,0,0,0,0,0.0471769,0,0,0,0,0,0,0.0244388,0,0.0251727,0.0705901,0,0,0.0150077,0,0,0.0353786,0.0759562,0.0197258,0.0139783,0.0143652,0.0268931,0.0331374,0.0461636,0.0478617,0.0244558,0.0131866,0.0151201,0.0275053,0.0273108,0.0235257,0.0136834,0.00905849,0.0141102,0.0354824,0,0.012947,0.0721847,0.0347328,0,0,0.0204648,0,0,0.0369614,0.0584033,0.0290991,0.0342268,0.00934899,0.0495037,0.0377032,0.120742,0.0509746,0.0190376,0.0630233,0.0417648,0.0798419,0.0163025,0.0161581,0,0.0236272,0.0281927,0.0234217,0.0483918,0.0407161,0
33,0.0259766,0,0,0,0,0.0472086,0,0,0,0,0,0,0.0244619,0,0.0252162,0.070662,0,0,0.0150379,0,0,0.0354539,0.0760138,0.0197171,0.0140517,0.0144806,0.0267934,0.0331237,0.0459177,0.0477738,0.0243594,0.0131964,0.0151045,0.0274486,0.0272173,0.0234283,0.0137251,0.00911506,0.0140878,0.0352732,0,0.0130126,0.072195,0.0347085,0,0,0.0204608,0,0,0.0368274,0.0584895,0.0290295,0.0341714,0.00934702,0.0494392,0.037436,0.120614,0.0512775,0.0190148,0.0631162,0.0418302,0.0798885,0.0164954,0.0161736,0,0.0234356,0.028194,0.023409,0.0484474,0.0404652,0
34,0.0267941,0,0,0,0,0.0475012,0,0,0,0,0,0,0.024903,0,0.0255016,0.0702199,0,0,0.0149701,0,0,0.0355546,0.076604,0.0199974,0.0148595,0.0147552,0.0263663,0.0321287,0.0456899,0.0476625,0.0249758,0.0134233,0.0152573,0.0274652,0.0272532,0.0228173,0.014285,0.00940928,0.0134423,0.0372411,0,0.0137693,0.0739688,0.0353093,0,0,0.0203404,0,0,0.0368363,0.0566647,0.0273601,0.0371908,0.0102537,0.0506906,0.0370049,0.117866,0,0.0148016,0.062108,0.0411872,0.0800543,0.015,0.0164641,0,0.0232988,0.0287497,0.022472,0.0478396,0.0448678,0
