Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,,RTIBA
884,0.0225375,0,0,0,0,0.0503329,0,0,0,0,0,0,0.0295575,0,0.0250855,0.0724738,0,0,0.0114079,0,0,0.0383218,0.0781204,0.0191511,0.0170096,0.0123504,0.0282732,0.0302561,0.0754646,0.0447884,0.094657,0.0156279,0.0163061,0.0266954,0.0278077,0.0158997,0.0115972,0.0106307,0.0175617,0.0264344,0,0.0148789,0.0676969,0.0297906,0,0,0.0206269,0,0,0.0377501,0.0579771,0.0291259,0.0318461,0.00500266,0.0502804,0.0415765,0.046434,0.07596,0.0666947,0.0180953,0.0657241,0.0507378,0.0813934,0.0251634,0.0227055,0.021905,0,0.0305214,0.0261845,0,0.0434954
885,0.0249326,0,0,0,0,0.0515105,0,0,0,0,0,0,0.0297085,0,0.0251927,0.0720318,0,0,0.0106969,0,0,0.0375119,0.0788155,0.0194207,0.0185409,0.012792,0.0288905,0.0273454,0.0754508,0.045249,0.095071,0.0158492,0.0165522,0.0269002,0.0281216,0.015855,0.0131107,0.0115423,0.0157961,0.031066,0,0,0.0716872,0.0316396,0,0,0.0198309,0,0,0.0380198,0.0530795,0.0320518,0.0413129,0.00894922,0.0563466,0.041112,0,0,0.0689936,0.0172852,0.0598701,0.0449321,0.0762396,0.0189548,0.0229475,0.0221336,0,0.0327371,0.0235673,0,0.0403396
886,0.0228039,0,0,0,0,0.0503485,0,0,0,0,0,0,0.0295319,0,0.0248825,0.0724034,0,0,0.0137296,0,0,0.0382601,0.0779083,0.0189479,0.0166059,0.0124384,0.0287178,0.0303547,0.0756196,0.0449074,0.0948516,0.0155229,0.0162114,0.0266236,0.0278329,0.0159611,0.0104004,0.012497,0.016556,0.0262152,0,0.0149245,0.0676532,0.0300637,0,0,0.0200902,0,0,0.0388379,0.0579818,0.0292396,0.0316242,0.00492349,0.050509,0.0416163,0.0464935,0.0760447,0.0666733,0.0180381,0.0656334,0.0506577,0.0813245,0.0254253,0.0232017,0.0226114,0,0.0305618,0.0259178,0,0.0433938
887,0.0229677,0,0,0,0,0.0503996,0,0,0,0,0,0,0.0294692,0,0.0247662,0.0723146,0,0,0.0144873,0,0,0.0383059,0.0778007,0.0188788,0.0164362,0.0125059,0.0289504,0.0303356,0.075667,0.0450252,0.0949525,0.0154644,0.0161646,0.0266346,0.027854,0.0160087,0.010024,0.0133939,0.0167768,0.026118,0,0.0149418,0.0674735,0.0303072,0,0,0.0198976,0,0,0.0394777,0.057937,0.0293358,0.0316447,0.00487929,0.0506051,0.0416041,0.0465699,0.0761104,0.0666371,0.0180422,0.0655985,0.0505968,0.0812772,0.0255831,0.0236727,0.0230372,0,0.0305961,0.0257836,0,0.0433415
888,0.0231174,0,0,0,0,0.0504274,0,0,0,0,0,0,0.02938,0,0.0246746,0.0722838,0,0,0.0150899,0,0,0.0383815,0.0777051,0.0188313,0.0162154,0.0125255,0.0292639,0.0303645,0.0757305,0.0451444,0.0950522,0.0153922,0.0161213,0.0266481,0.0278822,0.0160855,0.0097258,0.0139129,0.0166629,0.0260536,0,0.0149461,0.0674055,0.0307205,0,0,0.0198343,0,0,0.0401069,0.0578995,0.0294345,0.0316282,0.00482207,0.0507186,0.0416088,0.0466583,0.0761389,0.0666453,0.0180412,0.0655438,0.0505065,0.0812067,0.0257246,0.0241572,0.0234711,0,0.0306098,0.0256428,0,0.0432894
889,0.0232725,0,0,0,0,0.0505522,0,0,0,0,0,0,0.0293067,0,0.0245864,0.0722637,0,0,0.0155496,0,0,0.0384602,0.0776035,0.0187639,0.0160324,0.0125881,0.0296086,0.0303671,0.0757814,0.0452605,0.0951811,0.0153075,0.0160639,0.026654,0.0279191,0.0162257,0.0095639,0.0143658,0.0164671,0.0259415,0,0.0149071,0.0674052,0.0309848,0,0,0.0198355,0,0,0.0407186,0.0578668,0.0295436,0.0316424,0.00477327,0.0509074,0.0415365,0.0467682,0.0762153,0.0666883,0.0179959,0.065456,0.0503976,0.0811167,0.0258902,0.024503,0.0238287,0,0.030661,0.0254853,0,0.0432111
890,0.0234284,0,0,0,0,0.0507157,0,0,0,0,0,0,0.02924,0,0.0244883,0.0722581,0,0,0.0159043,0,0,0.0385963,0.0775014,0.0187066,0.0158937,0.0125367,0.0298717,0.0303918,0.0758481,0.0453481,0.0952994,0.0152487,0.016015,0.0266812,0.027938,0.0163001,0.00950228,0.014804,0.0163403,0.0257653,0,0.0148725,0.0674172,0.0311535,0,0,0.0198287,0,0,0.0412155,0.0578103,0.0296385,0.0316527,0.0047387,0.0509747,0.0413393,0.0468512,0.0763361,0.066726,0.0179262,0.0653624,0.05031,0.0810144,0.0260677,0.0247321,0.0240844,0,0.0307063,0.0253351,0,0.0431194
891,0.0235626,0,0,0,0,0.0509137,0,0,0,0,0,0,0.0291945,0,0.0243894,0.0722185,0,0,0.0161613,0,0,0.03872,0.0773977,0.0186699,0.0157803,0.0124943,0.0301349,0.0304343,0.0759139,0.0454168,0.0953953,0.0152009,0.0159796,0.0266721,0.0279661,0.0163352,0.009488,0.0151915,0.0162893,0.0256084,0,0.014873,0.0673833,0.0312191,0,0,0.0197823,0,0,0.0416075,0.0577592,0.0297101,0.0316246,0.0046904,0.0510888,0.0410096,0.0468997,0.0763673,0.0667598,0.017913,0.0653097,0.0502605,0.0809557,0.0262169,0.02477,0.0242874,0,0.0307403,0.0252095,0,0.0430485
892,0.0236956,0,0,0,0,0.0511077,0,0,0,0,0,0,0.0291484,0,0.0242975,0.072165,0,0,0.0163148,0,0,0.0387453,0.0772873,0.0186167,0.0156832,0.0124861,0.0303158,0.0304865,0.0759771,0.0455154,0.0955176,0.0151343,0.0159623,0.0266946,0.027994,0.0164298,0.00945723,0.0154514,0.0162572,0.0255117,0,0.0149045,0.067347,0.0311572,0,0,0.0198214,0,0,0.042134,0.0577146,0.0298053,0.0315983,0.00463638,0.0512141,0.0405978,0.0469285,0.0764106,0.0667362,0.0179082,0.065246,0.0502122,0.0809242,0.0263345,0.0246654,0.0245875,0,0.0307758,0.0250987,0,0.0429904
893,0.0237872,0,0,0,0,0.0512287,0,0,0,0,0,0,0.0290803,0,0.0242275,0.0721057,0,0,0.0163904,0,0,0.0388109,0.0772021,0.0185682,0.0155529,0.0124737,0.0303782,0.0304208,0.0760446,0.0456097,0.095621,0.0150935,0.0159457,0.0267204,0.0280119,0.0165427,0.00934844,0.0155969,0.016246,0.025475,0,0.0148843,0.0673454,0.0312373,0,0,0.0198736,0,0,0.0426922,0.0576855,0.0298706,0.0315273,0.00460461,0.0512841,0.0402405,0.046976,0.0764229,0.0667951,0.0178815,0.0651728,0.0501741,0.0808793,0.026474,0.024545,0.0248883,0,0.030769,0.0250118,0,0.042962
