Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,,LWRA
138,0.0293784,0,0,0,0,0.0500593,0,0,0,0,0,0,0.0182013,0,0.0226307,0.0661521,0,0,0.0278905,0,0,0.0435773,0.0735991,0.0239789,0.0092132,0.0155565,0.0414699,0.0364844,0.0493127,0.0519013,0.0336426,0.0116912,0.0122172,0.0271179,0.0275805,0.0353347,0.00884678,0.0266627,0.03412,0,0.0128795,0.062631,0.0324594,0,0,0.0235196,0,0,0.0499396,0.0556924,0.0348633,0.0155232,0.00840775,0.0507647,0.0462656,0.0434766,0.129757,0.0551768,0.0279765,0.0582153,0.0348109,0.0444481,0.0760702,0.0187294,0.0146617,0.0226357,0.0220154,0.0285341,0.0250388,0,0.0358761
139,0.0292896,0,0,0,0,0.0496528,0,0,0,0,0,0,0.0183599,0,0.0225723,0.066192,0,0,0.0278948,0,0,0.0435562,0.0735262,0.0239095,0.00930144,0.0156044,0.041475,0.0367663,0.049259,0.0518937,0.033501,0.0117005,0.0123249,0.0270977,0.0276749,0.0349613,0.00895449,0.0267209,0.0325227,0,0.0130219,0.0623373,0.0323467,0,0,0.0234685,0,0,0.0498359,0.0562028,0.0352615,0.0153706,0.00835405,0.0509402,0.0465392,0.0433685,0.129971,0.054993,0.028032,0.0580639,0.0346762,0.0441925,0.0757689,0.0201367,0.0145941,0.022375,0.0220891,0.0285331,0.0252455,0,0.0356994
140,0.0291819,0,0,0,0,0.0493633,0,0,0,0,0,0,0.0185656,0,0.0225239,0.0661484,0,0,0.0278919,0,0,0.0435489,0.0734277,0.0238031,0.00961983,0.0156982,0.041581,0.0370298,0.0491239,0.0518527,0.0333708,0.011713,0.0123875,0.0271097,0.0277199,0.0345392,0.00914654,0.0267378,0.0308347,0,0.0132208,0.062039,0.0322525,0,0,0.0233615,0,0,0.0497515,0.0566743,0.0356322,0.0152068,0.00822516,0.0511581,0.0467842,0.0433084,0.130129,0.0548469,0.0280809,0.0578901,0.0345073,0.0439569,0.0754527,0.0218559,0.0145452,0.0221278,0.0221163,0.0285149,0.0255034,0,0.0355131
141,0.029069,0,0,0,0,0.0492752,0,0,0,0,0,0,0.0187141,0,0.0225007,0.0662848,0,0,0.0278988,0,0,0.0435499,0.0733724,0.0237386,0.0097168,0.0158389,0.0416136,0.0373837,0.0489996,0.0517772,0.0331829,0.0117348,0.0124157,0.0271708,0.0277552,0.0341848,0.00940772,0.0266964,0.0289821,0,0.013532,0.0617395,0.0321736,0,0,0.0232295,0,0,0.0497427,0.0571606,0.0360406,0.0150249,0.00864063,0.0513103,0.0469549,0.0432239,0.130233,0.0547162,0.0282067,0.0576557,0.034326,0.0436667,0.0750441,0.0240104,0.0145697,0.0218043,0.0218676,0.0284542,0.0257752,0,0.0353223
142,0.0289556,0,0,0,0,0.0493224,0,0,0,0,0,0,0.0187967,0,0.0224104,0.0665513,0,0,0.0279783,0,0,0.043533,0.073365,0.0236945,0.00965923,0.0159213,0.0415527,0.0378429,0.0489004,0.05169,0.0330062,0.011746,0.0124278,0.0272537,0.0278249,0.0339576,0.00967699,0.0266924,0.0270963,0,0.0140374,0.0613757,0.0320713,0,0,0.0231457,0,0,0.0498049,0.0576249,0.0368151,0.0148499,0.00895026,0.0513727,0.047121,0.0431029,0.130291,0.0545869,0.0282458,0.0573431,0.0341135,0.0433937,0.0746019,0.0264526,0.0146374,0.0213243,0.0213826,0.028379,0.0260693,0,0.0350563
143,0.0288322,0,0,0,0,0.0493944,0,0,0,0,0,0,0.0188914,0,0.0222152,0.0667102,0,0,0.0280562,0,0,0.0434946,0.0733549,0.0235985,0.00969999,0.0159318,0.0415598,0.0383634,0.0487692,0.0515849,0.0329611,0.0118029,0.0124846,0.027279,0.0279074,0.0336903,0.00993224,0.0267444,0.0252534,0,0.0145628,0.0610387,0.031972,0,0,0.0231428,0,0,0.0497389,0.0581637,0.037508,0.0146786,0.00905751,0.0514944,0.0472912,0.0429389,0.1303,0.0544865,0.0282293,0.0570172,0.0338648,0.0430846,0.0741705,0.029048,0.0146313,0.0213441,0.0217628,0.0282826,0.0263607,0,0.0347981
144,0.0287047,0,0,0,0,0.0491702,0,0,0,0,0,0,0.0190394,0,0.0221418,0.0667425,0,0,0.0281294,0,0,0.0434611,0.0733228,0.0234855,0.00977429,0.0159761,0.0415753,0.038874,0.048693,0.0515578,0.0328362,0.0118279,0.0125682,0.0272767,0.0279234,0.0334379,0.0102069,0.0268111,0.0234656,0,0.0150572,0.0606954,0.0318254,0,0,0.0230967,0,0,0.0496194,0.0587117,0.0380953,0.014504,0.00912556,0.0516185,0.0475252,0.0427387,0.130262,0.0544394,0.028182,0.0566877,0.0336081,0.0426596,0.073672,0.0317823,0.0145183,0.0213005,0.0220502,0.0282213,0.026642,0,0.0345649
145,0.0285697,0,0,0,0,0.0489668,0,0,0,0,0,0,0.0192163,0,0.0221402,0.0667879,0,0,0.0282009,0,0,0.0434561,0.0732409,0.0233721,0.00993071,0.0161319,0.0416119,0.0393764,0.0486604,0.0515807,0.0326219,0.0118614,0.0126355,0.0272916,0.0278905,0.0331558,0.0104916,0.0268976,0.0216636,0,0.0155271,0.0603415,0.0316785,0,0,0.0230625,0,0,0.0495175,0.0593084,0.0387182,0.0143418,0.00915234,0.0517314,0.0477665,0.0425775,0.130197,0.0544445,0.0281124,0.0563643,0.033375,0.0422138,0.073139,0.0346138,0.0144451,0.0210325,0.0220576,0.0281655,0.0269166,0,0.0344361
146,0.0284033,0,0,0,0,0.0488799,0,0,0,0,0,0,0.019393,0,0.022163,0.0668133,0,0,0.0282853,0,0,0.0434728,0.0731042,0.023249,0.010187,0.0163085,0.041712,0.0398718,0.0485373,0.0515774,0.032488,0.0119299,0.0126868,0.0272917,0.0278659,0.0327699,0.010751,0.0269653,0.0199056,0,0.0160031,0.0599676,0.0315288,0,0,0.023075,0,0,0.0494397,0.0598524,0.0394516,0.0141872,0.00890536,0.0519197,0.0480155,0.0424289,0.130148,0.0543724,0.0280211,0.0560541,0.0331521,0.0418215,0.0726498,0.0375926,0.014419,0.020673,0.0220427,0.0280662,0.0272069,0,0.0343561
147,0.0282367,0,0,0,0,0.0488567,0,0,0,0,0,0,0.0196085,0,0.0222108,0.0667376,0,0,0.0283622,0,0,0.0434787,0.0729415,0.023084,0.0105292,0.0164107,0.041929,0.0403075,0.0483758,0.0515896,0.0324091,0.0120228,0.0126976,0.0272371,0.0278793,0.0323063,0.0109579,0.0270435,0.0184072,0,0.0164801,0.0597825,0.0314115,0,0,0.0231088,0,0,0.0493998,0.0603574,0.0401891,0.0140919,0.00837485,0.0522218,0.0482533,0.0423274,0.130103,0.0543375,0.0279301,0.0558084,0.0329268,0.0415505,0.0722808,0.0404448,0.0143893,0.0203461,0.0220893,0.0280146,0.0274909,0,0.0342712
