Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,RTIBA,
317,0.0276086,0,0,0,0,0.051472,0,0,0,0,0,0,0.0217762,0,0.0239012,0.0633818,0,0,0.0287193,0,0,0.0443336,0.0645197,0.0292476,0.00727948,0.0130332,0.0462048,0.0410393,0.052841,0.0667121,0.0410395,0.0169751,0.0192911,0.032883,0.0354083,0.05501,0.0110789,0.0249316,0.0383705,0,0.0138455,0.0686945,0.0347695,0,0,0.0146005,0,0,0.0509776,0.0572915,0.0264259,0.0215886,0.0117154,0.0503043,0.0328638,0.0469314,0.0796841,0.0755483,0.0307645,0.0610429,0.0472837,0.0796279,0.0139765,0.0192367,0.0318365,0.0192297,0.0288189,0.0257911,0.0351723,0.0372574,0
318,0.0277562,0,0,0,0,0.0515068,0,0,0,0,0,0,0.0220844,0,0.0240008,0.0630921,0,0,0.0285178,0,0,0.0442778,0.0649258,0.0294872,0.00761573,0.0130538,0.046484,0.0409673,0.0528047,0.0663782,0.0408745,0.0171446,0.0189984,0.0331331,0.0356283,0.056143,0.0109885,0.0247284,0.0391513,0,0.0139188,0.0691412,0.0349389,0,0,0.0145284,0,0,0.0509007,0.0571321,0.0260888,0.0215708,0.0121578,0.0500625,0.0328858,0.0470146,0.0796299,0.0755296,0.0309009,0.0611139,0.0472626,0.0796527,0.0136934,0.0191387,0.0318212,0.0192673,0.0288943,0.0256729,0.0350038,0.0371682,0
319,0.0278793,0,0,0,0,0.0515311,0,0,0,0,0,0,0.0222785,0,0.0239642,0.062805,0,0,0.0283003,0,0,0.0442177,0.0652909,0.0296767,0.00797279,0.0131984,0.0468182,0.0408765,0.0528209,0.0660879,0.0407208,0.017319,0.018995,0.0334142,0.0358605,0.057107,0.01087,0.0246,0.0399138,0,0.0139532,0.0695738,0.0350761,0,0,0.0144552,0,0,0.0508459,0.0569767,0.0256529,0.0215692,0.0125986,0.0498726,0.032902,0.0470607,0.0795518,0.0755239,0.0310356,0.0611901,0.047287,0.0796864,0.0134184,0.0191234,0.0318587,0.0193634,0.028966,0.0255713,0.0348584,0.0371068,0
320,0.0279584,0,0,0,0,0.0515485,0,0,0,0,0,0,0.022354,0,0.0238473,0.0625974,0,0,0.028096,0,0,0.0441321,0.065647,0.029769,0.00834196,0.0134602,0.0471567,0.0407696,0.0528397,0.0658228,0.0405215,0.0173587,0.0192924,0.0335636,0.0360152,0.0575293,0.0107177,0.024542,0.0404276,0,0.0139884,0.0699465,0.035202,0,0,0.0144182,0,0,0.0508523,0.0568643,0.0252455,0.0215717,0.0130398,0.0497529,0.0329294,0.0470864,0.0794737,0.0754945,0.0311454,0.0612375,0.0473308,0.079767,0.0133177,0.0191941,0.0319595,0.0194912,0.0290439,0.0254926,0.034732,0.0370318,0
321,0.0280098,0,0,0,0,0.0515431,0,0,0,0,0,0,0.0222662,0,0.0237334,0.0624926,0,0,0.0278932,0,0,0.0440995,0.06602,0.0296802,0.0086962,0.0137568,0.0474728,0.0406376,0.0528479,0.065541,0.0402762,0.017203,0.0196217,0.0334812,0.0359455,0.0573739,0.010542,0.0244064,0.040678,0,0.0140538,0.0702433,0.0353132,0,0,0.0144018,0,0,0.0508643,0.0568113,0.0250344,0.0215803,0.0134752,0.0496681,0.0329968,0.0470838,0.0793762,0.0754395,0.031217,0.0612672,0.0473979,0.0798876,0.0133974,0.0192319,0.031967,0.0195256,0.0291217,0.0254437,0.0346135,0.0369622,0
322,0.0280203,0,0,0,0,0.0515179,0,0,0,0,0,0,0.0220127,0,0.0237586,0.0625002,0,0,0.0276989,0,0,0.0440788,0.0664354,0.0296128,0.00901052,0.014183,0.0477684,0.0404451,0.052849,0.0651637,0.04005,0.0168401,0.0196126,0.0332534,0.0357108,0.0568559,0.0103314,0.024288,0.0409781,0,0.0141936,0.0704562,0.0354141,0,0,0.0143694,0,0,0.0508719,0.0567824,0.0249227,0.0215836,0.0138864,0.049617,0.0331343,0.0470337,0.0793542,0.0753829,0.0312409,0.0613582,0.0474836,0.0800244,0.0134867,0.0192565,0.0319575,0.0195358,0.0291867,0.0254484,0.0345375,0.036988,0
323,0.0278614,0,0,0,0,0.0504727,0,0,0,0,0,0,0.0215072,0,0.0236992,0.062638,0,0,0.0251114,0,0,0.0275951,0.0667743,0.0293728,0.00929324,0.0139083,0.0479844,0.0393691,0.0529058,0.0648214,0.0399123,0.0163571,0.0192085,0.0329712,0.0352537,0.0557924,0.0153012,0.0241541,0.0414195,0,0.0143234,0.0705747,0.0365122,0,0,0.0140675,0,0,0.0508261,0.0567435,0.0249828,0.0215896,0.0142587,0.0496685,0.0332027,0.0470424,0.0793284,0.075365,0.0313159,0.0614251,0.0475112,0.0801028,0.0135888,0.0191188,0.0320348,0.019554,0.0283718,0.0251716,0,0.0369846,0
324,0.0279583,0,0,0,0,0.0514943,0,0,0,0,0,0,0.0208766,0,0.0234142,0.0626313,0,0,0.0273974,0,0,0.0440047,0.0671166,0.0285845,0.00952306,0.0138113,0.0481392,0.0398915,0.0529568,0.0644923,0.0398854,0.0157675,0.0186052,0.0325076,0.0346446,0.0544185,0.00971682,0.0244359,0.0418725,0,0.0144661,0.0707949,0.0355953,0,0,0.0143653,0,0,0.0510256,0.0567648,0.0249035,0.0214103,0.0145047,0.0493982,0.033501,0.046915,0.0791039,0.0752894,0.0313084,0.0615617,0.0476347,0.0802601,0.0137253,0.0193955,0.0322345,0.0196007,0.0293028,0.0254375,0.0344565,0.0370647,0
325,0.0279083,0,0,0,0,0.0514664,0,0,0,0,0,0,0.0202049,0,0.0231304,0.0626715,0,0,0.0270545,0,0,0.0440521,0.0674685,0.0278486,0.00969843,0.0139468,0.0483288,0.0395329,0.0529133,0.0640625,0.0397531,0.0152656,0.0182004,0.0321584,0.0340101,0.05257,0.00954465,0.0243711,0.0423634,0,0.0146276,0.0708312,0.0357254,0,0,0.0143931,0,0,0.0510707,0.0567847,0.024948,0.0212953,0.0147144,0.0493389,0.0337009,0.0468265,0.0789204,0.0752251,0.0313034,0.0616229,0.0477233,0.080361,0.0139113,0.0194774,0.0323434,0.0196645,0.0293361,0.0254665,0.0346017,0.0370904,0
326,0.0278559,0,0,0,0,0.0514505,0,0,0,0,0,0,0.0195048,0,0.0228227,0.0627772,0,0,0.0268509,0,0,0.0440263,0.0677811,0.0271549,0.00986193,0.0140649,0.0485325,0.0392557,0.0527667,0.0635603,0.0396162,0.0147466,0.0177695,0.0317522,0.0333511,0.0503895,0.00925493,0.0243084,0.0427994,0,0.0148329,0.0707554,0.0358797,0,0,0.0144313,0,0,0.0510809,0.0568442,0.0249459,0.0211222,0.0148875,0.0493317,0.0339169,0.0467162,0.0789013,0.0751268,0.0312473,0.061734,0.0478164,0.0804559,0.0140799,0.0195993,0.032409,0.0197627,0.0293721,0.025506,0.0346042,0.0371303,0
327,0.027761,0,0,0,0,0.0513927,0,0,0,0,0,0,0.0189288,0,0.022448,0.0631644,0,0,0.0266901,0,0,0.0440101,0.0679971,0.0266351,0.00953585,0.0140091,0.0484736,0.0389818,0.0524883,0.0631136,0.0394015,0.0142745,0.0173351,0.0312977,0.0327515,0.048374,0.00895311,0.0242201,0.0431271,0,0.0149127,0.0704371,0.0360535,0,0,0.0145309,0,0,0.0511376,0.0568389,0.0248852,0.0209755,0.0149282,0.0493187,0.034303,0.0466953,0.0789748,0.0750622,0.0311608,0.0617823,0.0478751,0.080474,0.0141563,0.0196893,0.0325016,0.019833,0.029382,0.0254849,0.0346727,0.0371625,0
328,0.027707,0,0,0,0,0.0513114,0,0,0,0,0,0,0.0183753,0,0.022095,0.063541,0,0,0.0265399,0,0,0.0440341,0.0681747,0.0260448,0.00937511,0.0139489,0.0484226,0.0387386,0.0521274,0.062694,0.0392807,0.0138089,0.0166469,0.0307996,0.0320771,0.0460765,0.00867973,0.0241681,0.0432668,0,0.0148826,0.0701708,0.0361942,0,0,0.0146138,0,0,0.0511806,0.0568592,0.0248009,0.0207648,0.0148344,0.0493258,0.0346349,0.0466819,0.0788925,0.0750222,0.0311259,0.0617721,0.0479075,0.0805384,0.0142531,0.0197674,0.0325306,0.0198904,0.0293669,0.0254599,0.0347224,0.0371704,0
329,0.0276501,0,0,0,0,0.0512636,0,0,0,0,0,0,0.0181237,0,0.0217414,0.0637451,0,0,0.0264401,0,0,0.044026,0.068345,0.0251859,0.00922934,0.014046,0.0483466,0.0385505,0.0516886,0.0623708,0.0391429,0.0132677,0.0161521,0.0303007,0.0313557,0.0434718,0.00848244,0.0242227,0.0431579,0,0.0149051,0.0698828,0.0362768,0,0,0.0146877,0,0,0.0512434,0.0569197,0.0249106,0.0204828,0.014573,0.0493515,0.0349333,0.0466298,0.0787419,0.0749844,0.0311458,0.0618574,0.0479147,0.0805794,0.0144582,0.0197806,0.0326177,0.0200073,0.0293372,0.0254395,0.0347915,0.0371918,0
330,0.0276031,0,0,0,0,0.0512723,0,0,0,0,0,0,0.0180523,0,0.0212403,0.0639171,0,0,0.0263437,0,0,0.0439675,0.0685802,0.0244185,0.00911448,0.0143472,0.0483045,0.0384204,0.0512483,0.0619337,0.038998,0.0127104,0.0158696,0.0297109,0.0307809,0.0407701,0.00834794,0.0243523,0.0431508,0,0.0149464,0.0695807,0.0363182,0,0,0.0147602,0,0,0.0513195,0.0569718,0.02505,0.0201659,0.0144047,0.0494178,0.0352065,0.046595,0.0785804,0.0749517,0.0311719,0.0618327,0.0479421,0.0805815,0.0145526,0.0198287,0.0327139,0.0200949,0.0293023,0.0254558,0.0348749,0.0373804,0
331,0.0275849,0,0,0,0,0.0513022,0,0,0,0,0,0,0.0182398,0,0.0207146,0.0641789,0,0,0.0263008,0,0,0.0439374,0.0688158,0.0237649,0.00903083,0.0144816,0.0483088,0.0383509,0.0508505,0.0611765,0.0389025,0.0121998,0.0154928,0.0292068,0.0301932,0.0377978,0.00825323,0.0244005,0.0432549,0,0.0149611,0.0692309,0.0363472,0,0,0.0148357,0,0,0.0513808,0.0570404,0.0251514,0.0198495,0.014339,0.0495146,0.0354536,0.0465585,0.0785786,0.0748892,0.0311702,0.0618529,0.0480116,0.0805778,0.0145232,0.0199383,0.0328264,0.0201758,0.029224,0.0254765,0.0348669,0.0375917,0
332,0.0275643,0,0,0,0,0.0513473,0,0,0,0,0,0,0.0187525,0,0.0202265,0.0644787,0,0,0.0263088,0,0,0.043954,0.0690625,0.023219,0.00894752,0.0144494,0.0483255,0.0383279,0.0504129,0.0604754,0.0389495,0.0117703,0.0151067,0.0288355,0.0295169,0.0349116,0.00818074,0.0243894,0.0433046,0,0.0149635,0.068834,0.0363531,0,0,0.0149127,0,0,0.0514499,0.0571431,0.0251801,0.0195485,0.0143486,0.0496344,0.0356746,0.0465229,0.0787848,0.0748011,0.0311223,0.0618728,0.0480589,0.080655,0.0144226,0.0199971,0.0329071,0.0202284,0.0291391,0.025489,0.0348089,0.0377469,0
333,0.0275364,0,0,0,0,0.0513784,0,0,0,0,0,0,0.0195533,0,0.0197122,0.0648157,0,0,0.0263375,0,0,0.0439499,0.0693188,0.0226753,0.00884072,0.0143357,0.0483391,0.0383256,0.0498353,0.05988,0.0391401,0.0113875,0.0147365,0.0284434,0.0287953,0.0323317,0.00810818,0.0243821,0.0430862,0,0.0150886,0.0684087,0.0363422,0,0,0.0150136,0,0,0.0515263,0.0573135,0.0251615,0.0192352,0.0144607,0.0497675,0.0358944,0.0464989,0.0793291,0.074645,0.0310302,0.0619045,0.0481075,0.080838,0.014339,0.0201099,0.0329856,0.0202901,0.0290721,0.0254846,0.0347376,0.0378565,0
