Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI
122,0.0241596,0,0,0,0,0.0514724,0,0,0,0,0,0,0.0334393,0,0.020055,0.0691355,0,0,0.0218777,0,0,0.0406264,0.0650706,0.0238262,0.00536899,0.021427,0.0338913,0.0321025,0,0.059836,0.0440667,0.0154809,0.0125777,0.0289357,0.032223,0.0122861,0.0184641,0.0316195,0,0.0349909,0,0.0142347,0.0628702,0.0314744,0,0,0.0179375,0,0,0.0458784,0.0601021,0.0350224,0.0264628,0.00989606,0.0563602,0.0404032,0.0844521,0.0753916,0.0315466,0.0578438,0.0351943,0.0437693,0.0757727,0.0172957,0.0224638,0.0182568,0.0184306,0.033394,0.0245509,0
123,0.0231078,0,0,0,0,0.0510032,0,0,0,0,0,0,0.0338812,0,0.0200188,0.0689585,0,0,0.0231243,0,0,0.0408721,0.065062,0.0234383,0.00461173,0.0214103,0.0346013,0.0330675,0,0.0597675,0.0438941,0.0154547,0.0123619,0.0288901,0.0321729,0.0117835,0.0183742,0.0317332,0,0.034541,0,0.0140081,0.0619337,0.0308566,0,0,0.0182444,0,0,0.0459915,0.0620882,0.0341205,0.0238027,0.006649,0.0552324,0.0407558,0.0822459,0.0752239,0.0314829,0.0594857,0.036526,0.0453415,0.0769118,0.0173492,0.0226288,0.0182841,0.018479,0.032574,0.0259174,0.047198
124,0.0230581,0,0,0,0,0.0508832,0,0,0,0,0,0,0.0337824,0,0.0199937,0.0689617,0,0,0.0230575,0,0,0.0406844,0.0649402,0.023259,0.00451081,0.021451,0.0346264,0.0327848,0,0.0601202,0.0437919,0.0153227,0.0123277,0.0289361,0.032142,0.0118759,0.0180388,0.0317366,0,0.0345468,0,0.0139256,0.0620031,0.030975,0,0,0.0182733,0,0,0.0459926,0.0620346,0.0338621,0.0237697,0.00656449,0.055099,0.0407219,0.0823197,0.0752892,0.0314486,0.0596278,0.0366193,0.0455329,0.0770985,0.0173035,0.0226595,0.0183177,0.0185708,0.0325007,0.0259219,0.0470953
125,0.0229752,0,0,0,0,0.050784,0,0,0,0,0,0,0.0336635,0,0.0199905,0.0688325,0,0,0.0229169,0,0,0.0404811,0.0648604,0.0232698,0.00448307,0.0214062,0.0346095,0.0324518,0,0.060214,0.0437868,0.0150985,0.0122493,0.0288914,0.0321181,0.0119053,0.0177517,0.0316884,0,0.0343464,0,0.0139104,0.062112,0.0310991,0,0,0.0183137,0,0,0.0460128,0.0619561,0.0335629,0.0238292,0.00660464,0.0549722,0.0408414,0.0823998,0.0753608,0.0314582,0.0597643,0.0368019,0.0457437,0.0772903,0.0173924,0.0226096,0.0183359,0.0187194,0.0324316,0.025937,0.0470127
126,0.0226397,0,0,0,0,0.0506382,0,0,0,0,0,0,0.0335247,0,0.0199982,0.0687003,0,0,0.0231413,0,0,0.0100682,0.0649368,0.0231767,0.00430002,0.0213139,0.0342643,0.0311755,0,0.0600051,0.0438721,0.0149236,0.0118513,0.0288308,0.0321442,0.0119578,0.0205552,0,0,0.0339126,0,0.0138976,0.0625137,0.0310095,0,0,0.0184503,0,0,0.0460378,0.0620467,0.0330018,0.0233454,0.00641507,0.0541479,0.0411916,0.0822211,0.0753131,0.0313388,0.0601082,0.0372386,0.0460843,0.0776615,0.0176261,0.0227244,0.0182582,0.0187677,0.0322537,0.0262009,0.0470233
127,0.0227929,0,0,0,0,0.0506278,0,0,0,0,0,0,0.0334591,0,0.0199233,0.0690712,0,0,0.0224453,0,0,0.0399523,0.0647831,0.0229674,0.00438046,0.0211688,0.0346814,0.0317337,0,0.059734,0.0437255,0.014771,0.0115649,0.0287244,0.0321003,0.0118864,0.0173401,0.0314383,0,0.0332219,0,0.0140405,0.0623134,0.0313754,0,0,0.01846,0,0,0.0459459,0.0619587,0.0326026,0.0238953,0.00662076,0.0548613,0.0411642,0.0823057,0.0755237,0.0316368,0.0600917,0.0372204,0.0459562,0.0777333,0.0181369,0.022712,0.0181313,0.0186727,0.0324266,0.025996,0.0482947
128,0.0225144,0,0,0,0,0.0504817,0,0,0,0,0,0,0.033563,0,0.0198839,0.0691678,0,0,0.0225535,0,0,0.00948629,0.0648426,0.0228799,0.00416184,0.0212154,0.0343725,0.0305283,0,0.0598325,0.0438028,0.0147985,0.0116913,0.0286719,0.0320363,0.0116539,0.0201688,0,0,0.0325398,0,0.0139238,0.0627752,0.0312837,0,0,0.0185969,0,0,0.045963,0.0620575,0.0317561,0.0233864,0.00645824,0.0540389,0.0415137,0.0821039,0.0754908,0.0315256,0.0604618,0.037641,0.0461112,0.0780687,0.0186843,0.0228646,0.0180343,0.0186724,0.0321829,0.0262679,0.0483866
129,0.0225274,0,0,0,0,0.050265,0,0,0,0,0,0,0.0298342,0,0,0.0690266,0,0,0.0214776,0,0,0.0273293,0.0650069,0.0233051,0.00471245,0.0217055,0.0345641,0.0308705,0,0.059791,0.0428987,0.0128117,0.0114188,0.030123,0.0312865,0.0143803,0.0169229,0,0.0205367,0.0315867,0,0.0138985,0.0628148,0.0313917,0,0,0.0189258,0,0,0.0460849,0.0617312,0.0313518,0.0240119,0.00676004,0.0544386,0.0417749,0.0823127,0.0756476,0.0315422,0.0605546,0.0377286,0.0460787,0.0781142,0.0195465,0.0227542,0.0179864,0.0187739,0.0319014,0.0262747,0.0484612
130,0.0226851,0,0,0,0,0.0502733,0,0,0,0,0,0,0.0326066,0,0.0197709,0.0692559,0,0,0.0212067,0,0,0.0272513,0.0646669,0.0226003,0.0041305,0.0213089,0.0345804,0.0304993,0,0.0604468,0.0435917,0.0144155,0.0115223,0.0288176,0.0319239,0.0125566,0.0166846,0,0.0205126,0.0311972,0,0.0138947,0.0628601,0.0316191,0,0,0.0190035,0,0,0.0460565,0.0617639,0.0309617,0.0239416,0.00673318,0.0543125,0.0418659,0.0823511,0.0757511,0.0316233,0.0608341,0.0380785,0.0464498,0.0783196,0.0198427,0.0227438,0.017956,0.0187759,0.0320042,0.026053,0.0483975
131,0.0227186,0,0,0,0,0.0501742,0,0,0,0,0,0,0.0329104,0,0.0194886,0.069208,0,0,0.0209971,0,0,0.0270459,0.0645606,0.0223143,0.00413179,0.0210356,0.0345453,0.0302362,0,0.0606859,0.0435811,0.014251,0.0113659,0.0288374,0.0320048,0.0120927,0.0165171,0,0.0204473,0.0304601,0,0.0139932,0.0629194,0.0317684,0,0,0.0191675,0,0,0.0460979,0.0616513,0.0307513,0.0240979,0.00679217,0.0542484,0.0421657,0.0824454,0.0758516,0.0315469,0.0611067,0.0383192,0.0467896,0.0785409,0.0205691,0.0229117,0.0179207,0.0187355,0.03224,0.0259701,0.048476
132,0.0227597,0,0,0,0,0.0500617,0,0,0,0,0,0,0.0328918,0,0.0193918,0.0692385,0,0,0.0208455,0,0,0.0266692,0.0644131,0.0221797,0.00411108,0.020981,0.0345376,0.0300363,0,0.060779,0.0436277,0.0141232,0.0114845,0.028808,0.0319602,0.0120108,0.0163305,0,0.0204313,0.0297858,0,0.0140433,0.0629491,0.0319373,0,0,0.0193495,0,0,0.0461335,0.0615598,0.0304796,0.024272,0.00692075,0.0541792,0.0424949,0.0824944,0.0759228,0.03146,0.0613273,0.0385345,0.0469927,0.0787423,0.0212648,0.0229967,0.0179265,0.0187963,0.0325746,0.0259013,0.0483524
133,0.02279,0,0,0,0,0.050035,0,0,0,0,0,0,0.0326726,0,0.019312,0.0692821,0,0,0.0207849,0,0,0.0263582,0.0642898,0.0220927,0.00415626,0.0209362,0.0345723,0.0297832,0,0.0610234,0.0437076,0.0140304,0.011365,0.0288219,0.0319401,0.0122541,0.0162077,0,0.0204899,0.0292249,0,0.0140635,0.063039,0.0321103,0,0,0.0195131,0,0,0.046128,0.0614893,0.0302581,0.0245037,0.00706732,0.0541414,0.0427866,0.0824162,0.0759334,0.0313779,0.0615103,0.0386384,0.0471421,0.0788688,0.0218618,0.0231281,0.0179194,0.0187921,0.0322089,0.0258687,0.0481638
