Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,
27,0.0233704,0,0,0,0,0.0519409,0,0,0,0,0,0,0.0227218,0,0.0253541,0.0696225,0,0,0.0141333,0,0,0.0378391,0.0743582,0.0210567,0.0122672,0.0162769,0.0302455,0.0361548,0.0479938,0.0512259,0.0281247,0.013589,0.0157889,0.028027,0.0279556,0.0265946,0.0126052,0.00962287,0.0160405,0.0320812,0,0.0141774,0.0710073,0.0309676,0,0,0.024694,0,0,0.0446837,0.0584794,0.0279503,0.0327244,0.00534126,0.0504449,0.0441413,0,0.0792741,0.0678737,0.0201097,0.0638204,0.041573,0.049401,0.0810501,0.0184777,0.0183932,0.00727614,0.0259029,0.0324164,0.02553,0
28,0.023403,0,0,0,0,0.0518739,0,0,0,0,0,0,0.0226948,0,0.025353,0.0696876,0,0,0.0141828,0,0,0.0378475,0.0744346,0.0210259,0.0120002,0.016238,0.0301814,0.0361694,0.047919,0.0512197,0.0280871,0.0135655,0.0157419,0.0279572,0.0279607,0.0266343,0.012572,0.00968627,0.0159439,0.0320119,0,0.0142072,0.0709852,0.0310314,0,0,0.0247545,0,0,0.0446447,0.058429,0.0279294,0.0327001,0.00540329,0.0503543,0.0441592,0,0.0792966,0.0678577,0.0200422,0.0638431,0.0415509,0.0494097,0.081062,0.0185498,0.0182698,0.00724951,0.0258945,0.0323296,0.0254803,0
29,0.0225454,0,0,0,0,0.0513561,0,0,0,0,0,0,0.0227615,0,0.0252304,0.0698001,0,0,0.0147813,0,0,0.0380535,0.0742762,0.0208113,0.0114387,0.0162801,0.0301077,0.0376419,0.0475287,0.0511063,0.0279825,0.0134849,0.0156093,0.0278516,0.0278754,0.0264367,0.0119546,0.00956045,0.0168395,0.030989,0,0.0145987,0.0695566,0.0304017,0,0,0.0250057,0,0,0.0447895,0.0598255,0.0277745,0.0291614,0.00445959,0.0480479,0.0442885,0.0470082,0.0769338,0.0684298,0.0211715,0.0653609,0.0428308,0.0507177,0.0819642,0.0201539,0.0180505,0.00725047,0.0260393,0.0314869,0.0265708,0
30,0.0225483,0,0,0,0,0.0512853,0,0,0,0,0,0,0.022697,0,0.025278,0.0697765,0,0,0.0148551,0,0,0.0380814,0.0743286,0.0208133,0.0114479,0.0163336,0.0300576,0.0376512,0.0474879,0.0510608,0.027917,0.013472,0.0156194,0.0278805,0.027826,0.0265502,0.0118642,0.00958335,0.0168323,0.0308463,0,0.0146725,0.0695403,0.0304778,0,0,0.0250319,0,0,0.0448195,0.0597632,0.0277462,0.0291679,0.00450101,0.0480635,0.0442411,0.0470778,0.0769454,0.0684467,0.0211285,0.0653419,0.0428341,0.0506939,0.0819495,0.0202645,0.0180421,0.00726257,0.0260387,0.0314215,0.0265565,0
31,0.0225832,0,0,0,0,0.0512359,0,0,0,0,0,0,0.0226704,0,0.0252563,0.0698173,0,0,0.0149037,0,0,0.0380734,0.0743132,0.0207721,0.0114998,0.0163668,0.0300853,0.0376594,0.0474993,0.0510709,0.0278615,0.0134596,0.015573,0.0278956,0.0277922,0.0265446,0.0117803,0.0096501,0.0168061,0.0307412,0,0.014698,0.0695121,0.0305838,0,0,0.0250634,0,0,0.0447393,0.0597191,0.0277023,0.0291941,0.0045136,0.0481396,0.0441095,0.0470435,0.0769535,0.0684583,0.021064,0.0653347,0.0428888,0.0507057,0.0819265,0.0203763,0.0180041,0.00728005,0.0259642,0.0313399,0.0265166,0
32,0.0226475,0,0,0,0,0.0511951,0,0,0,0,0,0,0.0227145,0,0.0251831,0.0698848,0,0,0.0148876,0,0,0.0381302,0.0742956,0.0206795,0.0115992,0.0163263,0.0301265,0.0375873,0.0475197,0.0510963,0.0277675,0.0134027,0.0155121,0.0278281,0.0277709,0.0264181,0.0117611,0.00977031,0.016777,0.030666,0,0.0147302,0.0694748,0.0306721,0,0,0.0251381,0,0,0.0446252,0.0596908,0.0276504,0.0292259,0.00450811,0.0482603,0.0439608,0.0469462,0.0769758,0.0684831,0.0210292,0.0653308,0.0428922,0.0507162,0.0819127,0.0204852,0.0179544,0.00732278,0.0258771,0.0312494,0.02647,0
33,0.0227117,0,0,0,0,0.0511589,0,0,0,0,0,0,0.0227612,0,0.0251344,0.069901,0,0,0.0148918,0,0,0.0381463,0.0742989,0.0206102,0.0117053,0.0162898,0.030154,0.0375176,0.0474805,0.0510901,0.0276879,0.0133609,0.0154744,0.0278343,0.0277475,0.0263466,0.0117513,0.00981769,0.0167776,0.0305069,0,0.0147723,0.0694799,0.0307783,0,0,0.0252075,0,0,0.0445758,0.0596571,0.0275989,0.0292234,0.00452672,0.0483509,0.0438196,0.0468483,0.0770113,0.0685011,0.0209756,0.0653264,0.0428894,0.0507024,0.0819225,0.020682,0.0179476,0.00745187,0.0258663,0.0311923,0.0264425,0
34,0.0227839,0,0,0,0,0.0511319,0,0,0,0,0,0,0.0227594,0,0.0251375,0.0698855,0,0,0.014877,0,0,0.0380355,0.0743287,0.0205738,0.0117943,0.0163122,0.0301789,0.0374309,0.0473938,0.0510673,0.0276446,0.0133531,0.0154058,0.0278128,0.0276848,0.0263514,0.0117473,0.00972292,0.0168055,0.0303719,0,0.0148373,0.0695222,0.0308705,0,0,0.0251738,0,0,0.0446131,0.059606,0.0275759,0.0292307,0.0045645,0.0484333,0.0437053,0.0467669,0.0770529,0.0685266,0.020912,0.0653075,0.0428778,0.0507122,0.081908,0.0208015,0.0179018,0.00740729,0.0258101,0.0311946,0.0264056,0
35,0.0228377,0,0,0,0,0.0511342,0,0,0,0,0,0,0.0227364,0,0.0251553,0.069919,0,0,0.0148534,0,0,0.037962,0.074373,0.0205538,0.0118855,0.0163095,0.0301455,0.0373675,0.0473263,0.0510562,0.0276161,0.0133481,0.0152375,0.0277671,0.027634,0.0263905,0.0117617,0.0096423,0.0168615,0.0302428,0,0.0148859,0.069532,0.0309606,0,0,0.0251501,0,0,0.0446164,0.0595711,0.027556,0.0292402,0.00458568,0.0484888,0.0435914,0.0466683,0.0769872,0.0685614,0.0208651,0.0653022,0.0428667,0.0507072,0.0819031,0.0209211,0.0178611,0.0074162,0.0257865,0.0312161,0.0263662,0
36,0.0228505,0,0,0,0,0.0511468,0,0,0,0,0,0,0.0227583,0,0.0251522,0.0699337,0,0,0.0148375,0,0,0.0379236,0.0743927,0.0204883,0.011954,0.0162365,0.0301355,0.0373009,0.0473031,0.0510327,0.0275986,0.0133197,0.0151901,0.0277268,0.0276272,0.0263305,0.0117884,0.00953693,0.0169924,0.0300889,0,0.0149158,0.069474,0.0310475,0,0,0.0251363,0,0,0.0446563,0.0595711,0.0275479,0.0292347,0.00456815,0.048515,0.0434899,0.046606,0.0769703,0.0685874,0.0208466,0.0653065,0.0429002,0.0506825,0.0818955,0.0211223,0.0177942,0.00732655,0.0257666,0.0312392,0.0263245,0
