Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA
135,0.0225581,0,0,0,0,0.0403732,0,0,0,0,0,0,0.0252152,0,0.0250579,0.0684613,0,0,0.0194725,0,0,0.0407038,0.0700418,0.0252539,0.00664117,0.0194756,0.0325983,0.0153821,0.0479776,0.0550308,0.038832,0.0147324,0.0151981,0.028362,0.0299119,0.0258134,0.0221729,0.0210242,0.0366272,0,0.00932394,0.0631444,0.0432744,0,0,0.0241724,0,0,0.046424,0.0635828,0.0318313,0.00947899,0.00502153,0.0399512,0.0489073,0.0404068,0.0744887,0.0695546,0.0248892,0.0655943,0.0406467,0.0516446,0.0832042,0.0149397,0.0154121,0.0082967,0.0246991,0.0242828,0.032525,0.0332753
136,0.0225672,0,0,0,0,0.0403681,0,0,0,0,0,0,0.0252512,0,0.0250688,0.0684633,0,0,0.0194711,0,0,0.0407042,0.0700401,0.0252568,0.00664061,0.0195403,0.032595,0.0153803,0.0479912,0.0549529,0.0388368,0.01472,0.0151488,0.028353,0.0298947,0.0258114,0.0221595,0.0210772,0.0366396,0,0.00938047,0.0631949,0.0432888,0,0,0.0241626,0,0,0.0464623,0.0635499,0.0318365,0.00946459,0.00503426,0.039937,0.0488712,0.040455,0.07448,0.0695427,0.0251581,0.0656116,0.0406564,0.0516411,0.0832134,0.0148947,0.0153632,0.00828992,0.0246618,0.0242802,0.0325136,0.0332899
137,0.0225681,0,0,0,0,0.0403697,0,0,0,0,0,0,0.025283,0,0.0251111,0.06848,0,0,0.0194798,0,0,0.0407003,0.0700361,0.0252785,0.00660977,0.0195179,0.0325948,0.0153939,0.0479807,0.0549052,0.0388472,0.0147014,0.0150994,0.0283121,0.0298681,0.0257689,0.0221486,0.021076,0.036668,0,0.00942514,0.0631759,0.043291,0,0,0.0241613,0,0,0.0464659,0.0635437,0.0318765,0.00941215,0.00500699,0.0399109,0.0488696,0.0404329,0.0744762,0.0695644,0.0247874,0.0656215,0.0406791,0.0516484,0.083209,0.0148539,0.0153667,0.00827032,0.0246846,0.0242716,0.0325123,0.0332761
138,0.0237188,0,0,0,0,0.0405078,0,0,0,0,0,0,0.0289799,0,0,0.0700253,0,0,0.0195409,0,0,0.0406876,0.0690579,0.0234114,0.00837424,0.018898,0.0328307,0.0148556,0,0.0566669,0.0385676,0.012168,0.0118888,0.0290474,0.0299875,0.0170604,0.0224625,0.0211929,0.0365396,0,0.00937443,0.0624304,0.0434519,0,0,0.0235398,0,0,0.0463632,0.06366,0.0322363,0.00891817,0.00477425,0.0392442,0.0477666,0.0408534,0.0746715,0.0693083,0.0235426,0.0656342,0.040744,0.0515872,0.083045,0.0151365,0.0148654,0.00814653,0.0243702,0.0244918,0.0315505,0.0332306
139,0.0225856,0,0,0,0,0.0403903,0,0,0,0,0,0,0.0251916,0,0.0251372,0.0684178,0,0,0.0195163,0,0,0.0407097,0.0699953,0.0253053,0.00639675,0.0195274,0.032749,0.0153851,0.0480902,0.0549133,0.038798,0.0146872,0.0151651,0.0283097,0.0298841,0.0257886,0.0221515,0.0210811,0.0367909,0,0.00928783,0.0631198,0.0432899,0,0,0.0239959,0,0,0.0464555,0.0636245,0.031956,0.0091997,0.00491646,0.0400024,0.0487645,0.0403641,0.0744598,0.0695328,0.024362,0.0656804,0.0407732,0.0516565,0.0831759,0.0148481,0.015433,0.00819677,0.0247218,0.0243094,0.03252,0.0333038
140,0.0225678,0,0,0,0,0.0403247,0,0,0,0,0,0,0.0251923,0,0.0251277,0.0685113,0,0,0.0195124,0,0,0.0407162,0.0700186,0.025331,0.0065548,0.0195042,0.0326261,0.0154425,0.0480085,0.0549167,0.0388571,0.0147105,0.0151885,0.0283314,0.0299159,0.0257722,0.0221304,0.0210984,0.0366983,0,0.00934306,0.0631489,0.0432945,0,0,0.0241338,0,0,0.0464613,0.0635493,0.031902,0.00927292,0.00493213,0.0399241,0.0488855,0.0404053,0.0744049,0.0695357,0.0242764,0.0656348,0.0407,0.05166,0.0831909,0.0148905,0.0154312,0.00813465,0.024725,0.0242603,0.0325288,0.0333007
141,0.0225942,0,0,0,0,0.0402921,0,0,0,0,0,0,0.0251609,0,0.0251512,0.068493,0,0,0.0195093,0,0,0.0407121,0.070048,0.025336,0.00661065,0.0194518,0.0325896,0.0154173,0.0480024,0.0549547,0.0388323,0.0146977,0.0151422,0.028317,0.0299099,0.0257761,0.0221591,0.0210819,0.0366435,0,0.00931248,0.063208,0.0433279,0,0,0.0241345,0,0,0.0464528,0.0634976,0.0318607,0.0093481,0.00498669,0.0398922,0.0489164,0.0404948,0.0742466,0.069494,0.0248406,0.0656201,0.040664,0.051651,0.0832093,0.0149111,0.0153772,0.00813475,0.0247208,0.0242563,0.0325325,0.0332827
142,0.0226041,0,0,0,0,0.0402919,0,0,0,0,0,0,0.0250952,0,0.0251399,0.0684833,0,0,0.0195043,0,0,0.0406903,0.0700718,0.0253432,0.00665328,0.0195164,0.032567,0.0153729,0.0479909,0.054952,0.0388385,0.0147088,0.015145,0.0283279,0.0299224,0.025812,0.0221992,0.021059,0.0366175,0,0.00927582,0.0632203,0.0433398,0,0,0.0241255,0,0,0.0464536,0.0634651,0.0318485,0.00931626,0.00501173,0.0398558,0.0489233,0.0405282,0.0742336,0.0694578,0.0251358,0.0656244,0.0406358,0.0516173,0.0832043,0.0149269,0.015346,0.00815139,0.0247383,0.0242631,0.0325187,0.03326
143,0.022603,0,0,0,0,0.0402811,0,0,0,0,0,0,0.0250657,0,0.0251311,0.068499,0,0,0.0195123,0,0,0.0406684,0.0700906,0.0253878,0.00666369,0.0195638,0.0325446,0.0153511,0.0479807,0.0549394,0.0388654,0.0148103,0.0151513,0.0283398,0.0299315,0.0258291,0.0222447,0.0210257,0.0366349,0,0.00932756,0.0631459,0.0433312,0,0,0.024125,0,0,0.0464569,0.0634511,0.0318693,0.00922056,0.00501545,0.0397953,0.0489306,0.0405057,0.0743088,0.0694473,0.0251144,0.0656206,0.0406286,0.0515855,0.0831975,0.0148866,0.0153294,0.0081585,0.0247477,0.0242556,0.03248,0.0332447
144,0.0226052,0,0,0,0,0.0402548,0,0,0,0,0,0,0.0250754,0,0.0251771,0.068523,0,0,0.0195377,0,0,0.0406613,0.0700951,0.0254216,0.0066507,0.0195324,0.0325359,0.015332,0.0479878,0.0549489,0.0388924,0.0149718,0.0150901,0.0283298,0.0299078,0.0258103,0.0222937,0.0210242,0.036646,0,0.00933016,0.0630812,0.0433474,0,0,0.0241279,0,0,0.0464853,0.0634544,0.0318816,0.00924943,0.0050114,0.0397474,0.0489636,0.0405104,0.0743732,0.0694504,0.0251194,0.0656276,0.0406803,0.0516061,0.0832229,0.0148752,0.0153145,0.00816751,0.0247508,0.0242596,0.0324821,0.0332559
