Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RANK,,RTIBA
1731,0.0316498,0,0,0,0,0.0639881,0,0,0,0,0,0,0.030113,0,0.0148296,0.0676629,0,0,0.0210672,0,0,0.0392533,0.066189,0.0225448,0.00476277,0.0234452,0.0476289,0.0421222,0.045373,0.060565,0.043619,0.0135727,0.0160352,0.0285879,0.0298539,0.0147593,0.014505,0.027979,0.0216479,0.0364768,0,0.0625512,0.043843,0,0,0.0804285,0,0,0.0473627,0.0602805,0.0291296,0.0219103,0.00822086,0.0527006,0.104316,0.0388761,0.0730253,0.0719001,0.0287831,0.0613591,0.0470936,0.0795735,0.0151213,0.0516963,0.135229,0.0567511,0.0400008,0.0229953,0.0126083,0,0.0382139
1732,0.031358,0,0,0,0,0.0636593,0,0,0,0,0,0,0.0293524,0,0.0155355,0.0679467,0,0,0.0212443,0,0,0.0390603,0.066289,0.0220734,0.00496728,0.0233552,0.0476502,0.0419611,0.0452874,0.0604704,0.0436715,0.0132837,0.0157599,0.0287167,0.0298847,0.0150812,0.0142762,0.0282404,0.0215499,0.0364245,0,0.062195,0.0438887,0,0,0.0807766,0,0,0.04774,0.0603965,0.0290216,0.02197,0.00822861,0.0530348,0.103822,0.0388324,0.0729859,0.071995,0.0291096,0.0613873,0.0471598,0.0797367,0.0153514,0.0519383,0.135857,0.0572173,0.0395099,0.0231546,0.0127618,0,0.0380594
1733,0.0314736,0,0,0,0,0.0638449,0,0,0,0,0,0,0.0291529,0,0.0152201,0.068266,0,0,0.0209771,0,0,0.0392079,0.0664662,0.0220257,0.00468909,0.0238071,0.0473052,0.0419839,0.0457876,0.0605151,0.0436247,0.0132488,0.0158143,0.0280836,0.0292417,0.015491,0.0145906,0.0287808,0.0208583,0.0374252,0,0.0619927,0.0437821,0,0,0.0802946,0,0,0.0474079,0.0602109,0.0291528,0.0219654,0.00867513,0.0528613,0.103365,0.0391669,0.0730378,0.0717275,0.0288121,0.0614137,0.047106,0.0797216,0.0148464,0.0514949,0.138108,0.0573137,0.0394087,0.0233001,0.0124721,0,0.0381931
1734,0.0314881,0,0,0,0,0.0639046,0,0,0,0,0,0,0.0288666,0,0.0153921,0.0681825,0,0,0.0210566,0,0,0.0391868,0.0666989,0.0219017,0.00484882,0.0238169,0.0473066,0.0421531,0.0459735,0.0603562,0.0435605,0.0130314,0.0157024,0.0279551,0.0291274,0.0161282,0.0146601,0.0286649,0.0208474,0.0375956,0,0.0620364,0.0438064,0,0,0.080363,0,0,0.0473983,0.0600825,0.0293,0.0218707,0.00886685,0.0528042,0.103253,0.0394444,0.0731408,0.0716774,0.0287647,0.0614181,0.0471179,0.0797775,0.0147693,0.0514764,0.1381,0.0573387,0.0393151,0.0233789,0.012475,0,0.0381191
1735,0.0315618,0,0,0,0,0.0640398,0,0,0,0,0,0,0.0286248,0,0.0153199,0.0680556,0,0,0.0211826,0,0,0.0392379,0.0669661,0.0219172,0.00498118,0.0237896,0.0473389,0.0423713,0.0462275,0.0601824,0.0434611,0.0128775,0.0155849,0.0278367,0.0289424,0.016642,0.0148195,0.0285807,0.0208483,0.0377845,0,0.062196,0.0437747,0,0,0.0803615,0,0,0.0472991,0.0598673,0.0295126,0.0217527,0.00908009,0.0527087,0.103207,0.0398247,0.0733052,0.0716213,0.028693,0.0613889,0.047123,0.0797713,0.0146635,0.0513177,0.13812,0.0572758,0.0393469,0.0234417,0.0125578,0,0.0380614
1736,0.0316226,0,0,0,0,0.0641225,0,0,0,0,0,0,0.0283575,0,0.0154361,0.0680063,0,0,0.0215183,0,0,0.0392729,0.0671274,0.0218642,0.00523269,0.0235678,0.0474068,0.0425069,0.046399,0.0600684,0.0432485,0.0125471,0.0155268,0.0279181,0.0287767,0.0167985,0.0148517,0.0285404,0.0208596,0.0376974,0,0.0622517,0.0438378,0,0,0.0804873,0,0,0.0473768,0.05971,0.0294922,0.021668,0.00925676,0.0528354,0.103106,0.0402099,0.0735108,0.0716995,0.0287915,0.0613564,0.047109,0.0798233,0.0146851,0.0512699,0.138078,0.0573581,0.0393718,0.0234358,0.0126474,0,0.0378409
1737,0.0332338,0,0,0,0,0.0646467,0,0,0,0,0,0,0.0307429,0,0,0.0682217,0,0,0.0206268,0,0,0.0390631,0.0661704,0.0216966,0.00451358,0.0248857,0.0477066,0.0407204,0,0.0624421,0.0444423,0.0116696,0.0147701,0.0293503,0.0296747,0.0130746,0.0138948,0.0268582,0.0215179,0.0404099,0,0.0642865,0.0449343,0,0,0.0810583,0,0,0.0469503,0.0545373,0.0350843,0.0259102,0.00486583,0.0538548,0.103449,0.0438909,0,0.0750559,0.029946,0.0573957,0.0430871,0.0758148,0.0148463,0.0517652,0.134554,0.0564545,0.0406228,0.02086,0.0114468,0,0.0353233
1738,0.0315664,0,0,0,0,0.0639366,0,0,0,0,0,0,0.0267554,0,0.0162745,0.0666547,0,0,0.0221007,0,0,0.0389613,0.0676425,0.0214081,0.0068358,0.0228804,0.0485706,0.043073,0.0458085,0.0596818,0.0431744,0.0122001,0.0161104,0.028889,0.0293151,0.0178176,0.0144596,0.0268773,0.0223516,0.0368235,0,0.0631696,0.0439712,0,0,0.0814962,0,0,0.0480021,0.0593306,0.0291604,0.0214733,0.00846682,0.0533825,0.103957,0.040259,0.0740231,0.0725111,0.0295025,0.0613109,0.0471218,0.0798784,0.0151169,0.0515423,0.134566,0.0573715,0.0395401,0.0233145,0.0134709,0,0.037888
1739,0.0320969,0,0,0,0,0.0645721,0,0,0,0,0,0,0.0276707,0,0.015309,0.0677766,0,0,0.0217704,0,0,0.0392816,0.0673056,0.0217001,0.00591527,0.0231967,0.047819,0.0431279,0.0471,0.0600324,0.0427162,0.0117732,0.0155858,0.027924,0.028338,0.0173363,0.0150167,0.0281704,0.0210547,0.0378772,0,0.0626702,0.0441147,0,0,0.0806769,0,0,0.0475944,0.0590515,0.0291598,0.0216533,0.00966699,0.0531628,0.103103,0.040873,0.0741112,0.0720134,0.0289837,0.0613522,0.047107,0.0798747,0.0144723,0.051067,0.138454,0.0576345,0.0399049,0.0232228,0.0128437,0,0.0379594
1740,0.032226,0,0,0,0,0.0647629,0,0,0,0,0,0,0.0274787,0,0.0158357,0.0669573,0,0,0.0221544,0,0,0.0392755,0.0672855,0.022054,0.00677443,0.0229395,0.0484042,0.0434097,0.0467424,0.0601256,0.0428953,0.0112357,0.015227,0.0280635,0.0284494,0.0177238,0.0147537,0.0265881,0.0218469,0.0372362,0,0.0634577,0.0446256,0,0,0.0812755,0,0,0.0477223,0.0587816,0.0291514,0.021645,0.00984717,0.0532396,0.104367,0.0410379,0.0741692,0.0720264,0.0288426,0.061445,0.0472096,0.0800394,0.014441,0.0515067,0.134948,0.0572035,0.0404233,0.0229973,0.0128071,0,0.0378049
1741,0.0323694,0,0,0,0,0.064785,0,0,0,0,0,0,0.0275308,0,0.0154101,0.0678417,0,0,0.0218474,0,0,0.0392338,0.0669481,0.0214102,0.0063805,0.0228335,0.0482101,0.043402,0.0472779,0.0604175,0.0427047,0.0110257,0.014909,0.0276753,0.0280521,0.0176728,0.0150659,0.0279928,0.0211123,0.0378131,0,0.062707,0.0444544,0,0,0.0808929,0,0,0.0478863,0.0587907,0.0288892,0.0216976,0.00992418,0.0534522,0.103087,0.041427,0.0742553,0.072098,0.0289481,0.0613852,0.0471061,0.0799366,0.014465,0.0511894,0.138873,0.0579812,0.0403931,0.0229251,0.0127924,0,0.037807
1742,0.0324979,0,0,0,0,0.0649076,0,0,0,0,0,0,0.0273566,0,0.0159611,0.0670353,0,0,0.0220757,0,0,0.0391658,0.0668789,0.0214927,0.0071723,0.0226387,0.0487977,0.043622,0.0469604,0.0606589,0.0429558,0.0105999,0.0145503,0.0277958,0.0281274,0.017841,0.0147507,0.0265375,0.0218992,0.0371978,0,0.0634307,0.0448731,0,0,0.0815674,0,0,0.0480518,0.0585295,0.0288116,0.0217019,0.00994268,0.0535131,0.104154,0.0414825,0.0743029,0.0720919,0.0288286,0.0614243,0.0471829,0.0800317,0.0144551,0.0515502,0.135581,0.057613,0.0409001,0.0226795,0.0128291,0,0.0377362
1743,0.0326167,0,0,0,0,0.0649469,0,0,0,0,0,0,0.0273576,0,0.0155447,0.0678825,0,0,0.0218526,0,0,0.0391904,0.0665385,0.0209387,0.00671482,0.0227795,0.0485735,0.0435328,0.0476829,0.0609833,0.0428746,0.0105674,0.0142224,0.027408,0.0276918,0.0177124,0.0150416,0.0279051,0.0210923,0.0376913,0,0.0627764,0.0446769,0,0,0.0813264,0,0,0.048147,0.0585001,0.0285674,0.021819,0.0100195,0.0536572,0.102892,0.0415774,0.0743563,0.0721229,0.0289031,0.0613066,0.0470447,0.0798837,0.0144497,0.0512159,0.139298,0.0583318,0.0409163,0.022605,0.0128967,0,0.0378082
1744,0.0327256,0,0,0,0,0.0650396,0,0,0,0,0,0,0.027336,0,0.0156187,0.0678949,0,0,0.0218538,0,0,0.0391898,0.0663138,0.0210582,0.00678406,0.0229959,0.0486894,0.0435508,0.0479974,0.0612742,0.04305,0.0104266,0.0141051,0.0273276,0.0275058,0.0177809,0.0150586,0.027931,0.0210728,0.0376747,0,0.0628886,0.0447491,0,0,0.0814756,0,0,0.0482288,0.058337,0.0283986,0.0219052,0.0101037,0.0536935,0.102787,0.04166,0.0743911,0.0721566,0.0289164,0.0611674,0.0469373,0.0798641,0.0143806,0.0512751,0.139457,0.0584716,0.0412045,0.02248,0.0129898,0,0.0378513
1745,0.0328236,0,0,0,0,0.0651271,0,0,0,0,0,0,0.0273584,0,0.0157051,0.0679113,0,0,0.021852,0,0,0.0391879,0.0660591,0.0209584,0.00684996,0.0231464,0.0487588,0.0435435,0.0482613,0.0616019,0.0431915,0.01013,0.0139185,0.0272843,0.0273138,0.0178866,0.015059,0.0279256,0.0211025,0.0376823,0,0.063017,0.0448081,0,0,0.0815826,0,0,0.0483102,0.0581908,0.0281437,0.021986,0.0102356,0.0537052,0.102668,0.0416886,0.0744452,0.0721772,0.0289434,0.0610829,0.0468712,0.0798643,0.0143137,0.0514199,0.139577,0.0585635,0.0414704,0.022362,0.0130819,0,0.0378756
1746,0.0328632,0,0,0,0,0.0652056,0,0,0,0,0,0,0.0272444,0,0.0161582,0.066955,0,0,0.0220907,0,0,0.0391583,0.0660749,0.0211224,0.00754593,0.0230667,0.0492314,0.0436994,0.0478542,0.0618009,0.0435769,0.00989081,0.0137284,0.0275341,0.027446,0.0182018,0.0147726,0.0264951,0.0220959,0.0371552,0,0.063929,0.045045,0,0,0.0820961,0,0,0.0483424,0.0579362,0.0278271,0.021998,0.0101816,0.0536393,0.103671,0.0415813,0.0744905,0.0722608,0.0289063,0.0611201,0.0469079,0.0799076,0.0142789,0.0518704,0.136331,0.0580855,0.0419283,0.0222233,0.0133179,0,0.0378845
1747,0.0329814,0,0,0,0,0.0651683,0,0,0,0,0,0,0.0276001,0,0.0159787,0.0679142,0,0,0.022024,0,0,0.0392592,0.0655493,0.0207316,0.00698132,0.0231445,0.0488003,0.0434583,0.0487,0.0622132,0.0434539,0.00972777,0.013305,0.0273515,0.0271467,0.017927,0.0149145,0.0280188,0.0212329,0.0376325,0,0.0632363,0.0448858,0,0,0.0817327,0,0,0.0484524,0.057952,0.0273988,0.0221038,0.0104033,0.0537856,0.102269,0.0418102,0.0745855,0.0723123,0.0291199,0.061058,0.0468222,0.0798097,0.0142283,0.0517745,0.139972,0.0588075,0.0418643,0.0221601,0.0132664,0,0.0378348
