Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,RTHIA
331,0,0.0334654,0,0,0,0,0.0428707,0,0,0,0,0,0,0.0179434,0,0.0200338,0.0681938,0,0,0.0155375,0,0,0.0236987,0.0618661,0.0251876,0.00761281,0.0168505,0.0394392,0.0312816,0.0357549,0.0530388,0.0627618,0.0352787,0.00685575,0.0114155,0.0285755,0.0289526,0.0352934,0.0132212,0,0.0205388,0.0159053,0,0.0189558,0.0643331,0.0356956,0,0,0.0178432,0,0,0.0505274,0.0533572,0.0428262,0.0293581,0.0207796,0.0603345,0.041976,0.0707999,0.0217266,0.0514012,0.0348769,0.0356194,0.0664467,0.0570086,0.0174675,0.0283533,0.0207159,0.0237345,0.022144,0,0
332,0,0.0337232,0,0,0,0,0.0429704,0,0,0,0,0,0,0.0172393,0,0.0208942,0.0679282,0,0,0.0154631,0,0,0.0236103,0.0616568,0.0248819,0.00757969,0.016633,0.0396707,0.031152,0.0357226,0.0530547,0.0633352,0.0358507,0.00710863,0.0109462,0.0287276,0.0292259,0.0376661,0.0131788,0,0.020521,0.0151808,0,0.0187167,0.064712,0.035786,0,0,0.0178835,0,0,0.050523,0.0531805,0.0424553,0.0295836,0.0206449,0.060152,0.0420394,0.0706311,0.0218146,0.0514126,0.0350469,0.0356662,0.0666631,0.0545859,0.0175007,0.0282931,0.0207922,0.0238375,0.0219513,0,0
333,0,0.0338595,0,0,0,0,0.042983,0,0,0,0,0,0,0.0141157,0,0,0.0701872,0,0,0.0158635,0,0,0.0236901,0.0578164,0.0195088,0.00574034,0.0202173,0.0410979,0.0323109,0.0390764,0,0.0676215,0.0378513,0.00777576,0.00814467,0.0287706,0.0277145,0.0359375,0.0135169,0,0.0207078,0.0156021,0,0.0165362,0.0609464,0.0355721,0,0,0.017352,0,0,0.0503922,0,0.0406048,0.0228678,0,0.0578246,0.0412052,0.0687762,0.0194189,0.0535346,0.038773,0.0372458,0.0679983,0.0439928,0.0171416,0.0283457,0.0207379,0.02379,0.0225908,0,0
334,0,0.0342534,0,0,0,0,0.0430655,0,0,0,0,0,0,0.0180213,0,0.0220737,0.0673645,0,0,0.0150551,0,0,0.0234833,0.0614344,0.0247033,0.00751279,0.0157772,0.0405702,0.0307144,0.0357471,0.0531044,0.0644128,0.0370748,0.00875252,0.0113521,0.0297626,0.0303212,0.0410343,0.0132106,0,0.0204464,0.0144081,0,0.0183269,0.0654338,0.0359937,0,0,0.017588,0,0,0.0504577,0.052743,0.0415701,0.0300612,0.0201866,0.0600332,0.0417067,0.0707526,0.0220522,0.0513933,0.0350689,0.0357486,0.0671559,0.0494917,0.017477,0.0282762,0.0208536,0.0242332,0.0216725,0,0
335,0,0.0343947,0,0,0,0,0.043036,0,0,0,0,0,0,0.0186883,0,0.0223962,0.0673617,0,0,0.0148632,0,0,0.023515,0.0615017,0.0251035,0.00731362,0.0154121,0.040557,0.0306577,0.0355597,0.0530841,0.064722,0.0375426,0.00989639,0.0121565,0.0304492,0.0311136,0.0417732,0.0133128,0,0.0204149,0.0144027,0,0.0180786,0.0659925,0.0360625,0,0,0.0173799,0,0,0.0504364,0.0525045,0.0411873,0.030354,0.0198828,0.059656,0.0415523,0.0708131,0.0222156,0.0513636,0.0351022,0.0358328,0.0673418,0.0469162,0.0174557,0.0283452,0.0209169,0.0242408,0.0215168,0,0
336,0,0.0345719,0,0,0,0,0.0430045,0,0,0,0,0,0,0.0192981,0,0.0225848,0.0674722,0,0,0.0146278,0,0,0.0234846,0.0616234,0.0254552,0.00712148,0.0152174,0.0406571,0.0305162,0.0353199,0.0528059,0.0648629,0.0378389,0.0109962,0.0130916,0.0310584,0.0319121,0.0421317,0.0133674,0,0.0203134,0.0146688,0,0.0178057,0.0665032,0.0361565,0,0,0.0170832,0,0,0.0503676,0.0522351,0.0408623,0.0306059,0.0196036,0.0593139,0.0413372,0.0707945,0.0223723,0.0513114,0.0351032,0.0359333,0.0675365,0.0443515,0.0174101,0.0284995,0.02099,0.0241205,0.0213884,0,0
337,0,0.0347941,0,0,0,0,0.0429726,0,0,0,0,0,0,0.0198936,0,0.0228186,0.0675416,0,0,0.0143749,0,0,0.0234325,0.0617546,0.0258618,0.00699218,0.0151207,0.0407698,0.0303151,0.0350935,0.0524471,0.0648644,0.0379618,0.011943,0.0140209,0.0316375,0.03264,0.0423566,0.0134278,0,0.0202315,0.0154167,0,0.0176072,0.067008,0.0362966,0,0,0.0167941,0,0,0.0502786,0.0519325,0.0405635,0.0308348,0.0193528,0.0589649,0.0410703,0.0707973,0.0225122,0.0512747,0.0350401,0.0360111,0.0677459,0.0417159,0.017406,0.0285212,0.0209938,0.0241506,0.0212652,0,0
338,0,0.0350555,0,0,0,0,0.0430226,0,0,0,0,0,0,0.0203514,0,0.0230282,0.0674634,0,0,0.0140708,0,0,0.0233912,0.0619658,0.0261508,0.00715038,0.0150317,0.0411816,0.0299567,0.0347188,0.0521197,0.064705,0.0378751,0.0127247,0.0147629,0.0321281,0.0332063,0.0426104,0.0134545,0,0.020162,0.0165007,0,0.0174079,0.0673594,0.0364554,0,0,0.0164956,0,0,0.0501728,0.0516683,0.0402917,0.0309921,0.019034,0.0588303,0.0407278,0.0708254,0.0226447,0.0512715,0.0349252,0.0360691,0.0679311,0.039021,0.0173732,0.0283967,0.0209006,0.0242061,0.02118,0,0
339,0,0.0352882,0,0,0,0,0.0430522,0,0,0,0,0,0,0.0206273,0,0.023219,0.0674849,0,0,0.0138785,0,0,0.0234179,0.0621941,0.0264797,0.00708146,0.0149094,0.0411898,0.0297413,0.0343511,0.0518664,0.0644946,0.03771,0.0132696,0.0152513,0.0324718,0.0335891,0.042999,0.0134696,0,0.0201164,0.0177248,0,0.017164,0.067854,0.0365883,0,0,0.0163162,0,0,0.0500434,0.0514435,0.0400425,0.0311171,0.0187326,0.0583505,0.0405663,0.0707521,0.0227557,0.0513708,0.0347843,0.0361717,0.0681689,0.0366416,0.0173593,0.0282869,0.0208679,0.0244055,0.0210151,0,0
340,0,0.0355028,0,0,0,0,0.0430916,0,0,0,0,0,0,0.0207877,0,0.0233762,0.0674683,0,0,0.0137243,0,0,0.0233661,0.0625003,0.0266728,0.00700084,0.0148386,0.0411557,0.0295361,0.0340388,0.0516084,0.0642241,0.0374942,0.0136017,0.0154971,0.0326207,0.0338284,0.043554,0.0134923,0,0.020029,0.0190879,0,0.0169442,0.0683053,0.0367167,0,0,0.0161995,0,0,0.0499525,0.0512162,0.0397874,0.0312483,0.0185179,0.0578612,0.0404795,0.0706349,0.0228595,0.0513864,0.0347231,0.036215,0.0683978,0.0344152,0.0173446,0.0282685,0.0208975,0.0245481,0.0208328,0,0
