Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,
422,0.0290365,0,0,0,0,0.046521,0,0,0,0,0,0,0.0271187,0,0.0242372,0.0685392,0,0,0.0271611,0,0,0.0459846,0.072309,0.0195515,0.00810898,0.0111408,0.0364316,0.0389593,0.0299001,0.0416315,0.0459927,0.0207516,0.00959366,0.0112359,0.0283975,0.028786,0.0199183,0.00921915,0.0426796,0.027058,0.0374478,0,0.0130431,0.0658523,0.0320074,0,0,0.0173343,0,0,0.0482471,0.0585897,0.0423201,0.0237482,0.00665771,0.0544456,0.0303938,0.0438083,0.070281,0.0627723,0.0220678,0.0561987,0.0328418,0.0415496,0.0724878,0.0165356,0.0143122,0.031925,0.0194109,0.0240461,0.0289815,0
423,0.0292649,0,0,0,0,0.0465992,0,0,0,0,0,0,0.0272603,0,0.0243614,0.0682788,0,0,0.027034,0,0,0.0459768,0.0724409,0.0195977,0.00800095,0.0110136,0.0363999,0.0387431,0.0299843,0.0415325,0.0458617,0.0209387,0.00970096,0.0112516,0.0284446,0.0287819,0.0199272,0.00913012,0.0427874,0.0270217,0.0394837,0,0.0128437,0.0664172,0.0320709,0,0,0.017117,0,0,0.0481408,0.0583739,0.0414512,0.024489,0.00685113,0.0547581,0.0300614,0.0440623,0.070496,0.0631002,0.0225966,0.0565655,0.0331607,0.0419532,0.0730612,0.0148795,0.0145552,0.0321044,0.0194441,0.0241706,0.0289336,0
424,0.0294776,0,0,0,0,0.0466769,0,0,0,0,0,0,0.027331,0,0.024467,0.0680109,0,0,0.0268925,0,0,0.0459824,0.0726244,0.0196391,0.00793369,0.0108513,0.036416,0.0385173,0.0300804,0.0414959,0.0457702,0.0211464,0.00983339,0.0113096,0.0284912,0.0288112,0.0199632,0.00903756,0.0429111,0.026974,0.0411746,0,0.0124294,0.0669597,0.0321458,0,0,0.0169363,0,0,0.0481203,0.058106,0.0406096,0.0252805,0.00723832,0.0551327,0.0297519,0.0442721,0.0706367,0.0634342,0.0230309,0.0569504,0.0334709,0.0423733,0.0736456,0.0138956,0.0147682,0.032211,0.0192812,0.0243455,0.0288703,0
425,0.0296798,0,0,0,0,0.0467559,0,0,0,0,0,0,0.0273711,0,0.0245459,0.0677363,0,0,0.026747,0,0,0.0459959,0.0727507,0.0197281,0.00790149,0.0106713,0.0364228,0.0382898,0.0301862,0.0414882,0.0457127,0.0213517,0.00991621,0.0113115,0.0285134,0.0288419,0.0200124,0.00894581,0.043052,0.0269184,0.0425166,0,0.0122548,0.0674808,0.0322252,0,0,0.0168197,0,0,0.0480941,0.0578101,0.0398101,0.0259016,0.00774734,0.0555453,0.0294869,0.0444816,0.0707157,0.0636699,0.023334,0.0573158,0.033732,0.0427809,0.0741669,0.0134225,0.0149599,0.0322333,0.0190883,0.0245131,0.0287759,0
426,0.0298881,0,0,0,0,0.046825,0,0,0,0,0,0,0.0273349,0,0.0245719,0.0675203,0,0,0.0265974,0,0,0.0460136,0.0728421,0.0198063,0.00787377,0.0104719,0.0364556,0.038055,0.0303087,0.0415652,0.0457131,0.0216056,0.00995951,0.0112905,0.028558,0.0289382,0.0200896,0.00883388,0.0431901,0.0268533,0.0436516,0,0.0124285,0.0679024,0.0322301,0,0,0.0166873,0,0,0.0479337,0.0575222,0.0391671,0.0264843,0.00833082,0.0559203,0.0292957,0.0447605,0.0708573,0.0637528,0.0234797,0.0576367,0.0338977,0.0431675,0.0746127,0.01319,0.015219,0.0322974,0.0192667,0.024665,0.0286806,0
427,0.0300775,0,0,0,0,0.0468871,0,0,0,0,0,0,0.0272309,0,0.0245955,0.0673506,0,0,0.0264457,0,0,0.0459915,0.072931,0.0199307,0.00789309,0.0102473,0.0365218,0.0378066,0.0304806,0.0416395,0.0457459,0.0219085,0.0100442,0.0113269,0.0285881,0.0290293,0.0201566,0.00872661,0.0432807,0.0268973,0.0445715,0,0.0128361,0.0681981,0.0321172,0,0,0.0164962,0,0,0.0478021,0.057333,0.0387153,0.0270289,0.00888466,0.0562379,0.0291512,0.0451399,0.071122,0.0636698,0.0234904,0.0578968,0.033933,0.0434324,0.0749758,0.0130184,0.0155047,0.0323667,0.0193832,0.0247892,0.0285636,0
428,0.0302215,0,0,0,0,0.0469393,0,0,0,0,0,0,0.0269556,0,0.0246249,0.0672031,0,0,0.0263468,0,0,0.0459907,0.0729878,0.0200735,0.00790998,0.0101119,0.0366019,0.0375819,0.0306834,0.0417339,0.0458207,0.0222019,0.0101396,0.0114037,0.0286557,0.0291015,0.0203646,0.00862833,0.0433342,0.0269428,0.0451566,0,0.0131517,0.0684115,0.0318791,0,0,0.0163057,0,0,0.0477762,0.0573213,0.0385115,0.0273236,0.00931991,0.056498,0.0290568,0.0452618,0.071083,0.063512,0.023477,0.058047,0.0338574,0.0436245,0.0751694,0.0129271,0.0157625,0.0324777,0.0193774,0.0248652,0.0284139,0
429,0.0303303,0,0,0,0,0.0469859,0,0,0,0,0,0,0.0267327,0,0.0246123,0.0670851,0,0,0.0262633,0,0,0.0460253,0.0729837,0.0202175,0.00790531,0.00996503,0.0366438,0.0373823,0.0309007,0.0419977,0.0458561,0.0225001,0.0101939,0.0115322,0.0286778,0.0292224,0.0205888,0.00854242,0.0434249,0.026944,0.0453286,0,0.0133044,0.0685215,0.0317953,0,0,0.0160938,0,0,0.0477635,0.0574252,0.0384591,0.027548,0.0095139,0.056669,0.0290163,0.0452144,0.0707176,0.0633396,0.0234542,0.0580773,0.0337207,0.0437596,0.0752304,0.012812,0.0159836,0.0326568,0.0194331,0.0249649,0.0282937,0
430,0.0303858,0,0,0,0,0.0469854,0,0,0,0,0,0,0.0266721,0,0.024543,0.0670613,0,0,0.0261402,0,0,0.0460823,0.072883,0.0204128,0.00790199,0.00967641,0.0366364,0.0371814,0.0310471,0.0423021,0.0459636,0.0227025,0.0102359,0.0116327,0.0287391,0.0294084,0.0206811,0.00848456,0.0435816,0.0269195,0.0449522,0,0.0132101,0.0684933,0.0317949,0,0,0.0159138,0,0,0.0477707,0.0576107,0.0384802,0.0275763,0.00954347,0.0567807,0.0290082,0.0451849,0.0705292,0.0630596,0.0233344,0.0580413,0.033575,0.0437625,0.0752018,0.0126244,0.0161981,0.0328135,0.0194588,0.0250395,0.0282219,0
431,0.0303335,0,0,0,0,0.0470992,0,0,0,0,0,0,0.0267072,0,0.0244088,0.0671367,0,0,0.0259923,0,0,0.0460996,0.0726746,0.0205705,0.00790762,0.00929724,0.0365314,0.0369939,0.0310803,0.042521,0.0460726,0.0227124,0.010276,0.0116568,0.0289134,0.0295659,0.0207069,0.00844231,0.0436965,0.0268797,0.0439466,0,0.0132297,0.0683297,0.0317792,0,0,0.0157696,0,0,0.0477513,0.0578834,0.0385774,0.0274634,0.00944146,0.056868,0.0289615,0.0451639,0.0706006,0.0626382,0.0230286,0.0580019,0.033501,0.0437052,0.075089,0.0125688,0.0162305,0.0328388,0.0193836,0.0252061,0.0280861,0
432,0.0302428,0,0,0,0,0.0471936,0,0,0,0,0,0,0.0267319,0,0.0242218,0.0673293,0,0,0.0258382,0,0,0.0460895,0.0724082,0.0206184,0.00796418,0.0088448,0.0364281,0.0368269,0.0309739,0.0426652,0.0461341,0.0225787,0.0103632,0.0117007,0.0289987,0.0296892,0.0206895,0.00843557,0.0437836,0.0267999,0.042385,0,0.0133492,0.068103,0.0317653,0,0,0.0156176,0,0,0.047744,0.0581543,0.0388023,0.0273017,0.00927244,0.0569668,0.028888,0.0451439,0.0707043,0.0622,0.0224904,0.0579189,0.0334827,0.0436277,0.074853,0.0128906,0.0163202,0.0328949,0.0193465,0.0253036,0.0279701,0
433,0.0301449,0,0,0,0,0.0472363,0,0,0,0,0,0,0.0267116,0,0.0240412,0.0677766,0,0,0.0258132,0,0,0.0460538,0.0722362,0.0205993,0.0082634,0.00852328,0.0361263,0.0367515,0.0307402,0.0427172,0.0461695,0.0223897,0.0104426,0.0118052,0.0289024,0.0297244,0.0206207,0.00840354,0.043877,0.0267128,0.040757,0,0.0130199,0.0677794,0.031771,0,0,0.0154963,0,0,0.0477389,0.0583574,0.0388565,0.027165,0.00895173,0.0569502,0.0288305,0.0450276,0.0705324,0.0618736,0.0218396,0.0577144,0.0335398,0.0433641,0.0744825,0.0135616,0.0164063,0.032998,0.0194698,0.0253307,0.0277856,0
434,0.0301224,0,0,0,0,0.0473767,0,0,0,0,0,0,0.0266043,0,0.0238134,0.0680223,0,0,0.0256072,0,0,0.0460413,0.072112,0.0206314,0.00835178,0.00837166,0.0362049,0.0365216,0.0304565,0.0427407,0.0461398,0.0221146,0.0104745,0.0119087,0.0288523,0.0297132,0.020644,0.00846316,0.0439869,0.0267161,0.0381343,0,0.0129139,0.0675374,0.0317188,0,0,0.0152152,0,0,0.0477151,0.0585346,0.0386408,0.0270319,0.00852503,0.0571951,0.0287152,0.0450178,0.0705256,0.0614927,0.0210068,0.05745,0.0334921,0.0429954,0.0740937,0.0151311,0.0165875,0.0332235,0.0195281,0.0254487,0.0276547,0
435,0.030105,0,0,0,0,0.0474779,0,0,0,0,0,0,0.0266444,0,0.0235368,0.0684058,0,0,0.0255261,0,0,0.0460251,0.0719662,0.0207588,0.00863372,0.00826026,0.0360972,0.0363461,0.0300916,0.0427705,0.0461004,0.0218098,0.0103914,0.0118263,0.0288027,0.0296589,0.0204773,0.00844041,0.0440902,0.0266993,0.0354587,0,0.0128236,0.0672385,0.0316571,0,0,0.0150432,0,0,0.0477231,0.0587239,0.0383386,0.0268747,0.00808129,0.0572995,0.0286673,0.0449476,0.0706526,0.0612088,0.0201813,0.0571449,0.0334603,0.0426437,0.0736403,0.0173126,0.0167038,0.0333449,0.0195615,0.0255552,0.0275024,0
436,0.0301205,0,0,0,0,0.0476027,0,0,0,0,0,0,0.0267253,0,0.0232352,0.0687965,0,0,0.0254829,0,0,0.0460613,0.0718007,0.0208644,0.00894979,0.0081034,0.0359177,0.0361962,0.0297669,0.0427518,0.0460481,0.0214476,0.0102764,0.0116382,0.0287552,0.0295643,0.0200053,0.00839202,0.0441629,0.0266398,0.0329306,0,0.0129703,0.0668759,0.0316195,0,0,0.0149794,0,0,0.0477556,0.0589238,0.0382255,0.0266291,0.00785099,0.0573085,0.0286982,0.0449142,0.0705318,0.0610427,0.019428,0.0567879,0.0334656,0.0423011,0.0731552,0.0199688,0.0167762,0.0333663,0.0194635,0.0256699,0.0272964,0
437,0.0301549,0,0,0,0,0.047772,0,0,0,0,0,0,0.0268653,0,0.022881,0.069257,0,0,0.0254487,0,0,0.0460709,0.0715997,0.0209483,0.00933912,0.00785358,0.0356445,0.036046,0.0295201,0.0427187,0.0459752,0.0210825,0.0102044,0.0114225,0.0285831,0.0294777,0.0196059,0.0083457,0.0442314,0.0265206,0.0305473,0,0.0132848,0.0664427,0.0315741,0,0,0.0149738,0,0,0.0478289,0.0591713,0.0383013,0.0262472,0.00802048,0.0572184,0.028801,0.0449709,0.0706158,0.0608733,0.0188146,0.0564811,0.0335222,0.041948,0.0727289,0.0228041,0.0167916,0.0333292,0.019296,0.0257864,0.0270229,0
438,0.0302237,0,0,0,0,0.0479276,0,0,0,0,0,0,0.0268869,0,0.0225036,0.0696708,0,0,0.0253841,0,0,0.0460415,0.0714541,0.0210181,0.00973476,0.00762224,0.0353531,0.0358737,0.0294105,0.0427207,0.045875,0.0208864,0.0101518,0.0112737,0.0282671,0.0293813,0.019539,0.00824357,0.0443649,0.0264223,0.0286223,0,0.0135617,0.066032,0.0315684,0,0,0.0148627,0,0,0.0478712,0.0593255,0.0383215,0.0259631,0.00845586,0.0571166,0.0289383,0.0451714,0.0707939,0.0606621,0.0183352,0.0561718,0.0334577,0.0415999,0.072365,0.0253487,0.0168173,0.033371,0.0193457,0.0258987,0.0267048,0
