Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,RTHIA
166,0.0221543,0,0,0,0,0.0485344,0,0,0,0,0,0,0.0323265,0,0.0197268,0.0724104,0,0,0.0150306,0,0,0.0382076,0.0697913,0.0252916,0.0074874,0.0210059,0.0338143,0.0394538,0.0441544,0.0538691,0.0351452,0.0133372,0.0149845,0.0239944,0.0253387,0.0192084,0.0125937,0.0108382,0.0213313,0.0285041,0,0.0138439,0.0582958,0.0271801,0,0,0.0187741,0,0,0.0446365,0.0603999,0.0309132,0.0210415,0.00843539,0.0515675,0.0387475,0.0757793,0.0303877,0.0617282,0.0389806,0.0475797,0.0791802,0.0228836,0.0149923,0.00673372,0.025231,0.0283472,0.0309871,0.0480054,0.0812563
167,0.0221614,0,0,0,0,0.048367,0,0,0,0,0,0,0.0314912,0,0.0199923,0.0722515,0,0,0.0143477,0,0,0.0378442,0.0700618,0.0242075,0.00734758,0.0208854,0.0333932,0.0389256,0.0439978,0.0538167,0.0351896,0.0132381,0.0146723,0.0243685,0.0255483,0.0189677,0.01299,0.00885689,0.0223192,0.0294673,0,0.0140642,0.0586665,0.0272817,0,0,0.019187,0,0,0.044785,0.0598994,0.0293085,0.0211026,0.00835354,0.0512861,0.0393165,0.0760006,0.0306347,0.0617192,0.0390145,0.0475005,0.0791718,0.0215635,0.0148083,0.00675499,0.0253576,0.0279792,0.0308035,0.0480772,0.0813122
168,0.0220812,0,0,0,0,0.0484639,0,0,0,0,0,0,0.0302429,0,0.0203854,0.0720707,0,0,0.0139867,0,0,0.0373845,0.0702697,0.022834,0.00702545,0.0206678,0.0330356,0.0384295,0.043977,0.053748,0.035319,0.0130231,0.0143734,0.0249956,0.0259052,0.0187644,0.0132707,0.00824826,0.0224671,0.0305606,0,0.0141947,0.0590749,0.0276682,0,0,0.0196237,0,0,0.0447664,0.059317,0.02786,0.0212007,0.00845466,0.0510368,0.0393156,0.0762392,0.0309012,0.0617064,0.0389493,0.0476307,0.0793681,0.0201533,0.0144505,0.00689995,0.0253799,0.0278051,0.030455,0.0481146,0.0814059
169,0.0219825,0,0,0,0,0.0485359,0,0,0,0,0,0,0.0286167,0,0.0209904,0.0718315,0,0,0.0138585,0,0,0.036898,0.0704232,0.0209914,0.00674429,0.020343,0.0327238,0.0379589,0.044023,0.0537309,0.0355376,0.01273,0.0140969,0.0258903,0.0264304,0.0188104,0.0134753,0.00826599,0.0220512,0.0317037,0,0.0143395,0.059602,0.0280561,0,0,0.020033,0,0,0.044749,0.0587229,0.026778,0.0213312,0.00864321,0.0508279,0.0393444,0.0763281,0.0310507,0.0617847,0.0389238,0.0478425,0.0797602,0.0188384,0.0142145,0.00701852,0.0253968,0.0276354,0.0301541,0.0480897,0.0813527
170,0.0218696,0,0,0,0,0.0485373,0,0,0,0,0,0,0.0269359,0,0.0217228,0.0715473,0,0,0.0137912,0,0,0.0363818,0.0704894,0.0189814,0.0065175,0.0199345,0.0325223,0.03753,0.0441627,0.053891,0.0358379,0.0123855,0.0139214,0.0269031,0.0270694,0.0192122,0.0136655,0.00826684,0.0215379,0.0327991,0,0.0145449,0.0602405,0.0284097,0,0,0.0203918,0,0,0.0448167,0.058173,0.0261086,0.0214537,0.00877353,0.0505974,0.0393531,0.0762114,0.0309892,0.0619578,0.0390459,0.0481002,0.0800759,0.0176789,0.0139788,0.00702633,0.0255064,0.0275111,0.0298809,0.047749,0.08109
171,0.0217878,0,0,0,0,0.0484817,0,0,0,0,0,0,0.0267282,0,0.0214349,0.0711684,0,0,0.0136839,0,0,0.0359772,0.0704744,0.0188362,0.00630568,0.0193905,0.03247,0.0371183,0.044477,0.0541501,0.0362061,0.0120132,0.013656,0.0268787,0.0271071,0.0195324,0.0138699,0.0081793,0.0211704,0.0337338,0,0.0146745,0.0608075,0.0287436,0,0,0.020645,0,0,0.0449835,0.0577805,0.0258335,0.0214754,0.00882583,0.050257,0.039466,0.0759506,0.030807,0.0621118,0.0393027,0.0482236,0.0801944,0.0167869,0.0137766,0.00696232,0.0257753,0.0273985,0.0295715,0.0473733,0.08071
172,0.0217773,0,0,0,0,0.0483581,0,0,0,0,0,0,0.0265649,0,0.0211042,0.0707713,0,0,0.0137124,0,0,0.0358835,0.0705324,0.0187814,0.00613883,0.0188017,0.0326241,0.0367284,0.0449611,0.054523,0.0365724,0.0115956,0.0133839,0.0269382,0.0271699,0.019707,0.0139998,0.00818948,0.0209896,0.0345275,0,0.0146857,0.0612317,0.0290658,0,0,0.0208966,0,0,0.0451565,0.0575602,0.025849,0.0213923,0.00898068,0.0497905,0.0396872,0.0756271,0.0305846,0.0621836,0.0394557,0.048237,0.0802368,0.0161448,0.0136497,0.00693543,0.0262932,0.0273436,0.0292108,0.0471998,0.0803533
173,0.0218941,0,0,0,0,0.0482796,0,0,0,0,0,0,0.0264313,0,0.0207752,0.0703646,0,0,0.0138307,0,0,0.0357882,0.0705812,0.0187538,0.00597754,0.0182512,0.0329087,0.0364057,0.0455246,0.0549517,0.0369311,0.0111929,0.0131694,0.0270706,0.0272336,0.0198065,0.0140234,0.00819358,0.0209404,0.0351873,0,0.0146581,0.0615864,0.0293793,0,0,0.0213462,0,0,0.0451655,0.0574481,0.0259935,0.0212606,0.00930623,0.0492543,0.0398451,0.0753188,0.0303941,0.0621526,0.0394251,0.048187,0.0802888,0.0156704,0.013605,0.00689856,0.026951,0.027342,0.0288209,0.0471439,0.080068
174,0.0220715,0,0,0,0,0.0482929,0,0,0,0,0,0,0.026273,0,0.0204145,0.0699905,0,0,0.013987,0,0,0.0355621,0.0705771,0.0188323,0.00578364,0.0178482,0.0332645,0.0361356,0.0460814,0.0554684,0.037283,0.0108843,0.0131173,0.0272658,0.0273351,0.0200523,0.0140724,0.00817367,0.0208624,0.035714,0,0.0147036,0.0619764,0.029714,0,0,0.0218011,0,0,0.0453784,0.0573439,0.0260275,0.0211018,0.00972885,0.0487518,0.0400461,0.0750667,0.030287,0.0620603,0.039243,0.0480698,0.0803361,0.0153009,0.0134614,0.00679063,0.0273957,0.0274479,0.028439,0.0471624,0.0799411
175,0.022292,0,0,0,0,0.0483851,0,0,0,0,0,0,0.0260644,0,0.0200447,0.0695989,0,0,0.0142194,0,0,0.0353277,0.0705469,0.0188924,0.00557812,0.0176827,0.0335832,0.0359708,0.0466153,0.0560552,0.0375359,0.0106612,0.0130865,0.027451,0.0274837,0.0204656,0.0141557,0.00818222,0.0208466,0.036136,0,0.0148385,0.0623916,0.0300607,0,0,0.0222112,0,0,0.0456911,0.0571344,0.025858,0.0210205,0.0100851,0.0483327,0.0402914,0.0749482,0.0302702,0.0619369,0.0390072,0.0480308,0.0802952,0.0150114,0.0132729,0.00680969,0.0278136,0.0276702,0.0280853,0.0472096,0.079953
176,0.0225279,0,0,0,0,0.0484877,0,0,0,0,0,0,0.025991,0,0.0199137,0.0691649,0,0,0.0145507,0,0,0.0351541,0.070509,0.0190231,0.00536495,0.0176484,0.0338042,0.035841,0.0470977,0.0566231,0.0377251,0.0104693,0.0128923,0.0276045,0.0275969,0.0207463,0.0141041,0.00820244,0.0208764,0.036437,0,0.0150569,0.0628653,0.0304085,0,0,0.0224924,0,0,0.0458166,0.0568847,0.0255205,0.0210178,0.0103992,0.0480411,0.0405808,0.0749669,0.0303525,0.0618236,0.0388397,0.0479602,0.0802179,0.0148261,0.0131316,0.0068875,0.0282129,0.0278645,0.0278197,0.0473436,0.0800237
