Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,
573,0.025713,0,0,0,0,0.0446579,0,0,0,0,0,0,0.0247868,0,0.0199851,0.0784657,0,0,0.0263647,0,0,0.041748,0.0698265,0.0175979,0.0111145,0.0135,0.0332759,0.0431824,0.0266451,0.0409398,0.0479137,0.026586,0.010108,0.0124244,0.0252648,0.0269268,0.0215561,0.0097507,0.0326328,0.0243164,0.0200988,0,0.0156722,0.054601,0.0314813,0,0,0.0203825,0,0,0.048386,0.0662808,0.0475008,0.0174861,0.0210503,0.0498854,0.0390336,0.0509547,0.0590335,0.0279251,0.0516739,0.0312295,0.0358143,0.0661446,0.0371224,0.0158325,0.0313264,0.0234669,0.0223656,0.0281688,0.0211046,0
574,0.0256973,0,0,0,0,0.0433908,0,0,0,0,0,0,0.0249984,0,0.0200241,0.0784179,0,0,0.0206796,0,0,0.0251754,0.06993,0.0177087,0.0113314,0.0135448,0.0334083,0.0397224,0.0266665,0.0409754,0.0478081,0.0265945,0.0102923,0.0127512,0.0254522,0.0270655,0.0214421,0.0154997,0,0.0241446,0.0187147,0,0.0161485,0.0543801,0.0321848,0,0,0.020148,0,0,0.0482139,0.0664637,0.0478894,0.0177579,0.0211929,0.050471,0.0392574,0.0509781,0.0596004,0.0282719,0.051624,0.0312537,0.0359615,0.0662768,0.0397403,0.0153637,0.0310512,0.0234297,0.0212309,0.0280711,0.0209319,0
575,0.025592,0,0,0,0,0.0431738,0,0,0,0,0,0,0.0251914,0,0.0200758,0.0786833,0,0,0.020461,0,0,0.0251373,0.070053,0.0177834,0.0116028,0.0137488,0.033048,0.0394397,0.0266425,0.0409287,0.0477221,0.0267447,0.0104782,0.0130545,0.025686,0.0272335,0.0212325,0.0153986,0,0.0240474,0.0176828,0,0.016762,0.054162,0.032263,0,0,0.0199523,0,0,0.0481837,0.0666665,0.0481845,0.0179359,0.021488,0.0506029,0.0392881,0.0510228,0.0600049,0.0284621,0.0518973,0.0313467,0.0363336,0.0666538,0.0425422,0.0153392,0.0309613,0.0233544,0.0211128,0.028047,0.0207755,0
576,0.0255344,0,0,0,0,0.043,0,0,0,0,0,0,0.0254171,0,0.0200848,0.0788961,0,0,0.0202327,0,0,0.0250565,0.0701312,0.0178273,0.0118751,0.0140389,0.0328509,0.0390879,0.0265868,0.0408127,0.047668,0.0269134,0.0106282,0.0132616,0.0257923,0.027322,0.0209642,0.015274,0,0.0239631,0.0170892,0,0.0174606,0.0539471,0.0323443,0,0,0.019939,0,0,0.0481333,0.0669166,0.0486841,0.0180952,0.0218738,0.0507327,0.0393764,0.0510305,0.0603264,0.0286546,0.0523287,0.0313944,0.0368115,0.06699,0.0457413,0.0153898,0.0308512,0.0233449,0.0209989,0.028009,0.0206615,0
577,0.0254812,0,0,0,0,0.0428382,0,0,0,0,0,0,0.0255949,0,0.0201106,0.0791633,0,0,0.0200273,0,0,0.0249742,0.0701746,0.0178142,0.0120963,0.0143136,0.0326786,0.0387148,0.0265635,0.040649,0.047615,0.0270391,0.0107177,0.0132889,0.0258167,0.027396,0.0207349,0.0150322,0,0.0238787,0.0169914,0,0.0181917,0.0536999,0.0324254,0,0,0.0199536,0,0,0.0481031,0.0671933,0.0492651,0.0182748,0.0222407,0.0508511,0.0395348,0.0510593,0.0605218,0.0287627,0.0528334,0.0314406,0.0373525,0.0673627,0.0494595,0.0154198,0.030748,0.023347,0.0208961,0.0279363,0.0205684,0
578,0.0254233,0,0,0,0,0.0426905,0,0,0,0,0,0,0.0257013,0,0.02008,0.0793943,0,0,0.0198665,0,0,0.0248895,0.0701916,0.0178024,0.0122889,0.0145907,0.0324053,0.0383581,0.026552,0.0405296,0.0476261,0.027156,0.0106751,0.0131231,0.0257912,0.0274806,0.0205943,0.0148073,0,0.0237849,0.0175614,0,0.0187448,0.053438,0.0324982,0,0,0.0199674,0,0,0.0480971,0.0675007,0.0499353,0.0184909,0.0225822,0.0509153,0.0396475,0.0510928,0.0605901,0.028803,0.0532728,0.0314802,0.0378492,0.0680111,0.053505,0.0153594,0.0306328,0.0233506,0.0208045,0.027855,0.0204281,0
579,0.0254052,0,0,0,0,0.0426064,0,0,0,0,0,0,0.0257435,0,0.0200195,0.079555,0,0,0.0197748,0,0,0.0248047,0.0701888,0.0177685,0.0124672,0.0146776,0.032196,0.0380355,0.0265015,0.040426,0.0476399,0.0272569,0.0106111,0.0129209,0.0257532,0.0275344,0.0205295,0.0146298,0,0.0237055,0.0186897,0,0.019076,0.0531803,0.0325809,0,0,0.0199543,0,0,0.0481114,0.0678307,0.0506511,0.0187295,0.0229215,0.0509918,0.0397633,0.0511806,0.0606951,0.0288017,0.0536513,0.0315531,0.0382267,0.0684892,0.057476,0.0152523,0.0305371,0.0233558,0.0207514,0.027747,0.0203701,0
580,0.0253222,0,0,0,0,0.043783,0,0,0,0,0,0,0.0257519,0,0.0199834,0.0795726,0,0,0.0261686,0,0,0.0408914,0.0702267,0.0177226,0.012482,0.0147864,0.0318818,0.0410655,0.0264772,0.0403618,0.0476206,0.0273047,0.0105919,0.0128711,0.02575,0.0275473,0.0205103,0.00876495,0.0320133,0.0245424,0.0200208,0,0.0193106,0.05309,0.0319975,0,0,0.0200509,0,0,0.0481813,0.0682372,0.0514064,0.018765,0.0233634,0.0507542,0.0395165,0.0511712,0.0608217,0.02884,0.0539403,0.0316552,0.0385173,0.0688193,0.0612085,0.0157011,0.0304421,0.0233798,0.0219218,0.0276918,0.0202979,0
581,0.0255467,0,0,0,0,0.0425976,0,0,0,0,0,0,0.0258109,0,0.0198908,0.0796337,0,0,0.0196046,0,0,0.0247135,0.0702057,0.0176471,0.0127093,0.0150369,0.0320339,0.0374685,0.0264319,0.0404267,0.0476609,0.0272749,0.0105436,0.0129106,0.0257572,0.0275228,0.0204706,0.0143769,0,0.0236472,0.0213142,0,0.0196593,0.0528517,0.0327208,0,0,0.020133,0,0,0.0480785,0.0685143,0.0520978,0.0192117,0.0234578,0.0511048,0.0400201,0.0514623,0.0609175,0.0286369,0.054079,0.0315923,0.0386831,0.0689144,0.064451,0.015151,0.0302444,0.0234601,0.0207848,0.0274356,0.0205769,0
582,0.0255344,0,0,0,0,0.0438046,0,0,0,0,0,0,0.0259516,0,0.0198466,0.0796756,0,0,0.0260892,0,0,0.0408384,0.0701432,0.0175697,0.0127466,0.0152556,0.0316411,0.0405063,0.0263981,0.0404019,0.0477208,0.0272311,0.010552,0.0130447,0.0259271,0.0276861,0.0203064,0.00856569,0.0320735,0.0245727,0.0226346,0,0.019868,0.0528881,0.0321571,0,0,0.0202691,0,0,0.0481993,0.0688895,0.0526003,0.0192618,0.0238183,0.0507989,0.0398166,0.051387,0.0608186,0.0284783,0.0543586,0.0317052,0.0389647,0.068995,0.0670472,0.0155935,0.0301423,0.0234387,0.0220102,0.0273276,0.0206055,0
