Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LANK,LWRA,RTHI
225,0,0.0176412,0,0,0,0,0.0466052,0,0,0,0,0,0,0.0306637,0,0.0653556,0,0,0.0309722,0,0,0.0409608,0.0709748,0.0170885,0.00824638,0.0131883,0.0484879,0.0554336,0.0847668,0.045902,0.0986694,0.0136377,0.0144275,0.0268752,0.0290073,0.0149647,0.0144427,0.0252451,0.021346,0,0.0237366,0.0576593,0.0348392,0,0,0.0240559,0,0,0.0488308,0.0576012,0.0519311,0.0118281,0.0162317,0.055011,0.0538568,0.0815067,0.0776052,0.0293428,0.0563538,0.0347023,0.0415492,0.0704509,0.0711397,0.0152544,0.0182801,0.0242593,0.0264141,0.0369961,0.0183358,0.0250631,0.0466515
226,0,0.0175632,0,0,0,0,0.0466327,0,0,0,0,0,0,0.0306407,0,0.0653998,0,0,0.0308868,0,0,0.0410301,0.0709105,0.0172608,0.00812247,0.0131984,0.0483305,0.0551052,0.0848092,0.045918,0.0986428,0.0135468,0.0140641,0.0267642,0.0289206,0.0149644,0.014197,0.0250932,0.0217289,0,0.0236389,0.0576229,0.03495,0,0,0.0239532,0,0,0.0489443,0.0577634,0.0520203,0.0121323,0.0164138,0.0550694,0.053702,0.0814728,0.077734,0.0294765,0.0566048,0.0347629,0.0417888,0.07073,0.0718008,0.0153472,0.0182019,0.0244338,0.0265692,0.0369708,0.0184382,0.0251906,0.046576
227,0,0.0175311,0,0,0,0,0.0466509,0,0,0,0,0,0,0.0306989,0,0.0654239,0,0,0.0307467,0,0,0.0410594,0.07086,0.0172567,0.00795626,0.0133376,0.0481309,0.054897,0.0848385,0.0458041,0.0985488,0.013403,0.0138101,0.0266383,0.0288207,0.0149085,0.0140091,0.0250183,0.0220283,0,0.0236117,0.0576098,0.0349741,0,0,0.0238942,0,0,0.048984,0.0579446,0.0520264,0.0124302,0.0166374,0.0550635,0.0535174,0.0815009,0.0778076,0.0295444,0.0568404,0.0348555,0.0420131,0.0709938,0.0720679,0.0152922,0.0182298,0.0244664,0.0266711,0.0369605,0.0183985,0.0252621,0.0466035
228,0,0.0175504,0,0,0,0,0.0466121,0,0,0,0,0,0,0.0307812,0,0.0653947,0,0,0.0306489,0,0,0.0410646,0.0708285,0.0169613,0.00779935,0.0134739,0.0479831,0.0547571,0.0849044,0.0457123,0.0983193,0.0132725,0.0137575,0.026606,0.0288173,0.0148928,0.0138734,0.0249971,0.0221421,0,0.0236081,0.0576093,0.0349433,0,0,0.0238679,0,0,0.0489941,0.0582347,0.0519032,0.0127165,0.0168578,0.0550636,0.0533363,0.0815394,0.0778351,0.0295911,0.0570168,0.0349258,0.0421975,0.0711866,0.0720258,0.0152496,0.0183418,0.0244408,0.026743,0.0369659,0.0183028,0.0253411,0.0466135
229,0,0.0175918,0,0,0,0,0.0465512,0,0,0,0,0,0,0.0308186,0,0.0653473,0,0,0.0305845,0,0,0.0410405,0.0708428,0.0167172,0.00765594,0.0135847,0.0478693,0.0546726,0.0849918,0.0455222,0.0981912,0.0133122,0.0138427,0.0266611,0.0288762,0.0148463,0.0138413,0.025015,0.0219851,0,0.0235577,0.0576523,0.0348894,0,0,0.0238783,0,0,0.0490077,0.0586322,0.0516276,0.013023,0.017049,0.0550998,0.0531373,0.0816104,0.0777995,0.0295964,0.0571617,0.0349919,0.042343,0.0713488,0.0716896,0.0151824,0.0184368,0.0242902,0.0267301,0.0370087,0.0182531,0.0253753,0.0465261
230,0,0.0176519,0,0,0,0,0.0465567,0,0,0,0,0,0,0.0309166,0,0.0653182,0,0,0.0304906,0,0,0.0409777,0.070852,0.0165224,0.00747718,0.0137352,0.04773,0.0546973,0.0850735,0.0453717,0.098188,0.0133811,0.0139422,0.0266948,0.0289212,0.0147779,0.0139385,0.0250183,0.0217061,0,0.0233631,0.0577425,0.034832,0,0,0.0238667,0,0,0.0490125,0.0590484,0.051208,0.0133665,0.0171676,0.0551323,0.0529338,0.0817557,0.0776694,0.0294918,0.0573169,0.0351486,0.0424651,0.0715108,0.0710344,0.0150043,0.0184867,0.0240156,0.0266472,0.0370523,0.0182225,0.0252854,0.046456
231,0,0.0176853,0,0,0,0,0.0466925,0,0,0,0,0,0,0.0311321,0,0.0653685,0,0,0.030401,0,0,0.0409786,0.0708246,0.0165211,0.0072632,0.0139323,0.0474906,0.0548179,0.0851116,0.0453846,0.0982598,0.0132554,0.0139004,0.0266458,0.0288718,0.0145991,0.0141313,0.0248726,0.0215181,0,0.0229147,0.0577776,0.0348661,0,0,0.0237938,0,0,0.0490022,0.0594083,0.0506672,0.0137944,0.0171667,0.0551789,0.052747,0.0817372,0.0774365,0.0292228,0.0574463,0.0354076,0.0425904,0.0717032,0.0702263,0.0148247,0.0185664,0.0241699,0.0266022,0.0370253,0.0182366,0.0251428,0.046372
232,0,0.0177601,0,0,0,0,0.0467884,0,0,0,0,0,0,0.0311752,0,0.0653101,0,0,0.0302692,0,0,0.0409927,0.070839,0.0165141,0.00711143,0.0142532,0.0473304,0.0549197,0.0851671,0.0453811,0.0982956,0.0132647,0.0139426,0.0266322,0.0288495,0.0145579,0.0143442,0.0248761,0.0210637,0,0.0225088,0.0578365,0.0348015,0,0,0.0238844,0,0,0.0489254,0.0596633,0.0500822,0.0141817,0.0172898,0.05522,0.0525731,0.0816468,0.0772558,0.0290091,0.0575907,0.035639,0.0427244,0.0719131,0.06897,0.0146742,0.0186957,0.024239,0.0265734,0.0370571,0.0181639,0.0250181,0.0462872
233,0,0.0178666,0,0,0,0,0.0457069,0,0,0,0,0,0,0.0308801,0,0.0651605,0,0,0.0271555,0,0,0.0263891,0.0708925,0.0160378,0.00746175,0.0145021,0.0477241,0.0532727,0.0853614,0.0451276,0.0981797,0.013544,0.0141103,0.0269295,0.0291889,0.0146338,0.0198391,0.026872,0.0204006,0,0.0224876,0.0578719,0.0352591,0,0,0.0239963,0,0,0.0488063,0.0600077,0.0496444,0.0147932,0.0172085,0.0558222,0.0525385,0.0813873,0.0773076,0.0291805,0.0575895,0.0356111,0.0427624,0.0720196,0.0676449,0.0143691,0.0187449,0.0242049,0.0255387,0.0371363,0.018176,0,0.0462187
234,0,0.0178609,0,0,0,0,0.0470093,0,0,0,0,0,0,0.0312216,0,0.0651917,0,0,0.0305188,0,0,0.0409316,0.0708781,0.0166416,0.00671548,0.0144529,0.047034,0.0551165,0.0852152,0.0453664,0.0983881,0.0133488,0.0137387,0.0266077,0.0289563,0.0145476,0.0144466,0.0247767,0.020093,0,0.021441,0.0582355,0.0346719,0,0,0.0239843,0,0,0.0489065,0.0602409,0.0487223,0.0150213,0.0173606,0.0553775,0.0521631,0.0812684,0.0768778,0.02862,0.0580517,0.0359578,0.0431105,0.072493,0.0658871,0.0145111,0.0188196,0.0241339,0.0264906,0.0370715,0.0181576,0.0243851,0.0464383
