Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,RTIBA,RWRA
688,0.0219156,0,0,0,0,0.0486002,0,0,0,0,0,0,0.034094,0,0.0196421,0.0734519,0,0,0.0140056,0,0,0.0360409,0.0725393,0.0204521,0.0113404,0.0169045,0.0241457,0.0361399,0.0392686,0.0522452,0.0353208,0.0135774,0.0143285,0.0271537,0.029518,0.0113551,0.0149902,0.0076206,0.0183945,0.0345119,0,0.0158915,0.0673506,0.0321461,0,0,0.0161397,0,0,0.0438999,0.059853,0.0251365,0.0238749,0.0150311,0.0408863,0.0364201,0.0436876,0.0761649,0.0713996,0.0289362,0.0648622,0.0508827,0.0836179,0.015453,0.0163629,0.0232541,0.0280824,0.0268758,0.0416285,0.00671002
689,0.0219005,0,0,0,0,0.0486542,0,0,0,0,0,0,0.0342511,0,0.0197083,0.0735738,0,0,0.0139614,0,0,0.0361542,0.0724761,0.0205739,0.0114492,0.0168652,0.0239883,0.0360091,0.0393374,0.0522667,0.035262,0.0134366,0.0141702,0.0270999,0.0294409,0.0111826,0.0148732,0.00763615,0.0183126,0.0344842,0,0.0157374,0.0673011,0.0322223,0,0,0.0160212,0,0,0.0439462,0.0598693,0.0252101,0.0239397,0.0152267,0.0408561,0.0363333,0.0437198,0.0761702,0.0713623,0.0288797,0.0648979,0.0508084,0.0836709,0.0154646,0.0164056,0.0231596,0.028166,0.0268375,0.0415755,0.00657166
690,0.02189,0,0,0,0,0.0485698,0,0,0,0,0,0,0.0341693,0,0.0196593,0.0734893,0,0,0.0139142,0,0,0.036113,0.0724956,0.0205288,0.0114251,0.0169056,0.0241807,0.0359457,0.0392393,0.0522503,0.0353387,0.0135563,0.0142681,0.0271133,0.0295044,0.0112944,0.0149628,0.00750319,0.0184258,0.0345359,0,0.0157727,0.0673705,0.032125,0,0,0.0161406,0,0,0.0438605,0.0598535,0.0251907,0.0239243,0.0151173,0.0407497,0.0363335,0.0436969,0.0760204,0.0714153,0.0288836,0.0648783,0.0507234,0.0836096,0.0154421,0.0164093,0.0231293,0.0280978,0.0269175,0.041579,0.00666972
691,0.0218741,0,0,0,0,0.0485851,0,0,0,0,0,0,0.0342613,0,0.0197098,0.0735514,0,0,0.0138672,0,0,0.0360402,0.0724765,0.0205711,0.0115063,0.0168291,0.0243379,0.035869,0.0392328,0.0522539,0.0353143,0.0135077,0.0142054,0.0270811,0.0294906,0.0112173,0.0149514,0.007393,0.0185039,0.0345267,0,0.0156577,0.0673633,0.0321005,0,0,0.0161747,0,0,0.0438724,0.059853,0.0252239,0.023966,0.0150982,0.040868,0.0362732,0.043716,0.0757859,0.0714321,0.0289116,0.0648719,0.0507287,0.0836176,0.0154447,0.0164551,0.0230383,0.0280795,0.0269222,0.0415558,0.00665541
692,0.0219263,0,0,0,0,0.0486179,0,0,0,0,0,0,0.0343442,0,0.0197089,0.0735865,0,0,0.0137753,0,0,0.0360536,0.0724546,0.0206641,0.0115899,0.0168435,0.0242147,0.0358587,0.0392394,0.0522626,0.0352957,0.0134817,0.0142104,0.027045,0.0294454,0.0111728,0.014938,0.00735203,0.0184683,0.0345179,0,0.0156446,0.0673639,0.0321545,0,0,0.016314,0,0,0.0439976,0.0598515,0.0252332,0.0239686,0.0151849,0.0409364,0.0362368,0.0437361,0.0758685,0.0714472,0.0288702,0.0648934,0.0507522,0.0836619,0.015444,0.0164829,0.0229418,0.0280947,0.0269411,0.0415732,0.00664812
693,0.021936,0,0,0,0,0.0485071,0,0,0,0,0,0,0.0341878,0,0.0196631,0.073483,0,0,0.0137803,0,0,0.0360163,0.0725046,0.020551,0.0115231,0.016908,0.024239,0.0359716,0.0391101,0.0522447,0.0353797,0.0136578,0.0144191,0.027157,0.0295861,0.011279,0.0150102,0.00743442,0.0184954,0.0344486,0,0.0158614,0.0673601,0.032092,0,0,0.0164593,0,0,0.0439635,0.0599122,0.0251285,0.0238611,0.0150857,0.0409189,0.0362541,0.0436631,0.0760693,0.071492,0.0289112,0.0649061,0.0507659,0.0836706,0.0155247,0.0165214,0.0231185,0.0279927,0.0270527,0.0416148,0.0066607
694,0.0219628,0,0,0,0,0.0486181,0,0,0,0,0,0,0.0344394,0,0.0197725,0.0736534,0,0,0.0137192,0,0,0.036047,0.072407,0.020729,0.011629,0.0168087,0.0240454,0.0358628,0.0392196,0.0522568,0.0352609,0.0134609,0.0141962,0.0271232,0.0295103,0.0110376,0.0149335,0.00737412,0.0184127,0.034406,0,0.015649,0.0673054,0.0321987,0,0,0.0161889,0,0,0.044079,0.0599289,0.0251948,0.0239402,0.0152697,0.0409568,0.0361016,0.0437258,0.0761216,0.0713331,0.0288671,0.0649134,0.0508481,0.0836891,0.0155273,0.0165871,0.0231297,0.0281233,0.0269465,0.04158,0.00628939
695,0.0219739,0,0,0,0,0.0485975,0,0,0,0,0,0,0.0344055,0,0.0197407,0.0736183,0,0,0.0136956,0,0,0.0359801,0.0724287,0.0206952,0.0115902,0.016855,0.0239967,0.0358738,0.039167,0.052238,0.0352725,0.0135205,0.0142302,0.0271434,0.0295614,0.0110718,0.0149854,0.00731,0.018463,0.034377,0,0.0157156,0.0673298,0.0321673,0,0,0.0162249,0,0,0.0439451,0.0599346,0.0251433,0.0239086,0.0152312,0.040917,0.0360657,0.0437012,0.0761886,0.0713198,0.0288637,0.0648961,0.0509575,0.0836653,0.0155321,0.0166026,0.0230649,0.0281071,0.0269761,0.0416099,0.00635771
696,0.0219631,0,0,0,0,0.048617,0,0,0,0,0,0,0.0344523,0,0.0197185,0.0736406,0,0,0.0136773,0,0,0.0359692,0.0724398,0.0206976,0.0116129,0.0168624,0.0240078,0.0358636,0.0391553,0.0522405,0.0352537,0.0135196,0.0142073,0.0271084,0.0295488,0.0110577,0.0149773,0.00726071,0.0184815,0.0343863,0,0.0157266,0.0673355,0.0321726,0,0,0.0162611,0,0,0.0437947,0.0599389,0.0251631,0.0239141,0.0152504,0.0408997,0.036045,0.0437098,0.0762015,0.0713093,0.0288275,0.0648966,0.0509992,0.0836782,0.0155363,0.0166336,0.0228996,0.0281154,0.0269749,0.0416028,0.00647149
697,0.0219379,0,0,0,0,0.0485684,0,0,0,0,0,0,0.0343824,0,0.0196833,0.073596,0,0,0.0137217,0,0,0.0359316,0.0725036,0.0206069,0.0115717,0.0168609,0.0241004,0.035923,0.0390862,0.0522281,0.035302,0.0136137,0.0143079,0.0271562,0.0295818,0.011121,0.0150144,0.00723801,0.0185545,0.0343823,0,0.01581,0.0673399,0.0321142,0,0,0.0163592,0,0,0.0436345,0.0599659,0.0251189,0.0238817,0.0151723,0.0408783,0.0360535,0.0436669,0.0761979,0.071333,0.0288504,0.0649097,0.0510091,0.0836914,0.0155543,0.0165669,0.0228448,0.0280489,0.0270178,0.0415974,0.0066561
