Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LANK,LTHI,RTIB
24,0,0.0245037,0,0,0,0,0.0461958,0,0,0,0,0,0,0.0356903,0,0.0725238,0,0,0.0150104,0,0,0.0361892,0.074501,0.0243782,0.0139832,0.0154154,0.023995,0.0317683,0.0365891,0.0476706,0.0332305,0.0133596,0.0147047,0.0293518,0.0307975,0.0119213,0.012866,0.0082275,0.0132641,0.03598,0,0.0133051,0.0715162,0.0306923,0,0,0.0163789,0,0,0.0368029,0.0545812,0.0287546,0.0268914,0.0146684,0.0406374,0.0379772,0.0354662,0,0.0606088,0.023528,0.0385376,0.0466139,0.0798408,0.0150103,0.0174178,0,0.0219326,0.0275406,0.0236848,0,0,0
25,0,0.0244304,0,0,0,0,0.0461819,0,0,0,0,0,0,0.0355864,0,0.0725009,0,0,0.0151351,0,0,0.036276,0.0744504,0.0242483,0.0139726,0.015443,0.0240394,0.0316802,0.0366082,0.0476817,0.0331788,0.01334,0.0147299,0.0292585,0.0307811,0.0118971,0.0128381,0.00828643,0.0132519,0.0358947,0,0.0132946,0.0714943,0.0306801,0,0,0.0164147,0,0,0.0367701,0.0546071,0.0287069,0.0268384,0.0147436,0.0405667,0.0381066,0.0356401,0,0.0605848,0.0235221,0.0385692,0.0466525,0.0798758,0.0150464,0.0174421,0,0.021947,0.0275463,0.0236889,0,0,0
26,0,0.0243752,0,0,0,0,0.046199,0,0,0,0,0,0,0.0355229,0,0.0724877,0,0,0.015296,0,0,0.0363806,0.0744323,0.0241786,0.0139728,0.0154728,0.0240721,0.0316035,0.0366448,0.0476705,0.0331731,0.0133159,0.0146855,0.0291858,0.0307413,0.0119038,0.0128096,0.00825103,0.0133677,0.035862,0,0.0132772,0.0715017,0.0306682,0,0,0.0164169,0,0,0.0367793,0.0546265,0.028642,0.0267985,0.0147995,0.0405011,0.0382781,0.0357279,0,0.060559,0.0235375,0.0385895,0.0466386,0.0799254,0.015058,0.0174505,0,0.0219822,0.0275803,0.0236701,0,0,0
27,0,0.024323,0,0,0,0,0.0461944,0,0,0,0,0,0,0.035468,0,0.0724807,0,0,0.0154165,0,0,0.0362243,0.0744349,0.0241119,0.013973,0.0154719,0.0240846,0.0315356,0.0366926,0.0476749,0.0332278,0.0133184,0.0146109,0.0291451,0.0307109,0.0119233,0.0127807,0.00811285,0.0135668,0.0358789,0,0.0132809,0.071522,0.0306463,0,0,0.0163889,0,0,0.0368149,0.0546483,0.028582,0.0267746,0.014811,0.0404608,0.0383357,0.0356674,0,0.0605734,0.0235497,0.0385985,0.0466568,0.0799532,0.0150605,0.017493,0,0.0220454,0.027616,0.0236759,0,0,0
28,0,0.0242965,0,0,0,0,0.0461579,0,0,0,0,0,0,0.0354202,0,0.0724695,0,0,0.0153791,0,0,0.0360577,0.0744195,0.0240445,0.0139446,0.0154784,0.0240921,0.031457,0.0367557,0.0477231,0.0332731,0.0132914,0.0145321,0.0291871,0.030685,0.0119167,0.0128179,0.00801969,0.0136178,0.0359053,0,0.0132878,0.0715455,0.0306083,0,0,0.0163523,0,0,0.0368511,0.0546591,0.0285604,0.0267281,0.0147853,0.0404426,0.0382975,0.0356414,0,0.0605926,0.0235033,0.0385921,0.0466986,0.0799531,0.0150708,0.0175081,0,0.0220904,0.0276675,0.0236778,0,0,0
29,0,0.0242625,0,0,0,0,0.0461273,0,0,0,0,0,0,0.0353477,0,0.0724549,0,0,0.0153833,0,0,0.036119,0.0744057,0.0239925,0.0139454,0.0154934,0.0240863,0.0313552,0.0368036,0.0477512,0.0332892,0.0132557,0.0144917,0.029171,0.0306743,0.0118984,0.0128112,0.00800786,0.013618,0.0359112,0,0.0132917,0.0715587,0.0305853,0,0,0.0163189,0,0,0.0367965,0.0546516,0.0285653,0.0266835,0.0147714,0.0404211,0.0383845,0.035595,0,0.0606024,0.0234751,0.0386225,0.0467186,0.079933,0.0150842,0.0174937,0,0.022074,0.027682,0.0236489,0,0,0
30,0,0.0228672,0,0,0,0,0.0454483,0,0,0,0,0,0,0.0342029,0,0.0728487,0,0,0.0161226,0,0,0.0355978,0.0736298,0.0224278,0.0114521,0.0155637,0.0248445,0.0325677,0.0363512,0.0476525,0.0330273,0.0144268,0.0157705,0.0289933,0.03093,0.0132095,0.0119177,0.00811156,0.0147247,0.0307889,0,0.0172732,0.068294,0.0298943,0,0,0.0162098,0,0,0.036508,0.0598576,0.0235903,0.0218933,0.0200503,0.0408768,0.0392037,0.033091,0.0604469,0.0573358,0.0238994,0.0406682,0.0504907,0.0837804,0.0180541,0.017382,0,0.0227341,0.0266614,0.0251284,0.0211236,0.0285659,0
31,0,0.023734,0,0,0,0,0.0457582,0,0,0,0,0,0,0.0343813,0,0.0732379,0,0,0.0159005,0,0,0.0356647,0.0738188,0.0222779,0.0128616,0.0160117,0.0237705,0.0310962,0.0364282,0.0478097,0.03357,0.0144791,0.0157701,0.0290425,0.0308841,0.0126776,0.0124943,0.00823723,0.013948,0.0361525,0,0.0136835,0.070332,0.0305374,0,0,0.0161825,0,0,0.0363425,0.0557969,0.0277571,0.0258495,0.0147527,0.0415523,0.0391648,0.0349455,0,0.0605977,0.0246562,0.038853,0.0471388,0.0804355,0.0149687,0.0176742,0,0.0226328,0.0273787,0.0239543,0.0212759,0.0294061,0
32,0,0.02372,0,0,0,0,0.0457866,0,0,0,0,0,0,0.0343379,0,0.0732909,0,0,0.0158852,0,0,0.0356525,0.0737812,0.0222441,0.0128572,0.0159877,0.0237987,0.0310749,0.0364853,0.0478388,0.0335203,0.0144493,0.0157264,0.0290367,0.0308608,0.0127315,0.0124936,0.0082043,0.01395,0.0365536,0,0.0134023,0.0702454,0.0305166,0,0,0.0161555,0,0,0.036352,0.0557514,0.0278483,0.0257768,0.0145143,0.0415177,0.0393285,0.0348577,0,0.0607201,0.0247261,0.0389173,0.0471184,0.080398,0.0148555,0.0176816,0,0.0226838,0.027363,0.0239494,0.0212343,0.0294185,0
33,0,0.0236862,0,0,0,0,0.045798,0,0,0,0,0,0,0.0343022,0,0.0733051,0,0,0.0159198,0,0,0.0356345,0.0737712,0.0222338,0.0128369,0.0159892,0.0238324,0.0310321,0.0365436,0.0478686,0.0335165,0.0144254,0.0156725,0.0290248,0.0308604,0.0127337,0.0125306,0.00817704,0.0139313,0.0365742,0,0.0134049,0.0702269,0.030516,0,0,0.0161167,0,0,0.0364185,0.0557113,0.027843,0.0257689,0.0145302,0.0414903,0.0394764,0.0348256,0,0.0607231,0.0246825,0.0389353,0.0470941,0.0804149,0.0148583,0.0177277,0,0.0228149,0.0273543,0.0239253,0.0212156,0.029421,0
