Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,LANK,LTHI
19,0.0254548,0,0,0,0,0.0447089,0,0,0,0,0,0,0.0329431,0,0.0723128,0,0,0.0164828,0,0,0.0349042,0.07408,0.0219197,0.0120366,0.0164933,0.0278137,0.0295479,0.036959,0.0476863,0.033256,0.0149095,0.01638,0.0287393,0.0304598,0.0146841,0.0157662,0.00840781,0.0137397,0.0419249,0,0.0106851,0.0677846,0.0319654,0,0,0.0265012,0,0,0.024797,0.0528451,0.032527,0.0281144,0.0103114,0.0458689,0.0318235,0.0359517,0.0640706,0.0257851,0.0661169,0.0382678,0.0442564,0.106921,0.0148954,0.036372,0.0263519,0.0268428,0.0234377,0.0208173,0.0305837
20,0.0254256,0,0,0,0,0.0446842,0,0,0,0,0,0,0.0329339,0,0.072305,0,0,0.0165151,0,0,0.0348768,0.0740724,0.0218879,0.0120209,0.0164958,0.0278154,0.0295096,0.0370009,0.0477004,0.033251,0.0148606,0.0163475,0.0287813,0.0304545,0.0146722,0.0157897,0.00838396,0.0137604,0.041889,0,0.0107121,0.0678087,0.0319497,0,0,0.026456,0,0,0.0248514,0.0528183,0.0325171,0.028095,0.0103355,0.0458665,0.0317919,0.0360158,0.0640872,0.025779,0.0661095,0.0382531,0.0442462,0.106948,0.0148967,0.0363472,0.0263397,0.0268007,0.0234205,0.0208349,0.0305622
21,0.025396,0,0,0,0,0.0446425,0,0,0,0,0,0,0.032963,0,0.0722875,0,0,0.016539,0,0,0.0348889,0.0740447,0.0218815,0.0119929,0.0164841,0.0278093,0.0294825,0.0370396,0.0477133,0.0332205,0.0148281,0.0163147,0.0288896,0.0304604,0.0146315,0.0157812,0.00837913,0.0137933,0.0418389,0,0.010722,0.0678253,0.031916,0,0,0.0264649,0,0,0.0249284,0.0528248,0.0325143,0.0280517,0.0103679,0.0458878,0.0317254,0.0362095,0.0641019,0.0258174,0.0660915,0.0382629,0.0442482,0.106958,0.0149066,0.0361844,0.0262309,0.0267356,0.023438,0.0208708,0.0305702
22,0.0253589,0,0,0,0,0.0445783,0,0,0,0,0,0,0.032965,0,0.072295,0,0,0.0165493,0,0,0.0349111,0.0740196,0.0218333,0.0119822,0.0164659,0.0278057,0.0294476,0.037071,0.047715,0.0331921,0.0148357,0.0163181,0.0288491,0.0304716,0.0146186,0.015769,0.00838368,0.0138076,0.0417979,0,0.0107283,0.0678008,0.0318706,0,0,0.0266109,0,0,0.0249018,0.0528421,0.0325122,0.0280335,0.0103915,0.0459061,0.0317459,0.0364973,0.0641059,0.0258675,0.0660725,0.0382823,0.0442206,0.106942,0.0149193,0.0359332,0.0261895,0.0266828,0.0234746,0.0208542,0.0305298
23,0.0253034,0,0,0,0,0.0445477,0,0,0,0,0,0,0.0329271,0,0.0723367,0,0,0.0165554,0,0,0.0349092,0.0740058,0.0217987,0.0119901,0.0164471,0.0278205,0.0293691,0.0370966,0.0477012,0.0331698,0.0148509,0.016272,0.028783,0.0304464,0.0146396,0.0157674,0.00839126,0.0138057,0.0417536,0,0.010729,0.0677812,0.0318554,0,0,0.0266774,0,0,0.0249116,0.0528607,0.0324921,0.0280172,0.0104178,0.0459119,0.031782,0.0368427,0.0640873,0.02586,0.0660769,0.0383004,0.0442022,0.106933,0.0149049,0.0359295,0.0262126,0.026651,0.0235183,0.0208409,0.030502
24,0.0252535,0,0,0,0,0.0445447,0,0,0,0,0,0,0.0328871,0,0.0723757,0,0,0.0165621,0,0,0.03489,0.0739972,0.0217549,0.0119947,0.0164536,0.0278486,0.0293162,0.0371319,0.0476971,0.0331756,0.0148376,0.0161639,0.0287584,0.0303978,0.0147048,0.0157702,0.00839959,0.0138194,0.0417139,0,0.0107193,0.0677934,0.0318518,0,0,0.026614,0,0,0.0249465,0.0528624,0.0324859,0.0279841,0.010448,0.0459173,0.0317757,0.0370108,0.064078,0.0258375,0.0661105,0.0382958,0.0441834,0.106939,0.0149015,0.0360626,0.0262452,0.0266491,0.0235529,0.0208293,0.0304912
25,0.0252132,0,0,0,0,0.0445333,0,0,0,0,0,0,0.0328433,0,0.0723884,0,0,0.016594,0,0,0.03488,0.074002,0.0216975,0.0119787,0.0164691,0.0278902,0.0292901,0.0371795,0.0477096,0.0331833,0.0147687,0.0161445,0.0287357,0.0303718,0.0147161,0.0157921,0.00839923,0.0138608,0.0416631,0,0.0107405,0.0678122,0.0318554,0,0,0.0265018,0,0,0.0249614,0.052853,0.032505,0.0279615,0.0104721,0.0459174,0.0317592,0.0370263,0.064062,0.025803,0.0661415,0.0382999,0.0441695,0.106939,0.0149184,0.0360106,0.026252,0.0266659,0.0235895,0.0208475,0.0305002
26,0.025145,0,0,0,0,0.0445275,0,0,0,0,0,0,0.0327936,0,0.0724016,0,0,0.0166422,0,0,0.034904,0.0739976,0.0216534,0.0119506,0.0164682,0.0279224,0.0292837,0.037233,0.0477055,0.0331808,0.0147033,0.0160421,0.0287395,0.0303372,0.0147198,0.0158256,0.00837838,0.0139218,0.0416181,0,0.0107714,0.067806,0.0318437,0,0,0.0264789,0,0,0.0249293,0.0528593,0.0325304,0.0279116,0.0104913,0.045915,0.0317955,0.0371618,0.0640586,0.025773,0.0661412,0.0383159,0.0441333,0.106932,0.0149276,0.0361601,0.0262888,0.0266614,0.0236315,0.0208613,0.0305694
27,0.0250824,0,0,0,0,0.0444954,0,0,0,0,0,0,0.0327291,0,0.0724219,0,0,0.0166598,0,0,0.0349288,0.0739848,0.0216262,0.0119329,0.016471,0.0279437,0.0292699,0.0372834,0.0476975,0.0331671,0.0146614,0.0159544,0.0287218,0.0302928,0.0147346,0.015832,0.00835128,0.0139671,0.0415859,0,0.0107861,0.0677956,0.0318322,0,0,0.0264943,0,0,0.0249649,0.0528232,0.0325365,0.0278815,0.0105072,0.0459307,0.0318294,0.0372431,0.064058,0.0257501,0.0661281,0.0383749,0.0440867,0.106923,0.0149248,0.0362941,0.0263082,0.0266544,0.0236728,0.0208708,0.0306044
28,0.0250026,0,0,0,0,0.0444654,0,0,0,0,0,0,0.0326577,0,0.0724408,0,0,0.0166299,0,0,0.0348884,0.0739675,0.0215889,0.0119253,0.0164881,0.0279779,0.0292605,0.0372839,0.0477212,0.033183,0.0146313,0.0158896,0.0286838,0.0302507,0.0147779,0.0158083,0.00828819,0.0139809,0.0415187,0,0.0108132,0.0677791,0.0318207,0,0,0.0264857,0,0,0.025046,0.0526833,0.0325205,0.0278753,0.0105202,0.0459533,0.0318833,0.037359,0.0640572,0.0257585,0.0661109,0.0383726,0.0440941,0.10691,0.0149251,0.0363348,0.0263251,0.0266345,0.0237326,0.02087,0.0306201
