Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA
23,0.0293586,0,0,0,0,0.0407089,0,0,0,0,0,0,0.0203774,0,0.0231338,0.0685293,0,0,0.0143468,0,0,0.0246584,0.0733446,0.0179968,0.00982479,0.0137336,0.0370592,0.0450212,0.0326706,0.0421049,0.0496598,0.0350741,0.00999333,0.0105948,0.0247604,0.0263932,0.0304332,0.015822,0.0221181,0.0475128,0,0.0168334,0.0666896,0.0366836,0,0,0.0212872,0,0,0.046779,0.0554825,0.0375142,0.023115,0.0145728,0.0481127,0.0472999,0.0330844,0.0600638,0.0559777,0.0244614,0.0570235,0.0323493,0.0428905,0.0753384,0.0158476,0.013408,0.0221121,0.0214717,0.0214879,0.0255982,0
24,0.0293736,0,0,0,0,0.0409192,0,0,0,0,0,0,0.0204036,0,0.0230913,0.0685697,0,0,0.014509,0,0,0.0246951,0.0733048,0.0178954,0.0098318,0.0137257,0.0371338,0.0451787,0.0326668,0.0420575,0.0497321,0.0350614,0.00975481,0.0106035,0.0247432,0.0263529,0.0303941,0.0157253,0.0221961,0.0475582,0,0.0168414,0.0666232,0.0366509,0,0,0.0212916,0,0,0.0467854,0.0554844,0.0375594,0.0230796,0.0145618,0.0481108,0.0473766,0.0331263,0.060074,0.0559515,0.0244643,0.0570223,0.0323547,0.0429282,0.075345,0.0157988,0.0134852,0.0220352,0.0216965,0.0214907,0.0254734,0
25,0.0294795,0,0,0,0,0.0411016,0,0,0,0,0,0,0.020479,0,0.0230938,0.06859,0,0,0.0147019,0,0,0.0247264,0.0732424,0.0178249,0.00983059,0.0137336,0.0372017,0.045388,0.032648,0.0420719,0.0496686,0.0350367,0.00979299,0.010621,0.0246895,0.0262941,0.030337,0.0156988,0.0223046,0.0476067,0,0.0168204,0.0666113,0.0366096,0,0,0.0213928,0,0,0.0468185,0.0554896,0.0376117,0.0230378,0.0145514,0.048115,0.0473789,0.0332974,0.0600725,0.0559216,0.0244992,0.0570187,0.0323525,0.0429157,0.0753579,0.0157563,0.0136083,0.0219514,0.0219208,0.0214989,0.0253857,0
26,0.0296425,0,0,0,0,0.0412085,0,0,0,0,0,0,0.0205711,0,0.0231456,0.068579,0,0,0.0149273,0,0,0.0247949,0.0732105,0.017818,0.00983892,0.0137077,0.0372814,0.0456072,0.0325623,0.0420904,0.0496499,0.0350062,0.0101339,0.0105136,0.0246275,0.0262316,0.0301973,0.0157344,0.0224428,0.0476401,0,0.0168269,0.0666301,0.0365564,0,0,0.0214441,0,0,0.0468194,0.0554768,0.0376431,0.0230391,0.0145433,0.0481274,0.0473652,0.0334001,0.0601443,0.0558949,0.0245011,0.0570345,0.0323433,0.0428862,0.0753496,0.0157266,0.0135397,0.0218346,0.0219931,0.0216673,0.0252996,0
27,0.029795,0,0,0,0,0.0413178,0,0,0,0,0,0,0.0206265,0,0.0231974,0.0685025,0,0,0.0151527,0,0,0.0248723,0.0732144,0.0178664,0.00981945,0.0136621,0.03733,0.045837,0.0325593,0.0420647,0.0496763,0.0349693,0.0101103,0.0104101,0.024584,0.0262129,0.0301462,0.0158003,0.0225885,0.0477374,0,0.0168517,0.0666415,0.0364622,0,0,0.021445,0,0,0.046814,0.0554354,0.0376771,0.0230813,0.0145317,0.0481301,0.0473807,0.0334073,0.0601469,0.0558991,0.0243948,0.0570085,0.0322984,0.0428324,0.0753124,0.0157679,0.0135627,0.0216263,0.0217581,0.0219395,0.025241,0
28,0.0298666,0,0,0,0,0.0413804,0,0,0,0,0,0,0.0205738,0,0.0232008,0.0684089,0,0,0.0153681,0,0,0.0249188,0.0732323,0.017886,0.00977849,0.0136149,0.0373307,0.0460444,0.0325936,0.0421001,0.0496845,0.0349541,0.00971872,0.0104115,0.0245846,0.0262594,0.0302247,0.015868,0.0227365,0.047768,0,0.0168498,0.0666181,0.0363275,0,0,0.0214036,0,0,0.0468182,0.0554405,0.0377411,0.0230924,0.0145352,0.0480937,0.0474243,0.0334375,0.0601213,0.0559274,0.0243691,0.0569875,0.0322743,0.0428141,0.0753014,0.0157952,0.0136758,0.0213631,0.0212875,0.0222017,0.0252068,0
29,0.0298423,0,0,0,0,0.0414127,0,0,0,0,0,0,0.0205502,0,0.0231807,0.0684963,0,0,0.0155613,0,0,0.0249101,0.0732473,0.0178775,0.00990533,0.0136202,0.0374305,0.0461802,0.0325911,0.0421259,0.0496893,0.0350215,0.00956508,0.0103783,0.0246037,0.0262658,0.0301843,0.015888,0.0227919,0.0477891,0,0.0167867,0.0666836,0.0362495,0,0,0.0213612,0,0,0.0468371,0.0554861,0.0377372,0.0230581,0.0145621,0.0481269,0.0474224,0.0334305,0.0601766,0.0559594,0.0245298,0.0569857,0.0322879,0.0428007,0.0752892,0.0157746,0.0137846,0.0212267,0.0211353,0.0223347,0.0252034,0
30,0.029777,0,0,0,0,0.0414803,0,0,0,0,0,0,0.0204865,0,0.0231137,0.0686153,0,0,0.0157222,0,0,0.0249145,0.07327,0.0178569,0.0100196,0.0137752,0.0375117,0.046307,0.0325909,0.0421095,0.0496623,0.0351038,0.0095033,0.010379,0.0247208,0.0263062,0.0302531,0.0158369,0.0228411,0.0478488,0,0.0167414,0.0667016,0.036219,0,0,0.0213623,0,0,0.0468003,0.0555018,0.0377062,0.0230221,0.0145952,0.0481172,0.0474445,0.0332747,0.060276,0.0559816,0.0247113,0.0569843,0.0323075,0.042774,0.0752798,0.015779,0.0139795,0.0211584,0.0213119,0.0222876,0.025215,0
31,0.0297093,0,0,0,0,0.0415677,0,0,0,0,0,0,0.020411,0,0.0230593,0.0686795,0,0,0.0158439,0,0,0.0249682,0.0732909,0.017878,0.0100736,0.0141381,0.0375819,0.0463977,0.032567,0.0420091,0.0496326,0.0351594,0.00958917,0.0103427,0.0248631,0.0264058,0.0304088,0.0158025,0.0229478,0.0479447,0,0.0166978,0.0667301,0.036208,0,0,0.0213868,0,0,0.0467579,0.055493,0.0376941,0.023013,0.0146034,0.0481013,0.0475001,0.0328844,0.0602987,0.0559955,0.0245634,0.0569722,0.0323142,0.0427565,0.0752412,0.0158734,0.0141788,0.0211259,0.0216553,0.0223709,0.0252192,0
32,0.0296722,0,0,0,0,0.041631,0,0,0,0,0,0,0.0203869,0,0.0230992,0.0685866,0,0,0.0159502,0,0,0.0250399,0.0732688,0.0179198,0.0100868,0.0141316,0.0376656,0.0464044,0.0326174,0.0419899,0.0496799,0.0352071,0.00975013,0.0103947,0.0248298,0.0264317,0.0304506,0.0157408,0.0230263,0.0480334,0,0.0166422,0.0667091,0.0361976,0,0,0.0213488,0,0,0.0467096,0.0555328,0.0377108,0.0229403,0.0146038,0.0481283,0.0475716,0.0328311,0.0602057,0.0560203,0.0244754,0.056982,0.0322984,0.042784,0.0751992,0.0159602,0.0142848,0.0210256,0.0217476,0.0225934,0.0252387,0
