Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
56,0.0241725,0,0,0,0,0.0471782,0,0,0,0,0,0,0.0303125,0,0.0227384,0.068902,0,0,0.017362,0,0,0.0335329,0.0744626,0.0185639,0.0098301,0.0183262,0.0301381,0.0341026,0.0418234,0.0495801,0.0324925,0.0129015,0.0138192,0.0267645,0.0271534,0.0150782,0.0150792,0.00851152,0.0159404,0.0395412,0,0.0154519,0.0681764,0.0341508,0,0,0.0109396,0,0,0.0338512,0.05408,0.0250086,0.0267588,0.0161159,0.0462973,0.0336673,0.0412399,0.119151,0,0.0198406,0.0614411,0.0409456,0.047348,0.081195,0.0151309,0.0229783,0,0.0244338,0.0272373,0.0261924
57,0.0234771,0,0,0,0,0.0468708,0,0,0,0,0,0,0.0301062,0,0.0225066,0.0694904,0,0,0.0172997,0,0,0.033568,0.074028,0.0183783,0.00903966,0.0180611,0.0304188,0.0348753,0.0418785,0.0495461,0.0319615,0.012728,0.0136858,0.026766,0.0271068,0.0153308,0.0147247,0.00859404,0.0162975,0.0381896,0,0.0145172,0.066521,0.033652,0,0,0.0108658,0,0,0.0339467,0.0562083,0.0263205,0.0240596,0.0106411,0.0457541,0.0340295,0.0375168,0.122007,0.044746,0.0232879,0.0619205,0.041391,0.0475824,0.0806051,0.0143403,0.0227841,0,0.0246258,0.0266651,0.0269577
58,0.0234974,0,0,0,0,0.046863,0,0,0,0,0,0,0.0299186,0,0.022487,0.0694592,0,0,0.0172572,0,0,0.0335645,0.0739519,0.01836,0.00886196,0.0179783,0.0304604,0.034909,0.0419777,0.0495933,0.031811,0.0126618,0.013795,0.0267618,0.0271065,0.0155611,0.0147502,0.00869377,0.0162409,0.0388743,0,0.0140169,0.0664273,0.0336629,0,0,0.0108689,0,0,0.0339254,0.0562675,0.0264597,0.0238759,0.0103277,0.0458141,0.0339225,0.0374458,0.122127,0.0444751,0.023407,0.0619829,0.0416156,0.0474403,0.0805664,0.0142364,0.0227734,0,0.0246089,0.0267749,0.0269874
59,0.022841,0,0,0,0,0.0466168,0,0,0,0,0,0,0.0295365,0,0.0225663,0.0687016,0,0,0.017534,0,0,0.0334271,0.0739127,0.0183252,0.00759525,0.0176664,0.031288,0.0360509,0.0420792,0.0494172,0.0312258,0.0126365,0.0137934,0.0266333,0.0270037,0.0160854,0.0142549,0.00848156,0.0169258,0.036517,0,0.0152775,0.0656293,0.0330781,0,0,0.0109191,0,0,0.0339352,0.0586431,0.0230737,0.0209801,0.0127946,0.0450798,0.0340132,0.0359805,0.119597,0.0439677,0.0224488,0.0647003,0.0431385,0,0.0836835,0.0147262,0.0225907,0,0.0246112,0.02627,0.0278865
60,0.0239699,0,0,0,0,0.0477515,0,0,0,0,0,0,0.0302639,0,0.0228012,0.0689215,0,0,0.0171614,0,0,0.0336201,0.074535,0.0185667,0.00990198,0.0182651,0.0299485,0.0348207,0.0417629,0.0495627,0.0325149,0.0129162,0.0138537,0.0266774,0.0271205,0.0151622,0.0156303,0.00860121,0.0158869,0.0394823,0,0.0153225,0.0682137,0.0342634,0,0,0.017856,0,0,0.0410334,0.0542068,0.0250066,0.0267089,0.0161489,0.0460986,0.0349901,0.0412252,0.119171,0,0.0200079,0.0615032,0.0410523,0.0471702,0.0812072,0.0151353,0.0204849,0.00749679,0.0242699,0.0274342,0.0258927
61,0.023271,0,0,0,0,0.0474399,0,0,0,0,0,0,0.0300448,0,0.0225679,0.0694932,0,0,0.0171754,0,0,0.0335984,0.0740963,0.0184231,0.00913222,0.0180352,0.0302276,0.0355584,0.0418318,0.0494992,0.0319829,0.0127491,0.013689,0.0267058,0.0270657,0.0154106,0.015225,0.00853809,0.0163886,0.0381649,0,0.0145408,0.0665658,0.0337863,0,0,0.0177694,0,0,0.0411383,0.0563124,0.0263508,0.0240269,0.0107674,0.0455531,0.0353217,0.0374016,0.122057,0.0446687,0.0234697,0.0619614,0.0415061,0.0476386,0.08058,0.0143099,0.0202733,0.00742261,0.0245221,0.0269919,0.026651
62,0.0232775,0,0,0,0,0.0474553,0,0,0,0,0,0,0.0298118,0,0.0225558,0.069442,0,0,0.0171709,0,0,0.0336236,0.0739953,0.0184226,0.00897588,0.0180117,0.0302785,0.0355624,0.0419262,0.0495355,0.031853,0.012732,0.013629,0.0266949,0.0270465,0.0157029,0.0151987,0.00855966,0.01634,0.0388251,0,0.0141332,0.0665068,0.0338118,0,0,0.0176901,0,0,0.04115,0.0563825,0.0264958,0.0238471,0.0104799,0.0456266,0.0353335,0.0373253,0.122176,0.044475,0.0236921,0.0620116,0.0416933,0.0476246,0.0805005,0.014224,0.0202914,0.00732797,0.0245224,0.0270783,0.0266612
63,0.0232756,0,0,0,0,0.0474654,0,0,0,0,0,0,0.0297373,0,0.0225249,0.0694267,0,0,0.0171543,0,0,0.0336487,0.073972,0.0184152,0.00892582,0.0179796,0.0303469,0.0355132,0.0419668,0.0495708,0.0318041,0.0127304,0.0135033,0.0267219,0.0270476,0.0158249,0.0152196,0.00861432,0.0162488,0.0389244,0,0.0139472,0.0665231,0.0338129,0,0,0.0175997,0,0,0.0411803,0.056428,0.0265467,0.0237782,0.0103981,0.0456598,0.035377,0.0373211,0.122195,0.044379,0.0236321,0.0620251,0.0417278,0.0474504,0.0805069,0.0142268,0.0202907,0.00725414,0.0245446,0.0271175,0.0266769
64,0.023287,0,0,0,0,0.047457,0,0,0,0,0,0,0.0298283,0,0.0228561,0.0681438,0,0,0.0171492,0,0,0.0336478,0.0743896,0.0185938,0.00857647,0.017931,0.0308282,0.0358302,0.0419563,0.0493886,0.0319016,0.0128771,0.0136744,0.0266895,0.0270369,0.0157519,0.0151876,0.00882332,0.0162016,0.0372256,0,0.0164065,0.0674035,0.0336694,0,0,0.0173813,0,0,0.0411736,0.0568408,0.0215271,0.0236137,0.0188767,0.0452843,0.0351251,0.039957,0.116206,0,0.0187037,0.0644659,0.0426038,0,0.0844073,0.0150983,0.0203628,0.00715674,0.024501,0.0270706,0.0268182
65,0.0232949,0,0,0,0,0.0474963,0,0,0,0,0,0,0.0299521,0,0.0225933,0.0693518,0,0,0.0171894,0,0,0.0336205,0.0740677,0.0184638,0.00902951,0.0180071,0.0304369,0.0355281,0.0418988,0.0495707,0.0319605,0.0127778,0.0135668,0.0267592,0.027065,0.015538,0.0152367,0.00881004,0.0160278,0.0379039,0,0.0145368,0.0667006,0.0338109,0,0,0.017279,0,0,0.0412533,0.0564685,0.0262348,0.0239334,0.0108096,0.0455721,0.035422,0.0373827,0.121956,0.0444861,0.023419,0.062034,0.0415013,0.0474424,0.0806623,0.0143607,0.0203872,0.00717867,0.0246511,0.0271399,0.0266631
66,0.0232774,0,0,0,0,0.047458,0,0,0,0,0,0,0.0297424,0,0.022556,0.0694231,0,0,0.0171605,0,0,0.0336733,0.0740017,0.0184738,0.0089319,0.018,0.0303867,0.0355364,0.0419635,0.0495739,0.0317798,0.01275,0.013447,0.0268018,0.0270292,0.0158207,0.0152617,0.00889505,0.0159494,0.0385801,0,0.0140332,0.0665385,0.0337958,0,0,0.0172513,0,0,0.0412769,0.0565737,0.0264817,0.0236599,0.0103877,0.0455785,0.0354386,0.0371281,0.122154,0.0456701,0.0236719,0.0620442,0.0417005,0.0474512,0.0805915,0.0142392,0.0203661,0.00713959,0.0247479,0.027135,0.0266874
67,0.0227176,0,0,0,0,0.0465745,0,0,0,0,0,0,0.0293242,0,0.0225436,0.0687529,0,0,0.0176178,0,0,0.0334832,0.0738379,0.0184179,0.00753253,0.0176805,0.0313166,0.0360656,0.0421666,0.0494327,0.0311004,0.0126953,0.0133792,0.0267241,0.0269765,0.016396,0.0143119,0.00901474,0.0164452,0.0357293,0,0.0154151,0.0654582,0.0330048,0,0,0.0109153,0,0,0.0339471,0.0592341,0.0230024,0.0205204,0.012785,0.0450047,0.0340858,0.0354286,0.11961,0.0487453,0.022979,0.0649473,0.043221,0,0.0838046,0.015031,0.0226114,0,0.024668,0.0263431,0.0279829
68,0.0233544,0,0,0,0,0.046878,0,0,0,0,0,0,0.0295417,0,0.0224588,0.069461,0,0,0.0175632,0,0,0.0335011,0.0738266,0.0184109,0.00862815,0.0179117,0.0306509,0.0349702,0.0420966,0.0496295,0.0315835,0.0127559,0.0134131,0.0266737,0.0270956,0.0160704,0.0147229,0.00894561,0.0158319,0.0379376,0,0.0140332,0.0660228,0.0335665,0,0,0.0108058,0,0,0.0338976,0.0571144,0.0263393,0.0232006,0.0102779,0.0458498,0.0339324,0.0367669,0.122147,0.0508944,0.023966,0.062387,0.0417833,0.0477251,0.0808307,0.0143713,0.0228603,0,0.0245277,0.0269145,0.0271489
69,0.0241008,0,0,0,0,0.0471159,0,0,0,0,0,0,0.0301237,0,0.0228605,0.0687348,0,0,0.0175327,0,0,0.0334912,0.0745417,0.0186915,0.00985017,0.018281,0.0301254,0.0341714,0.0418294,0.0496288,0.0325305,0.0130266,0.0135419,0.0266704,0.0271503,0.0153487,0.0152075,0.00866033,0.0156881,0.0394727,0,0.0151794,0.0682552,0.0340773,0,0,0.0108016,0,0,0.0337575,0.054404,0.0250879,0.0265936,0.0160218,0.0461463,0.0335726,0.0412183,0.119231,0,0.0202093,0.0614786,0.0410605,0.0470487,0.0811048,0.0151523,0.0230752,0,0.0243293,0.0273819,0.0263069
70,0.0241006,0,0,0,0,0.0470949,0,0,0,0,0,0,0.0301615,0,0.0228545,0.0687065,0,0,0.0175184,0,0,0.0334785,0.0745553,0.0187047,0.00987706,0.018279,0.0301176,0.0341789,0.0418403,0.0496145,0.0325164,0.0130361,0.0135142,0.0267223,0.0271422,0.0153273,0.015222,0.00862747,0.0157752,0.0394769,0,0.0152027,0.0682417,0.0340914,0,0,0.0107964,0,0,0.0337568,0.054426,0.0250978,0.0265845,0.0160269,0.0461493,0.0335035,0.0411953,0.119239,0,0.0202188,0.0614749,0.0410882,0.0471283,0.081074,0.015148,0.0230914,0,0.0243278,0.027377,0.0263157
71,0.0233101,0,0,0,0,0.046753,0,0,0,0,0,0,0.0298344,0,0.0225068,0.0695525,0,0,0.0175386,0,0,0.0334447,0.0739614,0.0184462,0.00897536,0.0179724,0.0304097,0.0350116,0.0419633,0.0495624,0.0317537,0.0127824,0.0133801,0.0266867,0.0270977,0.0157347,0.0147783,0.00852772,0.0163465,0.03742,0,0.0143491,0.0661891,0.0335605,0,0,0.0106984,0,0,0.0338961,0.0570539,0.0262251,0.0234034,0.0105428,0.0456435,0.0339261,0.0368625,0.122121,0.0509258,0.0239743,0.0622267,0.0415454,0.047815,0.0807793,0.0144633,0.0228901,0,0.024595,0.0268155,0.0271606
72,0.0240854,0,0,0,0,0.0470494,0,0,0,0,0,0,0.0301407,0,0.0228424,0.0686612,0,0,0.0174575,0,0,0.0334067,0.0745854,0.0187181,0.00988704,0.0183006,0.0301155,0.0341922,0.0418444,0.0496323,0.0325041,0.0129974,0.013534,0.0267638,0.0271561,0.0153478,0.0152347,0.00852977,0.0158233,0.0395358,0,0.0151437,0.0682988,0.0340883,0,0,0.0107557,0,0,0.0337114,0.0543861,0.0250465,0.0265425,0.015987,0.0461659,0.033478,0.0411379,0.119274,0,0.0202649,0.0614802,0.0410851,0.0471059,0.0810658,0.0151114,0.0230815,0,0.0242924,0.027362,0.0263296
73,0.0240521,0,0,0,0,0.0470526,0,0,0,0,0,0,0.0300323,0,0.0228536,0.0686582,0,0,0.0174133,0,0,0.0330441,0.0746568,0.0187189,0.00985199,0.0183274,0.0301115,0.0342659,0.0418407,0.0496442,0.0325191,0.01303,0.0135483,0.0266772,0.0271506,0.015464,0.0151988,0.00825423,0.0159444,0.0395165,0,0.0151611,0.0683455,0.0340832,0,0,0.0107621,0,0,0.0337062,0.0544357,0.0250942,0.0265408,0.016007,0.0461359,0.0335568,0.0412141,0.119247,0,0.0202834,0.0614706,0.0411003,0.0470171,0.0810816,0.015124,0.02306,0,0.0242829,0.0274195,0.0263285
