Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHIA,LTHI,
1243,0.025481,0,0,0,0,0.0467744,0,0,0,0,0,0,0.0313715,0,0.019113,0.0704004,0,0,0.0221477,0,0,0.0406763,0.0711857,0.0164345,0.00576203,0.0150064,0.036272,0.0355054,0.0395357,0.0503864,0.0303142,0.00667658,0.00888359,0.025955,0.0270724,0.0136522,0.00897128,0.0297623,0.0229664,0.0199598,0,0.0174651,0.0625625,0.0372311,0,0,0.0170065,0,0,0.0483745,0.0527967,0.0481498,0.0183814,0.0177954,0.0489268,0.0360543,0.0326863,0.0635449,0.0219324,0.0553762,0.032742,0.0400751,0.0705279,0.0521411,0.0177732,0.0276939,0.0204646,0.0260839,0.0258342,0.0642257,0.0273441,0
1244,0.0254956,0,0,0,0,0.0469005,0,0,0,0,0,0,0.0313724,0,0.0190157,0.0705101,0,0,0.0221103,0,0,0.0406954,0.0711963,0.0164297,0.00595637,0.0151067,0.0362325,0.0358546,0.0393998,0.0503686,0.0302582,0.00667097,0.00895512,0.0259544,0.0270111,0.0136103,0.00905489,0.0296369,0.0229148,0.0203687,0,0.018001,0.0622802,0.0371636,0,0,0.016987,0,0,0.048392,0.0530644,0.0491002,0.0180187,0.0176971,0.048901,0.0361362,0.032582,0.0634217,0.0217441,0.0551945,0.0323672,0.0399892,0.0702876,0.0560897,0.0178793,0.0279234,0.0205266,0.0260581,0.0257996,0.0639975,0.0272092,0
1245,0.0255246,0,0,0,0,0.0469696,0,0,0,0,0,0,0.0313756,0,0.0189549,0.0705694,0,0,0.0221176,0,0,0.0407284,0.07122,0.0163829,0.00612112,0.015114,0.0362419,0.036227,0.0392156,0.0504067,0.030226,0.00665297,0.00900981,0.0259381,0.0269503,0.0135132,0.00922216,0.0294921,0.0228624,0.0209981,0,0.0183536,0.0620666,0.0370722,0,0,0.0170274,0,0,0.0484188,0.0533212,0.05002,0.0177076,0.0174139,0.0489087,0.0361482,0.0324422,0.063138,0.0216759,0.0549389,0.0319192,0.0398561,0.0699804,0.0594134,0.017983,0.0281422,0.0205422,0.0260614,0.0257995,0.0637367,0.0271025,0
1246,0.0255316,0,0,0,0,0.0470187,0,0,0,0,0,0,0.0314087,0,0.0189349,0.0705723,0,0,0.0221009,0,0,0.0407339,0.0712602,0.0162755,0.0062605,0.0151413,0.0362183,0.0365792,0.0390671,0.050554,0.0302253,0.00659495,0.00905003,0.0259138,0.0268958,0.0133862,0.00943415,0.0294001,0.0228038,0.0217572,0,0.0186771,0.0619325,0.0370027,0,0,0.017095,0,0,0.0484613,0.0536118,0.0508446,0.0174547,0.0170859,0.0489369,0.0361139,0.0322321,0.062943,0.0216772,0.0546546,0.0314366,0.0396485,0.06968,0.062255,0.0180381,0.0283108,0.0205581,0.0260475,0.0258369,0.0634262,0.0270313,0
1247,0.0255165,0,0,0,0,0.0470945,0,0,0,0,0,0,0.0315397,0,0.0189033,0.0705186,0,0,0.0220719,0,0,0.0407257,0.0713003,0.0162448,0.0063637,0.0151576,0.0363142,0.036908,0.0389707,0.0505996,0.0302287,0.00653187,0.00903485,0.0258401,0.026868,0.0133519,0.00962971,0.0293651,0.0227521,0.0226567,0,0.0190523,0.061882,0.0369637,0,0,0.0171908,0,0,0.0484958,0.0539126,0.0515696,0.0172323,0.0168497,0.0489439,0.0361084,0.0319309,0.0629314,0.0216617,0.0543972,0.0309729,0.0393747,0.0694834,0.064716,0.0180318,0.0283201,0.0205692,0.0260104,0.0258831,0.0630448,0.0269815,0
1248,0.0254977,0,0,0,0,0.047116,0,0,0,0,0,0,0.0316348,0,0.0188548,0.070387,0,0,0.0220984,0,0,0.0407036,0.0713201,0.016252,0.00641788,0.0151023,0.0365329,0.0372418,0.0388969,0.050558,0.0302309,0.00650357,0.00901866,0.0258016,0.0268348,0.0132953,0.00978878,0.0292786,0.0227067,0.02354,0,0.0195146,0.061906,0.0369152,0,0,0.0173205,0,0,0.0485523,0.0542527,0.0523484,0.0169518,0.0167054,0.0488985,0.0360522,0.0316997,0.0628919,0.0217139,0.0541121,0.0305203,0.039135,0.0692429,0.0669393,0.0180263,0.0282724,0.0205616,0.0259392,0.0259706,0.0626389,0.02698,0
1249,0.0254511,0,0,0,0,0.0470899,0,0,0,0,0,0,0.0316518,0,0.0188047,0.0702288,0,0,0.0221082,0,0,0.0407175,0.071348,0.0162445,0.00643197,0.0150977,0.0367622,0.0375244,0.0388307,0.0505227,0.0302017,0.0065172,0.00908237,0.0258135,0.0268073,0.0133334,0.0098983,0.0292128,0.0226578,0.0241239,0,0.0199673,0.0619414,0.0368585,0,0,0.0173418,0,0,0.048577,0.0546168,0.053102,0.0166683,0.0166122,0.0488404,0.0360622,0.0315975,0.0629437,0.0218978,0.053822,0.0301044,0.0389249,0.0690018,0.0690392,0.0179828,0.028281,0.0205274,0.0258535,0.026065,0.0622633,0.0269983,0
1250,0.0252786,0,0,0,0,0.0470927,0,0,0,0,0,0,0.0303492,0,0.0184405,0.0706922,0,0,0.0227157,0,0,0.0404252,0.0715104,0.016367,0.00727193,0.0148615,0.0366098,0.0369403,0.0381204,0.0501968,0.0298708,0.00688726,0.00987225,0.0260663,0.0271573,0.0148334,0.00915883,0.0288791,0.0231138,0.0189,0,0.0235471,0.0614038,0.0373611,0,0,0.0162437,0,0,0.0489877,0.0539446,0.0544398,0.0175238,0.0195325,0.050049,0.036494,0.0328693,0.0641778,0.0213773,0.0536785,0.0328088,0.0382453,0.0678147,0.0609349,0.0182757,0.0275785,0.0212023,0.025918,0.0258397,0.0642923,0.0260364,0
1251,0.0251818,0,0,0,0,0.0470955,0,0,0,0,0,0,0.030339,0,0.0183986,0.0704999,0,0,0.0227671,0,0,0.0404557,0.0715214,0.0160357,0.00729966,0.0148033,0.0369019,0.0370968,0.0381418,0.0501649,0.0296578,0.00692449,0.00994776,0.0260329,0.0271555,0.0148566,0.00909288,0.0288227,0.0231095,0.0189528,0,0.0240543,0.061403,0.0373224,0,0,0.0162447,0,0,0.0490022,0.0543049,0.0551279,0.0172543,0.0192197,0.0499636,0.0365554,0.0325895,0.0642267,0.0216096,0.0534028,0.0325244,0.0379446,0.0674796,0.0618514,0.0183118,0.027625,0.0212277,0.0258605,0.0259265,0.0640232,0.0260469,0
1252,0.025061,0,0,0,0,0.047103,0,0,0,0,0,0,0.0302477,0,0.0183551,0.0702929,0,0,0.0228101,0,0,0.0404598,0.0715724,0.0161767,0.00725547,0.0147493,0.0372312,0.0372008,0.0381439,0.0500892,0.0294114,0.0069712,0.00999336,0.026007,0.0271295,0.0148753,0.00905781,0.0288024,0.0231227,0.0189665,0,0.0246301,0.0614608,0.0372959,0,0,0.016285,0,0,0.0490581,0.0546121,0.055706,0.0170316,0.0188639,0.0498503,0.0366531,0.0324344,0.0643167,0.021854,0.0531237,0.0322511,0.0376755,0.0671865,0.062605,0.0183132,0.0277114,0.021166,0.0258052,0.0260475,0.0636895,0.0260704,0
