Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,LTHIA,RWRB,RTIBA,LWRA,
23,0.0307683,0,0,0,0,0.0429901,0,0,0,0,0,0,0.0269131,0,0.0146636,0.0706216,0,0,0.0187756,0,0,0.026415,0.071561,0.0177347,0.0103383,0.0213639,0.0319858,0.0349725,0.055484,0.0391717,0.012182,0.0150524,0.0252844,0.0266148,0.0181107,0.0143127,0.020869,0.0576039,0,0.0180198,0.0745861,0.0324583,0,0,0.0250177,0,0,0.0496789,0.0462502,0.0369354,0.0325962,0.0169773,0.0423794,0.0421767,0.0350248,0.0590863,0.0516587,0.0220428,0.0654944,0.0391581,0.102003,0.0237091,0.0254345,0.0287206,0.0229017,0.0218798,0.0443667,0,0,0,0
24,0.0307874,0,0,0,0,0.0429567,0,0,0,0,0,0,0.0271191,0,0.0147401,0.0706295,0,0,0.0186662,0,0,0.026427,0.0716425,0.0179874,0.0103929,0.0213816,0.0319253,0.0348881,0.0553871,0.0391888,0.0122088,0.0150817,0.0252716,0.026597,0.0178276,0.0142904,0.0208908,0.0578204,0,0.0180918,0.0746405,0.0324734,0,0,0.025064,0,0,0.0496309,0.0463041,0.0369728,0.0325684,0.0170301,0.042304,0.0418837,0.0350715,0.059069,0.0516198,0.0221087,0.0656018,0.0392069,0.102028,0.0238457,0.0253266,0.0286774,0.0228475,0.0219733,0.0443449,0,0,0,0
25,0.0308196,0,0,0,0,0.0429029,0,0,0,0,0,0,0.0273819,0,0.0148448,0.070669,0,0,0.0185775,0,0,0.0264215,0.0717186,0.0180634,0.0104604,0.0214116,0.0318241,0.0347629,0.0553469,0.0391448,0.0122365,0.0150734,0.0252197,0.0265585,0.0174758,0.0143277,0.0208713,0.0580755,0,0.018137,0.0746939,0.0324964,0,0,0.0251224,0,0,0.0495766,0.0463621,0.0369679,0.032574,0.0170472,0.0422448,0.0416001,0.0350882,0.0590819,0.0515958,0.0222082,0.0656718,0.0392261,0.102036,0.0240105,0.0249984,0.0285955,0.0227342,0.0220659,0.0443436,0,0,0,0
26,0.0308588,0,0,0,0,0.0428434,0,0,0,0,0,0,0.0276709,0,0.0149253,0.0707137,0,0,0.0185122,0,0,0.026357,0.0717583,0.0180383,0.0105213,0.0214698,0.0317452,0.0346176,0.0553286,0.0391242,0.0122641,0.0150687,0.0251599,0.0265189,0.0171049,0.014333,0.020796,0.0583581,0,0.018172,0.074742,0.0325304,0,0,0.025177,0,0,0.0495159,0.0463838,0.0369374,0.0326051,0.01707,0.0421805,0.041419,0.0350971,0.0590741,0.0515634,0.0222964,0.0657309,0.0392305,0.102003,0.0242049,0.0247177,0.0285342,0.022674,0.0221502,0.0442461,0,0,0,0
27,0.0308813,0,0,0,0,0.0427979,0,0,0,0,0,0,0.0279857,0,0.0149766,0.0707505,0,0,0.0184147,0,0,0.0262922,0.0717987,0.018003,0.0105516,0.0215227,0.0317197,0.0344961,0.0553128,0.0391421,0.0123081,0.0150627,0.0251335,0.0264917,0.0167571,0.014304,0.0207143,0.0586132,0,0.0182066,0.0747536,0.032582,0,0,0.0251758,0,0,0.0495071,0.0464017,0.0369076,0.0326147,0.0170383,0.0421176,0.0414113,0.0350593,0.059003,0.0515055,0.0223794,0.0658246,0.0392652,0.101958,0.0243791,0.0247267,0.0285141,0.0226711,0.0221911,0.0440304,0,0,0,0
28,0.0308966,0,0,0,0,0.0427908,0,0,0,0,0,0,0.0281076,0,0.0148587,0.0707569,0,0,0.0182978,0,0,0.0262584,0.0718592,0.0179001,0.0105447,0.0215966,0.0317294,0.0343696,0.0552844,0.0391851,0.0123968,0.0151309,0.0251516,0.026493,0.0165528,0.0142227,0.0206812,0.0588299,0,0.0182261,0.0747123,0.0326107,0,0,0.0251696,0,0,0.0495299,0.0464068,0.0368973,0.0325735,0.0170381,0.0420874,0.0413384,0.0350776,0.0589409,0.0514649,0.0224666,0.0659392,0.0393124,0.101943,0.0245388,0.0248039,0.0285189,0.022642,0.0222285,0.0439545,0,0,0,0
29,0.0309047,0,0,0,0,0.0428074,0,0,0,0,0,0,0.0281674,0,0.0147732,0.0707411,0,0,0.0181692,0,0,0.0262767,0.071897,0.0177569,0.0105161,0.0216839,0.0317619,0.0342167,0.0552731,0.039228,0.0124728,0.0152288,0.0251662,0.0264992,0.0163315,0.0140834,0.020682,0.0590013,0,0.0182469,0.0746741,0.0326602,0,0,0.0251862,0,0,0.0495623,0.0464286,0.0369029,0.0325125,0.017058,0.0420546,0.0412584,0.0350539,0.0589289,0.0514286,0.0225215,0.0660608,0.0393895,0.101954,0.0247023,0.024833,0.0285369,0.0225242,0.0222229,0.0440763,0,0,0,0
30,0.0309114,0,0,0,0,0.0427881,0,0,0,0,0,0,0.028374,0,0.0147924,0.070747,0,0,0.018019,0,0,0.0262554,0.0718946,0.0174397,0.0104646,0.0218253,0.031799,0.0340697,0.0553155,0.0392842,0.0125823,0.0153081,0.025167,0.0265194,0.0160302,0.0140552,0.0206649,0.0591743,0,0.0182276,0.0745871,0.0327254,0,0,0.0251852,0,0,0.0496203,0.0464636,0.0368776,0.0324525,0.0170741,0.0420023,0.0412257,0.0350543,0.0589095,0.0513905,0.0225753,0.0661637,0.0394633,0.101989,0.024825,0.0248099,0.0285702,0.0224195,0.0222056,0.0441818,0,0,0,0
31,0.0309256,0,0,0,0,0.0426997,0,0,0,0,0,0,0.0286106,0,0.014825,0.0707441,0,0,0.0178784,0,0,0.0261856,0.0718773,0.0173954,0.01041,0.0219765,0.0318319,0.0339417,0.055379,0.0394084,0.0126486,0.0153723,0.0251828,0.0265345,0.0157418,0.0140933,0.0206405,0.0593435,0,0.0181612,0.0744204,0.0327891,0,0,0.0251694,0,0,0.0496372,0.0464898,0.0367701,0.0323867,0.01708,0.0419334,0.0411691,0.0350579,0.0588719,0.0513743,0.0225971,0.0662603,0.0395215,0.102005,0.0249576,0.024928,0.0285961,0.0223944,0.022195,0.0442331,0,0,0,0
32,0.0309301,0,0,0,0,0.0426332,0,0,0,0,0,0,0.0288573,0,0.014918,0.0708463,0,0,0.0177489,0,0,0.0261369,0.0718905,0.0176982,0.0104237,0.0220083,0.0318543,0.0338144,0.0554062,0.0394505,0.0126972,0.0153982,0.0251939,0.0265185,0.0154418,0.0141018,0.0205988,0.0595356,0,0.0181395,0.0745512,0.032817,0,0,0.0251576,0,0,0.0496239,0.0465209,0.036715,0.0323176,0.0170776,0.0418985,0.0410732,0.0350682,0.0587853,0.0513809,0.0226277,0.0663057,0.039548,0.10201,0.0250908,0.0249965,0.0285911,0.0223587,0.0222078,0.0441887,0,0,0,0
