Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,L5FT,RILC,LILC,LWRB,RASI
40,0,0,0,0,0,0,0.0174639,0.0399471,0,0,0,0.0200839,0.0144679,0,0,0.0129147,0,0.0238089,0.00589297,0.0373632,0.0634189,0.0200902,0.0445336,0.0289214,0.0294323,0.0307826,0.0184233,0.0251496,0.0103159,0.00783981,0.00896351,0.0172087,0.125967,0.018303,0.0158302,0.0211958,0.0151434,0.0110807,0.0179657,0,0,0.025948,0,0.010765,0.0159751,0.0498511,0.0115474,0.031303,0.0416754,0.0342787,0.0153558,0.0282095,0.018118,0.01588,0.0164383,0.00641338,0.0102148,0.013928,0.0529656,0.00851797,0.0150154,0.0093546,0.0425227,0.0191866,0,0,0,0.0986827,0.0377313,0,0.00241878,0
41,0,0,0,0,0,0,0.0167113,0.0388981,0,0,0,0.0200998,0.0141751,0,0,0.0126133,0,0.023878,0.00571615,0.0378576,0.0643108,0.0196578,0.0429052,0.028223,0.028716,0.030415,0.0182219,0.0248893,0.0101025,0.00748966,0.00830729,0.0174599,0.127824,0.0179409,0.0158427,0.020798,0.0152045,0.0112217,0.0173862,0,0,0.0259446,0,0.0108042,0.016178,0.0493034,0.0114821,0.0306517,0.0405789,0.034042,0.0146349,0.0278657,0.0174809,0.0150959,0.0159854,0.00654756,0.0101328,0.0135452,0.052678,0.00822411,0.0152476,0.0094446,0.0419546,0.0184077,0,0,0,0.097891,0.037412,0,0.00239705,0.0375019
42,0,0,0,0,0,0,0.0166569,0.038799,0,0,0,0.0202132,0.0140061,0,0,0.0123997,0,0.0238671,0.0056016,0.0383865,0.0657838,0.0180993,0.042712,0.0280596,0.0272392,0.0288032,0.0173479,0.0248093,0.009482,0.00645749,0.00721261,0.0177896,0.130187,0.0179007,0.0158395,0.020742,0.0152568,0.0118443,0.0173989,0,0,0.0261861,0,0.010857,0.0162426,0.0490162,0.0116431,0.0303989,0.04021,0.034192,0.0143121,0.0276862,0.0171832,0.0147864,0.0157628,0.00628018,0.010345,0.0134809,0.0529788,0.00817675,0.0152333,0.00942594,0.0420107,0.0184353,0,0,0,0.096942,0.0372099,0,0.0021889,0.0369235
43,0,0,0,0,0,0,0.0154109,0.0383669,0,0,0,0.0202788,0.0108397,0,0,0.0119345,0,0.0238931,0.00535549,0.038205,0.070956,0.0072971,0.0421703,0.0278073,0.0205472,0.0200419,0.0145837,0.0268846,0.00368647,0.00267155,0.00377224,0.0193085,0.134241,0.0175297,0.0158497,0.0212643,0.0152,0.0129546,0.015921,0,0,0.0264266,0,0.0108768,0.0163003,0.0491663,0.0119948,0.0301937,0.0396406,0.0335067,0.0145579,0.0278444,0.0173242,0.0148359,0.0157487,0.00593185,0.0107788,0.0134437,0.0539343,0.00766817,0.0149869,0.00934659,0.0420163,0.0175157,0,0,0,0.0977924,0.0370047,0,0.00217101,0.0365413
44,0,0,0,0,0,0,0.015228,0.0382032,0,0,0,0.0203239,0.0117241,0,0,0.0120084,0,0.0238199,0.00535759,0.0387321,0.07304,0.00651323,0.0421611,0.0276148,0.0186025,0.0178839,0.0134659,0.0267064,0.00421957,0.0045231,0.00406618,0.0201086,0.136414,0.0175067,0.0158188,0.0217613,0.0152549,0.0136487,0.0157923,0,0,0.0265261,0,0.0109684,0.0162209,0.0489199,0.0128065,0.0299264,0.0391933,0.0334726,0.0144153,0.0277406,0.0171156,0.0145666,0.015873,0.00575825,0.0110065,0.0135367,0.05474,0.00765871,0.0147423,0.00927628,0.0423373,0.0175139,0,0,0,0.0963815,0.0368832,0,0.00196779,0.0355438
45,0,0,0,0,0,0,0.0151309,0.0379309,0,0,0,0.0203797,0.0130006,0,0,0.0120147,0,0.0237926,0.00534715,0.0392683,0.0741153,0.00649391,0.042121,0.0274368,0.0169503,0.0161285,0.0119944,0.0262244,0.00538822,0.00588779,0.00464626,0.0206602,0.138003,0.0175167,0.0157891,0.0223804,0.0153099,0.0142751,0.0156701,0,0,0.0266339,0,0.011037,0.0162058,0.0486903,0.0137856,0.0297003,0.0387908,0.0334298,0.0142837,0.0276393,0.0168857,0.0143212,0.016147,0.00563403,0.011315,0.0137852,0.0556733,0.00764385,0.0146583,0.00927159,0.0424973,0.0175449,0,0,0,0.094844,0.0368196,0,0.00206046,0.0346307
46,0,0,0,0,0,0,0.015038,0.0377149,0,0,0,0.0204458,0.0146796,0,0,0.0120427,0,0.0237965,0.00536783,0.0397446,0.0743317,0.00665259,0.0420988,0.0273542,0.0153133,0.0142937,0.0102376,0.0257054,0.0068522,0.00726115,0.00577085,0.0211044,0.138968,0.0175548,0.0157651,0.0231002,0.0153459,0.0148356,0.0155534,0,0,0.026759,0,0.0110805,0.0162637,0.0485167,0.0149784,0.0294878,0.0384501,0.0333627,0.0141513,0.0275294,0.0166677,0.0141345,0.0164291,0.00553407,0.0117094,0.0140992,0.0567162,0.00762219,0.0146156,0.00926673,0.0424238,0.0175149,0,0,0,0.0938619,0.0368085,0,0.00209526,0.0337736
47,0,0,0,0,0,0,0.0149027,0.0376019,0,0,0,0.0205085,0.0163733,0,0,0.0120428,0,0.0237658,0.00533172,0.0401001,0.0738513,0.00715093,0.0421004,0.0269838,0.0137255,0.0125731,0.008317,0.0254009,0.00853393,0.00893565,0.0070794,0.0216439,0.139584,0.0175758,0.0157406,0.0239999,0.0153724,0.0154022,0.0154582,0,0,0.0268993,0,0.0111129,0.0163294,0.0484047,0.0164026,0.0293099,0.0380403,0.0332877,0.0140494,0.0274043,0.0164428,0.0140064,0.0167071,0.00548371,0.0121409,0.0143909,0.0579598,0.00748929,0.0145759,0.00927678,0.0424232,0.0173638,0,0,0,0.0929888,0.036792,0,0.00202352,0.0329957
48,0,0,0,0,0,0,0.0148101,0.0374847,0,0,0,0.0206043,0.0177916,0,0,0.0120909,0,0.023746,0.00530701,0.0402861,0.0729345,0.00796303,0.0421551,0.0266224,0.0121019,0.0112104,0.00667574,0.025412,0.0104041,0.010821,0.00867371,0.022325,0.139804,0.0175458,0.0157083,0.0250521,0.0154117,0.0159901,0.0154613,0,0,0.0271282,0,0.0111547,0.016397,0.0483362,0.017965,0.0291661,0.0375895,0.0332255,0.0139716,0.0272627,0.0161976,0.0139213,0.0169774,0.00548881,0.0125479,0.014667,0.0593354,0.00733024,0.0145624,0.00932646,0.0423987,0.0172636,0,0,0,0.0922875,0.0367591,0,0.00210383,0.0323722
49,0,0,0,0,0,0,0.0146898,0.0372817,0,0,0,0.0206862,0.0191076,0,0,0.0121758,0,0.0237647,0.0053136,0.0404058,0.071677,0.00891617,0.0421372,0.0263963,0.0105322,0.0107531,0.00600717,0.0257891,0.0123919,0.0129675,0.0105582,0.0231509,0.139639,0.0174959,0.0157061,0.0260349,0.0154523,0.0163409,0.0154897,0,0,0.0273609,0,0.0111931,0.0164722,0.0483423,0.0199221,0.028619,0.0371058,0.0331532,0.0138643,0.0269023,0.0158319,0.013667,0.016849,0.00541711,0.012638,0.014642,0.0604903,0.00725768,0.0145887,0.00937919,0.0422921,0.0171341,0,0,0,0.0918615,0.036716,0,0.00216727,0.0318087
