Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LWRB,LILC
65,0,0,0,0,0,0,0.00976513,0.0122128,0,0,0,0.10875,0.017008,0.00875864,0,0,0.0117084,0,0.02965,0.00376068,0.0448788,0.0411002,0.0103,0.0172987,0.00970134,0.00499242,0.0067347,0.0078543,0.019732,0.00800918,0.00922258,0.00755014,0.0111353,0.110299,0.0140856,0.0188895,0.0307878,0.0115571,0.0187438,0.013311,0,0,0.0137436,0,0.00992339,0.0117055,0.0398894,0.0386501,0.0110354,0.00998817,0.0163631,0.0280307,0.0101279,0.0326718,0.00912633,0.0100908,0.017232,0.00932568,0.0168694,0.0218429,0.0357207,0.013431,0.0123499,0.00970679,0.0116481,0.00845245,0,0,0,0.00237694,0
66,0,0,0,0,0,0,0.00997538,0.0122498,0,0,0,0.10908,0.0169881,0.00892374,0,0,0.0117467,0,0.0296192,0.00379082,0.0449307,0.0409496,0.0103531,0.0173405,0.00978462,0.00510173,0.00690689,0.00774071,0.0197213,0.00818757,0.00927204,0.00770798,0.0111698,0.109708,0.0142123,0.0188495,0.0309734,0.0115664,0.0189937,0.0133795,0,0,0.0138013,0,0.00990694,0.0116271,0.0398834,0.0382043,0.011502,0.010957,0.0164038,0.0279671,0.00935092,0.0326621,0.00935157,0.00884608,0.0169714,0.0109404,0.0159027,0.0216433,0.0376149,0.0132774,0.0124259,0.0097594,0.0116464,0.00851803,0,0,0,0.00259803,0
67,0,0,0,0,0,0,0.0101468,0.0122485,0,0,0,0.109465,0.0169573,0.00913983,0,0,0.0117792,0,0.0296004,0.00380818,0.0449961,0.0408057,0.010503,0.0173503,0.00998835,0.00521859,0.00707988,0.00772522,0.019719,0.0082085,0.00919458,0.00792348,0.0112216,0.109103,0.0142806,0.018802,0.0314707,0.0116002,0.0193959,0.0135212,0,0,0.0137985,0,0.00989024,0.0116261,0.0399165,0.0377405,0.0120638,0.011986,0.0164187,0.0278889,0.00855952,0.0326331,0.00975148,0.00767299,0.0165677,0.0128899,0.0147842,0.0212311,0.0397089,0.0131094,0.01265,0.00990442,0.0116636,0.00856142,0,0,0,0.00289834,0
68,0,0,0,0,0,0,0.0102916,0.0122242,0,0,0,0.10997,0.016995,0.00942133,0,0,0.0118557,0,0.0296194,0.00385175,0.0451329,0.0405272,0.0106631,0.0174951,0.0102075,0.00534433,0.00756562,0.00736844,0.0197068,0.00843512,0.00924469,0.00810524,0.0112678,0.108481,0.0143668,0.0187893,0.0318896,0.0117051,0.019922,0.0136252,0,0,0.0135011,0,0.00986791,0.0115373,0.0399578,0.0371304,0.0127607,0.0129887,0.0163881,0.0276875,0.00779148,0.0325151,0.010303,0.00656447,0.0161127,0.0152474,0.0134886,0.0205889,0.0415929,0.0127981,0.0130638,0.00997538,0.011772,0.00864752,0,0,0,0.00294479,0
69,0,0,0,0,0,0,0.0103974,0.0121889,0,0,0,0.110522,0.0170569,0.00975794,0,0,0.0119725,0,0.0296305,0.00388577,0.0453517,0.0402231,0.0106153,0.0177731,0.0103208,0.00552914,0.00816476,0.00695918,0.0197343,0.00875976,0.00940608,0.00838393,0.0113166,0.107856,0.0144805,0.0187793,0.0320472,0.0117461,0.0205515,0.0137141,0,0,0.0133419,0,0.00985536,0.0115678,0.0399672,0.036419,0.0135748,0.0138255,0.0164047,0.0275834,0.00704916,0.0322717,0.0107651,0.00554854,0.0157919,0.0180622,0.012353,0.0199709,0.0430653,0.0125157,0.0134306,0.0101144,0.0119207,0.00864371,0,0,0,0.00290405,0
70,0,0,0,0,0,0,0.0104554,0.0121421,0,0,0,0.111069,0.0171147,0.0101638,0,0,0.0121384,0,0.0296178,0.00391969,0.0456169,0.0399175,0.0107314,0.0182522,0.0104193,0.00578067,0.00873785,0.00679798,0.019806,0.00909573,0.00972297,0.00868898,0.0113608,0.1073,0.014636,0.0187431,0.0315543,0.01175,0.0208479,0.0137468,0,0,0.0133378,0,0.00986663,0.0117101,0.0400192,0.0355578,0.0145313,0.0143891,0.0164323,0.0274867,0.00635012,0.0318956,0.0110069,0.00466003,0.0155358,0.0212834,0.0120641,0.0195425,0.0434233,0.0122518,0.01368,0.0103417,0.0120557,0.00854429,0,0,0,0.00300815,0
71,0,0,0,0,0,0,0.0104501,0.0121055,0,0,0,0.111781,0.0171642,0.0106345,0,0,0.0123841,0,0.0295867,0.00402253,0.0459355,0.0395177,0.010992,0.0191765,0.0104046,0.00606242,0.00920595,0.00674261,0.019941,0.00947983,0.0100748,0.00904292,0.0113945,0.106609,0.0148466,0.0186951,0.0301427,0.0118111,0.0202437,0.013662,0,0,0.0130962,0,0.00986338,0.0115566,0.0402595,0.0343959,0.0156287,0.0149373,0.0163823,0.027255,0.00583948,0.0314479,0.0109492,0.00418256,0.0159798,0.0247006,0.0131693,0.0196425,0.0420603,0.0117809,0.0137309,0.010429,0.0122736,0.00839359,0,0,0,0.00307267,0
72,0,0,0,0,0,0,0.0103871,0.0121086,0,0,0,0.112519,0.0172152,0.0111881,0,0,0.0127701,0,0.029517,0.00415516,0.0463131,0.0390508,0.0112494,0.0204096,0.0102758,0.00639844,0.00974694,0.00666731,0.0201213,0.00989143,0.010325,0.00943926,0.0114327,0.105762,0.0150819,0.0186357,0.0280828,0.0118861,0.0189562,0.0135159,0,0,0.0127055,0,0.00981459,0.0112724,0.0407671,0.0330984,0.0167635,0.0162372,0.0163149,0.0269666,0.00570933,0.03101,0.010434,0.00440357,0.0174339,0.0280004,0.0153661,0.0208997,0.039178,0.0112208,0.0139158,0.0104019,0.0125232,0.00820204,0,0,0,0.00304778,0
73,0,0,0,0,0,0,0.0102063,0.012152,0,0,0,0.113171,0.0172844,0.0117308,0,0,0.0132282,0,0.0294068,0.00428118,0.0467011,0.0385844,0.0114226,0.0216912,0.0101123,0.00683261,0.0104192,0.00659328,0.0203062,0.0102825,0.0109011,0.0097697,0.0114842,0.104816,0.0153377,0.0185814,0.0256107,0.0119341,0.0176934,0.0133133,0,0,0.0125211,0,0.00978238,0.0111481,0.0415255,0.0319706,0.0178053,0.0197959,0.0163167,0.0267033,0.0060756,0.030602,0.00965358,0.00543921,0.0201725,0.0308045,0.0183866,0.0237739,0.0346857,0.0107523,0.0141892,0.0104539,0.0127249,0.00794007,0,0,0,0.00286018,0
74,0,0,0,0,0,0,0.0100068,0.0121064,0,0,0,0.113704,0.0173608,0.0121768,0,0,0.0136041,0,0.0293141,0.00437016,0.0470623,0.0381279,0.0115813,0.022527,0.00999968,0.00733796,0.011136,0.0065875,0.0204772,0.0107759,0.0114596,0.0100323,0.0115402,0.103824,0.0155388,0.0185389,0.0239867,0.0119792,0.0172254,0.0132422,0,0,0.0125789,0,0.00978137,0.0110897,0.0424033,0.0310757,0.0185916,0.0257285,0.0164404,0.0265368,0.00668581,0.0301823,0.00891704,0.00682416,0.0237872,0.0328754,0.0214786,0.0278155,0.0290873,0.010499,0.0144149,0.0105289,0.0128318,0.00769662,0,0,0,0.00260877,0
75,0,0,0,0,0,0,0.00982096,0.012007,0,0,0,0.11427,0.0174232,0.0125326,0,0,0.0139171,0,0.0292853,0.00444221,0.0473748,0.03766,0.0117374,0.0228854,0.00990971,0.00797469,0.011687,0.00663154,0.0206257,0.0112106,0.0118877,0.0102257,0.0115961,0.102859,0.015715,0.0185098,0.02401,0.0120251,0.0178801,0.0132944,0,0,0.0127376,0,0.00979045,0.0110627,0.0432715,0.0307142,0.0190325,0.0325642,0.0166004,0.0264717,0.00727782,0.0297122,0.00852579,0.00801923,0.0277323,0.0341121,0.024154,0.0321042,0.0224903,0.0104181,0.0145618,0.0106057,0.0128528,0.00748476,0,0,0,0.00255811,0
76,0,0,0,0,0,0,0.00973663,0.011829,0,0,0,0.114746,0.0174968,0.0128264,0,0,0.0141192,0,0.0292808,0.00446668,0.047745,0.0371027,0.0118248,0.0226851,0.00988474,0.00863636,0.0120068,0.00670296,0.0207747,0.0115314,0.0122593,0.0103559,0.0116626,0.101685,0.0158517,0.0184898,0.025143,0.012035,0.0191973,0.013466,0,0,0.0127666,0,0.00977522,0.0111009,0.043787,0.0307025,0.0192005,0.0380489,0.0168662,0.0265447,0.00768979,0.0290565,0.00828702,0.00854933,0.0308544,0.0348511,0.0259954,0.0353042,0.0166381,0.0105275,0.0146379,0.0106833,0.0126437,0.00737174,0,0,0,0.00232584,0
77,0,0,0,0,0,0,0.00967925,0.0116688,0,0,0,0.115291,0.0175708,0.0132006,0,0,0.0142687,0,0.0292594,0.00448624,0.0481589,0.0365449,0.0119036,0.0223085,0.00993344,0.00921927,0.0124017,0.00673876,0.0208454,0.0118061,0.0126148,0.0104631,0.0117301,0.100166,0.0159781,0.0184789,0.0239453,0.0120598,0.0193216,0.013658,0,0,0.0127497,0,0.0097859,0.0110853,0.0438213,0.0294022,0.0192475,0.0403835,0.0171263,0.0267065,0.00785302,0.0281679,0.00793977,0.00840313,0.0322443,0.0354021,0.0268223,0.0362284,0.0153508,0.010652,0.0147181,0.0107668,0.0123372,0.00729697,0,0,0,0.00221997,0
78,0,0,0,0,0,0,0.00952206,0.0115566,0,0,0,0.115752,0.0176079,0.0136023,0,0,0.01449,0,0.0292076,0.00459313,0.0485721,0.0358404,0.0120874,0.0221409,0.0100334,0.00973021,0.0129056,0.00684571,0.0208772,0.0121656,0.0130019,0.0105581,0.0117448,0.0984821,0.0161532,0.0184826,0.0218444,0.0120791,0.018787,0.013724,0,0,0.0127672,0,0.0098218,0.0110216,0.0435933,0.0278432,0.0193103,0.0401994,0.017385,0.0269066,0.00765051,0.0272577,0.00749546,0.00797933,0.0321418,0.0355555,0.0267788,0.0356643,0.0157551,0.0107435,0.0147363,0.0107706,0.0120542,0.00715171,0,0,0,0.00233289,0
