Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBHD,RILC,LILC
37,0,0,0,0,0,0,0.00549897,0.00698543,0,0,0,0.114729,0.0193875,0.00763725,0,0.0116205,0,0.0252088,0.00451674,0.0456769,0.0343074,0.00780474,0.0142245,0.0120097,0.00700532,0.00651569,0.00769426,0.0247861,0.00510954,0.0101832,0.00417504,0.0111155,0.108825,0.0124888,0.0175373,0.00378744,0.0441094,0.0153923,0.0290973,0.00575834,0,0,0.00744928,0,0.0129956,0.00225371,0.0467825,0.0385869,0.0150154,0.0117597,0.00782459,0.00950157,0.0327511,0.0178304,0.0142713,0.0120552,0.00538758,0.00935802,0.00882822,0.0170499,0.0083747,0.00652525,0.00348716,0.0104871,0.00715595,0,0,0,0,0.0141502,0
38,0,0,0,0,0,0,0.00547152,0.00707249,0,0,0,0.1143,0.0192771,0.00782327,0,0.0116075,0,0.0252276,0.00451544,0.045813,0.0343194,0.00808263,0.0144669,0.0120157,0.00697,0.0065645,0.00763096,0.0246998,0.00527171,0.0100703,0.00456461,0.0111296,0.109144,0.0123833,0.0174961,0.00327618,0.0437717,0.0153141,0.0294079,0.00571584,0,0,0.00807417,0,0.0129604,0.00240395,0.0466295,0.040054,0.0158842,0.0116674,0.00760653,0.0106238,0.0331054,0.0178167,0.0154532,0.0118789,0.0056572,0.00934787,0.00889529,0.0167578,0.00857959,0.0062008,0.00351417,0.0105654,0.00711071,0,0,0,0,0.0137471,0
39,0,0,0,0,0,0,0.00659533,0.00967711,0,0,0,0.11555,0.0192834,0.00946239,0,0.0121368,0,0.0251,0.0048334,0.0458234,0.0319245,0.00867181,0.00956574,0.012384,0.00659846,0.0064528,0.00687243,0.0250723,0.00571954,0.0110535,0.00500191,0.0103458,0.108034,0.0124122,0.0173914,0.00300684,0.040327,0.015654,0.0300216,0.00580402,0,0,0.0102547,0,0.0130238,0.00296481,0.0429953,0.0442873,0.0169213,0.00941067,0.00715646,0.0137657,0.0345424,0.0189835,0.0172236,0.0120383,0.00508528,0.011155,0.0106918,0.0154501,0.00950622,0.00591267,0.00316008,0.0134638,0.00754759,0,0,0,0,0,0
40,0,0,0,0,0,0,0.00651882,0.0100583,0,0,0,0.115388,0.019276,0.00971739,0,0.0121117,0,0.025094,0.00484308,0.0460749,0.0316292,0.00868307,0.0105271,0.0122545,0.00668613,0.00650745,0.00704994,0.025087,0.00585209,0.0113058,0.00512618,0.0103316,0.108277,0.0122387,0.0173779,0.00298768,0.0397998,0.0156595,0.0295234,0.00580572,0,0,0.0103642,0,0.0130045,0.00310857,0.0428212,0.0451589,0.0173184,0.00887426,0.0071582,0.0145519,0.0347698,0.0192668,0.0182859,0.0119104,0.00535578,0.0113597,0.0110595,0.014516,0.00952717,0.00575807,0.00310624,0.0134862,0.007387,0,0,0,0,0,0
41,0,0,0,0,0,0,0.00631184,0.0103074,0,0,0,0.115415,0.019299,0.00998909,0,0.0120357,0,0.0250969,0.00484821,0.0462082,0.0316019,0.00869604,0.0114934,0.0121583,0.00673896,0.00665334,0.00698835,0.0249219,0.00588125,0.0112811,0.00519156,0.0102983,0.108289,0.0120318,0.017375,0.00303753,0.0390087,0.0156647,0.0290537,0.00570945,0,0,0.0104549,0,0.0130135,0.00325721,0.042868,0.0451954,0.0172324,0.00838645,0.00714107,0.0152054,0.0349424,0.0193954,0.019273,0.0116669,0.00567578,0.0115277,0.011276,0.0149323,0.00963357,0.0055461,0.00301144,0.0133551,0.00717002,0,0,0,0,0,0
42,0,0,0,0,0,0,0.00536562,0.00851935,0,0,0,0.11452,0.0193391,0.00935467,0,0.0116544,0,0.0251829,0.00468201,0.0471008,0.0328985,0.00856011,0.0168974,0.0119393,0.00690312,0.00697431,0.00719025,0.0245643,0.00575293,0.0105638,0.00536275,0.0108723,0.109133,0.0118522,0.0174321,0.00300438,0.0399005,0.015391,0.0272253,0.00580544,0,0,0.00839016,0,0.0129711,0.00261057,0.0450546,0.041748,0.016801,0.0119928,0.00731424,0.014069,0.0343277,0.0185079,0.0193103,0.0106432,0.00662888,0.0102059,0.0100274,0.0153944,0.00873533,0.00570362,0.00329526,0.0112908,0.0068714,0,0,0,0,0.0127491,0
43,0,0,0,0,0,0,0.00531196,0.00867377,0,0,0,0.114581,0.0193578,0.00921912,0,0.0115649,0,0.0251675,0.00471769,0.0465822,0.0327529,0.00869023,0.0176153,0.011739,0.00707132,0.00713779,0.00731779,0.0237469,0.00563305,0.0102903,0.00551891,0.0108894,0.10878,0.0117495,0.0174397,0.00292904,0.0387017,0.0155161,0.0257562,0.00577554,0,0,0.00755188,0,0.0130154,0.00224653,0.0455892,0.0399943,0.0163108,0.0120878,0.00738341,0.014621,0.0344444,0.018352,0.0199444,0.0105724,0.00670252,0.0102836,0.0101631,0.0133982,0.00840569,0.00614505,0.00322581,0.0113502,0.00667817,0,0,0,0,0.0121999,0
44,0,0,0,0,0,0,0.00529566,0.00878482,0,0,0,0.114259,0.0193967,0.00932341,0,0.0114369,0,0.0251471,0.00467487,0.0466151,0.0331043,0.00885762,0.0182213,0.0115866,0.00713387,0.00728537,0.00740255,0.0233326,0.00572376,0.0101915,0.00577032,0.0109523,0.108924,0.0116321,0.0174499,0.00285243,0.0376592,0.0154579,0.0248178,0.00584546,0,0,0.00772565,0,0.012927,0.00214369,0.0454029,0.0384932,0.0155892,0.0120679,0.00739205,0.0149504,0.0345093,0.0181421,0.0201798,0.0103312,0.00687375,0.0104589,0.0105648,0.0141188,0.00859084,0.00590501,0.00320129,0.0114151,0.00663857,0,0,0,0,0.0121801,0
45,0,0,0,0,0,0,0.00364226,0.00594797,0,0,0,0.118016,0.0186893,0.0145487,0,0.00844503,0,0.0262411,0.0028025,0.0451017,0.030073,0.00952083,0.013406,0.00627557,0.00878032,0.00971648,0.00760656,0.026369,0.00682278,0.0150253,0.00523642,0.00823458,0.108239,0.00962402,0.0180162,0.00219622,0.0340335,0.0152082,0.0227684,0.00137715,0,0,0.00527825,0,0.0128442,0.00219984,0.0411064,0.0396791,0.0164886,0.0108942,0.00526993,0.017074,0.0350962,0.0182841,0.0205654,0.0107749,0.00744354,0.011858,0.0136618,0.0143646,0.0062089,0.00684569,0.0036296,0.00643683,0.000677771,0,0,0,0,0.0220156,0.0371128
46,0,0,0,0,0,0,0.00334223,0.0061307,0,0,0,0.117798,0.0186866,0.0146989,0,0.00856081,0,0.0262209,0.0028344,0.0451568,0.0304342,0.00970929,0.0136944,0.00652366,0.00872626,0.00966526,0.00752037,0.0264135,0.00691757,0.0148512,0.00571738,0.00824456,0.108632,0.00990974,0.0180172,0.002248,0.0330406,0.0153005,0.0214965,0.00212918,0,0,0.00479693,0,0.0130199,0.00194236,0.0406954,0.0385812,0.0157297,0.0117023,0.00542966,0.0172777,0.0349561,0.0178596,0.0205647,0.0111383,0.0076405,0.0122406,0.01463,0.0140181,0.00594895,0.00690022,0.00356706,0.00613998,0.00129081,0,0,0,0,0.0222154,0.0373914
