Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_M,IMU_R,L5FT,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,IMU_L,STRN,LTIBP,LANK,LFHD,RHEE,L5HD,LTIBI,RILC,LWRB,LILC
19,0,0,0,0,0,0,0.00436155,0.00938107,0,0,0.119694,0,0,0.0154555,0.0175958,0.00699701,0.0415729,0.079586,0.00798452,0.0290214,0.00468236,0.00950755,0.011208,0.00638498,0.0204172,0.00285282,0.00444012,0.196989,0.004714,0.0146391,0.0344619,0.0157088,0.0138711,0.00590663,0,0,0.01514,0,0.0126068,0.0073336,0.0418637,0.00752296,0.0130983,0.0110765,0.00862847,0.0269816,0.0101893,0.00796332,0.015862,0.0323718,0.0155685,0.0162081,0.0248721,0.0122691,0.00516658,0.00415126,0.00871539,0,0,0,0,0,0.0137097,0.00526214,0,0.00735795,0.0202581,0,0,0,0
20,0,0,0,0,0,0,0.00434109,0.00915628,0,0,0.119386,0,0,0.0151956,0.0178765,0.00737856,0.0414855,0.079321,0.0081858,0.0295886,0.0045674,0.00966737,0.0111648,0.006245,0.0202194,0.00309242,0.00468555,0.197496,0.00475677,0.0150094,0.0319741,0.0156837,0.0168613,0.00601128,0,0,0.0148054,0,0.0126002,0.00722863,0.0412714,0.00967272,0.0132014,0.0108193,0.00958728,0.0268076,0.0127976,0.00879828,0.0196615,0.0352105,0.019311,0.0200794,0.0203472,0.0119944,0.00518675,0.00412415,0.00907128,0,0,0,0,0,0.0135977,0.00566477,0,0.00914063,0.0209216,0,0,0,0
21,0,0,0,0,0,0,0.00432819,0.00935568,0,0,0.118858,0,0,0.0148301,0.0180353,0.00721488,0.041319,0.0788069,0.00826375,0.0305177,0.00476769,0.00961581,0.0110174,0.00604546,0.019941,0.0033291,0.00495317,0.198397,0.00458302,0.015058,0.0297878,0.0156745,0.0199702,0.00609512,0,0,0.0146215,0,0.0126028,0.00708818,0.0409071,0.0133263,0.0131649,0.010705,0.0104918,0.0272528,0.0140627,0.00953718,0.0241123,0.0377039,0.0231724,0.0252633,0.013778,0.0116827,0.00513777,0.00412035,0.00927005,0,0,0,0,0,0.013481,0.00617475,0,0.0142734,0.0209967,0.00319452,0,0,0
22,0,0,0,0,0,0,0.00459196,0.00941276,0,0,0.118711,0,0,0.0146484,0.018166,0.0068344,0.0430924,0.0759177,0.0109333,0.0304644,0.0052915,0.0128195,0.0145909,0.00564665,0,0.00717146,0.00902654,0.200461,0.00418815,0.0149105,0.031458,0.0155531,0.0238137,0.00681509,0,0,0.0132182,0,0.0124844,0.00657191,0.0388338,0.0195742,0.0138633,0.0101757,0.0114834,0.0285909,0.0147834,0.0104939,0.0285294,0.0391062,0.0263901,0.0306195,0.00810499,0.0107123,0.00485619,0.00389269,0.00961739,0,0,0,0,0,0.0106429,0.00781218,0,0.0207363,0.0207182,0.00709537,0,0,0
23,0,0,0,0,0,0,0.0042501,0.00976701,0,0,0.118289,0,0,0.0144408,0.0182139,0.00651323,0.0408466,0.0776802,0.00836885,0.0318236,0.00530267,0.00958426,0.0108457,0.00577609,0.0193777,0.00383637,0.00559738,0.199788,0.0036732,0.0147917,0.0296818,0.0155926,0.0260794,0.00645366,0,0,0.0131586,0,0.0125117,0.00683687,0.0400899,0.0236672,0.0130856,0.0105728,0.012133,0.0284592,0.0145363,0.0110854,0.032096,0.04049,0.0288934,0.0346699,0.00640392,0.0111982,0.00499534,0.00402509,0.00942557,0,0,0,0,0,0.0132009,0.00667111,0,0.0259233,0.0204375,0.00361143,0,0,0
24,0,0,0,0,0,0,0.00425838,0.00982521,0,0,0.117883,0,0,0.0145682,0.0183402,0.00649779,0.0407094,0.0770203,0.00848936,0.0317764,0.00541212,0.0094323,0.0105988,0.00590967,0.0191683,0.00406452,0.00585438,0.200251,0.0034044,0.0148493,0.029679,0.0156167,0.0271218,0.0065813,0,0,0.0125661,0,0.0125369,0.00676948,0.0394414,0.0262921,0.0131698,0.0105988,0.0128139,0.0282199,0.0149392,0.0117442,0.0338294,0.0409355,0.0299598,0.0367201,0.00778427,0.011305,0.00494858,0.00404563,0.00931295,0,0,0,0,0,0.0130159,0.00691184,0,0.0282572,0.0205226,0.00370514,0,0,0
25,0,0,0,0,0,0,0.00425076,0.009847,0,0,0.117287,0,0,0.0143295,0.0185878,0.00625417,0.0405472,0.0761497,0.00885297,0.0315178,0.00560155,0.00943009,0.0107357,0.00586776,0.0189499,0.00446914,0.00628943,0.200679,0.00327166,0.014829,0.0301095,0.0156441,0.0268726,0.00654247,0,0,0.0124091,0,0.012603,0.0067772,0.0391677,0.026832,0.0133013,0.0106817,0.0131606,0.0283099,0.0148172,0.0119528,0.0338665,0.0408341,0.0299463,0.0368875,0.00848828,0.0110495,0.00499286,0.00409417,0.00901226,0,0,0,0,0,0.0128868,0.00736661,0,0.0277895,0.0204714,0.00384046,0,0,0
26,0,0,0,0,0,0,0.00423209,0.0100341,0,0,0.116652,0,0,0.0138632,0.0194428,0.00581584,0.0404125,0.0750202,0.00923299,0.031493,0.00587751,0.00930443,0.0109294,0.00554107,0.0187739,0.00495824,0.0067477,0.201058,0.003444,0.0149024,0.0289312,0.015589,0.024903,0.00671661,0,0,0.0128979,0,0.0124987,0.00638809,0.0391243,0.0247355,0.0135027,0.0105345,0.0129995,0.0280717,0.0147661,0.0115779,0.0319347,0.0401998,0.0286996,0.0346879,0.00655896,0.0104041,0.00501346,0.00395794,0.00893975,0,0,0,0,0,0.0127655,0.00782777,0,0.0251315,0.0207177,0.00389804,0,0,0
27,0,0,0,0,0,0,0.00426317,0.0101405,0,0,0.115961,0,0,0.0132898,0.0205417,0.00543439,0.0403885,0.0737188,0.00971556,0.0319706,0.00613454,0.009136,0.0113863,0.00490892,0.0187181,0.00558384,0.00738884,0.201459,0.00408284,0.0150062,0.0272266,0.0156163,0.0222798,0.00684394,0,0,0.012792,0,0.0125409,0.00627026,0.0391522,0.0214068,0.0137445,0.0105167,0.0124022,0.02732,0.0145,0.010736,0.0286732,0.0388539,0.0263738,0.0309542,0.00748026,0.00997607,0.00496131,0.00401528,0.0089928,0,0,0,0,0,0.0126672,0.00843308,0,0.0220825,0.0210653,0.00392108,0,0,0
28,0,0,0,0,0,0,0.00428843,0.0103308,0,0,0.115196,0,0,0.0138085,0.0196602,0.00569288,0.0404416,0.0722307,0.010294,0.0326423,0.00599456,0.00949332,0.012104,0.00434884,0.0187028,0.00630355,0.00814006,0.201791,0.00403144,0.0148942,0.025992,0.0155781,0.020011,0.00696351,0,0,0.0128991,0,0.0125141,0.00631114,0.039392,0.0183137,0.0139219,0.0104981,0.0116643,0.0267766,0.0135256,0.00974399,0.0251201,0.0370129,0.0235787,0.0269714,0.0113104,0.0098983,0.00503214,0.00397402,0.00902593,0,0,0,0,0,0.0126016,0.00905945,0,0.0202636,0.0207386,0.00393535,0,0,0
