Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RASI,LILC,RILC
106,0,0,0,0,0,0,0.00899154,0.00880832,0,0,0,0.112155,0.0180789,0.0181382,0,0,0.00307222,0,0.0295583,0.00288417,0.0443172,0.0853739,0.0134718,0.0104705,0.0143298,0.0100942,0.00996551,0.00612368,0.029172,0.0110308,0.0120724,0.00981929,0.0125192,0.204092,0.0108128,0.0178922,0.0029251,0.0724278,0.0118395,0.0278496,0.00523584,0,0,0.0182869,0,0.00924719,0.00621502,0.0382333,0.0394705,0.0428303,0.0175783,0.00486763,0.00371214,0.028794,0.00799783,0.00664435,0.0432827,0.0457285,0.0374684,0.0480323,0.0879307,0.0127363,0.00492404,0.00221351,0.00935119,0.00926403,0,0,0,0,0.0458519,0.026816
107,0,0,0,0,0,0,0.00916058,0.00908949,0,0,0,0.11062,0.0180328,0.0186336,0,0,0.003182,0,0.0295812,0.00291409,0.0444807,0.0834985,0.0139207,0.0101797,0.0144848,0.0106886,0.0109547,0.00635717,0.0293364,0.0115348,0.0125997,0.00981189,0.0122156,0.205242,0.011163,0.017881,0.00298245,0.0657678,0.0118808,0.0323576,0.00549087,0,0,0.0185893,0,0.00927968,0.0065027,0.0380581,0.0454421,0.041159,0.0176736,0.00529068,0.00303317,0.0283794,0.00782977,0.00668969,0.0425297,0.0450444,0.0376108,0.0487434,0.0933448,0.0128173,0.00494037,0.00215742,0.0097812,0.0092543,0,0,0,0,0.0461019,0.0269122
108,0,0,0,0,0,0,0.00906764,0.00921284,0,0,0,0.110082,0.0180176,0.0189452,0,0,0.00312192,0,0.0296362,0.00300812,0.0444476,0.0829204,0.0139924,0.00995721,0.0145752,0.0107323,0.0113236,0.00659279,0.0292698,0.0120708,0.0131264,0.00994823,0.0116903,0.205321,0.0113371,0.0178961,0.00298196,0.0749941,0.0118972,0.0279029,0.00515544,0,0,0.0181937,0,0.00925131,0.00626655,0.0365255,0.0417763,0.0325279,0.0179151,0.0051504,0.00308097,0.0278489,0.00790174,0.00484454,0.0381095,0.0447512,0.0350643,0.0430429,0.0835066,0.0126941,0.00516798,0.00234693,0.00997771,0.00927657,0,0,0,0,0.0464563,0.0270734
109,0,0,0,0,0,0,0.00805602,0.00961322,0,0,0,0.109863,0.0180296,0.0179539,0,0,0.00318542,0,0.0295917,0.00296574,0.042372,0.0813363,0.0131607,0.0106159,0.0144268,0.00932393,0.0103942,0.00583097,0.0276522,0.0117846,0.0127933,0.00928314,0.0109805,0.205113,0.0114744,0.0178354,0.00305948,0.109978,0.0119762,0.0337927,0.00471563,0,0,0.017948,0,0.00928281,0.00609978,0.032432,0.032356,0.0280774,0.017176,0.00562819,0.00531184,0.033024,0.030892,0.0124163,0.0241637,0.0421418,0.019811,0.0173531,0.0559583,0.0125279,0.00547111,0.00255962,0.0106728,0.00838801,0,0,0,0,0.0455506,0.0261057
110,0,0,0,0,0,0,0.0077503,0.00967232,0,0,0,0.108853,0.0180681,0.0181594,0,0,0.00319868,0,0.0295472,0.00283131,0.0422228,0.0794708,0.0133124,0.010412,0.0143509,0.00942959,0.0107839,0.0061537,0.0275637,0.0122436,0.0131739,0.00921149,0.0102853,0.205461,0.0115805,0.0177953,0.00297791,0.111772,0.0120213,0.0353508,0.00483688,0,0,0.0178988,0,0.00928139,0.00610533,0.0324784,0.0367115,0.0304135,0.0170643,0.00611822,0.00462792,0.0327543,0.0297827,0.0118446,0.023214,0.0392051,0.0162789,0.0162351,0.0556078,0.0123655,0.00554705,0.00255882,0.0107132,0.00811079,0,0,0,0,0.0457827,0.0254946
111,0,0,0,0,0,0,0.00768838,0.00975169,0,0,0,0.107581,0.0180815,0.0182057,0,0,0.00323944,0,0.0295198,0.00269608,0.0421611,0.0764828,0.0136825,0.0102633,0.0142313,0.00986252,0.0117916,0.0066525,0.0275826,0.0127644,0.013624,0.00909108,0.00966021,0.20595,0.0116911,0.0177562,0.00286009,0.113931,0.0121366,0.0382197,0.00528741,0,0,0.018057,0,0.00934711,0.00625993,0.0323534,0.0401708,0.0322732,0.0170679,0.00676645,0.00436186,0.0322042,0.0282689,0.0113163,0.0238704,0.0375251,0.0142185,0.0170436,0.0551805,0.0123583,0.00587598,0.00253113,0.0106949,0.0079501,0,0,0,0,0.0460406,0.0249036
112,0,0,0,0,0,0,0.00737806,0.0095377,0,0,0,0.107534,0.0181073,0.0182923,0,0,0.00307532,0,0.0294871,0.00267002,0.0422774,0.0749669,0.0139399,0.0100585,0.0140849,0.0103417,0.0129503,0.0073899,0.0276957,0.01332,0.0142137,0.00903166,0.00911005,0.204788,0.0116408,0.0177137,0.00289964,0.114836,0.01219,0.040173,0.00494296,0,0,0.0175586,0,0.00931461,0.00589439,0.031814,0.0418528,0.0346538,0.0169291,0.00656518,0.00449196,0.0317986,0.0278477,0.0118547,0.0248435,0.0370892,0.0132704,0.0179889,0.0555987,0.0121855,0.00634027,0.00272316,0.0102059,0.00785972,0,0,0,0,0.0463807,0.0245657
113,0,0,0,0,0,0,0.00722764,0.0095705,0,0,0,0.107139,0.0181536,0.0179402,0,0,0.00307118,0,0.0294795,0.00265849,0.0425455,0.0713317,0.0141073,0.0096925,0.0139189,0.0110984,0.0145166,0.00819774,0.0278533,0.0137477,0.0148385,0.0087028,0.00873001,0.203949,0.0116339,0.0176944,0.00306422,0.112537,0.012297,0.0390421,0.00523728,0,0,0.0176511,0,0.00934725,0.0060549,0.0309503,0.0413451,0.0370773,0.0168886,0.00682183,0.00502512,0.0314487,0.0289927,0.0137346,0.024411,0.0370433,0.0130044,0.0174395,0.0582868,0.0121993,0.00637016,0.00281055,0.00999494,0.00782632,0,0,0,0,0.0465933,0.0246146
114,0,0,0,0,0,0,0.00697126,0.00960594,0,0,0,0.107325,0.0181715,0.0171647,0,0,0.00313635,0,0.0295064,0.00260128,0.0430038,0.0671925,0.0141967,0.00927529,0.0137772,0.011854,0.0160125,0.00907087,0.0281357,0.0140224,0.0154018,0.00814651,0.00853816,0.202632,0.011632,0.0177009,0.00336681,0.10773,0.0124023,0.0353944,0.00565491,0,0,0.0177782,0,0.00939738,0.0062519,0.0300293,0.0399591,0.0372306,0.0169585,0.00705284,0.00658025,0.0313811,0.0308834,0.0160779,0.0228483,0.0367839,0.0131576,0.0156565,0.0625665,0.0121949,0.00653195,0.00297617,0.0100101,0.00762549,0,0,0,0,0.0468058,0.0249174
115,0,0,0,0,0,0,0.00659023,0.00968519,0,0,0,0.108253,0.0181539,0.0160023,0,0,0.00322259,0,0.0295725,0.00252347,0.0435536,0.0628024,0.0142453,0.00907382,0.0136746,0.0123244,0.0171022,0.00990194,0.0284886,0.0140508,0.0158282,0.00748956,0.00862788,0.200824,0.0116314,0.017734,0.00336146,0.102624,0.0124816,0.0316236,0.00612201,0,0,0.0179591,0,0.00943511,0.00640334,0.0293118,0.0389551,0.0343099,0.017044,0.00743959,0.00824255,0.0315677,0.0323756,0.0177835,0.0212539,0.0362698,0.0134678,0.0141519,0.0670864,0.0121708,0.00678694,0.00309866,0.0102993,0.00713643,0,0,0,0,0.0469854,0.0251599
