Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LWRB,LILC
19,0,0,0,0,0,0,0.00226208,0.00680953,0,0,0,0.0199942,0.0321454,0,0,0.00578527,0,0.0245824,0.00192791,0.0485202,0.170692,0.00612799,0.020877,0.00303119,0.00892431,0.016651,0.0153116,0.0337673,0.0133293,0.0164612,0.0115851,0.0198015,0.173062,0.00582494,0.0154724,0.00852195,0.01559,0.0111084,0.00637699,0,0,0.0038437,0,0.0126578,0.00348569,0.0380672,0.0394421,0.0208755,0.0115583,0.016197,0.00591012,0.00855795,0.0206229,0.00400742,0.00942768,0.0109041,0.0105668,0.0112478,0.0172039,0.0354009,0.00515483,0.00570572,0.00386842,0.00589183,0.00621117,0,0,0,0,0.000991317,0
20,0,0,0,0,0,0,0.00223582,0.00686359,0,0,0,0.0200253,0.0311733,0,0,0.00566655,0,0.0245409,0.00187749,0.04881,0.172348,0.00439612,0.0217243,0.0029695,0.0101285,0.0179604,0.0171946,0.0338158,0.014196,0.0174516,0.0131415,0.0206297,0.169887,0.00542151,0.0154586,0.00824408,0.0155819,0.0119973,0.00651086,0,0,0.00413205,0,0.0126621,0.00349234,0.0379123,0.0411335,0.0208482,0.0116286,0.0162307,0.00588215,0.00889006,0.0202402,0.00429159,0.00981469,0.0113665,0.0102408,0.0117517,0.0178229,0.0360318,0.00514926,0.00576951,0.00383993,0.00579983,0.00631764,0,0,0,0,0.00117174,0
21,0,0,0,0,0,0,0.00224839,0.00685624,0,0,0,0.0199987,0.0305159,0,0,0.00551842,0,0.0245357,0.00186007,0.0491461,0.17338,0.00368226,0.0222302,0.00284712,0.0109899,0.0191178,0.0186198,0.0341527,0.0146377,0.0178859,0.0139477,0.0209516,0.168228,0.00710624,0.015448,0.00817712,0.0155961,0.0127245,0.0065535,0,0,0.00424295,0,0.0126753,0.00351596,0.0376889,0.0426217,0.0208847,0.0117597,0.0161233,0.00580619,0.00927004,0.0199153,0.00465834,0.010284,0.0117858,0.0100213,0.0122493,0.0182912,0.0366567,0.00514715,0.00580378,0.00383325,0.00576649,0.00638894,0,0,0,0,0.00113045,0
22,0,0,0,0,0,0,0.00230455,0.00675512,0,0,0,0.0200372,0.0291498,0,0,0.00542284,0,0.024515,0.00187386,0.0492992,0.174645,0.00301773,0.0225074,0.00280176,0.0110949,0.0190565,0.0189091,0.0346073,0.0145998,0.017677,0.0140532,0.0213215,0.167927,0.00668543,0.0154534,0.00812997,0.0155637,0.0135964,0.00663368,0,0,0.00441142,0,0.0126198,0.00356312,0.0375169,0.0441821,0.0210797,0.0120055,0.016101,0.00583632,0.00967228,0.0196026,0.00510787,0.0107253,0.01236,0.00968543,0.012878,0.0189178,0.0374292,0.00517586,0.0058221,0.00386726,0.00578971,0.00645605,0,0,0,0,0.00100737,0
23,0,0,0,0,0,0,0.00225876,0.00661681,0,0,0,0.0200888,0.0283874,0,0,0.0054246,0,0.0244476,0.001905,0.0493297,0.175033,0.00286895,0.0223367,0.00291641,0.0104999,0.0179554,0.018189,0.0349462,0.0140355,0.017079,0.013521,0.0214142,0.168867,0.00409832,0.015451,0.0081086,0.0155947,0.0145938,0.00661028,0,0,0.00453592,0,0.0126532,0.00360566,0.0373524,0.0458603,0.0214921,0.0123693,0.0161557,0.0058257,0.0101451,0.0194058,0.00580263,0.0112332,0.0130622,0.00931692,0.0135582,0.0196604,0.0385244,0.00517918,0.00573527,0.00384026,0.00574413,0.00638694,0,0,0,0,0.0010583,0
24,0,0,0,0,0,0,0.00213926,0.00635834,0,0,0,0.0201715,0.0287376,0,0,0.00548382,0,0.0244023,0.00191703,0.0493221,0.173941,0.00305859,0.0216839,0.00293909,0.00933541,0.0162322,0.0167665,0.0350483,0.0129997,0.0160151,0.012459,0.0209759,0.17033,0.00357466,0.0154842,0.00861553,0.0156121,0.0153586,0.00645611,0,0,0.00459092,0,0.012692,0.00360405,0.0372255,0.0471978,0.0220489,0.0126603,0.0162275,0.00571731,0.010559,0.0193661,0.00632934,0.0115416,0.0136809,0.00887491,0.0141727,0.0202687,0.0396246,0.00512256,0.00553562,0.0037319,0.00560685,0.00620695,0,0,0,0,0.00116222,0
25,0,0,0,0,0,0,0.0019827,0.00606753,0,0,0,0.0202433,0.0292596,0,0,0.00554531,0,0.0243551,0.00190149,0.0492808,0.171589,0.00317819,0.0207382,0.00288446,0.00775795,0.0139522,0.01457,0.0347322,0.0116911,0.0148011,0.010931,0.0203488,0.171286,0.00359366,0.0155488,0.00932657,0.0155511,0.0162524,0.00629113,0,0,0.00454239,0,0.0126365,0.00360672,0.0371932,0.0486136,0.0227704,0.0129759,0.0163425,0.00558236,0.0109986,0.0194675,0.0068693,0.0119062,0.0143485,0.00837676,0.0147959,0.0209262,0.0405069,0.00514785,0.00550064,0.0036936,0.00537946,0.00597583,0,0,0,0,0.00128353,0
26,0,0,0,0,0,0,0.00178137,0.00566138,0,0,0,0.0202617,0.0308444,0,0,0.00553523,0,0.024368,0.00184792,0.0492949,0.166631,0.00362407,0.0194519,0.00282583,0.00586213,0.0112803,0.0118053,0.0340255,0.0104216,0.0135069,0.00891161,0.0193209,0.172038,0.00357141,0.015563,0.00994708,0.0156415,0.0171675,0.00597065,0,0,0.00390994,0,0.0127961,0.0034356,0.0370121,0.0499391,0.0236458,0.0132271,0.0164434,0.00519496,0.0114176,0.0197514,0.00748904,0.012341,0.0150299,0.0079272,0.0154739,0.0215402,0.0413456,0.00498987,0.00520638,0.00370383,0.00511724,0.00573229,0,0,0,0,0.0013324,0
27,0,0,0,0,0,0,0.00170627,0.00514585,0,0,0,0.0202203,0.0327249,0,0,0.00551522,0,0.0243846,0.00193784,0.0491629,0.161181,0.00289584,0.0180635,0.0028026,0.00410855,0.00752222,0.00824385,0.033027,0.00975046,0.0125595,0.00701822,0.0187826,0.171763,0.00348078,0.0155264,0.0106159,0.0156593,0.0182284,0.00586753,0,0,0.00415588,0,0.0128196,0.00348203,0.0365833,0.0514382,0.0246603,0.0135652,0.0166924,0.00528601,0.0117915,0.0203181,0.00836171,0.0128089,0.0158566,0.00754516,0.0163132,0.0222666,0.0425724,0.0051655,0.00518783,0.00369504,0.0046542,0.00550028,0,0,0,0,0.00128457,0
28,0,0,0,0,0,0,0.00166335,0.00461646,0,0,0,0.0202195,0.0362219,0,0,0.00546019,0,0.0244081,0.00202804,0.0491106,0.157583,0.00251914,0.0166955,0.00282496,0.00359007,0.00394825,0.00498291,0.0320942,0.010346,0.0129303,0.00560805,0.0184294,0.171195,0.00338407,0.0154949,0.0114359,0.015646,0.0191959,0.00577532,0,0,0.00442356,0,0.01277,0.00351914,0.0363156,0.0527065,0.0256694,0.0137556,0.0168357,0.00540156,0.0120439,0.0209692,0.00902515,0.0131798,0.0166225,0.00723743,0.0170587,0.022835,0.0436602,0.0053578,0.00517314,0.00369423,0.00412513,0.00526003,0,0,0,0,0.00119327,0
