Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LANK,x73,LILC
28,0,0,0,0,0,0,0.00167644,0.00685874,0,0,0,0.104983,0.0187929,0,0,0.00304568,0,0.0243693,0.00133652,0.047259,0.080899,0.0115365,0.0129963,0.00422964,0.019916,0.0224125,0.0152403,0.033237,0.00850622,0.0069568,0.00776003,0.0171422,0.126151,0.00304924,0.0164861,0.00963381,0.0154024,0.00766546,0.00352158,0,0,0.00403599,0,0.0129503,0.00244877,0.0393827,0.0263096,0.020032,0.0138251,0.0143934,0.00525346,0.00510869,0.0229811,0.0032606,0.00546669,0.00779127,0.0170594,0.00657006,0.0138294,0.0282149,0.00373432,0.0014323,0.00167247,0.00796866,0.00297561,0,0,0,0.0137348,0,0
29,0,0,0,0,0,0,0.00176307,0.00701762,0,0,0,0.103933,0.018747,0,0,0.00274846,0,0.0243007,0.00122646,0.047273,0.0807319,0.0109378,0.0129383,0.00402943,0.019289,0.0217205,0.0146679,0.0334094,0.00888857,0.00690529,0.00757553,0.0176713,0.127683,0.00377211,0.0164652,0.00921759,0.0153878,0.00748848,0.00357006,0,0,0.00427287,0,0.0129711,0.00239932,0.0392222,0.0259609,0.0200385,0.0137936,0.0142757,0.00532627,0.00546256,0.0229302,0.00360834,0.00594467,0.00770203,0.0169443,0.006942,0.0137146,0.028424,0.0037101,0.00144128,0.00165567,0.00791746,0.00301368,0,0,0,0.0127879,0,0
30,0,0,0,0,0,0,0.00179802,0.00706614,0,0,0,0.102708,0.0187755,0,0,0.00268068,0,0.0242436,0.00111173,0.0474049,0.0804351,0.0100251,0.0132064,0.00378797,0.0183438,0.020463,0.0139773,0.0336582,0.00912839,0.00693121,0.00724273,0.0181703,0.129158,0.00363826,0.0164775,0.00865822,0.0154269,0.00743765,0.00359976,0,0,0.00455058,0,0.0130719,0.00238082,0.0390401,0.025872,0.0200164,0.0138442,0.0142059,0.00533761,0.00573677,0.0227174,0.00378064,0.00628907,0.00759694,0.0167526,0.00710018,0.013598,0.0289408,0.00373067,0.00132123,0.00155231,0.00792281,0.00320933,0,0,0,0.0116877,0,0
31,0,0,0,0,0,0,0.00176249,0.00711884,0,0,0,0.101526,0.018769,0,0,0.00238581,0,0.0242131,0.00109886,0.0475638,0.0797281,0.0091192,0.0136464,0.00350723,0.017207,0.0189725,0.0130139,0.0337115,0.00927369,0.00702373,0.00673496,0.018589,0.130465,0.00341222,0.0164707,0.00796785,0.0154625,0.00762087,0.0036364,0,0,0.00475493,0,0.0131417,0.00249803,0.0389213,0.0258037,0.0199508,0.0138876,0.0141675,0.00533513,0.00595163,0.022585,0.0037099,0.00660506,0.00749091,0.0166199,0.00712362,0.013428,0.0296922,0.003807,0.00120315,0.00149302,0.00804605,0.00343005,0,0,0,0.01056,0,0
32,0,0,0,0,0,0,0.00173741,0.00711212,0,0,0,0.100605,0.0187547,0,0,0.00200659,0,0.024099,0.00116445,0.0477412,0.0784849,0.00823268,0.014211,0.00319889,0.015792,0.017231,0.0116218,0.0334627,0.00931302,0.00710797,0.00619315,0.0188572,0.13136,0.00354685,0.0164516,0.0071745,0.0154634,0.00777813,0.00371542,0,0,0.00476877,0,0.0131345,0.00249999,0.0387799,0.0260105,0.0199087,0.0137394,0.0142058,0.00535649,0.00614193,0.0224412,0.00351522,0.00685033,0.00748268,0.0163618,0.0072522,0.013386,0.0305154,0.00391997,0.00117245,0.00145462,0.00816532,0.00371701,0,0,0,0.00952329,0,0
33,0,0,0,0,0,0,0.00175206,0.00698742,0,0,0,0.100243,0.0187393,0,0,0.00233106,0,0.0239542,0.00120419,0.04792,0.07657,0.00724056,0.0148503,0.00292074,0.0140527,0.0151836,0.00979206,0.0330464,0.00917903,0.00711614,0.00570518,0.018995,0.131593,0.00369262,0.0164075,0.00632234,0.0154744,0.00793649,0.0037859,0,0,0.00475714,0,0.0131455,0.0024182,0.0386115,0.0264282,0.0199393,0.0139442,0.0142402,0.00536748,0.00626174,0.0222288,0.00349146,0.00702966,0.00761583,0.0160355,0.00746597,0.0135207,0.0315519,0.00401444,0.00106919,0.00139848,0.00820143,0.00405181,0,0,0,0.00850685,0,0
34,0,0,0,0,0,0,0.00177632,0.00684365,0,0,0,0.100463,0.0187021,0,0,0.00215767,0,0.0238922,0.00109037,0.0481343,0.0740855,0.0061371,0.0154923,0.00283314,0.0119845,0.0127663,0.00751346,0.032658,0.00904549,0.00729129,0.00540387,0.019112,0.131106,0.00359298,0.0163707,0.00565311,0.0155117,0.00821925,0.0038422,0,0,0.00478695,0,0.0131906,0.00230756,0.038476,0.0271649,0.0199905,0.0141894,0.01421,0.00532994,0.00633838,0.0219606,0.00347876,0.00715051,0.00790178,0.0156495,0.00773592,0.0138562,0.0326457,0.00413471,0.000941957,0.00146224,0.00813366,0.0043803,0,0,0,0.00757422,0,0
35,0,0,0,0,0,0,0.00173695,0.00676515,0,0,0,0.100895,0.0186991,0,0,0.00214105,0,0.0238111,0.000950774,0.0483436,0.0715124,0.00479607,0.0161753,0.00278981,0.00958899,0.0100419,0.00499777,0.0324083,0.00898822,0.00766737,0.00554138,0.0194259,0.130108,0.00348165,0.0164077,0.00476014,0.015682,0.00865793,0.00386762,0,0,0.00435281,0,0.013369,0.00186058,0.0384669,0.0281522,0.0200207,0.0141809,0.0141783,0.00509815,0.00640278,0.0217517,0.00328952,0.00719037,0.00823048,0.0151986,0.0080892,0.0143145,0.0336907,0.00397484,0.000642453,0.00158334,0.00797593,0.00457944,0,0,0,0.00684476,0,0
36,0,0,0,0,0,0,0.00175679,0.00667639,0,0,0,0.101172,0.018791,0,0,0.00163522,0,0.0237153,0.000754938,0.0485464,0.0688445,0.00386457,0.0167457,0.00270813,0.00718747,0.0074956,0.00279636,0.0323962,0.00914644,0.00837132,0.00622435,0.0199416,0.129084,0.00323889,0.0165033,0.00460711,0.0157123,0.00907192,0.00403113,0,0,0.00460342,0,0.0134305,0.00199649,0.0385861,0.0292523,0.0201315,0.0140953,0.0140733,0.00508433,0.00645169,0.0216239,0.00298947,0.00720335,0.00853411,0.0147681,0.00844582,0.0147337,0.0345097,0.00415136,0.000573918,0.0015257,0.00777372,0.00476998,0,0,0,0.0070699,0,0
37,0,0,0,0,0,0,0.0018192,0.00657241,0,0,0,0.101248,0.0188215,0,0,0.00131336,0,0.023621,0.000602586,0.0487405,0.0663246,0.00312055,0.0173604,0.00266567,0.00484939,0.00587327,0.00346457,0.0327625,0.00967101,0.00940456,0.00753953,0.0208473,0.127968,0.00305223,0.0165328,0.00440596,0.015673,0.00959809,0.00424223,0,0,0.00467916,0,0.0134174,0.00201389,0.0387938,0.0306477,0.0202736,0.0141424,0.0140045,0.00500082,0.00644901,0.021435,0.00275372,0.00712283,0.00897112,0.0143224,0.00894585,0.0153037,0.0354024,0.00418234,0.00057183,0.00107781,0.00747311,0.00490054,0,0,0,0.00779013,0,0
