Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTHIA,RTHI,IMUR_M,RTHIA,RTHII
184,0.00907413,0.013633,0,0,0,0,0,0.0449656,0.0392296,0.0339248,0.012218,0,0,0.0145951,0,0.0146559,0.00505134,0.034841,0.0347481,0.0058912,0.0068034,0.0163564,0.0191649,0.00778373,0.00497539,0.0435847,0.0169401,0.0233557,0.020409,0.0286197,0.0462747,0.0108462,0.0132482,0.00632351,0.0104788,0.0215952,0.013986,0.0130448,0.00888716,0,0,0.0339886,0,0.014184,0.0124998,0.035749,0.0164361,0.0148458,0.0208159,0.0100083,0.0111245,0.00962157,0.0141821,0.0186106,0.0138584,0.0146549,0.00901405,0.016633,0.00558852,0.00527193,0.0129337,0.00583752,0,0,0,0,0,0,0,0,0,0.00923622,0.0108515,0,0.0264555,0
185,0.00865084,0.0132079,0,0,0,0,0,0.0453668,0.0391555,0.0340357,0.0121464,0,0,0.0141714,0,0.0145896,0.00487919,0.0346492,0.0356047,0.00570145,0.00651062,0.0161157,0.018616,0.00766871,0.00470232,0.0435732,0.0168827,0.0232664,0.020328,0.0286542,0.0470723,0.0105467,0.0131541,0.00624568,0.0105385,0.0215386,0.0129925,0.0130238,0.00833463,0,0,0.033972,0,0.0141482,0.0124192,0.0359446,0.0172064,0.0152944,0.0199539,0.00971409,0.0110598,0.00902585,0.0142348,0.019424,0.0128734,0.0150952,0.0104765,0.0165769,0.00561972,0.00548001,0.0124396,0.00532437,0,0,0,0,0,0,0,0,0,0.00878405,0.0102569,0,0.0261686,0
186,0.00822641,0.0127545,0,0,0,0,0,0.0460815,0.0390981,0.0345157,0.0120607,0,0,0.0136862,0,0.0145063,0.00462804,0.0345085,0.0338053,0.00556739,0.00637053,0.0159192,0.0180336,0.00762711,0.00459418,0.0435706,0.0168246,0.0232616,0.0203358,0.0285487,0.0480109,0.0102172,0.0130593,0.00618696,0.0104201,0.0214638,0.0121733,0.0130265,0.00770038,0,0,0.033951,0,0.0140927,0.0123665,0.0360608,0.019193,0.0157577,0.0190825,0.00947509,0.0110042,0.0080508,0.0143843,0.0204291,0.0119026,0.0157508,0.0121948,0.0164703,0.00565307,0.00558563,0.0119381,0.0049265,0,0,0,0,0,0,0,0,0,0.00842943,0.00924101,0,0.0258349,0
187,0.00781611,0.0121832,0,0,0,0,0,0.0469416,0.0389589,0.0346567,0.0121494,0,0,0.0130091,0,0.0143804,0.00424927,0.0344171,0.0324998,0.00532138,0.00629645,0.0156809,0.0173671,0.00749122,0.00450234,0.0435606,0.0167818,0.0233131,0.0203546,0.0284561,0.0489261,0.00988061,0.012906,0.00607567,0.0104505,0.021369,0.0113688,0.0131911,0.00711662,0,0,0.0337822,0,0.0140383,0.0119697,0.0361105,0.0216607,0.0162571,0.0181785,0.00932167,0.0109633,0.00681691,0.0144638,0.0216531,0.0107891,0.0160855,0.0144389,0.0163704,0.005878,0.00554676,0.0113597,0.00439154,0,0,0,0,0,0,0,0,0,0.00821352,0.00792955,0,0.0255044,0
188,0.00731596,0.0116407,0,0,0,0,0,0.0476468,0.0388153,0.0347786,0.0120825,0,0,0.0122996,0,0.0142173,0.0039359,0.0343806,0.0320689,0.00532972,0.00631685,0.0153476,0.0165577,0.00737781,0.00448782,0.0433947,0.0167305,0.023343,0.0202647,0.0283607,0.0494619,0.00950352,0.0127514,0.00603787,0.0108834,0.0212954,0.0110447,0.0133034,0.00652653,0,0,0.0337152,0,0.0139955,0.0115822,0.0360904,0.0241146,0.016823,0.0171057,0.00934105,0.0108037,0.00557142,0.0143715,0.0231812,0.009461,0.0162001,0.0173957,0.0164686,0.0061996,0.00557131,0.0107917,0.00391667,0,0,0,0,0,0,0,0,0,0.00805496,0.00649703,0,0.0252224,0
189,0.00685369,0.011166,0,0,0,0,0,0.0483165,0.0386438,0.0348047,0.01207,0,0,0.011629,0,0.0140116,0.00369412,0.0343452,0.0319315,0.00531496,0.00642194,0.0150226,0.015799,0.00724243,0.00454778,0.0432122,0.0166558,0.0233938,0.0201682,0.0282529,0.0498739,0.00909715,0.012571,0.00589987,0.0115181,0.0212142,0.0111716,0.013487,0.0060203,0,0,0.0335304,0,0.0139601,0.0112473,0.0360687,0.0265942,0.0175022,0.0159215,0.00940203,0.0106581,0.00442159,0.0143312,0.0251419,0.00816003,0.0164524,0.0205386,0.0163059,0.00642024,0.00560674,0.0102465,0.00343174,0,0,0,0,0,0,0,0,0,0.00792438,0.00501594,0,0.025075,0
190,0.00638339,0.0106559,0,0,0,0,0,0.0489783,0.038439,0.034681,0.0121224,0,0,0.010876,0,0.0137712,0.00343809,0.0343094,0.0319031,0.00521237,0.00646547,0.014633,0.0150077,0.00707075,0.00458179,0.0430999,0.0166377,0.0234483,0.0201402,0.0281207,0.0504323,0.00871095,0.01237,0.00567379,0.0120951,0.0211436,0.0113232,0.013679,0.00563086,0,0,0.0332471,0,0.013941,0.0109442,0.0360549,0.0287066,0.0184082,0.0146487,0.00948943,0.0105392,0.00389756,0.0146067,0.0277163,0.0076143,0.0171094,0.0229247,0.0160883,0.0064551,0.00566943,0.00966165,0.00299362,0,0,0,0,0,0,0,0,0,0.00793737,0.00355701,0,0.0252194,0
191,0.0059861,0.0101118,0,0,0,0,0,0.0495881,0.0381902,0.0348639,0.0122317,0,0,0.0101323,0,0.0135384,0.00326176,0.0342113,0.0314535,0.0050904,0.00658889,0.0141934,0.0142857,0.00692646,0.00457596,0.0429691,0.0166507,0.0235211,0.0201,0.0280291,0.0510494,0.00846928,0.0121454,0.00540466,0.0123357,0.0210678,0.0114036,0.0139474,0.00531184,0,0,0.0329972,0,0.013913,0.0106833,0.0360825,0.029371,0.0194658,0.0131892,0.00962181,0.0104592,0.00471163,0.0150207,0.0307799,0.00834847,0.0178388,0.0240252,0.015918,0.00634049,0.00574659,0.00905442,0.0026975,0,0,0,0,0,0,0,0,0,0.00801129,0.00311086,0,0.0255618,0
192,0.00568117,0.00952969,0,0,0,0,0,0.0502568,0.0379569,0.0350936,0.0123282,0,0,0.00949916,0,0.0133166,0.00323535,0.034108,0.0307062,0.00491239,0.00669982,0.0137977,0.0136531,0.00683504,0.00459468,0.0428551,0.0165791,0.0235874,0.0200374,0.0279177,0.051723,0.00832449,0.0119314,0.0051561,0.0126798,0.0209883,0.0112742,0.0141645,0.00503683,0,0,0.0328162,0,0.0138815,0.0104573,0.036174,0.0277468,0.0207156,0.0105816,0.00984111,0.010409,0.00478357,0.0151772,0.0337816,0.0101479,0.0181069,0.0238173,0.015576,0.00637004,0.0058367,0.00846342,0.0026289,0,0,0,0,0,0,0,0,0,0.00811104,0.0037664,0,0.0259793,0
193,0.00549665,0.00895662,0,0,0,0,0,0.0509087,0.0377544,0.0351795,0.012434,0,0,0.00902309,0,0.0131162,0.00334467,0.0339491,0.0302531,0.00482412,0.0068548,0.0134292,0.0131032,0.0067867,0.00458905,0.042699,0.0165167,0.0235984,0.019983,0.0278375,0.0523919,0.00830331,0.0117473,0.00491991,0.0138369,0.0209124,0.01172,0.0144771,0.00488749,0,0,0.0325157,0,0.0138635,0.0103522,0.03625,0.0243949,0.0218248,0.007275,0.0101819,0.0104216,0.0053267,0.0158752,0.036468,0.0127025,0.0183756,0.0232296,0.015469,0.0064245,0.00597921,0.00790356,0.00274813,0,0,0,0,0,0,0,0,0,0.00819301,0.00416635,0,0.0262887,0
