Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,x75
21,0.00908136,0.00640691,0,0,0,0,0,0,0.0298601,0.033803,0.0197055,0.00869754,0,0,0.00905382,0,0.00985404,0.00757311,0.0330222,0.0176979,0.00418139,0.0056431,0.0148241,0.0113601,0.00810081,0.006397,0.00616962,0.0459918,0.0143849,0.0153728,0.0151448,0.0304543,0.0297044,0.00889879,0.0103986,0.0038164,0.0206167,0.0215101,0.0246605,0.00726816,0.00865847,0,0,0.0368825,0,0.0135926,0.0138737,0.0356024,0.0315811,0.0229863,0.0193626,0.0061907,0.0116763,0.00619916,0.0271432,0.0079988,0.0280169,0.044007,0.0229666,0.0334164,0.0169303,0.0167648,0.0124308,0.00784986,0.00640687,0.00736001,0,0,0,0,0,0,0,0,0,0
22,0.00910238,0.00665729,0,0,0,0,0,0,0.0292555,0.033801,0.019119,0.00875495,0,0,0.00894723,0,0.00981554,0.00738248,0.0330467,0.0174471,0.00398203,0.00530481,0.0153884,0.0115502,0.00835746,0.00651649,0.00610189,0.0462317,0.014093,0.0149436,0.0149806,0.0302422,0.0291412,0.0087906,0.0104275,0.00385242,0.020367,0.0215033,0.0241393,0.0070423,0.0087976,0,0,0.0370123,0,0.0136011,0.0139941,0.0350563,0.0312572,0.0235198,0.0182977,0.0064001,0.0117894,0.00565269,0.0271275,0.00744832,0.0276135,0.0434393,0.0225483,0.0332757,0.017514,0.0169613,0.0126561,0.00790775,0.00643305,0.0073455,0,0,0,0,0,0,0,0,0,0
23,0.00893824,0.00693844,0,0,0,0,0,0,0.0286214,0.0336957,0.0186455,0.00881393,0,0,0.00887335,0,0.00981276,0.00730109,0.0330897,0.0173663,0.00382733,0.00497913,0.0158645,0.011912,0.00887704,0.00666769,0.00605685,0.0464671,0.0138098,0.0145396,0.014795,0.0300696,0.0285293,0.00875007,0.0104153,0.00376324,0.0180602,0.0214524,0.0227233,0.00684753,0.00873085,0,0,0.0369512,0,0.0136099,0.0140422,0.0344732,0.0296211,0.0240777,0.0156609,0.00655204,0.0119168,0.00495153,0.0271663,0.0063056,0.0263316,0.0428542,0.0217281,0.0320195,0.0164232,0.0169303,0.0124893,0.00794131,0.00666985,0.00733375,0,0,0,0,0,0,0,0,0,0
24,0.00870527,0.00711154,0,0,0,0,0,0,0.0279753,0.0335384,0.018288,0.00880317,0,0,0.00879517,0,0.00975083,0.00720781,0.0330714,0.0172548,0.00376163,0.00465174,0.016338,0.0121243,0.00923517,0.00673574,0.00595888,0.0466577,0.0135468,0.0142761,0.0146512,0.0298867,0.02786,0.00871293,0.0103937,0.00369227,0.0154145,0.0214006,0.0210131,0.00672642,0.00859693,0,0,0.0366254,0,0.0135748,0.0140366,0.034035,0.0277235,0.0245796,0.0125918,0.0068433,0.0118971,0.00429347,0.0272234,0.00501385,0.0244685,0.0419806,0.0205279,0.0299017,0.0152175,0.0167238,0.0121362,0.00795329,0.0068383,0.00711043,0,0,0,0,0,0,0,0,0,0
25,0.00848016,0.00722177,0,0,0,0,0,0,0.0273978,0.0333953,0.0180529,0.0087135,0,0,0.00867899,0,0.0096373,0.00705405,0.0330351,0.0172059,0.0037528,0.00431851,0.0169716,0.0121674,0.00939513,0.00664934,0.00579207,0.0468399,0.0132527,0.0140202,0.0146005,0.0296929,0.0271633,0.00866292,0.0103912,0.00359831,0.0140825,0.021391,0.0193891,0.00651943,0.00852912,0,0,0.0363914,0,0.0135598,0.0140694,0.0336857,0.0259642,0.0250106,0.0101362,0.00731873,0.0118229,0.00378314,0.0271882,0.00394044,0.0226165,0.040927,0.0192746,0.0276614,0.0152504,0.0164924,0.0121848,0.00796939,0.00686081,0.00668036,0,0,0,0,0,0,0,0,0,0
26,0.0082466,0.00727908,0,0,0,0,0,0,0.0268077,0.0332851,0.0179682,0.00863831,0,0,0.00871624,0,0.00948496,0.00695482,0.0330818,0.0174298,0.00381825,0.00393132,0.0177201,0.0122114,0.00942434,0.00647107,0.00559164,0.0470556,0.0128927,0.0137371,0.014495,0.0295174,0.0264222,0.00878095,0.0104314,0.00355327,0.0138056,0.0213798,0.0182293,0.0062913,0.00844733,0,0,0.0361506,0,0.0135582,0.0141906,0.0333768,0.0253516,0.0254768,0.00855057,0.0078265,0.011686,0.00348473,0.0270954,0.00341569,0.0214862,0.0402497,0.0184429,0.0260347,0.0163722,0.0162569,0.0128035,0.00814339,0.00684229,0.00633207,0,0,0,0,0,0,0,0,0,0
27,0.00803816,0.00726557,0,0,0,0,0,0,0.0262024,0.0331795,0.0179369,0.00865966,0,0,0.00881858,0,0.00936526,0.00697837,0.0332779,0.0177696,0.00395149,0.00355776,0.018534,0.0122089,0.00940423,0.00628579,0.00540844,0.0472804,0.0125364,0.0133606,0.014427,0.0292862,0.0255286,0.00898051,0.0104656,0.00363866,0.0142512,0.0213688,0.0174488,0.00621025,0.00830704,0,0,0.0359509,0,0.0135567,0.01426,0.0334261,0.0264413,0.0260276,0.00717522,0.00831269,0.0115729,0.00326151,0.0270323,0.00337565,0.0210128,0.0403256,0.0180571,0.0249132,0.017343,0.0160718,0.0128244,0.00831986,0.00680483,0.00619218,0,0,0,0,0,0,0,0,0,0
28,0.00729213,0.00685704,0,0,0,0,0,0,0.0245396,0.0328858,0.0184061,0.00738146,0,0,0.00904605,0,0.00938123,0.00698174,0.0315591,0.0189946,0.00568108,0.0027432,0.0176289,0.0122266,0.00893604,0.0057112,0.00440078,0.0468379,0.0122637,0.0133039,0.0144115,0.0294549,0.0228227,0.00947041,0.0103614,0.0035632,0.0134488,0.0213655,0.0175621,0.00507321,0.00780947,0,0,0.0356496,0,0.0136286,0.0142264,0.0364492,0.0292947,0.0245815,0.00498528,0.0081091,0.0111867,0.00269354,0.0269762,0.00276532,0.0208956,0.0414163,0.0181078,0.0241448,0.0170146,0.0156106,0.0127665,0.00843471,0.00633246,0.00567314,0,0,0,0,0,0,0,0,0,0
29,0.00707438,0.00683442,0,0,0,0,0,0,0.0239101,0.0327937,0.0186232,0.00769357,0,0,0.00910952,0,0.00945445,0.00691475,0.0318299,0.0194419,0.00571883,0.00244195,0.0179488,0.0122624,0.00886592,0.00544787,0.00416372,0.0468493,0.0118478,0.0129807,0.0142398,0.0291877,0.0214406,0.00964621,0.0102452,0.00358339,0.015189,0.0213642,0.0174878,0.00537391,0.0077733,0,0,0.0354782,0,0.0136242,0.0141141,0.0365758,0.0307578,0.0249022,0.00506678,0.00817089,0.011203,0.0019994,0.0269021,0.00421526,0.0201743,0.0415445,0.0177211,0.0231939,0.0176108,0.0153748,0.0127439,0.00835649,0.00628473,0.00557855,0,0,0,0,0,0,0,0,0,0
30,0.00670225,0.00689488,0,0,0,0,0,0,0.0233658,0.0326417,0.0189913,0.00800075,0,0,0.00907236,0,0.00951258,0.00677016,0.0319145,0.0199398,0.00586596,0.00218826,0.018109,0.0125853,0.00869446,0.00507605,0.00380047,0.0467143,0.0114011,0.0127377,0.0141194,0.0289006,0.0198419,0.00994749,0.0101691,0.00356115,0.016923,0.0213303,0.0179408,0.00598258,0.00771642,0,0,0.0351911,0,0.0136296,0.0140406,0.0363708,0.0322068,0.0249083,0.00613965,0.008422,0.011218,0.00243638,0.026629,0.00524121,0.0197399,0.0411514,0.017482,0.0230551,0.0182447,0.0150836,0.0131058,0.00827813,0.0063704,0.00528469,0,0,0,0,0,0,0,0,0,0
