Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x76,,x78,x82,x83,x84
103,0.00290971,0.00177809,0,0,0,0,0,0,0.0222684,0.0288919,0.0141752,0.00319957,0,0,0.00285968,0,0.0131263,0.00179097,0.0385677,0.0222351,0.0189461,0.0196485,0.00591868,0.00332793,0.0165363,0,0.0159448,0.0341565,0.0173507,0.0166325,0.0143788,0.040753,0.020502,0.00438997,0.0114472,0.00245492,0.00813346,0.0221036,0.0119627,0.00549036,0.00304875,0,0,0.00317098,0,0.0160316,0.00250956,0.04017,0.0196351,0.0180661,0.0115287,0.0035134,0.00326753,0.00533245,0.0194085,0.00434277,0.00582998,0.00828225,0.0258677,0.00505325,0.0104025,0.00367299,0.00276953,0.00122633,0.0017641,0.00251507,0.00333047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.00218725,0.00130896,0,0,0,0,0,0,0.020109,0.0293908,0.0138494,0.00339359,0,0,0.00374288,0,0.0117545,0.00225304,0.0391447,0.0226332,0.0190041,0.0161449,0.00601496,0.00226349,0.0127134,0.0161944,0.0102157,0.0339404,0.016527,0.015686,0.0145361,0.0401952,0.0179049,0.00184089,0.0121439,0.00278986,0.00848194,0.0220512,0.0125823,0.00557122,0.00182528,0,0,0.00533901,0,0.0161872,0.00334313,0.0401216,0.0200203,0.0178029,0.0111179,0.00356921,0.00302007,0.00546685,0.019008,0.00369182,0.00546509,0.00844536,0.0250481,0.00564795,0.0104418,0.00509706,0.00336038,0.00164915,0.00157054,0.00166906,0.00207085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.00314768,0.00229,0,0,0,0,0,0,0.0209523,0.0287487,0.0161475,0.00373328,0,0,0.00312099,0,0.0132073,0.00195081,0.0396743,0.0240337,0.0190643,0.0170685,0.00633222,0.00214324,0.0107952,0.0149056,0.00748991,0.0344737,0.0173862,0.0157258,0.0148321,0.0403536,0.0185829,0.00373002,0.0114214,0.00256688,0.00880396,0.0221357,0.0128521,0.00577962,0.00289833,0,0,0.00565998,0,0.0161579,0.00363865,0.0401713,0.0198465,0.0177657,0.0106056,0.00335173,0.00429683,0.00540173,0.018621,0.00283372,0.00485516,0.00851437,0.0242284,0.0061,0.0102113,0.00717829,0.00346873,0.00232887,0.00134717,0.00327896,0.00353494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.00321753,0.00246956,0,0,0,0,0,0,0.0211411,0.0287268,0.0171882,0.00412398,0,0,0.00311863,0,0.0132331,0.00196071,0.0402104,0.0253536,0.0188969,0.0174443,0.00638447,0.00169882,0.00974174,0.0134396,0.00581017,0.0354153,0.0175762,0.0154687,0.0149574,0.0405563,0.0187995,0.00304379,0.0114231,0.00243952,0.00949118,0.0220916,0.0131532,0.00604587,0.00276204,0,0,0.00590222,0,0.0161765,0.00395,0.0402679,0.0194669,0.0176137,0.0101703,0.0034693,0.00452299,0.00519093,0.018001,0.00194647,0.00432519,0.00872953,0.023348,0.00668444,0.0103321,0.0089087,0.00347299,0.00266441,0.00134311,0.00347509,0.00348778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.00332011,0.00265846,0,0,0,0,0,0,0.0212075,0.0287121,0.0166927,0.00421759,0,0,0.00314997,0,0.0132496,0.00201843,0.0406117,0.0261992,0.0185988,0.0160826,0.00635686,0.00124966,0.00917142,0.0121264,0.00500273,0.0360888,0.0169585,0.0151287,0.015095,0.0406484,0.0191933,0.00268354,0.0114197,0.0023803,0.0102311,0.022046,0.0133435,0.00623778,0.00269702,0,0,0.00600553,0,0.0161749,0.00413851,0.0403673,0.0187256,0.0173915,0.00976962,0.00353113,0.00473573,0.00478688,0.0174072,0.000961237,0.00378273,0.00904862,0.0223899,0.00731359,0.0104874,0.0107729,0.00344705,0.00296856,0.00137225,0.00363523,0.00338439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.00336865,0.00292768,0,0,0,0,0,0,0.0207308,0.0287435,0.015468,0.0041958,0,0,0.00332348,0,0.0132496,0.0022029,0.0407889,0.0263263,0.0182186,0.0135335,0.00628132,0.00106513,0.00835257,0.0108174,0.00474495,0.0360903,0.0159714,0.0146974,0.0151306,0.0405944,0.0195137,0.00263425,0.0114521,0.00230991,0.010852,0.0220427,0.0134196,0.0063563,0.0026018,0,0,0.00614685,0,0.0161859,0.00423223,0.040384,0.0176447,0.0170793,0.0093463,0.00344008,0.00498496,0.00430938,0.0169835,0.000668796,0.00315753,0.0095333,0.0212966,0.00799173,0.0106981,0.0129619,0.00354502,0.00317657,0.00137653,0.00397865,0.00331883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.00329699,0.00325496,0,0,0,0,0,0,0.0195473,0.0288382,0.01463,0.00403172,0,0,0.00364011,0,0.0132939,0.00249039,0.0407004,0.0255422,0.0179972,0.0112173,0.00608873,0.00133569,0.00742797,0.00974513,0.00481546,0.035428,0.0149676,0.0143284,0.0147483,0.0404436,0.0197668,0.00277659,0.0114752,0.00217913,0.0117484,0.0220215,0.0132963,0.0063888,0.00248535,0,0,0.00640249,0,0.0161934,0.00434311,0.0404183,0.0161965,0.0166661,0.00886126,0.00345096,0.00528604,0.00383173,0.016777,0.00212974,0.00249711,0.0102384,0.0200567,0.00877985,0.0110253,0.015032,0.00373306,0.00325823,0.00141756,0.00453575,0.00347979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.00273486,0.00354587,0,0,0,0,0,0,0.0183865,0.0290949,0.0144642,0.00388098,0,0,0.0039483,0,0.0132597,0.00267753,0.0403676,0.0241763,0.0178936,0.00972083,0.00578541,0.00185547,0.00707725,0.00940649,0.00513242,0.0345262,0.014039,0.0139333,0.0139291,0.0402367,0.0201287,0.00311161,0.0115389,0.00205379,0.0145059,0.0219403,0.0131713,0.00632171,0.00211073,0,0,0.00592822,0,0.0161835,0.00432192,0.0405096,0.0143666,0.0161926,0.00852052,0.00353558,0.00539191,0.00335798,0.0167547,0.00412178,0.00216388,0.0111025,0.0187259,0.00972058,0.0115323,0.0156246,0.00373977,0.00297243,0.00155175,0.00502583,0.0030059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0.00247154,0.00417983,0,0,0,0,0,0,0.0193085,0.0293418,0.0147192,0.00412059,0,0,0.00466253,0,0.0132743,0.00308017,0.0396271,0.0242424,0.0176551,0.0105526,0.00535795,0.00255509,0.00826594,0,0.00665874,0.033627,0.0141823,0.0143534,0.0136718,0.0399627,0.0216687,0.00366043,0.0116201,0.00192556,0.0150825,0.0219492,0.0132851,0.00603499,0.00194116,0,0,0.00588003,0,0.0161984,0.00435567,0.0402788,0.0136719,0.0156087,0.00815553,0.00377192,0.00563709,0.0023234,0.0174694,0.00567344,0.00264652,0.0121221,0.0176844,0.0107902,0.0125499,0.0166383,0.00368478,0.00313852,0.00157981,0.00584682,0.0025857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.00241623,0.00485356,0,0,0,0,0,0,0.0168248,0.0295165,0.0132767,0.00459653,0,0,0.00558509,0,0.0132256,0.00356624,0.0393663,0.0221786,0.0173099,0.00805358,0.00486036,0.00342775,0.00762282,0.010319,0.00578003,0.033434,0.0123174,0.0129558,0.0124509,0.0387517,0.0193089,0.00429409,0.011746,0.00182862,0.0148149,0.0220077,0.0134923,0.00565135,0.00183032,0,0,0.00579517,0,0.0162527,0.00438389,0.0401835,0.013376,0.0150883,0.00778617,0.00406846,0.00591685,0.00202788,0.0182322,0.00760712,0.00412815,0.0130289,0.0166116,0.011934,0.013456,0.0179376,0.00357746,0.00351574,0.0015843,0.0067813,0.00231486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
