Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LHEE,IMUR_M,RTHII,,RTHIA,LTHIA
271,0.00455002,0.00310334,0,0,0,0,0,0.0123911,0.0322462,0.0225645,0.00711155,0,0,0.00689493,0,0.0143057,0.00510384,0.040195,0.0160886,0.0227947,0.00739435,0.00313661,0.0104142,0.0100599,0.0421093,0.0222785,0.0173687,0.017769,0.0394536,0.00780502,0.00724499,0.0119303,0.00393295,0.0060257,0.0247402,0.00322541,0.00320809,0.00155601,0,0,0.0107321,0,0.0167577,0.00574832,0.0390254,0.00924668,0.0219649,0.00736482,0.00251809,0.00423209,0,0.00479122,0.00575179,0.0336149,0.00526387,0.00601386,0.00882051,0.00653256,0.0051049,0.00247323,0.0032117,0.00339452,0,0,0,0,0,0,0,0,0.0307765,0,0.00546929,0,0.0213156,0.0113745
272,0.00917216,0.00383979,0,0,0,0,0,0.0125289,0.0327969,0.0211676,0.00673464,0,0,0.00095679,0,0.0130197,0.00142371,0.0389522,0.0167035,0.0223582,0.00756576,0.00514898,0.0114086,0.0117652,0.0413184,0.0204382,0.0151813,0.0162349,0.0398803,0.00644121,0.0027142,0.0126549,0.00284928,0.00550109,0.0250702,0.00350537,0.00332746,0.00947465,0,0,0.00354451,0,0.0179684,0.00240565,0.0391374,0.0104833,0.021277,0.0073873,0.00292599,0.00887587,0,0.00452671,0.0056798,0.0330639,0.00490659,0.00614619,0.00831311,0.00296021,0.00393144,0.00503608,0.00648807,0.00900023,0,0,0,0,0,0,0,0,0.028178,0,0.00524484,0,0.02124,0.0133727
273,0.00553622,0.00249015,0,0,0,0,0,0.0103431,0.032127,0.0204561,0.00648814,0,0,0.00708607,0,0.0142246,0.00500328,0.0380172,0.0172496,0.021345,0.00791644,0.00438408,0.0125765,0.0133486,0.0404557,0.0185889,0.01337,0.0149755,0.0399287,0.00474782,0.00756294,0.0118442,0.00376895,0.00413004,0.0247822,0.00393925,0.00338072,0.00371304,0,0,0.00483997,0,0.0171519,0.00400103,0.0393484,0.011758,0.0209131,0.00742587,0.00285495,0.00455551,0,0.00408308,0.00576211,0.0320924,0.00467179,0.00669248,0.00703553,0.00459927,0.00396651,0.00330869,0.00284078,0.00371553,0,0,0,0,0,0,0,0,0.0254635,0,0.00499175,0,0.021045,0.0153727
274,0.00575045,0.00256582,0,0,0,0,0,0.00900325,0.0320584,0.0201844,0.00601806,0,0,0.00709795,0,0.0141956,0.00487911,0.0374056,0.0176208,0.0205024,0.00792259,0.00422322,0.0139891,0.0150778,0.0396999,0.0170818,0.0117788,0.0141253,0.0399436,0.00565693,0.00745205,0.0118774,0.00375376,0.00277747,0.0246964,0.00388931,0.0033853,0.00450631,0,0,0.00375518,0,0.01715,0.00358797,0.0395017,0.0122981,0.0203917,0.00752622,0.00253858,0.00467121,0,0.00315009,0.00568309,0.0313595,0.00453785,0.00679524,0.00584479,0.00438426,0.00375948,0.00336766,0.00284162,0.00409821,0,0,0,0,0,0,0,0,0.024096,0,0.00440947,0,0.0210614,0.0176691
275,0.0057877,0.002561,0,0,0,0,0,0.00901312,0.0319949,0.0187272,0.00571358,0,0,0.00713506,0,0.0141799,0.00477449,0.0372441,0.0177831,0.0189179,0.007951,0.00416344,0.0145664,0.0155897,0.038942,0.0162207,0.0113621,0.0138749,0.0396803,0.00585179,0.0074522,0.0118485,0.00372058,0.00261701,0.0246305,0.00379478,0.00338844,0.00462367,0,0,0.0033051,0,0.0171333,0.00321611,0.0395653,0.0122969,0.0199893,0.0076285,0.00217108,0.00481504,0,0.00228847,0.00533276,0.0308915,0.00412642,0.00633924,0.00491772,0.00435931,0.00352222,0.00313397,0.00266343,0.00421329,0,0,0,0,0,0,0,0,0.0244061,0,0.0042523,0,0.0210274,0.0188261
276,0.00651521,0.00269568,0,0,0,0,0,0.0109683,0.031884,0.0172369,0.00409102,0,0,0.00711814,0,0.0141573,0.00455903,0.0381056,0.017281,0.0181393,0.00681333,0.00422484,0.0141203,0.0147857,0.0387187,0.0169348,0.0125406,0.0140342,0.0391489,0.00611216,0.00733198,0.0118002,0.00360797,0.0154705,0.0245896,0.00718942,0.00556679,0.00558967,0,0,0.00201897,0,0.0171904,0.00256466,0.0362953,0.0199533,0.0222627,0.010984,0.00332622,0.00551301,0,0.00352945,0.00492738,0.0306414,0.00289851,0.0092817,0.0226404,0.00410241,0.00318446,0.00307771,0.00246917,0.00524394,0,0,0,0,0,0,0,0,0.0249633,0,0.0123657,0,0,0.0186105
277,0.00657344,0.00280646,0,0,0,0,0,0.0138426,0.031817,0.0171224,0.0040553,0,0,0.0072357,0,0.014151,0.00442775,0.0387532,0.0174273,0.0189288,0.00692259,0.00436293,0.0126003,0.0127943,0.0383146,0.0188105,0.013997,0.014345,0.0393584,0.00897023,0.00747356,0.0117368,0.00354333,0.0157264,0.0245402,0.00752634,0.00545643,0.00616541,0,0,0.000878182,0,0.0172593,0.00204837,0.0361924,0.0203331,0.0220695,0.0109724,0.00302045,0.00594262,0,0.00393724,0.00492507,0.0306003,0.00332428,0.00897032,0.0231895,0.00396065,0.00301442,0.00315995,0.00243367,0.00536209,0,0,0,0,0,0,0,0,0.0257059,0,0.0130462,0,0,0.0173156
278,0.00600793,0.00279419,0,0,0,0,0,0.0155495,0.0316469,0.0178392,0.00426287,0,0,0.00709421,0,0.0141406,0.00402904,0.0390227,0.0177569,0.0209281,0.00690809,0.00388156,0.0104733,0.0105418,0.0387623,0.0206994,0.0148935,0.0145419,0.0397022,0.010446,0.00717229,0.0116837,0.00346636,0.00753917,0.0243646,0.0124696,0.00574021,0.0056658,0,0,0.00194624,0,0.0171127,0.00221921,0.0374109,0.0240261,0.0220758,0.0104143,0.00213717,0.00614002,0,0.00342613,0.00790164,0.0260454,0.00534143,0.011698,0.0110303,0.00441181,0.00311144,0.00291676,0.00215308,0.0045019,0,0,0,0,0,0,0,0,0.0267788,0,0.00978321,0,0,0.0151826
279,0.00537217,0.00344487,0,0,0,0,0,0.0177247,0.0316639,0.0190358,0.00606727,0,0,0.00710515,0,0.014204,0.00430752,0.0390337,0.0177631,0.022954,0.00822877,0.00298696,0.00895176,0.00918811,0.0391667,0.0221123,0.0157429,0.0154401,0.0407809,0.0119734,0.00697415,0.011736,0.00363408,0.00611582,0.024319,0.00778745,0.00446793,0.00521662,0,0,0.00280269,0,0.0170463,0.00257655,0.039828,0.0148475,0.0191951,0.00703688,0.00122808,0.00630462,0,0.00352527,0.00420564,0.0280843,0.00322278,0.00504248,0.00521652,0.00484199,0.00312296,0.00271401,0.00260785,0.00403918,0,0,0,0,0,0,0,0,0.028756,0,0.00427649,0,0.0198148,0.0133862
280,0.00546168,0.00331003,0,0,0,0,0,0.0196084,0.0313556,0.0195959,0.00498385,0,0,0.00677691,0,0.014117,0.00359928,0.0394498,0.0169046,0.024079,0.00658721,0.00249447,0.00843572,0.00943228,0.0412021,0.0225575,0.0160923,0.0157343,0.0408057,0.0134517,0.00634457,0.0116164,0.00346949,0.00796606,0.024247,0.0122488,0.00573981,0.00476901,0,0,0.00329909,0,0.0169565,0.00249192,0.0379851,0.0219289,0.0220491,0.00931369,0.001638,0.00647113,0,0.00241309,0.00689157,0.0253154,0.00562713,0.0100561,0.0108631,0.00485918,0.0029254,0.00244244,0.00251321,0.00489482,0,0,0,0,0,0,0,0,0.0300321,0,0.00709094,0,0,0.0118259
