Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,LTHIP,,x76,x77
226,0.00418033,0.00260046,0,0,0,0,0,0,0.0355631,0.0330397,0.0160406,0.00944983,0,0,0.00325871,0,0.0143276,0.00147642,0.0407949,0.0200121,0.0103747,0.00926609,0.00545619,0.000839247,0.0133656,0.0158108,0.0163906,0.0136054,0.0144036,0.0237688,0.0442785,0.0032805,0.013073,0.00358069,0.0140366,0.0240459,0.00708739,0.00316858,0.0034973,0,0,0.00390531,0,0.0163597,0.00399907,0.0376147,0.00263748,0.0214087,0.00945238,0.00704594,0.00380722,0.00521739,0.0228367,0.0069815,0.00506833,0.00552342,0.0326879,0.00486801,0.0039709,0.0151766,0.00320369,0.00336634,0.00177207,0.00273189,0.00469542,0,0,0,0,0,0,0,0,0.0067397,0.0338868,0,0,0
227,0.00384734,0.00240466,0,0,0,0,0,0,0.0343083,0.032964,0.0157109,0.00919097,0,0,0.00280177,0,0.0144318,0.00148826,0.040744,0.0188658,0.0106912,0.00923333,0.00535569,0.000585764,0.0130152,0.0159097,0.0159927,0.0131906,0.013593,0.0249263,0.0422054,0.00317037,0.0129727,0.00355835,0.0140436,0.0239704,0.00723468,0.00333976,0.00301583,0,0,0.00406057,0,0.0162838,0.00395504,0.0376459,0.00280595,0.0212187,0.0098592,0.00720593,0.00340857,0.0050516,0.0226979,0.00656602,0.0046682,0.00538753,0.0325983,0.0048458,0.00396682,0.015211,0.0032388,0.00350424,0.00174258,0.00245917,0.00442685,0,0,0,0,0,0,0,0,0.00601275,0.0338062,0,0,0
228,0.00346051,0.00220298,0,0,0,0,0,0,0.0320953,0.0328723,0.0150535,0.00887989,0,0,0.0024021,0,0.014594,0.00152618,0.0410272,0.0174034,0.0110116,0.00910148,0.00522314,0.000345036,0.0123035,0.0154644,0.0154023,0.0123578,0.0126308,0.0262642,0.0391423,0.00295957,0.01284,0.00348744,0.0140847,0.0238741,0.00740695,0.00350574,0.00260911,0,0,0.00408181,0,0.0162128,0.00374269,0.0377127,0.002894,0.0210381,0.0102015,0.00737061,0.0029361,0.00489927,0.0225516,0.00618066,0.00431818,0.00523017,0.0325192,0.0047199,0.00403423,0.0152954,0.00338176,0.00373777,0.00169602,0.00218027,0.00416972,0,0,0,0,0,0,0,0,0.00504645,0.0338451,0,0,0
229,0.00311841,0.00197741,0,0,0,0,0,0,0.0290234,0.0327822,0.0138373,0.00853461,0,0,0.00198367,0,0.0145289,0.0015775,0.0415544,0.015744,0.0112922,0.00881317,0.00509045,0.000263332,0.0112575,0.0143443,0.0146195,0.0111938,0.0116409,0.027753,0.0350557,0.00282729,0.0128128,0.00348154,0.0141735,0.0237343,0.00760054,0.00368136,0.00221594,0,0,0.00418061,0,0.0161186,0.00346089,0.0378168,0.00300283,0.0209434,0.0103289,0.00747347,0.00259654,0.00482143,0.0223989,0.00588478,0.00407367,0.00536785,0.0324649,0.00450623,0.00415339,0.0154182,0.00346135,0.00386929,0.0016491,0.00193858,0.00380991,0,0,0,0,0,0,0,0,0.00381109,0.0340018,0,0,0
230,0.00645315,0.00365344,0,0,0,0,0,0,0.0248002,0.0329338,0.0120243,0.00805833,0,0,0.00543803,0,0.0135113,0.00338258,0.042248,0.0138212,0.0115481,0.00835456,0.00483998,0.00233169,0.00962798,0.0128047,0.0135432,0.0101257,0.0105189,0.0293451,0.0294397,0.00383609,0.0131844,0.0034193,0.0142112,0.0239141,0.00771804,0.00386658,0.00590214,0,0,0.00508147,0,0.0166537,0.00210652,0.0379258,0.00301085,0.0208304,0.0103634,0.00754628,0.00458272,0.00479533,0.0221937,0.0055788,0.00385943,0.00538563,0.0324702,0.00473277,0.00436066,0.0154647,0.00394452,0.0019635,0.00174223,0.00503768,0.00805959,0,0,0,0,0,0,0,0,0.0025711,0.0343673,0,0,0
231,0.0025095,0.0018746,0,0,0,0,0,0,0,0.0325481,0.0123807,0.00773102,0,0,0.00131056,0,0.0145702,0.00190552,0.0428629,0.0146187,0.0118255,0.00797795,0.00453984,0.00171027,0.0066781,0.0107296,0.0122488,0.00984373,0.00947622,0.0304606,0.0261991,0.00322215,0.0126069,0.00346668,0.0145537,0.0236945,0.00788687,0.00399621,0.00170596,0,0,0.00175452,0,0.0161893,0.00248809,0.0381741,0.0032567,0.0209134,0.0104049,0.00719645,0.00231106,0.00478834,0.0219656,0.00532818,0.00377229,0.00539991,0.0325774,0.00491038,0.00449469,0.0158638,0.00356089,0.00277907,0.00118706,0.00188451,0.00360031,0,0,0,0,0,0,0,0,0.00271098,0.0347842,0,0,0
232,0.00251778,0.00163287,0,0,0,0,0,0,0,0.0324468,0.0101874,0.00724181,0,0,0.000966339,0,0.0144757,0.00168341,0.0433837,0.0120476,0.0121129,0.00684323,0.003994,0.00182874,0.00399195,0.00857193,0.0108673,0.00917122,0.00850644,0.0322343,0.0197691,0.00287532,0.0125662,0.00337296,0.0148549,0.0236666,0.00797129,0.00413233,0.00189227,0,0,0.00132704,0,0.0162401,0.00205246,0.038177,0.003663,0.0209395,0.0103427,0.00680298,0.00208182,0.00466612,0.0217452,0.00512598,0.00370672,0.0056448,0.0327142,0.00516088,0.00458836,0.0162327,0.00361071,0.00252377,0.00103355,0.00170072,0.00375784,0,0,0,0,0,0,0,0,0.00415671,0.0355648,0,0,0
233,0.0026274,0.00139584,0,0,0,0,0,0,0.010207,0.0323112,0.00534166,0.00659926,0,0,0.000847848,0,0.0143476,0.00153974,0.0435971,0.00443489,0.0126527,0.0053925,0.00325845,0.00208669,0.00205202,0.00631147,0.0093052,0.00837112,0.008472,0.034845,0.0113797,0.00232487,0.0125354,0.00321485,0.0152288,0.023613,0.00803221,0.0043109,0.00213799,0,0,0.00189874,0,0.0163025,0.00146295,0.0381171,0.00424298,0.0209694,0.0102007,0.00627127,0.00189574,0.0046326,0.0215934,0.00499552,0.00366346,0.00584206,0.0326931,0.00531737,0.00458161,0.0166354,0.00361289,0.00214702,0.000917435,0.00164877,0.0039672,0,0,0,0,0,0,0,0,0.00496604,0.0366509,0,0,0
234,0.0035986,0.00171156,0,0,0,0,0,0,0,0.0323166,0.00735708,0.00620877,0,0,0.00304693,0,0.0138043,0.00223846,0.0437995,0.00536316,0.0131521,0.00467975,0.00263711,0.00173307,0.00244381,0.00597147,0.00871196,0.00866688,0.0091401,0.0361147,0.0110643,0.00256907,0.0127383,0.00298309,0.0158288,0.0234629,0.00820083,0.0045391,0.00279919,0,0,0.00210017,0,0.01628,0.00100573,0.0383071,0.00475336,0.0209722,0.00996966,0.00594726,0.00210108,0.00467227,0.0213118,0.00474909,0.00375162,0.00605848,0.0326999,0.00544452,0.00463734,0.0171656,0.0032217,0.00221297,0.000822443,0.00234721,0.00489124,0,0,0,0,0,0,0,0,0.00700197,0.0378866,0,0,0
235,0.00284706,0.00134448,0,0,0,0,0,0,0,0.0321528,0.00702645,0.00588732,0,0,0.00242292,0,0.0138985,0.00201258,0.0440608,0.0043791,0.0136602,0.00307125,0.0022356,0.0016968,0.00435308,0.00642859,0.00902907,0.00920343,0.0106945,0.0379274,0.00783323,0.0021833,0.012634,0.00280267,0.0164142,0.0233451,0.0085041,0.00473484,0.00208519,0,0,0.00188411,0,0.0161874,0.000901482,0.038508,0.00542827,0.0210337,0.00979748,0.00549683,0.00170377,0.00459414,0.0211668,0.00459909,0.00399561,0.00607992,0.0327424,0.00539827,0.00449391,0.0177439,0.00324704,0.00229538,0.000837917,0.0018818,0.00426015,0,0,0,0,0,0,0,0,0.00782806,0.0391338,0,0,0
236,0.0021512,0.00104663,0,0,0,0,0,0,0,0.0319866,0.00737929,0.00560127,0,0,0.00185046,0,0.0140495,0.00185349,0.0441768,0.00536301,0.0141277,0.00243309,0.00209184,0.00170405,0.00626809,0.00764608,0.0107505,0.00994644,0.0125276,0.0396969,0.00683804,0.00168469,0.0124807,0.00267373,0.0169031,0.0232488,0.00869089,0.00487812,0.00146829,0,0,0.00184486,0,0.0161165,0.000750844,0.0387161,0.00615123,0.0210645,0.00968791,0.00495785,0.0012918,0.00458776,0.0210474,0.00449691,0.00426347,0.00606466,0.0327541,0.00526928,0.00428984,0.0182238,0.00337422,0.00229876,0.00103386,0.00152716,0.00365579,0,0,0,0,0,0,0,0,0.00847963,0.0403214,0,0,0
