Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_T,RTHII,RTHIP,IMUL_R,IMUR_M,RTHIA,LTHIA,RTHI
251,0.0143011,0.0184462,0,0,0,0.0289748,0.0364273,0.0304277,0.00960295,0,0,0.00887726,0,0.0142748,0.00315531,0.0365162,0.042016,0.00891361,0.0176483,0.0225893,0.024019,0.0162318,0.0162685,0.036173,0.00658041,0.0147768,0.0127406,0.0166558,0.0419026,0.00999889,0.0116818,0.00453107,0.0309209,0.0234275,0.0291708,0.00998807,0.0141316,0,0,0.0489415,0,0.0146197,0.0209813,0.0340048,0.0352739,0.0282963,0.0279488,0.0216098,0.0141729,0.0173738,0.0339043,0.010244,0.0193674,0.0250247,0.0222233,0.00865589,0.00870005,0.0189173,0.0133465,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0.0236396,0.0910214
252,0.01381,0.0183502,0,0,0,0.0291327,0.0365042,0.0306083,0.0102474,0,0,0.00899112,0,0.0142768,0.00330335,0.0364079,0.0429654,0.00913588,0.0177913,0.0227755,0.023766,0.0164876,0.0165405,0.0354811,0.00638516,0.0145331,0.0129071,0.0166256,0.0432836,0.0097901,0.0117058,0.00457831,0.0296297,0.023489,0.0281638,0.0098146,0.0137313,0,0,0.0492987,0,0.0146136,0.0210626,0.0341235,0.0343458,0.0277046,0.0272861,0.0220384,0.0139158,0.0170697,0.0333364,0.010116,0.0190412,0.0243206,0.0222306,0.00866683,0.00878255,0.0188058,0.0131474,0,0,0,0,0,0,0,0,0,0.0793925,0,0,0,0,0,0.0910805
253,0.0164091,0.0205341,0,0,0,0.0318414,0.0370181,0.0324505,0.0142016,0,0,0.0103042,0,0.0146696,0.00306384,0.0341493,0.0449527,0.0102482,0.0170269,0.0210795,0.0270728,0.0175439,0.0169573,0.0307655,0.00490669,0.0130556,0.0131414,0.0166658,0.0469086,0.00983663,0.0121302,0.00501143,0.0419801,0.0235775,0.0426952,0.00554844,0.0151569,0,0,0.0508935,0,0.0147379,0.0222818,0.0392697,0.0558971,0.0163776,0.0441927,0.0238031,0.0151584,0.0365121,0.0414164,0.0211355,0.0383591,0.0379147,0.0238724,0.00935352,0.00891444,0.0209573,0.0160531,0,0,0,0,0,0,0,0,0,0.0752417,0.100357,0,0,0.0743033,0,0.0971886
254,0.0166608,0.0208565,0,0,0,0.0325986,0.0372057,0.0318693,0.0151822,0,0,0.0107118,0,0.0147692,0.00315204,0.0342603,0.0441566,0.0107996,0.0154061,0.0211003,0.027721,0.0170277,0.016533,0.0297876,0.00395685,0.0119538,0.0132998,0.0164934,0.0481936,0.00990731,0.01226,0.00512917,0.0404835,0.0236964,0.0404526,0.0063553,0.0151805,0,0,0.0510631,0,0.0147372,0.0222523,0.0404911,0.0525036,0.0145573,0.0436845,0.0245602,0.0149815,0.0371857,0.0422876,0.0222451,0.0387435,0.0348883,0.0238613,0.00924826,0.00895368,0.0214395,0.0162991,0,0,0,0,0,0,0,0,0,0.0764773,0.101608,0,0,0.0800902,0,0.0955979
255,0.0163949,0.0206291,0,0,0,0.0331548,0.0372551,0.0306412,0.0155847,0,0,0.0109217,0,0.0148225,0.00317354,0.0350151,0.0424231,0.0113568,0.0131072,0.0211089,0.0278364,0.016014,0.0157315,0.0294206,0.0030308,0.0107407,0.0134735,0.0162218,0.0485267,0.00998931,0.0123159,0.00511005,0.0386477,0.0237768,0.0383407,0.00598062,0.0148817,0,0,0.0508322,0,0.0147341,0.0218969,0.0403365,0.0501728,0.0143724,0.0438241,0.0247088,0.014539,0.0369234,0.0424304,0.0216411,0.0381159,0.033347,0.0234943,0.00906249,0.00880444,0.0214212,0.0160153,0,0,0,0,0,0,0,0,0,0.07595,0.10207,0,0,0.0789936,0,0.0953348
256,0.0161873,0.0204724,0,0,0,0.0337629,0.0372869,0.0297627,0.0159588,0,0,0.0111276,0,0.0148883,0.00317998,0.0356959,0.0410344,0.011867,0.0110312,0.0208546,0.0279517,0.0151693,0.0150299,0.0290283,0.00305954,0.00970533,0.0136359,0.0159267,0.0485024,0.0100747,0.012342,0.00519685,0.0374105,0.0238301,0.0371355,0.0058306,0.0146706,0,0,0.0508346,0,0.0147323,0.0216912,0.0402536,0.0493671,0.013773,0.0447392,0.0246095,0.0142969,0.0378701,0.0430949,0.0218414,0.0388049,0.0333662,0.0232828,0.00886963,0.00877746,0.0214735,0.0158869,0,0,0,0,0,0,0,0,0,0.0752138,0,0,0,0.0773148,0.0185438,0.0966119
257,0.0162485,0.0205147,0,0,0,0.0346765,0.0373586,0.028515,0.0165466,0,0,0.0114397,0,0.0149717,0.00319241,0.0363273,0.0384045,0.0124529,0.00853526,0.0212243,0.0281525,0.0138843,0.0143949,0.0289583,0.00538052,0.00807279,0.0143232,0.0155149,0.0473968,0.0102486,0.0124001,0.0053673,0.0362705,0.0239159,0.0356059,0.00554154,0.0148906,0,0,0.0510463,0,0.014735,0.0217811,0.040071,0.0468582,0.0137966,0.0439128,0.0248116,0.0143031,0.0368821,0.042674,0.0211834,0.0375766,0.0319684,0.0232145,0.00861178,0.00863283,0.0216355,0.0161687,0,0,0,0,0,0,0,0,0,0.0750843,0.101005,0,0,0.0783138,0.0155997,0.0960403
258,0.0167638,0.0209055,0,0,0,0.0352892,0.037518,0.0275299,0.0175905,0,0,0.0120148,0,0.0151001,0.00323266,0.0370623,0.0361837,0.0134775,0.0115797,0.0219046,0.028786,0.0144697,0.0164885,0.0291322,0.0103565,0.00850672,0.0153444,0.0151016,0.0455173,0.0105384,0.0125365,0.00549675,0.0351759,0.0239775,0.0343848,0.00574636,0.0154249,0,0,0.0515927,0,0.014746,0.0219546,0.0398636,0.0454542,0.0133617,0.0438698,0.0251995,0.0144609,0.0369508,0.0428506,0.0212519,0.0373799,0.0310288,0.0233972,0.00850583,0.00856426,0.022089,0.0167709,0,0,0,0,0,0,0,0,0,0.0749682,0.101104,0,0,0.0786425,0.0165603,0.0960368
259,0.0170541,0.0211682,0,0,0,0.0355953,0.037607,0.0276494,0.0181282,0,0,0.0123229,0,0.0152072,0.00323159,0.0373666,0.0362739,0.0138956,0.0157384,0.0218211,0.029194,0.0158433,0.0189774,0.0291992,0.0134118,0.00987374,0.015952,0.0149542,0.0446194,0.0107156,0.0126314,0.00555504,0.0346753,0.0239839,0.0335197,0.00578638,0.0156171,0,0,0.0519663,0,0.0147506,0.0221162,0.0397538,0.0445194,0.0130753,0.0437702,0.025094,0.0145892,0.0368716,0.0428823,0.0210948,0.0372034,0.0306916,0.0235653,0.00861731,0.0084892,0.0224232,0.0170181,0,0,0,0,0,0,0,0,0,0.0747595,0.101407,0,0,0.0784847,0.020054,0.0961443
260,0.0172193,0.0213498,0,0,0,0.0357716,0.0376681,0.0277833,0.0185126,0,0,0.0125847,0,0.0152604,0.00321,0.0372976,0.0365148,0.0142041,0.0196725,0.0215197,0.0294941,0.0174662,0.0209166,0.0291432,0.0156676,0.011338,0.0164741,0.014679,0.0438923,0.0108392,0.0127397,0.00558915,0.0341061,0.0240026,0.0327952,0.00576843,0.0157217,0,0,0.0522954,0,0.0147632,0.0223217,0.0396945,0.0436242,0.0127755,0.0436834,0.0248103,0.0146857,0.0367344,0.0430218,0.0209202,0.0371174,0.0303724,0.0236973,0.00888474,0.00843091,0.0226685,0.017202,0,0,0,0,0,0,0,0,0,0.0745675,0.101489,0,0,0.0785452,0.0234367,0.0962397
