Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,x75,x76
186,0.00907822,0.0017732,0,0,0,0,0,0,0.0350992,0.033625,0.0145239,0.0104121,0,0,0.0129964,0,0.0145568,0.00392209,0.0429465,0.0213762,0.0104579,0.00460586,0.00706692,0.0131278,0.0115329,0.0137618,0.00748136,0.0389427,0.0167282,0.0146299,0.0151025,0.0231585,0.04655,0.0109745,0.0140888,0.00431835,0.016347,0.0221659,0.00542352,0.00120698,0.00954078,0,0,0.00329045,0,0.0155908,0.00271639,0.0371979,0.00860214,0.0205972,0.00869563,0.00819254,0.00925454,0.00667066,0.0272163,0.00734136,0.00646409,0.0333132,0.00529673,0.00762797,0.0193754,0.00578902,0.00176763,0.000880865,0.00171524,0.00972661,0,0,0,0,0,0,0,0,0.0119291,0,0
187,0.00912071,0.00186274,0,0,0,0,0,0,0.0357226,0.0336584,0.0144841,0.0102744,0,0,0.0129106,0,0.0146132,0.00393111,0.0423184,0.020028,0.0103167,0.00553797,0.00672651,0.0128584,0.0119079,0.0139619,0.00705941,0.038527,0.0162252,0.0139157,0.0144295,0.0239083,0.0465514,0.0108861,0.0140674,0.00423827,0.0159391,0.0221441,0.00527652,0.00121733,0.00943449,0,0,0.00296581,0,0.0155526,0.00263838,0.0371326,0.00806271,0.0205326,0.00869055,0.00781988,0.0091803,0.00648341,0.0269118,0.00688217,0.00641618,0.0332726,0.00538576,0.00720615,0.0191018,0.00543471,0.00188572,0.000976028,0.00154251,0.00963279,0,0,0,0,0,0,0,0,0.0112363,0,0
188,0.00901614,0.00195629,0,0,0,0,0,0,0.035851,0.0337123,0.0145857,0.0100954,0,0,0.0127246,0,0.0146066,0.00406957,0.0417426,0.0186001,0.0101705,0.00643003,0.00634656,0.0124879,0.0127516,0.0140248,0.00678684,0.03831,0.0156173,0.0133147,0.0135731,0.0248832,0.0462827,0.0108362,0.0140993,0.00402361,0.015572,0.0221145,0.00513332,0.00123726,0.00927437,0,0,0.00269452,0,0.015527,0.00244261,0.0371031,0.00747709,0.0204523,0.00879382,0.00749482,0.00911962,0.0064207,0.0266253,0.00646985,0.00628763,0.0332084,0.00543499,0.00666787,0.0186756,0.00511827,0.00196535,0.00100402,0.0012931,0.00950597,0,0,0,0,0,0,0,0,0.0105955,0,0
189,0.0088894,0.00206928,0,0,0,0,0,0,0.0355399,0.0336989,0.0147735,0.00987788,0,0,0.0125776,0,0.0145715,0.0042265,0.0411314,0.0173258,0.0100588,0.00675502,0.00592177,0.0120812,0.0142601,0.0145331,0.00730673,0.0383084,0.015028,0.0128606,0.0127444,0.0259895,0.0454675,0.0108293,0.0141094,0.00389867,0.0151926,0.0220453,0.00510941,0.00127043,0.00915016,0,0,0.00252932,0,0.015443,0.00229939,0.0370572,0.00691876,0.0203863,0.00895458,0.00722622,0.00901436,0.00637783,0.0263681,0.00604758,0.00616691,0.0331581,0.00549692,0.00637525,0.0180847,0.00481025,0.00215752,0.000768448,0.00106723,0.0092551,0,0,0,0,0,0,0,0,0.0100614,0,0
190,0.00884895,0.00222427,0,0,0,0,0,0,0.0342505,0.0336549,0.0147514,0.0096755,0,0,0.0124529,0,0.0145719,0.00432696,0.040463,0.0155645,0.00997096,0.0068268,0.00542807,0.0116587,0.0141235,0.0152695,0.0091132,0.0384701,0.0143623,0.0124443,0.0118829,0.0270569,0.0429513,0.0107839,0.0140637,0.00387412,0.0148204,0.0220014,0.00517542,0.00136477,0.00897516,0,0,0.00237304,0,0.0153992,0.00211966,0.0369621,0.00641557,0.0203337,0.00913171,0.00698716,0.00884959,0.00616492,0.0261307,0.00564633,0.00606004,0.033111,0.00557221,0.00613198,0.0176148,0.00451117,0.00232846,0.000554579,0.000938828,0.00907578,0,0,0,0,0,0,0,0,0.00961242,0,0
191,0.00934106,0.00228527,0,0,0,0,0,0,0.0314214,0.0336517,0.0140961,0.00942777,0,0,0.0121671,0,0.0144861,0.00473337,0.0400719,0.0131731,0.0100494,0.00660908,0.00501603,0.00987919,0.011747,0.015949,0.00977363,0.0389001,0.0133429,0.0116294,0.0109724,0.0281051,0.0375525,0.0101872,0.0139963,0.00398742,0.014525,0.0222294,0.00522912,0.00152735,0.00971521,0,0,0.00558986,0,0.0158407,0.00236175,0.0369543,0.00592315,0.0203059,0.00927617,0.00672829,0.00807671,0.00621316,0.0258962,0.00527974,0.00597493,0.0330735,0.00563364,0.00586858,0.017275,0.00617685,0.00167011,0.00175435,0.00235954,0.00963782,0,0,0,0,0,0,0,0,0.00923284,0,0
192,0.00954631,0.00294185,0,0,0,0,0,0,0.0272874,0.0335891,0.0130756,0.00907937,0,0,0.0129813,0,0.0142832,0.00540141,0.0401636,0.0112381,0.0102118,0.00593029,0.00471642,0.0107585,0.0100253,0.0160916,0.00975823,0.039496,0.0118182,0.010175,0.00983174,0.0290911,0.0321128,0.0110622,0.0140055,0.00424296,0.0144642,0.0219377,0.00534387,0.00180086,0.00912708,0,0,0.00160805,0,0.0154667,0.00142507,0.0372081,0.00548082,0.0202736,0.00936426,0.00675552,0.00809604,0.0063257,0.0256922,0.00506908,0.0058949,0.0330454,0.00567813,0.00565652,0.0172719,0.00469236,0.00181798,0.000685974,0.0020279,0.00950527,0,0,0,0,0,0,0,0,0.00892415,0,0
193,0.0095264,0.00289308,0,0,0,0,0,0,0,0.0335789,0.0216504,0.00927518,0,0,0.0129164,0,0.014289,0.00534203,0.0400015,0.0248636,0.0102128,0.00786972,0.00449277,0.010457,0.00680971,0.0137971,0.00780724,0.0398471,0.00958385,0.0097278,0.00916817,0.0263875,0,0.0109586,0.0140054,0.00422278,0.0149139,0.0219593,0.0057279,0.00225496,0.00922083,0,0,0.00173763,0,0.0154821,0.00146168,0.0378316,0.00492194,0.0203839,0.0091205,0.00664314,0.00813645,0.00599089,0.0252771,0.00494578,0.00604467,0.0332563,0.00585471,0.00571215,0.0177497,0.00477189,0.00167121,0.00081971,0.00208277,0.00948509,0,0,0,0,0,0,0,0,0.00841038,0,0
194,0.00927347,0.00300957,0,0,0,0,0,0,0,0.0335282,0.0117814,0.00857986,0,0,0.0125459,0,0.0143139,0.00531759,0.0414686,0.00945924,0.0107991,0.00743047,0.00421217,0.00998088,0.00756547,0.0155265,0.00877088,0.0410668,0.00887678,0.00749846,0.00776597,0.0315266,0.020678,0.0106175,0.0139541,0.00420311,0.0149194,0.0219196,0.00562868,0.00247938,0.00901082,0,0,0.00196083,0,0.0155239,0.00118257,0.0379961,0.00498961,0.0202797,0.00934779,0.00638416,0.00783829,0.00590763,0.0252223,0.00500739,0.00594261,0.0329795,0.00561884,0.00556723,0.0178212,0.00467455,0.00151496,0.000813932,0.00208397,0.00925365,0,0,0,0,0,0,0,0,0.0082668,0,0
195,0.00921559,0.00301798,0,0,0,0,0,0,0,0.0335415,0.00982616,0.00855303,0,0,0.0122248,0,0.0143561,0.00525737,0.0419086,0.00774498,0.0110126,0.00671631,0.00380109,0.0096764,0.00692218,0.014779,0.00892764,0.0420973,0.00780649,0.0065435,0.00715391,0.0330092,0.0139336,0.0103256,0.0139107,0.00414575,0.0152895,0.0219238,0.0057466,0.00282718,0.00901978,0,0,0.00231863,0,0.0155699,0.00104682,0.0382919,0.00520121,0.0204197,0.00910807,0.00581347,0.00777804,0.00587114,0.0249862,0.00505182,0.00602059,0.0330486,0.00573626,0.00554361,0.0183576,0.00471261,0.00150057,0.000799644,0.00215607,0.00925518,0,0,0,0,0,0,0,0,0.00804057,0,0
