Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,IMUR_M,RTHII,LTHIA,RTHIA
104,0.0121493,0.00907211,0,0,0,0,0,0.0250164,0.0338046,0.0278867,0.00499325,0,0,0.0213473,0,0.0122159,0.0119284,0.043192,0.0294501,0.00658938,0.0128876,0.012775,0.0258533,0.0133784,0.0371814,0.00784549,0.014636,0.0143674,0.0142411,0.0237401,0.0239491,0.0105883,0.0074661,0.010752,0.0215468,0.0128326,0.00366353,0.0131894,0,0,0.0373021,0,0.0142897,0.0147251,0.032628,0.01772,0.0279701,0.0183539,0.00828322,0.0167005,0.0188964,0.0215651,0.0114009,0.0307262,0.00447181,0.013318,0.00796459,0.0213221,0.00412124,0.00729186,0.0101408,0.0126937,0,0,0,0,0,0,0,0,0.0160398,0,0,0.0224089,0
105,0.0127054,0.00976112,0,0,0,0,0,0.0250457,0.0340547,0.0277576,0.00567767,0,0,0.0214,0,0.0124277,0.0115703,0.0434317,0.0325167,0.00665612,0.0138466,0.0132053,0.0263189,0.014103,0.0375736,0.00754677,0.0143602,0.0140597,0.0147261,0.0281009,0.0237798,0.010702,0.00752768,0.0103178,0.0215777,0.0132118,0.004031,0.0136869,0,0,0.0380786,0,0.0142863,0.0154135,0.0323799,0.0187463,0.0277221,0.0177095,0.00961606,0.0170379,0.0187084,0.0212284,0.0111345,0.0309185,0.00434829,0.013918,0.0073182,0.0216802,0.00431887,0.00743087,0.0108774,0.0132758,0,0,0,0,0,0,0,0,0.0164442,0,0,0.0233423,0
106,0.0131109,0.0103249,0,0,0,0,0,0.0243405,0.0341935,0.0281594,0.00613451,0,0,0.0213341,0,0.0125928,0.0112129,0.0430177,0.035151,0.00659437,0.0148014,0.013673,0.0266997,0.0147058,0.0375954,0.00731314,0.0141779,0.013767,0.0151694,0.0298448,0.0234438,0.0108092,0.0075399,0.00989423,0.0216147,0.0135575,0.00461879,0.0140027,0,0,0.038611,0,0.0143114,0.0157691,0.0319789,0.0196577,0.0274923,0.0168542,0.0108808,0.0172428,0.0182163,0.0204466,0.0108456,0.03097,0.00438138,0.0143293,0.00677135,0.0219063,0.00448646,0.00745994,0.0114355,0.0138124,0,0,0,0,0,0,0,0,0.0166395,0,0,0.0242438,0
107,0.0134387,0.0107453,0,0,0,0,0,0.023593,0.0343462,0.0284511,0.00660719,0,0,0.0211348,0,0.0127057,0.0108481,0.0422797,0.0362253,0.00646711,0.0157468,0.0141194,0.026968,0.0153232,0.0373819,0.00715393,0.014151,0.0135931,0.0155466,0.0304524,0.0230537,0.0109588,0.00748943,0.00947735,0.0216207,0.0138073,0.00525458,0.0141657,0,0,0.039046,0,0.0143213,0.01604,0.0314916,0.0205191,0.0272262,0.0158121,0.0119935,0.0173861,0.0173287,0.0193731,0.0104718,0.0308688,0.00463325,0.0144566,0.00619397,0.0220952,0.00463411,0.00759225,0.0118404,0.0140582,0,0,0,0,0,0,0,0,0.016823,0,0,0.0247027,0
108,0.0137302,0.0111613,0,0,0,0,0,0.0237651,0.0344821,0.028246,0.00709465,0,0,0.0208221,0,0.0128605,0.0104493,0.0412727,0.0372374,0.00636631,0.0167151,0.0146301,0.0272114,0.0159964,0.0370003,0.00714669,0.0143142,0.0135694,0.0158217,0.0315888,0.0226997,0.01115,0.00738984,0.00873393,0.0216416,0.0138136,0.00579463,0.0142494,0,0,0.0393435,0,0.0143525,0.0161926,0.0309525,0.0211225,0.0270213,0.0145235,0.0130197,0.0175083,0.0163505,0.0181493,0.00992501,0.0307203,0.00483233,0.0142644,0.00551629,0.0222722,0.00473424,0.00758754,0.0122907,0.0141698,0,0,0,0,0,0,0,0,0.0172246,0,0,0.0253585,0
109,0.0139352,0.0114549,0,0,0,0,0,0.0247017,0.0345286,0.0284715,0.00766489,0,0,0.0205022,0,0.0129914,0.0100741,0.0401515,0.0386672,0.00628765,0.0176499,0.0151503,0.027296,0.0164025,0.0365429,0.00718977,0.0144604,0.0134666,0.0160508,0.0332655,0.0224003,0.011204,0.00734878,0.00808279,0.0216737,0.0138858,0.00620371,0.0142881,0,0,0.0393935,0,0.0143714,0.016229,0.030511,0.0215627,0.0267916,0.0134714,0.0139098,0.0174828,0.0153117,0.0171314,0.0094522,0.0305595,0.00488393,0.0140943,0.00479799,0.0222734,0.00483754,0.00748317,0.0126779,0.0141909,0,0,0,0,0,0,0,0,0.0177839,0,0,0.0266929,0
110,0.0140303,0.0116691,0,0,0,0,0,0.0257896,0.0346253,0.0293123,0.00827628,0,0,0.0201991,0,0.0131365,0.00986691,0.0391366,0.0403802,0.00630216,0.0183802,0.0156099,0.0272376,0.0163056,0.0359954,0.00721435,0.0145515,0.0133382,0.0161872,0.0355292,0.0220429,0.0112283,0.00735829,0.00765513,0.0216927,0.0141673,0.00648551,0.0143068,0,0,0.0394558,0,0.0143743,0.0162386,0.0301884,0.0221521,0.0265677,0.0127723,0.01466,0.0174416,0.0142416,0.0164569,0.00911479,0.0304574,0.0049718,0.0141198,0.004103,0.0222665,0.00498202,0.00752446,0.0129649,0.0143132,0,0,0,0,0,0,0,0,0.0183558,0,0,0.0277193,0
111,0.0140274,0.0118072,0,0,0,0,0,0.0261033,0.0346575,0.0302444,0.00896059,0,0,0.0199142,0,0.0131607,0.0096285,0.0383851,0.0421364,0.00640564,0.0189404,0.0160546,0.0271344,0.0165667,0.0353564,0.00731477,0.0147345,0.0134464,0.0161925,0.0382476,0.0215755,0.0111954,0.00729046,0.00748125,0.0216831,0.0146431,0.00668166,0.0142791,0,0,0.0395131,0,0.0143497,0.016286,0.0299851,0.0230588,0.0263176,0.0123248,0.0154368,0.0173632,0.0131776,0.0160285,0.00891805,0.0303582,0.00507257,0.0143963,0.00350139,0.0221622,0.00509373,0.0076566,0.0131321,0.0145271,0,0,0,0,0,0,0,0,0.0189049,0,0,0.0281744,0
112,0.013975,0.0119834,0,0,0,0,0,0.0265879,0.0346976,0.0306893,0.00950733,0,0,0.0196701,0,0.0131723,0.00944785,0.0378852,0.0433985,0.00665069,0.0191736,0.0165342,0.0270113,0.018262,0.034692,0.00737485,0.0149096,0.0137127,0.0160599,0.0407644,0.0211053,0.011212,0.00718303,0.00739826,0.0216851,0.0152345,0.00683022,0.0141922,0,0,0.0394658,0,0.0143287,0.0163017,0.0298704,0.0242684,0.0259845,0.0117122,0.0161814,0.0172912,0.0126465,0.0154616,0.00866933,0.0300236,0.00516849,0.0147616,0.00317151,0.0220065,0.00513853,0.00767507,0.0133127,0.0146212,0,0,0,0,0,0,0,0,0.0192786,0,0,0.0281435,0
113,0.0138464,0.0121622,0,0,0,0,0,0.0273328,0.0347844,0.0306975,0.00994748,0,0,0.0194961,0,0.0132896,0.00945271,0.0375695,0.0440931,0.0070604,0.0190835,0.0169894,0.026838,0.0186126,0.0340597,0.00726289,0.0150234,0.0136195,0.0159271,0.0429783,0.0207979,0.0112675,0.00714838,0.00736457,0.0216893,0.0159868,0.00699896,0.0140424,0,0,0.0395059,0,0.0142975,0.0163333,0.029918,0.0255779,0.0256367,0.0110766,0.0169058,0.0172403,0.0123366,0.0148432,0.00850418,0.0297677,0.00530116,0.0152396,0.00326015,0.0219049,0.00509886,0.00776574,0.0134786,0.0145627,0,0,0,0,0,0,0,0,0.0193187,0,0,0.027765,0
