Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,,x75,x79
19,0.00533594,0.00602869,0,0,0,0,0,0,0.0359628,0.036748,0.0212306,0.00991654,0,0,0.0158273,0,0.0112444,0.0105506,0.0350068,0.0346545,0.00858302,0.010865,0.0109868,0.0143445,0.00420681,0.0072097,0.00793403,0.0416801,0.00755239,0.0034275,0.00905877,0.0379605,0.0531784,0.0125763,0.0116502,0.00708461,0.0121802,0.0220022,0.016694,0.00684713,0.009655,0,0,0.0304691,0,0.0139408,0.0123282,0.035132,0.0273906,0.029947,0.0118164,0.00250673,0.00509486,0.00180715,0.0227674,0,0.00500725,0.0191879,0.0383583,0.016001,0.0232943,0.00911311,0.0126809,0.0146734,0.0108224,0.0067487,0.00721325,0,0,0,0,0,0,0,0,0,0,0
20,0.00534845,0.00588867,0,0,0,0,0,0,0.0354256,0.0365929,0.0207405,0.00976135,0,0,0.0156922,0,0.0112539,0.0105409,0.0352796,0.0340537,0.00822914,0.0106095,0.011468,0.0149321,0.00414763,0.00682611,0.00733086,0.041808,0.00688979,0.00324443,0.00907028,0.0378301,0.0531544,0.0127597,0.011597,0.00684594,0.0154156,0.0220067,0.0182247,0.00666227,0.00986347,0,0,0.0301259,0,0.0139419,0.0122578,0.0347852,0.0294009,0.0299288,0.0136071,0.00276759,0.00502357,0.000938204,0.0223869,0,0.00551351,0.0187418,0.0381434,0.0157557,0.0225463,0.0109103,0.0123397,0.0148866,0.010795,0.00693571,0.00730496,0,0,0,0,0,0,0,0,0,0,0
21,0.00541671,0.00589872,0,0,0,0,0,0,0.0350673,0.0365129,0.0202667,0.00969871,0,0,0.0155034,0,0.011252,0.0104501,0.0355073,0.0332204,0.00791225,0.0104363,0.0121433,0.0157916,0.00410269,0.0065734,0.00684564,0.0419603,0.00606108,0.00328559,0.0091149,0.0376677,0.0532438,0.0128951,0.0115782,0.0066873,0.0193281,0.0220259,0.0202564,0.0067035,0.0100856,0,0,0.0298769,0,0.0139599,0.0121991,0.0346456,0.0318571,0.0299845,0.0165365,0.00304208,0.0049474,0.0016214,0.0217297,0,0.0056762,0.0192264,0.0378459,0.0158357,0.0229914,0.0138823,0.0120086,0.0154775,0.0107612,0.00729478,0.00750255,0,0,0,0,0,0,0,0,0,0,0
22,0.0054926,0.00604209,0,0,0,0,0,0,0.0349682,0.0364216,0.0197334,0.00954511,0,0,0.0152766,0,0.0112651,0.0103161,0.0357414,0.0324894,0.00750579,0.0104144,0.0129987,0.016573,0.00402966,0.00642999,0.00656515,0.0420142,0.00514362,0.003028,0.00920413,0.0371027,0.0534514,0.0129268,0.0115481,0.00661995,0.0224518,0.0220652,0.0216675,0.0068476,0.0102665,0,0,0.0297013,0,0.0139833,0.012157,0.0347599,0.0338077,0.0300241,0.0182153,0.00352878,0.00482004,0.00276262,0.021323,0,0.00584872,0.0197576,0.0379137,0.01596,0.0234573,0.0169435,0.0117243,0.0157767,0.0106732,0.00776278,0.00750532,0,0,0,0,0,0,0,0,0,0,0
23,0.00559114,0.00629035,0,0,0,0,0,0,0.0351228,0.036297,0.019272,0.00933324,0,0,0.0149881,0,0.0112286,0.0101535,0.0360585,0.0314126,0.00707538,0.010559,0.0136714,0.0173197,0.00387743,0.00636254,0.00640299,0.0420179,0.00409906,0.00274028,0.00909632,0.0364262,0.05373,0.0129453,0.0115506,0.00646849,0.0240048,0.0220827,0.022276,0.00700331,0.0104862,0,0,0.0294871,0,0.0139999,0.0120133,0.0342084,0.0346017,0.0299378,0.0177296,0.00394677,0.00475011,0.00357287,0.02124,0,0.00619088,0.0196509,0.038291,0.0160554,0.0230317,0.0189444,0.0114728,0.0154298,0.0107307,0.00830286,0.00757883,0,0,0,0,0,0,0,0,0,0,0
24,0.00699391,0.00624438,0,0,0,0,0,0,0.0350953,0.0355142,0.0190962,0.0100168,0,0,0.0124897,0,0.0113313,0.00921264,0.0371673,0.0287782,0.00742552,0.0110613,0.0133499,0.015526,0.00339076,0.00682499,0.00665537,0.0423916,0.00265411,0.00322099,0.00868925,0.0353682,0.0536397,0.0112022,0.010905,0.00534523,0.00983932,0.0219949,0.0099264,0.00926941,0.0122292,0,0,0.0291899,0,0.0139823,0.0111811,0.0326291,0.0218261,0.0336278,0.00581317,0.00365615,0.00458741,0.00767174,0,0,0.00929943,0.0105418,0.0346586,0.010251,0.0113353,0.00897811,0.0106729,0.0147722,0.0108835,0.00889594,0.00970816,0,0,0,0,0,0,0,0,0,0,0
25,0.00763559,0.00756894,0,0,0,0,0,0,0.0355498,0.0357756,0.0186439,0.00859116,0,0,0.0111807,0,0.0115716,0.00788338,0.0368673,0.0265216,0.00650024,0.0110146,0.0139914,0.017281,0.00339554,0.00693745,0.00682169,0.0421149,0.00218324,0.0039325,0.00926375,0.0351653,0.0545846,0.0104152,0.0111099,0.00519376,0.0221723,0.0221175,0.020322,0.00734024,0.0125687,0,0,0.0297615,0,0.0139957,0.0115526,0.0329333,0.0328565,0.0301017,0.0135077,0.00358517,0.00479123,0.00481691,0.0202721,0,0.00721657,0.017417,0.0381085,0.0150063,0.0200125,0.0181291,0.0108247,0.0148093,0.0108441,0.0104516,0.00984001,0,0,0,0,0,0,0,0,0,0,0
26,0.00881773,0.00793715,0,0,0,0,0,0,0.0354056,0.0355808,0.0187565,0.00807634,0,0,0.0106936,0,0.011762,0.00755668,0.037389,0.0227459,0.0068791,0.0110938,0.013961,0.0181201,0.0032232,0.00787328,0.00747307,0.0423436,0.00259086,0.00524096,0.0102868,0.0345885,0.054816,0.0106426,0.0110537,0.00497411,0.0240985,0.0221352,0.0207178,0.00758805,0.0135095,0,0,0.0297315,0,0.0140108,0.0114097,0.0326303,0.0322337,0.0304181,0.0138171,0.00338633,0.0045473,0.00510747,0.0192075,0,0.00782854,0.0170282,0.037638,0.0145634,0.0197458,0.0197554,0.010259,0.0148212,0.0108661,0.0109357,0.0111476,0,0,0,0,0,0,0,0,0,0,0
27,0.00987662,0.00841674,0,0,0,0,0,0,0.0347455,0.0354604,0.0193168,0.00731781,0,0,0.00991603,0,0.0120396,0.00701593,0.0378056,0.0185021,0.00679591,0.0108536,0.0140841,0.0188012,0.00343048,0.00950037,0.00811332,0.0424081,0.00411143,0.00657036,0.0115894,0.0341468,0.0539533,0.0105032,0.0109592,0.00474747,0.0232303,0.0221689,0.0193793,0.00733711,0.0142968,0,0,0.0301116,0,0.0140187,0.0115047,0.0326112,0.0302246,0.0303253,0.0123147,0.0035246,0.00416959,0.00566323,0.0192304,0,0.00799253,0.0159522,0.0372778,0.0138566,0.0184863,0.0190775,0.00989077,0.0152185,0.0109272,0.011474,0.0122539,0,0,0,0,0,0,0,0,0,0,0
28,0.0109091,0.00887128,0,0,0,0,0,0,0.0335367,0.0353618,0.0194495,0.00633549,0,0,0.0092918,0,0.0123689,0.00643448,0.0382015,0.0150812,0.00651595,0.010334,0.0143693,0.0197028,0.00396079,0.0113679,0.00859916,0.0423024,0.00607167,0.00786962,0.0128064,0.0335934,0.0515867,0.0103719,0.0108715,0.00457118,0.0220678,0.0222249,0.0183438,0.00672974,0.0150709,0,0,0.0307473,0,0.0140138,0.0118036,0.0329826,0.0286243,0.0300235,0.0110938,0.00404166,0.00361374,0.00598433,0.0195181,0,0.00805537,0.0152399,0.0369909,0.0133214,0.0176277,0.0178263,0.00972895,0.0158258,0.0109085,0.0119067,0.0133341,0,0,0,0,0,0,0,0,0,0,0
