Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,RTHIA,LTHI
19,0.0187076,0,0,0,0,0.0234573,0,0,0,0,0,0,0.0507789,0.019777,0.0346656,0.00824251,0,0,0.0220594,0,0.0309971,0.0121237,0.0331268,0.0278683,0.0220527,0.00964251,0.0275091,0.041547,0.0121639,0.0105144,0.0276044,0.0136587,0.0153908,0.0195341,0.017837,0.0485474,0.0118,0.0137867,0.0237142,0.0375627,0.0150754,0.0183072,0.00910816,0.00968113,0,0,0.0122702,0,0.0285034,0.00751999,0.0548718,0.032839,0.0327684,0.00725416,0.0287042,0.0496326,0.0141285,0.0103441,0.0165894,0.0169126,0.0264512,0.0196088,0.031617,0.0509551,0.0161318,0.0214145,0.00835736,0.0214813,0.00951723,0,0,0,0,0,0,0
20,0.0185968,0,0,0,0,0.0231982,0,0,0,0,0,0,0.0505496,0.0197332,0.0345037,0.00806005,0,0,0.0212562,0,0.0309678,0.0117543,0.0331849,0.0276948,0.0221306,0.00965394,0.0273609,0.0414319,0.0122313,0.0105505,0.0276448,0.0135846,0.0153286,0.0194486,0.0178609,0.0481941,0.0115526,0.0134791,0.0242204,0.0376985,0.0151044,0.0184598,0.0089685,0.00973655,0,0,0.0123396,0,0.0284719,0.00736749,0.0547819,0.0328454,0.0328046,0.00746318,0.0285947,0.0500057,0.0142157,0.0105214,0.0165792,0.0168738,0.0264695,0.0196895,0.0315192,0.0509456,0.0165388,0.0208447,0.00847443,0.0211942,0.00942797,0,0,0,0,0,0,0
21,0.018294,0,0,0,0,0.0227161,0,0,0,0,0,0,0.0500674,0.0196743,0.0341367,0.00781943,0,0,0.0201368,0,0.0311727,0.0115376,0.0331872,0.0272712,0.0220702,0.00975438,0.0270031,0.041334,0.0123384,0.0106818,0.0277599,0.0133693,0.0151354,0.0191216,0.0179078,0.047509,0.0113214,0.0134087,0.0236214,0.0379877,0.0151263,0.0188861,0.00862117,0.00955734,0,0,0.0123514,0,0.0285434,0.0071594,0.0545391,0.0328473,0.0328908,0.00798528,0.0283735,0.0500884,0.0144017,0.0108853,0.0166259,0.0166188,0.0264259,0.0195856,0.0313476,0.0509158,0.0167497,0.0204911,0.00864689,0.0205737,0.00916449,0,0,0,0,0,0,0
22,0.0175255,0,0,0,0,0.0214984,0,0,0,0,0,0,0.0491876,0.019518,0.0335244,0.00709923,0,0,0.019021,0,0.0316144,0.0117603,0.03307,0.0265969,0.0217821,0.0100818,0.0260969,0.040671,0.0125619,0.0109415,0.0280589,0.0129689,0.0148111,0.0185899,0.01808,0.0465642,0.0110811,0.0134035,0.0226666,0.0387504,0.0150823,0.0197236,0.00791908,0.00890061,0,0,0.012267,0,0.0288197,0.00704903,0.0540194,0.0329319,0.0329631,0.00920515,0.0277717,0.0496412,0.0147161,0.0116096,0.0167255,0.015966,0.0264539,0.0194511,0.0308982,0.0508143,0.0165045,0.0202498,0.00890526,0.0191502,0.00848183,0,0,0,0,0,0,0
23,0.0187064,0,0,0,0,0.0230461,0,0,0,0,0,0,0.049829,0.0197065,0.0338618,0.00775115,0,0,0.019239,0,0.0313469,0.0117375,0.0332781,0.0269567,0.0222202,0.00990353,0.0269298,0.0417986,0.012334,0.0106655,0.0277813,0.0133394,0.0150919,0.0189687,0.0179302,0.0472565,0.0110538,0.0134002,0.0238339,0.0381618,0.0153237,0.0189344,0.00850045,0.0102664,0,0,0.0126239,0,0.0284481,0.00669497,0.0544782,0.0327778,0.0329546,0.00815198,0.0283632,0.0511073,0.0145287,0.0111442,0.0167205,0.0164556,0.0264146,0.0194425,0.0312245,0.0509181,0.017181,0.0207784,0.00902278,0.0204455,0.00971335,0,0,0,0,0,0,0
24,0.0193468,0,0,0,0,0.0238663,0,0,0,0,0,0,0.0501276,0.0200234,0.0338654,0.00819899,0,0,0.0199017,0,0.0309664,0.0116587,0.0334208,0.0269921,0.0222044,0.00990052,0.0270597,0.0427199,0.012015,0.0103808,0.0274593,0.013517,0.0151841,0.0190582,0.0177606,0.0476919,0.0108025,0.0136135,0.024911,0.0373691,0.0153778,0.0181853,0.00885905,0.0112786,0,0,0.0133017,0,0.0283515,0.00727383,0.0548267,0.0325332,0.0327098,0.00738199,0.0283302,0.0515858,0.0143146,0.0107661,0.016684,0.0169335,0.026375,0.01938,0.0313922,0.0507177,0.0171856,0.0215731,0.00919886,0.0209034,0.0109058,0,0,0,0,0,0,0
25,0.0199284,0,0,0,0,0.024482,0,0,0,0,0,0,0.0503235,0.0199279,0.0337563,0.00845721,0,0,0.0206875,0,0.0310442,0.0117876,0.0335031,0.0268517,0.0223595,0.00965945,0.0275501,0.0425481,0.0120083,0.0103732,0.0274329,0.0135164,0.0151892,0.0189165,0.0177663,0.0479118,0.0111651,0.0136829,0.0246306,0.0374525,0.0155908,0.0180211,0.00906718,0.0117198,0,0,0.0131699,0,0.0280013,0.00626687,0.0548814,0.0324364,0.032896,0.00732549,0.0287722,0.0523931,0.0142258,0.0108025,0.0166937,0.0170591,0.0264549,0.0193513,0.0314244,0.0507569,0.017806,0.0216242,0.0093913,0.0216365,0.0110198,0,0,0,0,0,0,0
26,0.0201742,0,0,0,0,0.0247238,0,0,0,0,0,0,0.0504611,0.0199394,0.0337596,0.00856037,0,0,0.0209229,0,0.0310048,0.0118778,0.0336316,0.0268035,0.022565,0.00942462,0.0277347,0.0425154,0.011972,0.0103367,0.0273937,0.0135714,0.0152398,0.0189571,0.0177511,0.0481673,0.0112177,0.013838,0.0245216,0.0375036,0.0157161,0.0178619,0.00920305,0.0120148,0,0,0.0133707,0,0.0278512,0.00619146,0.0549571,0.0323388,0.0328935,0.00720334,0.0289109,0.0529869,0.0141365,0.0108015,0.0166369,0.0171608,0.0264671,0.01933,0.0314564,0.0508143,0.018151,0.0219545,0.00969965,0.0218564,0.0112077,0,0,0,0,0,0,0
27,0.0199148,0,0,0,0,0.0246305,0,0,0,0,0,0,0.0506491,0.0198324,0.0338133,0.00851444,0,0,0.0210936,0,0.0310531,0.012032,0.0337546,0.0267554,0.022809,0.00939495,0.0278897,0.0425865,0.0120186,0.010353,0.0274365,0.0136242,0.0153049,0.0189786,0.0177721,0.0485301,0.0113534,0.0139045,0.0245207,0.037626,0.0155403,0.0177829,0.00930622,0.011288,0,0,0.0140734,0,0.0281138,0.00540093,0.0549627,0.032237,0.0329238,0.00719175,0.0290392,0.0537761,0.0141154,0.0109111,0.0166041,0.0172561,0.0264897,0.0193453,0.0314798,0.0509662,0.0191055,0.0203538,0.00987894,0.0219257,0.010788,0,0,0,0,0,0,0
28,0.0201385,0,0,0,0,0.0247824,0,0,0,0,0,0,0.0505524,0.0198199,0.0337341,0.00854642,0,0,0.0210705,0,0.0310086,0.0120842,0.0337954,0.0266141,0.022847,0.00940919,0.0278956,0.0426741,0.0120172,0.0103135,0.0274302,0.0136022,0.0152924,0.0189268,0.0177778,0.0485223,0.011344,0.0139017,0.0245819,0.0377097,0.0156838,0.017786,0.00938682,0.0116415,0,0,0.0146699,0,0.0282527,0.00557957,0.0549469,0.0321734,0.0329204,0.00722238,0.0290672,0.0546448,0.0140717,0.0110172,0.0166029,0.0172312,0.0264744,0.0193573,0.0314969,0.0510568,0.0196868,0.0203086,0.0101298,0.0219758,0.0109882,0,0,0,0,0,0,0
